,Open,High,Low,Close,Volume
2020-12-25 06:00:00,0.2,3.0885,0.2,2.5826,13125130770.0
2020-12-25 07:00:00,2.5824,2.69,2.2249,2.5059,9270672930.0
2020-12-25 08:00:00,2.5152,2.887,2.3609,2.6237,7923760560.0
2020-12-25 09:00:00,2.6318,2.8247,2.465,2.6134,6625565000.0
2020-12-25 10:00:00,2.6104,2.7498,2.5629,2.6365,3739132730.0
2020-12-25 11:00:00,2.6365,2.9762,2.6345,2.7667,7946712960.0
2020-12-25 12:00:00,2.7666,2.874,2.54,2.6476,5894097560.0
2020-12-25 13:00:00,2.65,2.8,2.3719,2.4054,5144173050.0
2020-12-25 14:00:00,2.4064,2.5003,2.2401,2.31,6747314020.0
2020-12-25 15:00:00,2.31,2.32,1.9,2.0521,10682039920.0
2020-12-25 16:00:00,2.0553,2.1551,1.7924,1.8843,9508088860.0
2020-12-25 17:00:00,1.8844,2.19,1.8603,1.9078,9726195640.0
2020-12-25 18:00:00,1.9072,2.0061,1.8,1.913,3646623180.0
2020-12-25 19:00:00,1.912,2.22,1.8783,2.2083,4237316660.0
2020-12-25 20:00:00,2.2119,2.5439,2.1708,2.3959,8961418860.0
2020-12-25 21:00:00,2.4,2.5674,2.3015,2.39,4099937080.0
2020-12-25 22:00:00,2.3901,2.4348,2.13,2.322,2423787220.0
2020-12-25 23:00:00,2.3227,2.3646,2.158,2.1936,2177104170.0
2020-12-26 00:00:00,2.1936,2.4116,2.0633,2.2954,4098481970.0
2020-12-26 01:00:00,2.2958,2.4609,2.119,2.1418,4840451400.0
2020-12-26 02:00:00,2.1426,2.25,1.96,1.9701,3650535520.0
2020-12-26 03:00:00,1.9702,2.0768,1.9205,1.9474,2654127290.0
2020-12-26 04:00:00,1.9517,2.05,1.9485,1.9881,1497079660.0
2020-12-26 05:00:00,1.9875,2.1078,1.982,2.0907,1605825940.0
2020-12-26 06:00:00,2.093,2.13,1.9446,1.9447,2672897880.0
2020-12-26 07:00:00,1.9448,1.9877,1.885,1.9237,1604237390.0
2020-12-26 08:00:00,1.9238,1.9624,1.8349,1.8791,1487772130.0
2020-12-26 09:00:00,1.8791,1.9387,1.7154,1.744,3681240900.0
2020-12-26 10:00:00,1.742,1.7998,1.6585,1.7513,4245279340.0
2020-12-26 11:00:00,1.7529,1.82,1.6877,1.734,2199500130.0
2020-12-26 12:00:00,1.7323,1.839,1.7074,1.7906,2505292840.0
2020-12-26 13:00:00,1.795,1.8345,1.7521,1.819,1800185740.0
2020-12-26 14:00:00,1.8189,1.8189,1.7,1.7052,2195070530.0
2020-12-26 15:00:00,1.7052,1.74,1.5717,1.626,2790382380.0
2020-12-26 16:00:00,1.626,1.6674,1.5732,1.6431,2919913650.0
2020-12-26 17:00:00,1.6431,1.75,1.6175,1.7093,4178761860.0
2020-12-26 18:00:00,1.7091,1.7295,1.65,1.6805,1542850920.0
2020-12-26 19:00:00,1.6805,1.78,1.66,1.7538,2151812920.0
2020-12-26 20:00:00,1.7538,1.7799,1.7211,1.7452,1108907300.0
2020-12-26 21:00:00,1.745,1.7915,1.67,1.76,1971332210.0
2020-12-26 22:00:00,1.7606,1.7748,1.67,1.7022,1394067260.0
2020-12-26 23:00:00,1.7039,1.72,1.5877,1.6221,1517477170.0
2020-12-27 00:00:00,1.6206,1.6668,1.5901,1.5967,824699560.0
2020-12-27 01:00:00,1.597,1.6516,1.3808,1.3989,5669945020.0
2020-12-27 02:00:00,1.3984,1.47,1.3758,1.4081,3042062130.0
