,Open,High,Low,Close,Volume
2020-10-15 05:00:00,51.43,59.0,46.437,47.099,13042026.0
2020-10-15 06:00:00,47.097,47.916,46.158,47.486,4565137.0
2020-10-15 07:00:00,47.429,49.746,47.428,49.0,5618395.0
2020-10-15 08:00:00,49.0,49.496,48.61,49.031,1977936.0
2020-10-15 09:00:00,49.15,49.208,48.61,49.0,3338552.0
2020-10-15 10:00:00,48.901,49.446,48.0,48.654,2041204.0
2020-10-15 11:00:00,48.406,48.646,45.681,46.121,6265761.0
2020-10-15 12:00:00,46.2,47.017,44.514,44.668,8352379.000000001
2020-10-15 13:00:00,44.629,46.072,44.392,45.871,6280565.0
2020-10-15 14:00:00,45.871,48.482,45.8,47.246,6372672.0
2020-10-15 15:00:00,47.246,48.05,46.352,47.047,7072342.0
2020-10-15 16:00:00,46.983,47.25,46.5,47.0,2439205.0
2020-10-15 17:00:00,47.201,48.017,46.9,47.297,2492561.0
2020-10-15 18:00:00,47.297,47.298,46.05,46.088,2297109.0
2020-10-15 19:00:00,46.085,48.0,45.889,46.484,2070732.0
2020-10-15 20:00:00,46.485,47.153,46.326,46.976,1368806.0
2020-10-15 21:00:00,46.976,47.997,46.936,47.462,1402077.0
2020-10-15 22:00:00,47.52,47.902,46.379,47.104,1741464.0
2020-10-15 23:00:00,47.185,47.5,45.673,46.026,2580265.0
2020-10-16 00:00:00,46.152,46.24,45.714,45.8,1295720.0
2020-10-16 01:00:00,45.801,45.891,42.747,42.999,16033962.0
2020-10-16 02:00:00,43.017,43.542,42.0,42.73,11040497.0
2020-10-16 03:00:00,42.756,43.8,42.492,43.79,5815769.0
2020-10-16 04:00:00,43.79,43.8,43.451,43.719,5922816.0
2020-10-16 05:00:00,43.707,43.707,42.199,43.474,6400434.0
2020-10-16 06:00:00,43.43,43.679,40.649,41.0,8763297.0
2020-10-16 07:00:00,41.1,42.221,40.83,42.221,3206489.0
2020-10-16 08:00:00,42.206,42.323,41.412,41.426,2145099.0
2020-10-16 09:00:00,41.45,41.938,39.911,41.786,10942131.0
2020-10-16 10:00:00,41.618,42.697,41.612,42.676,4229597.0
2020-10-16 11:00:00,42.619,42.792,41.549,41.986,3082838.0
2020-10-16 12:00:00,41.985,41.998,41.228,41.556,2494418.0
2020-10-16 13:00:00,41.474,41.918,40.837,41.365,3535759.0
2020-10-16 14:00:00,41.363,41.813,41.053,41.763,2311642.0
2020-10-16 15:00:00,41.763,41.961,41.536,41.961,1784560.0
2020-10-16 16:00:00,41.92,42.256,41.59,41.743,1615461.0
2020-10-16 17:00:00,41.721,41.83,41.221,41.676,1624398.0
2020-10-16 18:00:00,41.678,41.756,41.071,41.271,996237.0
2020-10-16 19:00:00,41.304,41.304,40.614,40.835,1958153.0
2020-10-16 20:00:00,40.848,40.993,40.37,40.873,1935563.0
2020-10-16 21:00:00,40.771,40.865,39.799,39.889,2946878.0
2020-10-16 22:00:00,39.799,41.1,39.72,41.1,2689189.0
2020-10-16 23:00:00,41.045,41.157,40.273,40.477,959992.0
2020-10-17 00:00:00,40.477,40.511,39.3,39.658,2490121.0
2020-10-17 01:00:00,39.502,39.77,39.092,39.461,1945074.0
2020-10-17 02:00:00,39.371,39.38,38.206,38.664,3530973.0
2020-10-17 03:00:00,38.656,39.22,38.587,39.203,1986496.0
2020-10-17 04:00:00,39.22,41.781,39.188,41.231,7470230.0
2020-10-17 05:00:00,41.103,41.121,40.6,40.9,1431867.0
2020-10-17 06:00:00,40.887,40.9,40.306,40.477,1155507.0
2020-10-17 07:00:00,40.423,40.545,40.197,40.51,784429.0
2020-10-17 08:00:00,40.51,40.545,39.852,40.25,1770351.0
2020-10-17 09:00:00,40.25,41.99,40.131,41.85,1947765.0
2020-10-17 10:00:00,41.772,41.85,41.22,41.389,1643642.0
2020-10-17 11:00:00,41.389,41.389,40.868,41.058,1005077.0
2020-10-17 12:00:00,41.101,42.03,41.101,42.03,1390052.0
2020-10-17 13:00:00,42.03,43.235,42.03,42.779,4576371.0
2020-10-17 14:00:00,42.78,42.78,41.913,42.005,2095981.0000000002
2020-10-17 15:00:00,42.005,42.122,41.575,41.627,944317.0
2020-10-17 16:00:00,41.575,42.51,41.545,42.486,1788662.0
2020-10-17 17:00:00,42.316,42.643,40.97,41.3,2653239.0
2020-10-17 18:00:00,41.3,41.397,40.763,41.224,1291411.0
2020-10-17 19:00:00,41.187,41.49,41.141,41.488,385028.0
2020-10-17 20:00:00,41.497,41.715,41.285,41.574,899317.0
2020-10-17 21:00:00,41.454,41.962,41.412,41.691,603298.0
2020-10-17 22:00:00,41.77,41.784,41.533,41.706,258493.0
2020-10-17 23:00:00,41.676,41.676,41.509,41.509,264951.0
2020-10-18 00:00:00,41.598,41.598,41.181,41.4,573523.0
2020-10-18 01:00:00,41.424,41.549,40.835,41.365,1520163.0
2020-10-18 02:00:00,41.359,41.425,40.476,40.795,1188277.0
