,Open,High,Low,Close,Volume
2022-01-25 13:00:00,2.0,2.8,1.84,1.967,8735114870.0
2022-01-25 14:00:00,1.969,2.08,1.871,1.989,2094335340.0
2022-01-25 15:00:00,1.989,2.258,1.95,2.042,2420347530.0
2022-01-25 16:00:00,2.042,2.086,1.956,2.036,1239965030.0
2022-01-25 17:00:00,2.037,2.171,2.003,2.051,982689300.0
2022-01-25 18:00:00,2.055,2.097,1.95,1.978,922775170.0
2022-01-25 19:00:00,1.978,1.982,1.82,1.83,1447440760.0
2022-01-25 20:00:00,1.833,1.92,1.824,1.87,727631790.0
2022-01-25 21:00:00,1.873,1.98,1.857,1.948,526538750.0
2022-01-25 22:00:00,1.946,1.949,1.858,1.868,303262440.0
2022-01-25 23:00:00,1.87,1.926,1.827,1.89,348017240.0
2022-01-26 00:00:00,1.89,2.03,1.89,2.011,385448070.0
2022-01-26 01:00:00,2.011,2.102,1.931,2.033,1107588090.0
2022-01-26 02:00:00,2.033,2.033,1.901,1.951,370794510.0
2022-01-26 03:00:00,1.95,1.95,1.869,1.89,350459220.0
2022-01-26 04:00:00,1.891,1.943,1.875,1.906,292805070.0
2022-01-26 05:00:00,1.905,1.929,1.847,1.893,266145390.0
2022-01-26 06:00:00,1.893,1.928,1.86,1.914,307767110.0
2022-01-26 07:00:00,1.915,1.948,1.861,1.885,279434550.0
2022-01-26 08:00:00,1.884,1.93,1.88,1.901,180275280.0
2022-01-26 09:00:00,1.899,2.015,1.894,1.98,627617590.0
2022-01-26 10:00:00,1.98,2.07,1.957,2.009,518080120.0
2022-01-26 11:00:00,2.006,2.059,1.961,2.005,405822220.0
2022-01-26 12:00:00,2.005,2.048,1.964,2.018,389345630.0
2022-01-26 13:00:00,2.017,2.07,1.977,2.068,459565270.0
2022-01-26 14:00:00,2.068,2.089,2.005,2.018,493764810.0
2022-01-26 15:00:00,2.015,2.039,1.937,1.981,635954310.0
2022-01-26 16:00:00,1.981,1.987,1.912,1.944,327067720.0
2022-01-26 17:00:00,1.946,1.994,1.918,1.932,331147500.0
2022-01-26 18:00:00,1.932,1.94,1.91,1.93,177082140.0
2022-01-26 19:00:00,1.93,1.932,1.794,1.831,717281240.0
2022-01-26 20:00:00,1.831,1.925,1.8,1.827,631650630.0
2022-01-26 21:00:00,1.828,1.831,1.66,1.702,845273150.0
2022-01-26 22:00:00,1.698,1.723,1.599,1.61,475843390.0
2022-01-26 23:00:00,1.612,1.709,1.581,1.695,495289440.0
2022-01-27 00:00:00,1.693,1.783,1.662,1.684,557404780.0
2022-01-27 01:00:00,1.688,1.783,1.679,1.743,263826539.99999997
2022-01-27 02:00:00,1.741,1.754,1.55,1.56,519252870.0
2022-01-27 03:00:00,1.558,1.626,1.555,1.609,272588360.0
2022-01-27 04:00:00,1.609,1.645,1.527,1.537,401800580.0
2022-01-27 05:00:00,1.533,1.646,1.52,1.604,412366600.0
2022-01-27 06:00:00,1.605,1.629,1.561,1.622,258538060.0
2022-01-27 07:00:00,1.616,1.643,1.574,1.635,198216650.0
2022-01-27 08:00:00,1.63,1.72,1.623,1.639,634459240.0
2022-01-27 09:00:00,1.639,1.707,1.635,1.697,340637080.0
2022-01-27 10:00:00,1.693,1.704,1.661,1.68,189293870.0
2022-01-27 11:00:00,1.685,1.686,1.628,1.636,197783650.0
2022-01-27 12:00:00,1.639,1.704,1.639,1.672,213175390.0
2022-01-27 13:00:00,1.67,1.673,1.611,1.631,297776460.0
2022-01-27 14:00:00,1.631,1.715,1.629,1.681,455654000.0
2022-01-27 15:00:00,1.682,1.698,1.65,1.681,243687780.0
2022-01-27 16:00:00,1.681,1.71,1.64,1.657,322518510.0
2022-01-27 17:00:00,1.657,1.699,1.653,1.658,196925130.0
2022-01-27 18:00:00,1.664,1.672,1.604,1.62,170745640.0
2022-01-27 19:00:00,1.623,1.627,1.57,1.595,255267720.0
2022-01-27 20:00:00,1.595,1.605,1.53,1.548,276122550.0
2022-01-27 21:00:00,1.556,1.569,1.515,1.522,101170130.0
2022-01-27 22:00:00,1.522,1.589,1.512,1.535,154201510.0
2022-01-27 23:00:00,1.538,1.552,1.513,1.531,122716360.0
2022-01-28 00:00:00,1.531,1.603,1.527,1.586,120627620.0
2022-01-28 01:00:00,1.592,1.641,1.552,1.641,274282570.0
2022-01-28 02:00:00,1.642,1.65,1.582,1.605,143091850.0
2022-01-28 03:00:00,1.605,1.657,1.551,1.649,193316420.0
2022-01-28 04:00:00,1.649,1.668,1.57,1.591,189129850.0
