,Open,High,Low,Close,Volume
2020-07-16 10:00:00,11.32,11.44,11.25,11.27,599370.0
2020-07-16 11:00:00,11.27,12.54,11.27,12.54,2524080.0
2020-07-16 12:00:00,12.48,12.62,11.51,11.52,2987280.0
2020-07-16 13:00:00,11.52,11.59,11.28,11.59,4020210.0
2020-07-16 14:00:00,11.4,11.4,10.68,11.12,3807680.0
2020-07-16 15:00:00,11.11,11.43,11.04,11.32,812590.0
2020-07-16 16:00:00,11.35,11.72,11.15,11.15,1742380.0
2020-07-16 17:00:00,10.96,11.03,10.54,10.66,1325100.0
2020-07-16 18:00:00,10.68,10.92,10.34,10.91,831500.0
2020-07-16 19:00:00,10.91,10.92,10.42,10.42,43060.0
2020-07-16 20:00:00,10.66,10.66,9.87,10.13,1369270.0
2020-07-16 21:00:00,10.13,10.34,10.05,10.28,353730.0
2020-07-16 22:00:00,10.25,10.6,10.14,10.34,285920.0
2020-07-16 23:00:00,10.31,10.32,10.14,10.22,126120.0
2020-07-17 00:00:00,10.2,10.3,10.05,10.05,398540.0
2020-07-17 01:00:00,10.02,10.08,9.94,10.02,437790.0
2020-07-17 02:00:00,9.97,10.34,9.93,10.34,158800.0
2020-07-17 03:00:00,10.32,10.32,10.05,10.2,36380.0
2020-07-17 04:00:00,10.22,10.22,9.91,10.11,631630.0
2020-07-17 05:00:00,10.08,10.37,10.04,10.22,287290.0
2020-07-17 06:00:00,10.2,10.51,10.02,10.51,200110.0
2020-07-17 07:00:00,10.48,10.85,10.37,10.74,1493180.0
2020-07-17 08:00:00,10.77,10.77,10.42,10.57,99030.0
2020-07-17 09:00:00,10.57,10.74,10.4,10.54,1419880.0
2020-07-17 10:00:00,10.55,10.88,10.45,10.57,543630.0
2020-07-17 11:00:00,10.57,10.65,10.37,10.37,154610.0
2020-07-17 12:00:00,10.34,10.42,10.08,10.37,610300.0
2020-07-17 13:00:00,10.34,10.48,10.2,10.22,254970.0
2020-07-17 14:00:00,10.2,10.25,9.97,10.19,687350.0
2020-07-17 15:00:00,10.14,10.28,10.03,10.17,159080.0
2020-07-17 16:00:00,10.2,10.37,10.2,10.25,242670.0
2020-07-17 17:00:00,10.22,10.31,10.17,10.31,306980.0
2020-07-17 18:00:00,10.28,10.57,10.28,10.48,483390.0
2020-07-17 19:00:00,10.51,10.72,10.47,10.54,113810.0
2020-07-17 20:00:00,10.58,10.75,10.56,10.65,1031310.0
2020-07-17 21:00:00,10.65,10.8,10.55,10.55,410610.0
2020-07-17 22:00:00,10.55,10.59,10.5,10.59,260279.99999999997
2020-07-17 23:00:00,10.7,10.7,10.65,10.65,216430.0
2020-07-18 00:00:00,10.69,10.69,10.6,10.6,46510.0
2020-07-18 01:00:00,10.6,10.78,10.5,10.73,766630.0
2020-07-18 02:00:00,10.91,11.5,10.82,11.42,1805170.0
2020-07-18 03:00:00,11.31,11.38,11.2,11.34,201080.0
2020-07-18 04:00:00,11.39,11.75,11.39,11.47,2533370.0
2020-07-18 05:00:00,11.46,11.51,11.31,11.35,1170600.0
2020-07-18 06:00:00,11.38,11.43,10.85,11.02,1634610.0
2020-07-18 07:00:00,10.98,11.19,10.98,11.19,144230.0
2020-07-18 08:00:00,11.18,11.18,11.01,11.05,285630.0
2020-07-18 09:00:00,11.21,11.21,10.99,11.19,947390.0
2020-07-18 10:00:00,11.2,11.51,11.2,11.28,443600.0
2020-07-18 11:00:00,11.0,11.12,10.89,11.06,2772600.0
2020-07-18 12:00:00,11.0,11.15,10.98,11.07,720370.0
2020-07-18 13:00:00,11.06,11.12,10.92,11.05,738180.0
2020-07-18 14:00:00,11.17,11.17,11.07,11.08,112440.0
2020-07-18 15:00:00,11.16,11.16,11.09,11.16,139780.0
2020-07-18 16:00:00,11.32,11.35,11.32,11.35,3210.0
2020-07-18 17:00:00,11.16,11.17,10.86,10.9,1634020.0
2020-07-18 18:00:00,10.82,11.07,10.72,11.0,1068440.0
2020-07-18 19:00:00,10.9,10.9,10.65,10.65,2251320.0
2020-07-18 20:00:00,10.7,10.7,10.38,10.45,2268010.0
2020-07-18 21:00:00,10.42,10.59,10.38,10.57,357540.0
2020-07-18 22:00:00,10.59,10.6,10.49,10.56,3576300.0
2020-07-18 23:00:00,10.61,10.69,10.61,10.64,80060.0
2020-07-19 00:00:00,10.74,10.8,10.71,10.72,119570.0
2020-07-19 01:00:00,10.73,10.74,10.73,10.74,323040.0
2020-07-19 02:00:00,10.82,10.82,10.56,10.56,306240.0
2020-07-19 03:00:00,10.52,10.52,10.52,10.52,40050.0
2020-07-19 04:00:00,10.55,10.79,10.55,10.71,822150.0
2020-07-19 05:00:00,10.8,10.84,10.74,10.74,107330.0
2020-07-19 06:00:00,10.8,10.8,10.75,10.76,183630.0
2020-07-19 07:00:00,10.76,10.76,10.68,10.68,32740.000000000004
2020-07-19 08:00:00,10.52,10.52,10.34,10.51,752920.0
2020-07-19 09:00:00,10.51,10.53,10.5,10.5,902510.0
2020-07-19 10:00:00,10.55,10.55,10.53,10.55,275650.0
2020-07-19 11:00:00,10.44,10.44,10.4,10.4,177150.0
2020-07-19 12:00:00,10.55,10.78,10.55,10.69,471890.0
2020-07-19 13:00:00,10.75,10.76,10.63,10.72,451400.0
2020-07-19 14:00:00,10.76,11.03,10.75,10.84,3644580.0
2020-07-19 15:00:00,10.78,10.9,10.78,10.9,802870.0
2020-07-19 16:00:00,10.86,10.9,10.86,10.9,199280.0
2020-07-19 17:00:00,10.9,10.99,10.8,10.96,773440.0
2020-07-19 18:00:00,11.03,11.03,10.77,10.77,84000.0
2020-07-19 19:00:00,10.76,10.83,10.76,10.83,145900.0
2020-07-19 20:00:00,10.8,10.8,10.8,10.8,946480.0
2020-07-19 21:00:00,10.82,10.82,10.82,10.82,249990.0
