,Open,High,Low,Close,Volume
2020-07-16 10:00:00,8.64,8.7,8.54,8.66,673080.0
2020-07-16 11:00:00,8.64,8.65,7.63,7.76,2578760.0
2020-07-16 12:00:00,7.76,8.34,7.64,8.34,1159290.0
2020-07-16 13:00:00,8.37,8.44,8.3,8.3,356190.0
2020-07-16 14:00:00,8.31,8.9,8.31,8.52,1500810.0
2020-07-16 15:00:00,8.6,8.61,8.3,8.48,358040.0
2020-07-16 16:00:00,8.4,8.64,8.2,8.64,1166470.0
2020-07-16 17:00:00,8.6,8.94,8.59,8.87,956300.0
2020-07-16 18:00:00,8.99,9.12,8.72,8.72,911570.0
2020-07-16 19:00:00,8.79,9.06,8.79,8.89,118600.0
2020-07-16 20:00:00,8.89,9.03,8.48,8.48,1173000.0
2020-07-16 21:00:00,8.5,8.5,8.28,8.28,407270.0
2020-07-16 22:00:00,8.4,8.4,8.01,8.16,483370.0
2020-07-16 23:00:00,8.28,8.4,8.28,8.34,197550.0
2020-07-17 00:00:00,8.33,8.53,8.27,8.53,1030839.9999999999
2020-07-17 01:00:00,8.59,8.62,8.46,8.51,253300.0
2020-07-17 02:00:00,8.54,8.59,8.23,8.23,1492220.0
2020-07-17 03:00:00,8.3,8.49,8.3,8.41,40720.0
2020-07-17 04:00:00,8.33,8.57,8.33,8.44,568450.0
2020-07-17 05:00:00,8.43,8.52,8.25,8.32,225600.0
2020-07-17 06:00:00,8.38,8.5,8.07,8.07,491000.0
2020-07-17 07:00:00,8.14,8.19,7.83,7.86,813010.0
2020-07-17 08:00:00,8.01,8.15,8.01,8.03,265270.0
2020-07-17 09:00:00,8.05,8.14,7.99,7.99,619220.0
2020-07-17 10:00:00,8.08,8.08,7.88,8.01,897400.0
2020-07-17 11:00:00,8.08,8.19,7.98,8.19,1025319.9999999999
2020-07-17 12:00:00,8.17,8.38,8.16,8.2,308650.0
2020-07-17 13:00:00,8.19,8.27,8.13,8.27,225160.0
2020-07-17 14:00:00,8.32,8.45,8.28,8.28,408290.0
2020-07-17 15:00:00,8.38,8.44,8.24,8.31,1342550.0
2020-07-17 16:00:00,8.29,8.32,8.18,8.28,314190.0
2020-07-17 17:00:00,8.31,8.34,8.22,8.22,244720.0
2020-07-17 18:00:00,8.2,8.2,8.06,8.09,779650.0
2020-07-17 19:00:00,8.1,8.1,7.95,8.08,434710.0
2020-07-17 20:00:00,8.04,8.04,7.96,7.96,14280.0
2020-07-17 21:00:00,7.95,8.06,7.94,8.04,111900.0
2020-07-17 22:00:00,8.07,8.12,8.04,8.04,515429.99999999994
2020-07-17 23:00:00,8.02,8.05,7.95,7.95,940000.0
2020-07-18 00:00:00,8.02,8.02,7.98,7.98,13420.0
2020-07-18 01:00:00,8.02,8.09,7.85,7.88,659870.0
2020-07-18 02:00:00,7.87,7.89,7.43,7.5,3167920.0
2020-07-18 03:00:00,7.51,7.62,7.5,7.54,2767320.0
2020-07-18 04:00:00,7.5,7.5,7.27,7.46,10006960.0
2020-07-18 05:00:00,7.46,7.54,7.46,7.53,239530.0
2020-07-18 06:00:00,7.5,7.75,7.5,7.67,419420.0
2020-07-18 07:00:00,7.7,7.7,7.6,7.6,135110.0
2020-07-18 08:00:00,7.68,7.69,7.67,7.69,17880.0
2020-07-18 09:00:00,7.58,7.7,7.58,7.6,1217180.0
2020-07-18 10:00:00,7.57,7.64,7.43,7.62,245540.0
2020-07-18 11:00:00,7.59,7.77,7.59,7.64,315130.0
2020-07-18 12:00:00,7.66,7.68,7.64,7.68,902960.0
2020-07-18 13:00:00,7.7,7.71,7.63,7.66,1573640.0
2020-07-18 14:00:00,7.62,7.67,7.59,7.63,90960.0
2020-07-18 15:00:00,7.65,7.65,7.59,7.6,228790.0
2020-07-18 16:00:00,7.56,7.64,7.56,7.62,450030.0
2020-07-18 17:00:00,7.68,7.75,7.68,7.72,379670.0
2020-07-18 18:00:00,7.77,7.83,7.68,7.75,1057150.0
2020-07-18 19:00:00,7.75,7.92,7.75,7.9,1229810.0
2020-07-18 20:00:00,7.9,8.04,7.86,8.04,144800.0
2020-07-18 21:00:00,8.04,8.1,7.9,7.9,351300.0
2020-07-18 22:00:00,7.97,8.05,7.96,7.96,433600.0
2020-07-18 23:00:00,7.9,8.05,7.89,8.05,101140.0
2020-07-19 00:00:00,8.04,8.04,7.88,7.88,49230.0
2020-07-19 01:00:00,7.84,7.88,7.84,7.85,226870.0
2020-07-19 02:00:00,7.84,8.01,7.8,8.0,467710.0
2020-07-19 03:00:00,7.99,7.99,7.94,7.94,85860.0
2020-07-19 04:00:00,7.93,7.97,7.87,7.87,454390.0
2020-07-19 05:00:00,7.81,7.88,7.79,7.87,128660.0
2020-07-19 06:00:00,7.81,7.81,7.81,7.81,4280.0
2020-07-19 07:00:00,7.84,7.9,7.81,7.9,9500.0
2020-07-19 08:00:00,7.83,8.1,7.83,8.06,617970.0
2020-07-19 09:00:00,8.02,8.05,7.97,8.02,83480.0
2020-07-19 10:00:00,8.0,8.0,7.96,7.99,245520.0
2020-07-19 11:00:00,8.05,8.05,8.01,8.04,24920.0
2020-07-19 12:00:00,7.98,7.98,7.85,7.89,887570.0
2020-07-19 13:00:00,7.82,7.9,7.79,7.9,430880.0
2020-07-19 14:00:00,7.8,7.84,7.69,7.81,114180.0
2020-07-19 15:00:00,7.81,7.81,7.76,7.78,335110.0
2020-07-19 16:00:00,7.76,7.83,7.74,7.78,1708030.0
2020-07-19 17:00:00,7.75,7.75,7.7,7.7,116280.0
2020-07-19 18:00:00,7.67,7.83,7.65,7.78,116260.0
2020-07-19 19:00:00,7.88,7.97,7.78,7.78,2450980.0
2020-07-19 20:00:00,7.8,7.86,7.8,7.86,792040.0
2020-07-19 21:00:00,7.84,7.84,7.75,7.75,232320.0
2020-07-19 22:00:00,7.78,8.0,7.78,7.91,327680.0
2020-07-19 23:00:00,7.98,7.98,7.96,7.97,69740.0
2020-07-20 00:00:00,8.0,8.18,8.0,8.06,679770.0
2020-07-20 01:00:00,8.04,8.13,8.04,8.08,241930.0
2020-07-20 02:00:00,8.06,8.07,7.99,8.0,313040.0
2020-07-20 03:00:00,7.95,7.96,7.94,7.96,2159840.0
2020-07-20 04:00:00,7.94,8.04,7.94,7.98,258089.99999999997
2020-07-20 05:00:00,8.02,8.04,7.99,7.99,102340.0
2020-07-20 06:00:00,8.05,8.05,7.87,7.92,547570.0
2020-07-20 07:00:00,7.9,7.96,7.9,7.96,128229.99999999999
2020-07-20 08:00:00,7.96,7.96,7.82,7.82,39790.0
2020-07-20 09:00:00,7.89,7.89,7.84,7.84,161310.0
2020-07-20 10:00:00,7.91,7.96,7.9,7.9,111190.0
2020-07-20 11:00:00,7.89,7.92,7.89,7.9,289400.0
2020-07-20 12:00:00,7.81,7.81,7.63,7.63,1018390.0
2020-07-20 13:00:00,7.69,7.77,7.67,7.67,463760.0
2020-07-20 14:00:00,7.67,7.71,7.67,7.71,427700.0
2020-07-20 15:00:00,7.66,7.7,7.64,7.68,156610.0
2020-07-20 16:00:00,7.72,7.74,7.71,7.71,2217080.0
2020-07-20 17:00:00,7.71,7.73,7.67,7.73,435440.0
2020-07-20 18:00:00,7.68,7.68,7.48,7.61,2498530.0
2020-07-20 19:00:00,7.67,7.71,7.67,7.7,104420.0
2020-07-20 20:00:00,7.7,7.72,7.33,7.36,821260.0
2020-07-20 21:00:00,7.35,7.35,6.49,7.15,10527910.0
2020-07-20 22:00:00,7.15,7.31,7.03,7.29,1837950.0
2020-07-20 23:00:00,7.28,7.28,7.1,7.24,373060.0
2020-07-21 00:00:00,7.16,7.16,6.97,7.04,620850.0
2020-07-21 01:00:00,7.09,7.09,6.94,6.98,807800.0
2020-07-21 02:00:00,6.97,7.17,6.8,7.17,887180.0
2020-07-21 03:00:00,7.2,7.28,7.08,7.11,1060770.0
2020-07-21 04:00:00,7.18,7.28,7.17,7.25,167010.0
2020-07-21 05:00:00,7.2,7.21,7.03,7.13,509890.0
2020-07-21 06:00:00,7.13,7.22,7.13,7.17,392750.0
2020-07-21 07:00:00,7.25,7.3,7.23,7.25,440300.0
2020-07-21 08:00:00,7.24,7.52,7.24,7.43,2583960.0
