,Open,High,Low,Close,Volume
2021-10-29 12:00:00,0.5348,1.2808,0.5348,0.9473,67376014000.0
2021-10-29 13:00:00,0.9463,1.9266,0.944,1.6567,117526707000.0
2021-10-29 14:00:00,1.6546,1.66,1.2715,1.3122,34540891000.0
2021-10-29 15:00:00,1.3135,1.3868,1.2079,1.2421,20260212000.0
2021-10-29 16:00:00,1.2434,1.245,1.0759,1.0982,14987121000.0
2021-10-29 17:00:00,1.0986,1.1701,1.0311,1.0448,14823527000.0
2021-10-29 18:00:00,1.0441,1.0629,0.9817,1.0516,14072561000.0
2021-10-29 19:00:00,1.0513,1.1219,0.9843,1.0009,16523762000.0
2021-10-29 20:00:00,1.0,1.0338,0.9849,1.0048,6627605000.0
2021-10-29 21:00:00,1.0043,1.0099,0.95,0.9628,5378949000.0
2021-10-29 22:00:00,0.9628,1.1776,0.9606,1.141,30920859000.0
2021-10-29 23:00:00,1.1408,1.4114,1.1408,1.1993,59998582000.0
2021-10-30 00:00:00,1.1993,1.3,1.1561,1.1921,25966815000.0
2021-10-30 01:00:00,1.1921,1.225,1.1286,1.1633,12104316000.0
2021-10-30 02:00:00,1.1623,1.1977,1.0896,1.1396,5677607000.0
2021-10-30 03:00:00,1.1389,1.1415,1.036,1.0678,6255976000.0
2021-10-30 04:00:00,1.0678,1.13,1.0391,1.0878,5217099000.0
2021-10-30 05:00:00,1.087,1.0878,1.03,1.0695,3519634000.0
2021-10-30 06:00:00,1.0695,1.1898,1.04,1.1662,9072019000.0
2021-10-30 07:00:00,1.1662,1.289,1.1043,1.1624,17836550000.0
2021-10-30 08:00:00,1.1623,1.208,1.12,1.1359,7826980000.0
2021-10-30 09:00:00,1.135,1.2326,1.1245,1.2279,9826917000.0
2021-10-30 10:00:00,1.2281,1.3782,1.1752,1.347,15924832000.0
2021-10-30 11:00:00,1.347,1.46,1.3206,1.3537,44079274000.0
2021-10-30 12:00:00,1.3536,1.4149,1.2686,1.3479,20534480000.0
2021-10-30 13:00:00,1.3465,1.3625,1.19,1.2278,13577593000.0
2021-10-30 14:00:00,1.2278,1.2563,1.1541,1.1701,7136725000.0
2021-10-30 15:00:00,1.1701,1.2206,1.12,1.153,6874926000.0
2021-10-30 16:00:00,1.1534,1.2,1.123,1.1448,4772356000.0
2021-10-30 17:00:00,1.1435,1.175,1.1049,1.1699,3424327000.0
2021-10-30 18:00:00,1.1699,1.2749,1.1433,1.1851,10234547000.0
2021-10-30 19:00:00,1.1851,1.1998,1.134,1.135,3127804000.0
2021-10-30 20:00:00,1.135,1.18,1.13,1.1485,2358611000.0
2021-10-30 21:00:00,1.1484,1.2182,1.125,1.1685,3674780000.0
2021-10-30 22:00:00,1.1685,1.1943,1.14,1.1427,1945735000.0
2021-10-30 23:00:00,1.1411,1.1442,1.116,1.133,2327029000.0
2021-10-31 00:00:00,1.1308,1.1353,1.0389,1.0743,3516243000.0
2021-10-31 01:00:00,1.0743,1.0743,1.0269,1.0458,1658108000.0
2021-10-31 02:00:00,1.0222,1.0482,1.0075,1.029,1665297000.0
2021-10-31 03:00:00,1.0291,1.039,1.0037,1.0228,1396362000.0
2021-10-31 04:00:00,1.0214,1.0385,1.013,1.0167,718191000.0
2021-10-31 05:00:00,1.0167,1.0188,0.98,0.9804,1226985000.0
2021-10-31 06:00:00,0.9805,1.0399,0.9752,1.0263,2322101000.0
2021-10-31 07:00:00,1.0255,1.03,0.986,0.9879,1182864000.0
2021-10-31 08:00:00,0.988,1.012,0.9743,0.9979,1660869000.0
2021-10-31 09:00:00,0.9979,1.045,0.981,1.0088,2155802000.0
2021-10-31 10:00:00,1.0087,1.15,1.0007,1.1041,6083971000.0
2021-10-31 11:00:00,1.1039,1.13,1.04,1.0433,2995953000.0
2021-10-31 12:00:00,1.0435,1.0598,1.0076,1.0099,1345625000.0
2021-10-31 13:00:00,1.0097,1.0352,0.9997,1.0014,914961000.0
2021-10-31 14:00:00,1.0012,1.0199,0.9674,0.9783,1559848000.0
2021-10-31 15:00:00,0.977,1.003,0.9603,0.9856,1306585000.0
2021-10-31 16:00:00,0.9854,0.9873,0.9603,0.9715,822831000.0
2021-10-31 17:00:00,0.9715,1.0233,0.9675,0.9976,1304619000.0
2021-10-31 18:00:00,0.9978,1.0015,0.9629,0.9646,856390000.0
2021-10-31 19:00:00,0.9684,0.9872,0.939,0.9511,1222727000.0
2021-10-31 20:00:00,0.9496,0.9524,0.9166,0.9218,1302030000.0
2021-10-31 21:00:00,0.9218,0.94,0.9092,0.9299,1458397000.0
2021-10-31 22:00:00,0.9299,0.9565,0.9211,0.9229,848375000.0
2021-10-31 23:00:00,0.925,0.9458,0.9154,0.917,511560000.0
2021-11-01 00:00:00,0.9167,0.9266,0.911,0.9142,455637000.0
2021-11-01 01:00:00,0.9142,0.928,0.9098,0.9182,480268000.0
2021-11-01 02:00:00,0.9182,0.9187,0.8872,0.8932,537837000.0
2021-11-01 03:00:00,0.893,0.8988,0.8753,0.8823,459018000.0
2021-11-01 04:00:00,0.8817,0.8885,0.8616,0.8665,359149000.0
2021-11-01 05:00:00,0.8616,0.9111,0.857,0.8826,467351000.0
2021-11-01 06:00:00,0.8837,0.9006,0.8802,0.8829,486386000.0
2021-11-01 07:00:00,0.8828,0.8875,0.865,0.865,588772000.0
2021-11-01 08:00:00,0.8648,0.884,0.8624,0.8746,448959000.0
2021-11-01 09:00:00,0.8736,0.95,0.8,0.8951,1410660000.0
2021-11-01 10:00:00,0.896,0.9236,0.89,0.9025,1352180000.0
2021-11-01 11:00:00,0.9045,0.9333,0.893,0.9331,821573000.0
2021-11-01 12:00:00,0.9332,0.936,0.8968,0.899,864087000.0
2021-11-01 13:00:00,0.8996,0.9105,0.8799,0.9007,712139000.0
2021-11-01 14:00:00,0.9006,0.9099,0.8881,0.8931,517162000.0
2021-11-01 15:00:00,0.8931,0.9144,0.8918,0.9093,1003553000.0
2021-11-01 16:00:00,0.909,0.913,0.8845,0.8974,662201000.0
2021-11-01 17:00:00,0.8974,0.9,0.88,0.89,357030000.0
2021-11-01 18:00:00,0.889,0.8904,0.8626,0.8685,604058000.0
2021-11-01 19:00:00,0.8685,0.875,0.8621,0.8738,337696000.0
2021-11-01 20:00:00,0.8712,0.895,0.8697,0.8863,405073000.0
2021-11-01 21:00:00,0.8863,0.8875,0.8659,0.8697,318492000.0
2021-11-01 22:00:00,0.8696,0.8704,0.8601,0.8678,363309000.0
2021-11-01 23:00:00,0.8678,0.878,0.8678,0.8699,255321000.0
2021-11-02 00:00:00,0.8699,0.8838,0.8658,0.8688,184771000.0
2021-11-02 01:00:00,0.8684,0.8728,0.8574,0.8581,522802000.0
2021-11-02 02:00:00,0.8581,0.8738,0.8562,0.8678,312816000.0
2021-11-02 03:00:00,0.8679,0.9,0.8666,0.8959,567278000.0
2021-11-02 04:00:00,0.8956,0.8967,0.8744,0.8808,327471000.0
2021-11-02 05:00:00,0.8807,0.9069,0.8787,0.8956,473818000.0
2021-11-02 06:00:00,0.8972,0.9,0.8772,0.8772,372942000.0
2021-11-02 07:00:00,0.8792,0.8831,0.868,0.8803,349930000.0
2021-11-02 08:00:00,0.881,0.8833,0.8674,0.8687,241689000.0
2021-11-02 09:00:00,0.8687,0.8722,0.85,0.8565,693749000.0
2021-11-02 10:00:00,0.8573,0.8766,0.8567,0.8717,490913000.0
