,Open,High,Low,Close,Volume
2021-10-05 09:00:00,2.951,4.19,2.951,3.786,6473465200.0
2021-10-05 10:00:00,3.789,3.929,3.701,3.784,1326452600.0
2021-10-05 11:00:00,3.787,4.0,3.7,3.739,1161409300.0
2021-10-05 12:00:00,3.739,3.759,3.577,3.653,787228100.0
2021-10-05 13:00:00,3.652,3.75,3.602,3.651,593306200.0
2021-10-05 14:00:00,3.653,3.658,3.45,3.495,968034000.0
2021-10-05 15:00:00,3.496,3.709,3.476,3.577,961537000.0
2021-10-05 16:00:00,3.576,3.89,3.57,3.776,2079010800.0
2021-10-05 17:00:00,3.776,3.974,3.585,3.604,1543858200.0
2021-10-05 18:00:00,3.603,5.437,3.603,4.421,9253316100.0
2021-10-05 19:00:00,4.42,4.98,4.233,4.804,5689939100.0
2021-10-05 20:00:00,4.802,4.881,4.441,4.45,2035562000.0
2021-10-05 21:00:00,4.45,4.79,4.421,4.592,1727202300.0
2021-10-05 22:00:00,4.597,4.847,4.457,4.505,1661957000.0
2021-10-05 23:00:00,4.504,4.79,4.457,4.583,932785300.0
2021-10-06 00:00:00,4.582,5.278,4.541,4.861,3689209100.0
2021-10-06 01:00:00,4.861,4.958,4.62,4.73,1163132600.0
2021-10-06 02:00:00,4.732,4.737,4.367,4.431,1095704300.0
2021-10-06 03:00:00,4.44,4.633,4.35,4.542,988948900.0
2021-10-06 04:00:00,4.542,4.817,4.487,4.802,942662300.0
2021-10-06 05:00:00,4.801,4.804,4.51,4.514,834695600.0
2021-10-06 06:00:00,4.516,4.654,4.4,4.507,818459900.0
2021-10-06 07:00:00,4.507,4.651,4.482,4.51,571800600.0
2021-10-06 08:00:00,4.51,4.755,4.382,4.45,1209089600.0
2021-10-06 09:00:00,4.451,4.519,4.368,4.393,1001884800.0
2021-10-06 10:00:00,4.394,4.47,4.005,4.108,2244647500.0
2021-10-06 11:00:00,4.112,4.3,4.015,4.243,1032654600.0
2021-10-06 12:00:00,4.244,4.4,4.131,4.207,798629900.0
2021-10-06 13:00:00,4.206,4.331,4.121,4.127,438779100.0
2021-10-06 14:00:00,4.128,4.535,4.111,4.419,1817712600.0
2021-10-06 15:00:00,4.419,4.448,4.254,4.292,668592200.0
2021-10-06 16:00:00,4.297,4.5,4.212,4.391,627402200.0
2021-10-06 17:00:00,4.39,4.867,4.291,4.666,1573547900.0
2021-10-06 18:00:00,4.67,5.19,4.53,4.634,3300335000.0
2021-10-06 19:00:00,4.635,4.737,4.452,4.487,615057200.0
2021-10-06 20:00:00,4.487,4.558,4.36,4.392,650193600.0
2021-10-06 21:00:00,4.397,4.483,4.35,4.368,214601500.0
2021-10-06 22:00:00,4.37,4.401,4.262,4.298,217424600.0
2021-10-06 23:00:00,4.296,4.376,4.251,4.279,131229799.99999999
2021-10-07 00:00:00,4.277,4.43,4.25,4.403,284919100.0
2021-10-07 01:00:00,4.402,4.527,4.308,4.37,334065200.0
2021-10-07 02:00:00,4.372,4.372,4.203,4.213,475705100.0
2021-10-07 03:00:00,4.213,4.216,3.885,4.105,1337942100.0
2021-10-07 04:00:00,4.103,4.194,4.072,4.102,318445900.0
2021-10-07 05:00:00,4.1,4.139,3.933,4.06,591422900.0
2021-10-07 06:00:00,4.06,4.153,4.049,4.057,313240300.0
2021-10-07 07:00:00,4.057,4.06,3.951,4.052,502840000.0
2021-10-07 08:00:00,4.057,4.264,4.041,4.108,539469100.0
2021-10-07 09:00:00,4.105,4.399,4.051,4.225,584067800.0
2021-10-07 10:00:00,4.22,4.378,4.175,4.216,542306200.0
2021-10-07 11:00:00,4.211,4.22,4.017,4.117,647615800.0
2021-10-07 12:00:00,4.117,4.149,4.03,4.079,307850600.0
2021-10-07 13:00:00,4.077,4.178,4.057,4.137,269796000.0
2021-10-07 14:00:00,4.136,4.173,4.04,4.061,261776500.0
