,Open,High,Low,Close,Volume
2020-02-19 10:00:00,0.1211,0.24,0.1211,0.1315,392721600.0
2020-02-19 11:00:00,0.1315,0.136,0.1312,0.1359,134926300.0
2020-02-19 12:00:00,0.134,0.1426,0.1333,0.136,71990990.0
2020-02-19 18:00:00,0.1353,0.1424,0.1323,0.135,196210320.0
2020-02-19 19:00:00,0.135,0.1359,0.1302,0.1332,63512630.0
2020-02-19 20:00:00,0.1332,0.138,0.1308,0.132,133026239.99999999
2020-02-19 21:00:00,0.132,0.1332,0.1263,0.1287,256153370.0
2020-02-19 22:00:00,0.1286,0.1355,0.111,0.1132,318402820.0
2020-02-19 23:00:00,0.1139,0.1285,0.1128,0.117,99438730.0
2020-02-20 00:00:00,0.117,0.1185,0.1155,0.1166,56539650.0
2020-02-20 01:00:00,0.1165,0.1208,0.115,0.1191,69584260.0
2020-02-20 02:00:00,0.1191,0.1209,0.1181,0.1185,69006600.0
2020-02-20 03:00:00,0.1186,0.1187,0.1139,0.1182,128406900.0
2020-02-20 04:00:00,0.1184,0.1184,0.1159,0.1173,75803360.0
2020-02-20 05:00:00,0.1178,0.1181,0.1152,0.116,76147950.0
2020-02-20 06:00:00,0.1169,0.1197,0.1137,0.1154,137604440.0
2020-02-20 07:00:00,0.1157,0.1176,0.1146,0.1172,107724100.0
2020-02-20 08:00:00,0.1176,0.12,0.1171,0.1184,108615950.0
2020-02-20 09:00:00,0.1189,0.1193,0.1166,0.1176,220033020.0
2020-02-20 10:00:00,0.1166,0.1215,0.1155,0.1176,122668600.0
2020-02-20 11:00:00,0.118,0.1231,0.1171,0.1207,47760280.0
2020-02-20 12:00:00,0.1202,0.121,0.1187,0.1189,26890280.0
2020-02-20 13:00:00,0.1218,0.1228,0.1191,0.1191,124691900.0
2020-02-20 14:00:00,0.1192,0.121,0.1171,0.1209,81428330.0
2020-02-20 15:00:00,0.1213,0.1226,0.1195,0.1205,38127420.0
2020-02-20 16:00:00,0.1212,0.1223,0.1198,0.1218,44100530.0
2020-02-20 17:00:00,0.121,0.1213,0.1145,0.1196,152228530.0
2020-02-20 18:00:00,0.1196,0.1218,0.1157,0.1193,87157750.0
2020-02-20 19:00:00,0.119,0.1203,0.1153,0.119,183133940.0
2020-02-20 20:00:00,0.1182,0.12,0.1173,0.1192,29947410.0
2020-02-20 21:00:00,0.1192,0.1194,0.1175,0.1182,16065400.0
2020-02-20 22:00:00,0.1182,0.1252,0.1182,0.1213,76151490.0
2020-02-20 23:00:00,0.1226,0.1284,0.1214,0.1235,50883780.0
2020-02-21 00:00:00,0.1232,0.1327,0.1229,0.125,1057493970.0
2020-02-21 01:00:00,0.1238,0.1254,0.1227,0.1251,69614810.0
2020-02-21 02:00:00,0.125,0.138,0.125,0.1355,225918210.0
2020-02-21 03:00:00,0.1356,0.1361,0.132,0.1337,81852190.0
2020-02-21 04:00:00,0.1337,0.1364,0.132,0.1338,190584950.0
2020-02-21 05:00:00,0.1345,0.1348,0.1307,0.1323,154276790.0
2020-02-21 06:00:00,0.1332,0.1366,0.1308,0.1342,126509660.0
2020-02-21 07:00:00,0.1342,0.1404,0.1338,0.1363,261064130.0
2020-02-21 08:00:00,0.1353,0.1365,0.1323,0.1356,212707310.0
2020-02-21 09:00:00,0.1353,0.137,0.1313,0.1337,320119960.0
2020-02-21 10:00:00,0.1332,0.1374,0.132,0.1374,258855730.0
2020-02-21 11:00:00,0.1374,0.1387,0.1327,0.1345,399030940.0
2020-02-21 12:00:00,0.1346,0.138,0.1343,0.1363,103319970.0
2020-02-21 13:00:00,0.1349,0.1377,0.1343,0.1346,142875360.0
2020-02-21 14:00:00,0.1353,0.1355,0.132,0.1335,321421020.0
2020-02-21 15:00:00,0.133,0.1332,0.1284,0.1303,213896020.0
2020-02-21 16:00:00,0.1297,0.134,0.1272,0.1316,226891720.0
2020-02-21 17:00:00,0.1311,0.132,0.1303,0.1311,115565850.0
2020-02-21 18:00:00,0.132,0.132,0.1303,0.1303,58957460.0
2020-02-21 19:00:00,0.1313,0.1344,0.1305,0.1321,53551090.0
2020-02-21 20:00:00,0.132,0.1325,0.1271,0.1271,93541710.0
2020-02-21 21:00:00,0.1275,0.1302,0.125,0.1301,170118480.0
2020-02-21 22:00:00,0.1298,0.1322,0.1298,0.1298,19050570.0
2020-02-21 23:00:00,0.1295,0.1308,0.1277,0.1286,22633580.0
2020-02-22 00:00:00,0.1286,0.1308,0.1286,0.1298,19142080.0
2020-02-22 01:00:00,0.13,0.133,0.1298,0.133,47508550.0
2020-02-22 02:00:00,0.1328,0.1349,0.1326,0.133,74250920.0
2020-02-22 03:00:00,0.133,0.1346,0.1278,0.1299,98916650.0
2020-02-22 04:00:00,0.1297,0.1312,0.1291,0.1308,28749220.0
2020-02-22 05:00:00,0.1307,0.1323,0.1302,0.1307,4037740.0
2020-02-22 06:00:00,0.1302,0.1311,0.1284,0.13,19766360.0
2020-02-22 07:00:00,0.1284,0.1299,0.1251,0.1274,76426960.0
2020-02-22 08:00:00,0.127,0.1277,0.1252,0.1274,59933860.0
2020-02-22 09:00:00,0.1269,0.1285,0.1241,0.128,127572390.0
2020-02-22 10:00:00,0.1274,0.1294,0.1265,0.1279,33156739.999999996
2020-02-22 11:00:00,0.1288,0.1297,0.1285,0.1297,15547830.0
2020-02-22 12:00:00,0.1297,0.1297,0.1286,0.1296,20393330.0
2020-02-22 13:00:00,0.1292,0.1335,0.1292,0.1321,124879260.0
2020-02-22 14:00:00,0.1327,0.1411,0.1297,0.1367,284931920.0
2020-02-22 15:00:00,0.1372,0.1388,0.1335,0.1335,67075220.0
2020-02-22 16:00:00,0.134,0.1356,0.131,0.1344,136451240.0
2020-02-22 17:00:00,0.1343,0.1391,0.1334,0.1374,179227050.0
2020-02-22 18:00:00,0.1374,0.1416,0.1359,0.1398,311610180.0
2020-02-22 19:00:00,0.1398,0.1485,0.1381,0.1418,409179750.0
2020-02-22 20:00:00,0.1418,0.1468,0.141,0.1454,567412480.0
2020-02-22 21:00:00,0.1454,0.1499,0.14,0.1439,999434190.0
2020-02-22 22:00:00,0.1438,0.147,0.1422,0.1433,219659370.0
2020-02-22 23:00:00,0.1435,0.145,0.1432,0.1446,109947880.0
2020-02-23 00:00:00,0.1446,0.145,0.1397,0.1424,483358400.0
2020-02-23 01:00:00,0.1424,0.149,0.1422,0.1462,209449310.0
2020-02-23 02:00:00,0.1454,0.153,0.1442,0.1485,584954610.0
2020-02-23 03:00:00,0.1485,0.159,0.1476,0.1578,950845720.0
2020-02-23 04:00:00,0.1577,0.1618,0.1537,0.1579,811511290.0
2020-02-23 05:00:00,0.1581,0.1635,0.1566,0.1599,584979140.0
2020-02-23 06:00:00,0.1599,0.1606,0.1512,0.1531,505990100.0
2020-02-23 07:00:00,0.1531,0.159,0.1529,0.1582,629909050.0
2020-02-23 08:00:00,0.1572,0.1578,0.1534,0.1567,207618110.0
2020-02-23 09:00:00,0.1568,0.1641,0.1568,0.1595,832864820.0
2020-02-23 10:00:00,0.1596,0.162,0.1538,0.1543,510450340.0
2020-02-23 11:00:00,0.1543,0.1554,0.1496,0.1496,705075950.0
2020-02-23 12:00:00,0.1496,0.1537,0.1481,0.1482,377745110.0
2020-02-23 13:00:00,0.1482,0.1533,0.1481,0.1529,308238750.0
2020-02-23 14:00:00,0.1525,0.159,0.1503,0.1586,723848090.0
2020-02-23 15:00:00,0.1577,0.1679,0.1549,0.1645,829947570.0
2020-02-23 16:00:00,0.1647,0.1707,0.1578,0.159,1233718000.0
2020-02-23 17:00:00,0.1594,0.1644,0.1592,0.1635,223325300.0
2020-02-23 18:00:00,0.1634,0.1677,0.1607,0.1666,593274480.0
2020-02-23 19:00:00,0.167,0.1704,0.1608,0.1676,799348450.0
2020-02-23 20:00:00,0.1672,0.1717,0.1626,0.1632,774913260.0
2020-02-23 21:00:00,0.1632,0.1665,0.1568,0.1613,749602260.0
2020-02-23 22:00:00,0.1614,0.1635,0.16,0.1626,228989320.0
2020-02-23 23:00:00,0.1623,0.1667,0.16,0.1641,247577770.0
2020-02-24 00:00:00,0.1649,0.1649,0.1613,0.1621,272641710.0
2020-02-24 01:00:00,0.1621,0.1656,0.162,0.1637,184254300.0
2020-02-24 02:00:00,0.1642,0.1649,0.16,0.1615,284124050.0
2020-02-24 03:00:00,0.1621,0.1621,0.149,0.1516,797742000.0
2020-02-24 04:00:00,0.1511,0.1514,0.1453,0.1476,940945260.0
2020-02-24 05:00:00,0.1476,0.1476,0.1437,0.146,371175610.0
2020-02-24 06:00:00,0.1462,0.149,0.145,0.1489,167336070.0
2020-02-24 07:00:00,0.1477,0.1489,0.143,0.1444,280764250.0
2020-02-24 08:00:00,0.1443,0.1443,0.138,0.1441,771676830.0
2020-02-24 09:00:00,0.1444,0.1456,0.1431,0.1455,104395350.0
2020-02-24 10:00:00,0.1453,0.1454,0.1419,0.1431,151111320.0
2020-02-24 11:00:00,0.1429,0.1451,0.1428,0.1447,211668550.0
2020-02-24 12:00:00,0.1437,0.1463,0.1433,0.1463,79266820.0
2020-02-24 13:00:00,0.1459,0.1468,0.1423,0.1445,240452860.0
2020-02-24 14:00:00,0.1445,0.1446,0.1407,0.1413,298322280.0
2020-02-24 15:00:00,0.1407,0.1434,0.1404,0.1423,336922450.0
2020-02-24 16:00:00,0.1424,0.1424,0.1398,0.1407,169079760.0
2020-02-24 17:00:00,0.1405,0.1439,0.1381,0.139,215915770.0
2020-02-24 18:00:00,0.139,0.1393,0.1337,0.1358,338795180.0
2020-02-24 19:00:00,0.1353,0.1368,0.1299,0.1358,715464190.0
2020-02-24 20:00:00,0.1357,0.1407,0.1356,0.1362,579029130.0
2020-02-24 21:00:00,0.1367,0.146,0.1346,0.143,464811530.0
2020-02-24 22:00:00,0.143,0.1458,0.1392,0.144,242720840.0
2020-02-24 23:00:00,0.1452,0.1485,0.1446,0.1468,248952080.0
2020-02-25 00:00:00,0.1456,0.1486,0.143,0.1442,287016170.0
2020-02-25 01:00:00,0.1446,0.1451,0.1418,0.1418,37426110.0
2020-02-25 02:00:00,0.1419,0.1433,0.1392,0.14,96597280.0
2020-02-25 03:00:00,0.139,0.1436,0.1384,0.1416,65721970.0
2020-02-25 04:00:00,0.1418,0.1442,0.1418,0.1439,87335640.0
2020-02-25 05:00:00,0.1439,0.1454,0.1425,0.1425,46642870.0
2020-02-25 06:00:00,0.1428,0.1428,0.1382,0.1391,185878070.0
2020-02-25 07:00:00,0.1391,0.1397,0.1341,0.1353,300700250.0
2020-02-25 08:00:00,0.1353,0.1353,0.1315,0.1322,347478490.0
2020-02-25 09:00:00,0.1319,0.1352,0.1317,0.1325,170627740.0
2020-02-25 10:00:00,0.1326,0.1381,0.1326,0.1355,95996140.0
2020-02-25 11:00:00,0.1353,0.1353,0.1328,0.134,34037030.0
2020-02-25 12:00:00,0.1326,0.1376,0.1311,0.1349,67007050.0
2020-02-25 13:00:00,0.1349,0.1385,0.1344,0.1354,204625890.0
2020-02-25 14:00:00,0.1354,0.1363,0.1324,0.1345,156374370.0
2020-02-25 15:00:00,0.1342,0.1342,0.1262,0.1282,285067300.0
2020-02-25 16:00:00,0.1277,0.1291,0.1227,0.1244,622581010.0
2020-02-25 17:00:00,0.1243,0.1253,0.122,0.1224,273001620.0
2020-02-25 18:00:00,0.1224,0.1287,0.1224,0.1251,354323690.0
2020-02-25 19:00:00,0.1252,0.1273,0.1244,0.1267,217362290.0
2020-02-25 20:00:00,0.1273,0.129,0.1255,0.1279,110925950.0
2020-02-25 21:00:00,0.1279,0.1291,0.1265,0.1282,70207070.0
2020-02-25 22:00:00,0.1282,0.129,0.1258,0.1279,241005190.0
2020-02-25 23:00:00,0.1282,0.129,0.1273,0.1273,14284870.0
2020-02-26 00:00:00,0.1275,0.1282,0.1255,0.1256,136658130.0
2020-02-26 01:00:00,0.1255,0.128,0.1243,0.127,102954480.0
2020-02-26 02:00:00,0.127,0.1398,0.1266,0.1325,1790571970.0
2020-02-26 03:00:00,0.1325,0.1338,0.1248,0.1319,383014820.0
2020-02-26 04:00:00,0.1319,0.1319,0.1283,0.1294,262418680.0
2020-02-26 05:00:00,0.1294,0.1322,0.128,0.1293,400070740.0
2020-02-26 06:00:00,0.1295,0.137,0.1286,0.136,334732020.0
2020-02-26 07:00:00,0.136,0.1446,0.136,0.1422,940796340.0
2020-02-26 08:00:00,0.1423,0.1433,0.1387,0.1394,364538060.0
2020-02-26 09:00:00,0.1394,0.144,0.1387,0.142,880854810.0
2020-02-26 10:00:00,0.142,0.1576,0.14,0.1538,3024607250.0
2020-02-26 11:00:00,0.154,0.1647,0.1525,0.1564,2940332870.0
2020-02-26 12:00:00,0.1565,0.1663,0.156,0.1596,1235816340.0
2020-02-26 13:00:00,0.1595,0.1901,0.1539,0.1781,5578155380.0
2020-02-26 14:00:00,0.1788,0.1822,0.1617,0.1617,3123228020.0
2020-02-26 15:00:00,0.1617,0.1657,0.1543,0.16,2440419750.0
2020-02-26 16:00:00,0.16,0.1645,0.15,0.1549,1659024690.0
2020-02-26 17:00:00,0.155,0.1567,0.1342,0.1429,2652105940.0
2020-02-26 18:00:00,0.1429,0.1488,0.139,0.14,1049222290.0
2020-02-26 19:00:00,0.1403,0.1496,0.1375,0.1488,1264300520.0
2020-02-26 20:00:00,0.1485,0.1607,0.1468,0.155,1128423750.0
2020-02-26 21:00:00,0.1551,0.17,0.154,0.1548,2305391700.0
2020-02-26 22:00:00,0.1544,0.1615,0.1417,0.147,2257056790.0
2020-02-26 23:00:00,0.147,0.161,0.1459,0.161,844102190.0
2020-02-27 00:00:00,0.161,0.1733,0.1585,0.1604,1958591420.0
2020-02-27 01:00:00,0.1604,0.1647,0.1523,0.1629,1059756980.0
2020-02-27 02:00:00,0.1629,0.167,0.1527,0.1663,1452495410.0
2020-02-27 03:00:00,0.166,0.175,0.1617,0.1721,1301250240.0
2020-02-27 04:00:00,0.1721,0.1794,0.1664,0.1784,1215007200.0
2020-02-27 05:00:00,0.177,0.18,0.167,0.1676,934485540.0
2020-02-27 06:00:00,0.1676,0.1725,0.1626,0.165,899373100.0
2020-02-27 07:00:00,0.165,0.1709,0.1622,0.1659,767480890.0
2020-02-27 08:00:00,0.1658,0.1748,0.1624,0.1667,1485572220.0
2020-02-27 09:00:00,0.1667,0.1692,0.1635,0.165,824346730.0
2020-02-27 10:00:00,0.165,0.1655,0.1547,0.1578,1114646600.0
2020-02-27 11:00:00,0.1567,0.1599,0.1551,0.1592,271729430.0
2020-02-27 12:00:00,0.1592,0.1592,0.1511,0.1545,868979840.0
2020-02-27 13:00:00,0.1547,0.1561,0.149,0.1499,761854610.0
2020-02-27 14:00:00,0.1509,0.158,0.1502,0.1567,311909770.0
2020-02-27 15:00:00,0.1567,0.1634,0.1554,0.163,348038870.0
2020-02-27 16:00:00,0.1628,0.163,0.1574,0.1584,441683700.0
2020-02-27 17:00:00,0.1594,0.165,0.1557,0.1643,462930390.0
2020-02-27 18:00:00,0.1636,0.1641,0.1555,0.1629,477256920.0
2020-02-27 19:00:00,0.1617,0.164,0.1606,0.1612,231347880.0
2020-02-27 20:00:00,0.162,0.1688,0.1617,0.167,470318690.0
2020-02-27 21:00:00,0.1682,0.1743,0.1645,0.1706,391552100.0
2020-02-27 22:00:00,0.1706,0.171,0.1562,0.1628,860995500.0
2020-02-27 23:00:00,0.1628,0.1628,0.1554,0.16,342132470.0
2020-02-28 00:00:00,0.1616,0.1631,0.1594,0.161,89836520.0
2020-02-28 01:00:00,0.1615,0.1681,0.1542,0.1544,524931290.00000006
2020-02-28 02:00:00,0.1544,0.1623,0.1534,0.16,296861880.0
2020-02-28 03:00:00,0.1593,0.1615,0.1568,0.1589,271741870.0
2020-02-28 04:00:00,0.1596,0.16,0.1563,0.1578,118091290.0
2020-02-28 05:00:00,0.157,0.1594,0.156,0.1578,123271530.0
2020-02-28 06:00:00,0.157,0.1588,0.1551,0.1565,120851020.0
2020-02-28 07:00:00,0.1562,0.1591,0.1515,0.1527,201730720.0
2020-02-28 08:00:00,0.1525,0.1574,0.1495,0.1518,385531150.0
2020-02-28 09:00:00,0.1518,0.156,0.1518,0.1549,232494990.0
2020-02-28 10:00:00,0.155,0.1607,0.1521,0.1541,197265640.0
2020-02-28 11:00:00,0.1536,0.1577,0.1492,0.154,570065460.0
2020-02-28 12:00:00,0.154,0.1547,0.151,0.1526,96836420.0
2020-02-28 13:00:00,0.1525,0.1567,0.1411,0.1444,843132580.0
2020-02-28 14:00:00,0.1442,0.1529,0.1436,0.1453,566713360.0
2020-02-28 15:00:00,0.1462,0.1474,0.14,0.1432,374147220.0
2020-02-28 16:00:00,0.1438,0.1476,0.1423,0.1451,301403280.0
2020-02-28 17:00:00,0.146,0.1541,0.146,0.1496,687365480.0
2020-02-28 18:00:00,0.1499,0.1524,0.145,0.146,239528770.0
2020-02-28 19:00:00,0.147,0.152,0.1453,0.1471,59874760.0
2020-02-28 20:00:00,0.1471,0.1484,0.1459,0.1474,126548380.0
2020-02-28 21:00:00,0.1477,0.1519,0.1468,0.1503,152135470.0
2020-02-28 22:00:00,0.1501,0.1516,0.148,0.1516,116054420.0
2020-02-28 23:00:00,0.151,0.1526,0.149,0.1514,113139370.0
2020-02-29 00:00:00,0.1515,0.1525,0.1477,0.1492,170002390.0
2020-02-29 01:00:00,0.1481,0.1504,0.1471,0.1478,125950330.0
2020-02-29 02:00:00,0.1486,0.1488,0.1451,0.1465,106069880.0
2020-02-29 03:00:00,0.1455,0.148,0.1452,0.1476,40462810.0
2020-02-29 04:00:00,0.1476,0.148,0.1449,0.1449,38743050.0
2020-02-29 05:00:00,0.1459,0.148,0.1444,0.1472,157839920.0
2020-02-29 06:00:00,0.1474,0.1494,0.1468,0.1485,97198840.0
2020-02-29 07:00:00,0.1482,0.1497,0.1458,0.1468,63383010.0
2020-02-29 08:00:00,0.1461,0.1513,0.1455,0.1473,173316030.0
2020-02-29 09:00:00,0.1466,0.1485,0.1462,0.1472,164330550.0
2020-02-29 10:00:00,0.1468,0.1475,0.1455,0.146,175855280.0
2020-02-29 11:00:00,0.146,0.1466,0.142,0.1428,291086730.0
2020-02-29 12:00:00,0.1428,0.1482,0.1418,0.1479,305188690.0
2020-02-29 13:00:00,0.1479,0.1479,0.1435,0.1441,244530790.0
2020-02-29 14:00:00,0.1441,0.1445,0.1401,0.1421,423627010.0
2020-02-29 15:00:00,0.1414,0.142,0.1385,0.14,265973320.0
2020-02-29 16:00:00,0.1406,0.1415,0.1396,0.1402,252427770.0
2020-02-29 17:00:00,0.1405,0.1411,0.1382,0.1386,235103630.0
2020-02-29 18:00:00,0.1382,0.1392,0.1376,0.1386,122542380.0
2020-02-29 19:00:00,0.1389,0.1413,0.1379,0.1398,157526540.0
2020-02-29 20:00:00,0.1394,0.1497,0.1386,0.1482,734794980.0
2020-02-29 21:00:00,0.1474,0.153,0.145,0.1524,808465820.0
2020-02-29 22:00:00,0.1515,0.1518,0.1469,0.1489,299604830.0
2020-02-29 23:00:00,0.1489,0.1489,0.1452,0.1464,180929940.0
2020-03-01 00:00:00,0.1464,0.149,0.144,0.144,212834490.0
2020-03-01 01:00:00,0.1439,0.1446,0.1398,0.1404,293343990.0
2020-03-01 02:00:00,0.1404,0.1446,0.1392,0.1435,230455930.0
