,Open,High,Low,Close,Volume
2021-11-30 07:00:00,382.5,458.0,382.1,393.4,16996412.0
2021-11-30 08:00:00,393.5,397.8,388.4,391.0,2233423.9
2021-11-30 09:00:00,391.0,395.9,384.1,389.5,1563677.8
2021-11-30 10:00:00,389.1,399.9,385.6,391.8,2614682.1
2021-11-30 11:00:00,391.4,391.4,375.2,378.2,2239813.5
2021-11-30 12:00:00,378.1,383.8,372.8,382.2,1753467.9000000001
2021-11-30 13:00:00,382.2,387.0,379.0,383.1,957184.3
2021-11-30 14:00:00,383.1,403.0,379.0,393.1,2482495.5
2021-11-30 15:00:00,393.1,393.6,388.7,391.0,643911.5
2021-11-30 16:00:00,391.0,402.9,389.6,390.5,1383569.5
2021-11-30 17:00:00,389.6,393.4,373.0,387.5,1479591.5999999999
2021-11-30 18:00:00,388.0,393.5,384.0,391.1,340367.8
2021-11-30 19:00:00,390.3,398.8,384.6,397.7,584743.6
2021-11-30 20:00:00,397.7,400.0,390.1,393.9,849648.0
2021-11-30 21:00:00,394.3,395.6,387.9,393.5,362437.5
2021-11-30 22:00:00,392.7,396.5,385.2,389.2,565714.3999999999
2021-11-30 23:00:00,388.9,392.5,388.4,391.6,177063.0
2021-12-01 00:00:00,391.6,391.6,383.1,383.7,356869.0
2021-12-01 01:00:00,383.8,388.7,380.9,385.7,249695.30000000002
2021-12-01 02:00:00,385.7,388.9,384.8,385.8,170109.19999999998
2021-12-01 03:00:00,384.8,386.9,380.3,385.6,262624.7
2021-12-01 04:00:00,385.6,388.9,382.0,388.7,381202.5
2021-12-01 05:00:00,388.4,390.0,385.4,388.3,164303.9
2021-12-01 06:00:00,388.5,388.9,384.1,384.7,542012.1
2021-12-01 07:00:00,384.7,389.2,382.5,389.1,319028.9
2021-12-01 08:00:00,389.1,389.1,383.8,388.9,399341.9
2021-12-01 09:00:00,388.9,389.0,383.0,383.3,264908.8
2021-12-01 10:00:00,383.3,383.4,377.7,379.9,972091.5
2021-12-01 11:00:00,379.8,380.0,374.1,376.2,1303097.0999999999
2021-12-01 12:00:00,376.1,379.3,375.5,375.8,359034.3
2021-12-01 13:00:00,375.8,378.1,373.5,374.5,185841.7
2021-12-01 14:00:00,374.2,374.2,367.4,369.7,448884.9
2021-12-01 15:00:00,369.7,376.8,357.5,374.8,575598.7999999999
2021-12-01 16:00:00,374.9,376.5,369.1,370.6,1056519.7
2021-12-01 17:00:00,370.5,372.7,362.9,363.7,1608146.5
2021-12-01 18:00:00,364.5,364.8,362.1,362.5,475952.4
2021-12-01 19:00:00,363.1,364.1,362.1,363.4,456959.2
2021-12-01 20:00:00,363.4,364.8,360.1,364.8,245762.40000000002
2021-12-01 21:00:00,364.8,364.8,351.0,352.1,336376.7
2021-12-01 22:00:00,351.4,354.7,348.8,350.7,911221.9
2021-12-01 23:00:00,351.4,353.3,349.1,351.5,460378.0
2021-12-02 00:00:00,350.4,356.0,345.0,354.5,769746.6
2021-12-02 01:00:00,353.5,357.2,346.4,349.1,525889.4
2021-12-02 02:00:00,348.8,353.7,347.8,351.4,223793.3
2021-12-02 03:00:00,351.7,352.8,340.9,350.0,593663.0
2021-12-02 04:00:00,349.9,349.9,339.7,342.9,463303.80000000005
2021-12-02 05:00:00,342.2,345.8,340.6,343.7,197355.3
2021-12-02 06:00:00,343.9,346.0,341.3,342.9,318935.9
2021-12-02 07:00:00,342.9,350.0,340.9,347.5,589543.0
2021-12-02 08:00:00,347.6,353.0,347.3,350.5,291003.6
