,Open,High,Low,Close,Volume
2019-06-22 02:00:00,3.4,3.44,2.621,2.709,2138741657.9999998
2019-06-22 03:00:00,2.701,2.796,2.53,2.715,902015539.0
2019-06-22 04:00:00,2.715,2.749,2.601,2.672,512599433.0
2019-06-22 05:00:00,2.675,2.714,2.54,2.554,994259176.0
2019-06-22 06:00:00,2.543,2.562,2.476,2.503,969104836.0
2019-06-22 07:00:00,2.503,2.534,2.434,2.525,491115506.0
2019-06-22 08:00:00,2.525,2.649,2.5,2.565,534067919.0
2019-06-22 09:00:00,2.567,2.595,2.509,2.51,299390878.0
2019-06-22 10:00:00,2.51,2.57,2.482,2.49,402954460.0
2019-06-22 11:00:00,2.491,2.502,2.441,2.445,298446342.0
2019-06-22 12:00:00,2.448,2.505,2.439,2.483,257370888.0
2019-06-22 13:00:00,2.482,2.55,2.452,2.543,246005642.0
2019-06-22 14:00:00,2.542,2.548,2.438,2.463,332494513.0
2019-06-22 15:00:00,2.463,2.465,2.18,2.22,1153635429.0
2019-06-22 16:00:00,2.22,2.267,2.08,2.131,811181385.0
2019-06-22 17:00:00,2.126,2.224,2.1,2.182,569780218.0
2019-06-22 18:00:00,2.191,2.237,1.891,1.902,1177566407.0
2019-06-22 19:00:00,1.902,2.222,1.88,2.204,1551965843.0
2019-06-22 20:00:00,2.204,2.207,2.034,2.094,776981684.0
2019-06-22 21:00:00,2.093,2.173,2.034,2.094,329231811.0
2019-06-22 22:00:00,2.094,2.13,2.042,2.09,202614603.0
2019-06-22 23:00:00,2.092,2.154,2.086,2.149,244559413.0
2019-06-23 00:00:00,2.149,2.275,2.14,2.212,683066573.0
2019-06-23 01:00:00,2.21,2.21,2.115,2.192,338430623.0
2019-06-23 02:00:00,2.19,2.234,2.05,2.082,572940365.0
2019-06-23 03:00:00,2.084,2.097,1.95,1.979,898041709.0
2019-06-23 04:00:00,1.976,2.086,1.97,2.074,311640632.0
2019-06-23 05:00:00,2.074,2.074,2.012,2.015,150586628.0
2019-06-23 06:00:00,2.013,2.045,1.94,1.987,437592277.0
2019-06-23 07:00:00,1.988,2.01,1.963,1.99,218154625.0
2019-06-23 08:00:00,1.982,2.006,1.961,1.974,303054473.0
2019-06-23 09:00:00,1.973,2.089,1.971,2.087,387461086.0
2019-06-23 10:00:00,2.087,2.088,2.015,2.044,480712328.0
2019-06-23 11:00:00,2.044,2.051,1.972,1.981,222127323.0
2019-06-23 12:00:00,1.982,1.995,1.941,1.978,320204151.0
2019-06-23 13:00:00,1.978,2.05,1.967,2.003,229132593.0
2019-06-23 14:00:00,2.004,2.023,1.976,1.989,223419220.0
2019-06-23 15:00:00,1.986,2.039,1.984,2.036,283457950.0
2019-06-23 16:00:00,2.035,2.037,1.98,2.018,209637848.0
2019-06-23 17:00:00,2.014,2.03,1.963,1.974,309295917.0
2019-06-23 18:00:00,1.977,2.034,1.977,2.0,279850662.0
2019-06-23 19:00:00,1.995,2.02,1.99,1.994,127986523.0
2019-06-23 20:00:00,1.995,1.997,1.945,1.945,456588647.0
2019-06-23 21:00:00,1.945,1.973,1.902,1.923,458556326.0
2019-06-23 22:00:00,1.923,1.927,1.88,1.896,327724692.0
2019-06-23 23:00:00,1.9,1.9,1.8,1.834,1502232733.0
2019-06-24 00:00:00,1.834,1.882,1.811,1.833,317889697.0
2019-06-24 01:00:00,1.833,1.983,1.829,1.934,846722655.0
2019-06-24 02:00:00,1.932,2.02,1.904,1.965,604797463.0
2019-06-24 03:00:00,1.969,1.984,1.835,1.859,367628101.0
2019-06-24 04:00:00,1.86,1.899,1.75,1.774,644328008.0
2019-06-24 05:00:00,1.774,1.794,1.712,1.744,534567476.0
2019-06-24 06:00:00,1.743,1.767,1.717,1.736,376653985.0
2019-06-24 07:00:00,1.737,1.775,1.732,1.758,207061887.0
2019-06-24 08:00:00,1.755,1.758,1.638,1.671,611125046.0
2019-06-24 09:00:00,1.672,1.683,1.639,1.662,265859001.0
2019-06-24 10:00:00,1.662,1.719,1.66,1.672,301772219.0
2019-06-24 11:00:00,1.673,1.687,1.644,1.67,348954834.0
2019-06-24 12:00:00,1.671,1.723,1.655,1.698,285835785.0
2019-06-24 13:00:00,1.697,1.725,1.66,1.695,432587653.0
2019-06-24 14:00:00,1.695,1.703,1.658,1.663,252849782.0
2019-06-24 15:00:00,1.666,1.668,1.513,1.55,1173579873.0
2019-06-24 16:00:00,1.551,1.567,1.504,1.552,856194040.0
2019-06-24 17:00:00,1.553,1.584,1.522,1.544,556744162.0
2019-06-24 18:00:00,1.546,1.546,1.422,1.442,1640554553.0
2019-06-24 19:00:00,1.442,1.445,1.33,1.343,1521943105.0
2019-06-24 20:00:00,1.343,1.365,1.301,1.336,1351815975.0
2019-06-24 21:00:00,1.334,1.434,1.331,1.425,1063745014.0
2019-06-24 22:00:00,1.426,1.445,1.377,1.4,665914205.0
2019-06-24 23:00:00,1.401,1.482,1.4,1.453,716770015.0
2019-06-25 00:00:00,1.453,1.469,1.359,1.365,902724441.0
2019-06-25 01:00:00,1.367,1.425,1.359,1.416,509666165.0
2019-06-25 02:00:00,1.417,1.422,1.353,1.363,459182447.0
2019-06-25 03:00:00,1.359,1.499,1.354,1.429,1089572410.0
2019-06-25 04:00:00,1.429,1.445,1.39,1.442,596314976.0
2019-06-25 05:00:00,1.441,1.47,1.39,1.417,1109401329.0
2019-06-25 06:00:00,1.416,1.429,1.37,1.427,712729787.0
2019-06-25 07:00:00,1.427,1.43,1.351,1.381,485227838.0
2019-06-25 08:00:00,1.383,1.4,1.314,1.335,707003679.0
2019-06-25 09:00:00,1.336,1.375,1.321,1.369,342483803.0
2019-06-25 10:00:00,1.369,1.391,1.342,1.349,313808775.0
2019-06-25 11:00:00,1.349,1.426,1.347,1.395,428177007.0
2019-06-25 12:00:00,1.399,1.451,1.394,1.426,551286966.0
2019-06-25 13:00:00,1.424,1.424,1.371,1.379,252166855.0
2019-06-25 14:00:00,1.38,1.527,1.371,1.515,1033762882.0
2019-06-25 15:00:00,1.515,1.716,1.484,1.644,3951599279.0
2019-06-25 16:00:00,1.644,1.788,1.643,1.745,2976969488.0
2019-06-25 17:00:00,1.74,1.745,1.62,1.646,1431554987.0
2019-06-25 18:00:00,1.646,1.74,1.638,1.675,1328094198.0
2019-06-25 19:00:00,1.673,1.728,1.642,1.671,863313529.0
2019-06-25 20:00:00,1.675,1.75,1.671,1.713,836675737.0
2019-06-25 21:00:00,1.712,1.799,1.696,1.789,810422853.0
2019-06-25 22:00:00,1.788,1.92,1.71,1.72,2945068063.0
2019-06-25 23:00:00,1.723,1.735,1.614,1.617,1410146009.0
2019-06-26 00:00:00,1.618,1.69,1.614,1.651,866529417.0
2019-06-26 01:00:00,1.648,1.651,1.489,1.54,1616704705.0
2019-06-26 02:00:00,1.538,1.585,1.508,1.57,834559335.0
2019-06-26 03:00:00,1.576,1.601,1.532,1.557,630034338.0
2019-06-26 04:00:00,1.559,1.685,1.559,1.662,1189940085.0
2019-06-26 05:00:00,1.664,1.678,1.634,1.677,549295440.0
2019-06-26 06:00:00,1.677,1.795,1.669,1.758,1493925891.0
2019-06-26 07:00:00,1.758,1.762,1.66,1.711,956920407.0
2019-06-26 08:00:00,1.711,1.766,1.704,1.711,448618452.0
2019-06-26 09:00:00,1.71,1.849,1.705,1.812,1294425046.0
2019-06-26 10:00:00,1.813,1.875,1.806,1.819,1182482588.0
2019-06-26 11:00:00,1.819,1.819,1.74,1.78,765602948.0
2019-06-26 12:00:00,1.78,1.783,1.677,1.732,765964703.0
2019-06-26 13:00:00,1.732,1.75,1.697,1.738,368846605.0
2019-06-26 14:00:00,1.74,1.759,1.702,1.702,391184093.0
2019-06-26 15:00:00,1.702,1.723,1.646,1.667,632767019.0
2019-06-26 16:00:00,1.668,1.707,1.634,1.672,539384865.0
2019-06-26 17:00:00,1.672,1.69,1.601,1.646,828135301.0
2019-06-26 18:00:00,1.647,1.648,1.527,1.536,1013308635.0
2019-06-26 19:00:00,1.536,1.665,1.511,1.61,1053457289.0000001
2019-06-26 20:00:00,1.608,1.631,1.555,1.59,602152459.0
2019-06-26 21:00:00,1.59,1.599,1.545,1.557,328329481.0
2019-06-26 22:00:00,1.557,1.597,1.5,1.527,598661069.0
2019-06-26 23:00:00,1.532,1.57,1.457,1.57,354516287.0
2019-06-27 00:00:00,1.565,1.57,1.5,1.567,204887564.0
2019-06-27 01:00:00,1.558,1.651,1.555,1.595,422085459.0
2019-06-27 02:00:00,1.595,1.597,1.516,1.557,281189605.0
2019-06-27 03:00:00,1.563,1.57,1.515,1.54,278050052.0
2019-06-27 04:00:00,1.544,1.552,1.526,1.544,223491000.0
2019-06-27 05:00:00,1.544,1.57,1.515,1.539,367032712.0
2019-06-27 06:00:00,1.538,1.548,1.508,1.513,236906080.0
2019-06-27 07:00:00,1.51,1.51,1.475,1.488,299943666.0
2019-06-27 08:00:00,1.489,1.547,1.458,1.486,519211428.0
2019-06-27 09:00:00,1.485,1.542,1.471,1.542,294832681.0
2019-06-27 10:00:00,1.542,1.554,1.482,1.482,392199298.0
2019-06-27 11:00:00,1.489,1.501,1.422,1.46,649080646.0
2019-06-27 12:00:00,1.46,1.47,1.423,1.438,234813294.0
2019-06-27 13:00:00,1.447,1.464,1.44,1.455,147351617.0
2019-06-27 14:00:00,1.456,1.458,1.426,1.426,180231328.0
2019-06-27 15:00:00,1.426,1.467,1.418,1.457,294049096.0
2019-06-27 16:00:00,1.454,1.486,1.447,1.463,249462564.0
2019-06-27 17:00:00,1.464,1.497,1.455,1.497,166028558.0
2019-06-27 18:00:00,1.495,1.498,1.371,1.4,657926318.0
2019-06-27 19:00:00,1.4,1.445,1.377,1.432,458709337.0
2019-06-27 20:00:00,1.435,1.457,1.411,1.428,232287006.0
2019-06-27 21:00:00,1.429,1.481,1.428,1.481,195368766.0
2019-06-27 22:00:00,1.476,1.484,1.4,1.43,203400172.0
2019-06-27 23:00:00,1.43,1.44,1.41,1.428,92714383.0
2019-06-28 00:00:00,1.43,1.446,1.392,1.436,239162120.0
2019-06-28 01:00:00,1.435,1.446,1.411,1.419,123663527.0
2019-06-28 02:00:00,1.421,1.447,1.413,1.441,98779496.0
2019-06-28 03:00:00,1.441,1.441,1.381,1.418,262023226.0
2019-06-28 04:00:00,1.423,1.445,1.412,1.415,272763120.0
2019-06-28 05:00:00,1.415,1.427,1.399,1.421,150259753.0
2019-06-28 06:00:00,1.421,1.426,1.41,1.414,105039771.0
2019-06-28 07:00:00,1.414,1.462,1.41,1.456,303138277.0
2019-06-28 08:00:00,1.456,1.589,1.455,1.521,974811699.0
2019-06-28 09:00:00,1.523,1.523,1.464,1.495,481705105.0
2019-06-28 10:00:00,1.494,1.507,1.475,1.501,188369010.0
2019-06-28 11:00:00,1.5,1.503,1.451,1.465,301944510.0
2019-06-28 12:00:00,1.465,1.484,1.431,1.478,223625412.0
2019-06-28 13:00:00,1.479,1.48,1.448,1.452,203895375.0
2019-06-28 14:00:00,1.452,1.489,1.443,1.465,183940610.0
2019-06-28 15:00:00,1.469,1.518,1.468,1.481,297660239.0
2019-06-28 16:00:00,1.481,1.553,1.464,1.532,421194527.0
2019-06-28 17:00:00,1.534,1.534,1.486,1.504,301792435.0
2019-06-28 18:00:00,1.506,1.524,1.457,1.465,259098825.0
2019-06-28 19:00:00,1.469,1.488,1.451,1.463,139515419.0
2019-06-28 20:00:00,1.46,1.484,1.444,1.448,108317793.0
2019-06-28 21:00:00,1.444,1.464,1.435,1.444,139420909.0
2019-06-28 22:00:00,1.444,1.444,1.417,1.44,98727892.0
2019-06-28 23:00:00,1.441,1.48,1.426,1.48,110906541.0
2019-06-29 00:00:00,1.48,1.493,1.45,1.46,81099368.0
2019-06-29 01:00:00,1.461,1.468,1.425,1.454,137415733.0
2019-06-29 02:00:00,1.449,1.466,1.426,1.435,127407902.0
2019-06-29 03:00:00,1.434,1.441,1.424,1.425,192151547.0
2019-06-29 04:00:00,1.425,1.463,1.411,1.453,630770134.0
2019-06-29 05:00:00,1.453,1.455,1.412,1.418,281666543.0
2019-06-29 06:00:00,1.418,1.428,1.411,1.423,96936006.0
2019-06-29 07:00:00,1.418,1.455,1.413,1.452,136979337.0
2019-06-29 08:00:00,1.45,1.454,1.417,1.421,152623731.0
2019-06-29 09:00:00,1.424,1.44,1.424,1.44,78512763.0
2019-06-29 10:00:00,1.439,1.439,1.423,1.433,46690170.0
2019-06-29 11:00:00,1.433,1.447,1.42,1.438,133566821.99999999
2019-06-29 12:00:00,1.438,1.459,1.432,1.447,170655213.0
2019-06-29 13:00:00,1.447,1.469,1.44,1.463,182096877.0
2019-06-29 14:00:00,1.463,1.464,1.443,1.444,142146483.0
2019-06-29 15:00:00,1.445,1.45,1.43,1.435,156260202.0
2019-06-29 16:00:00,1.435,1.435,1.427,1.431,75204636.0
2019-06-29 17:00:00,1.433,1.485,1.425,1.482,514259749.0
2019-06-29 18:00:00,1.482,1.493,1.441,1.464,355313688.0
2019-06-29 19:00:00,1.463,1.523,1.46,1.468,724204612.0
2019-06-29 20:00:00,1.468,1.517,1.465,1.513,330707180.0
2019-06-29 21:00:00,1.513,1.517,1.481,1.486,258216260.0
2019-06-29 22:00:00,1.485,1.495,1.471,1.477,297608849.0
2019-06-29 23:00:00,1.477,1.493,1.472,1.481,95029140.0
2019-06-30 00:00:00,1.481,1.49,1.471,1.48,74795197.0
2019-06-30 01:00:00,1.48,1.512,1.475,1.51,96235662.0
2019-06-30 02:00:00,1.508,1.525,1.496,1.522,169026478.0
2019-06-30 03:00:00,1.522,1.555,1.514,1.525,495404527.0
2019-06-30 04:00:00,1.527,1.58,1.524,1.562,502977347.0
2019-06-30 05:00:00,1.562,1.569,1.529,1.551,318953987.0
2019-06-30 06:00:00,1.551,1.552,1.489,1.504,385835887.0
2019-06-30 07:00:00,1.502,1.51,1.485,1.493,128320617.0
2019-06-30 08:00:00,1.493,1.524,1.485,1.519,172636228.0
2019-06-30 09:00:00,1.518,1.539,1.491,1.498,275932016.0
2019-06-30 10:00:00,1.498,1.498,1.471,1.497,159287309.0
2019-06-30 11:00:00,1.495,1.5,1.478,1.495,130609402.0
2019-06-30 12:00:00,1.495,1.515,1.489,1.49,138989575.0
2019-06-30 13:00:00,1.494,1.495,1.451,1.452,203252078.0
2019-06-30 14:00:00,1.455,1.481,1.45,1.462,215455550.0
2019-06-30 15:00:00,1.462,1.489,1.424,1.432,296785124.0
2019-06-30 16:00:00,1.432,1.438,1.41,1.435,269008322.0
2019-06-30 17:00:00,1.435,1.444,1.422,1.425,158639245.0
2019-06-30 18:00:00,1.429,1.467,1.41,1.446,247740157.0
2019-06-30 19:00:00,1.449,1.463,1.436,1.463,85389527.0
2019-06-30 20:00:00,1.461,1.464,1.44,1.44,41274867.0
2019-06-30 21:00:00,1.441,1.449,1.436,1.444,39141249.0
2019-06-30 22:00:00,1.446,1.447,1.418,1.421,94927506.0
2019-06-30 23:00:00,1.418,1.441,1.411,1.436,152676278.0
2019-07-01 00:00:00,1.438,1.441,1.389,1.4,275531993.0
2019-07-01 01:00:00,1.399,1.45,1.388,1.449,272581545.0
2019-07-01 02:00:00,1.449,1.468,1.437,1.468,239990804.0
2019-07-01 03:00:00,1.466,1.466,1.406,1.407,242783730.0
2019-07-01 04:00:00,1.407,1.434,1.394,1.426,165224664.0
2019-07-01 05:00:00,1.426,1.44,1.412,1.412,182416082.0
2019-07-01 06:00:00,1.413,1.438,1.413,1.437,39437755.0
2019-07-01 07:00:00,1.434,1.436,1.413,1.413,52151951.0
2019-07-01 08:00:00,1.413,1.415,1.396,1.399,108564899.0
2019-07-01 09:00:00,1.399,1.41,1.39,1.391,84851155.0
2019-07-01 10:00:00,1.392,1.408,1.39,1.391,102449785.0
2019-07-01 11:00:00,1.393,1.398,1.387,1.393,121228978.0
2019-07-01 12:00:00,1.392,1.393,1.381,1.384,80423527.0
2019-07-01 13:00:00,1.384,1.385,1.35,1.368,296795943.0
2019-07-01 14:00:00,1.366,1.378,1.28,1.309,637159488.0
2019-07-01 15:00:00,1.309,1.339,1.291,1.294,264530117.00000003
2019-07-01 16:00:00,1.294,1.35,1.291,1.306,576113129.0
2019-07-01 17:00:00,1.306,1.312,1.25,1.288,406350889.0
2019-07-01 18:00:00,1.289,1.33,1.286,1.289,321429929.0
2019-07-01 19:00:00,1.291,1.31,1.284,1.301,114471817.0
2019-07-01 20:00:00,1.301,1.33,1.296,1.321,188088010.0
2019-07-01 21:00:00,1.319,1.32,1.285,1.309,165717431.0
2019-07-01 22:00:00,1.31,1.33,1.308,1.325,112655134.0
2019-07-01 23:00:00,1.325,1.349,1.315,1.34,134280032.0
2019-07-02 00:00:00,1.338,1.345,1.328,1.336,58356108.0
2019-07-02 01:00:00,1.338,1.356,1.336,1.352,110486924.0
2019-07-02 02:00:00,1.354,1.356,1.311,1.314,153928518.0
2019-07-02 03:00:00,1.314,1.319,1.3,1.306,65294552.0
2019-07-02 04:00:00,1.306,1.32,1.297,1.3,58674105.0
2019-07-02 05:00:00,1.3,1.307,1.278,1.293,113729972.0
2019-07-02 06:00:00,1.293,1.301,1.216,1.23,302058665.0
2019-07-02 07:00:00,1.228,1.232,1.18,1.192,506284257.0
2019-07-02 08:00:00,1.19,1.204,1.18,1.19,186094374.0
2019-07-02 09:00:00,1.189,1.22,1.188,1.198,332556311.0
2019-07-02 10:00:00,1.197,1.24,1.195,1.213,312477834.0
2019-07-02 11:00:00,1.214,1.222,1.182,1.197,223880603.0
