,Open,High,Low,Close,Volume
2021-08-11 10:00:00,0.9611,1.65,0.9611,1.3199,18525838400.0
2021-08-11 11:00:00,1.32,1.4752,1.3067,1.34,7255785900.0
2021-08-11 12:00:00,1.3399,1.3681,1.315,1.3375,2066315200.0
2021-08-11 13:00:00,1.3378,1.34,1.2064,1.2286,2850615200.0
2021-08-11 14:00:00,1.2303,1.274,1.2,1.2236,2095889200.0
2021-08-11 15:00:00,1.223,1.3,1.21,1.2715,1731953000.0
2021-08-11 16:00:00,1.2713,1.2717,1.2223,1.2292,1241246200.0
2021-08-11 17:00:00,1.2292,1.31,1.2238,1.3057,1180815500.0
2021-08-11 18:00:00,1.3076,1.3079,1.2502,1.2927,795819100.0
2021-08-11 19:00:00,1.2927,1.2961,1.23,1.2395,377990800.0
2021-08-11 20:00:00,1.2381,1.307,1.2378,1.2567,1088591400.0
2021-08-11 21:00:00,1.2552,1.2613,1.2311,1.24,454225100.0
2021-08-11 22:00:00,1.241,1.32,1.2355,1.2735,1361261700.0
2021-08-11 23:00:00,1.2759,1.2807,1.238,1.2463,511909600.0
2021-08-12 00:00:00,1.247,1.2748,1.2333,1.2656,408779300.0
2021-08-12 01:00:00,1.2637,1.2956,1.24,1.2508,424491600.0
2021-08-12 02:00:00,1.2508,1.2598,1.203,1.208,466378300.0
2021-08-12 03:00:00,1.2083,1.2413,1.1883,1.2045,528959300.00000006
2021-08-12 04:00:00,1.2045,1.257,1.2003,1.2319,455166100.0
2021-08-12 05:00:00,1.2318,1.2437,1.2,1.2027,485945900.0
2021-08-12 06:00:00,1.204,1.2094,1.1056,1.1266,903327600.0
2021-08-12 07:00:00,1.1329,1.1696,1.0946,1.1243,890978000.0
2021-08-12 08:00:00,1.1227,1.13,1.0505,1.06,1341646800.0
2021-08-12 09:00:00,1.0599,1.25,1.0563,1.1524,2411894600.0
2021-08-12 10:00:00,1.1508,1.1918,1.1283,1.1551,1128655300.0
2021-08-12 11:00:00,1.1544,1.1549,1.1,1.134,539309200.0
2021-08-12 12:00:00,1.134,1.148,1.1139,1.114,334608500.0
2021-08-12 13:00:00,1.1157,1.1233,1.0212,1.0406,1187366300.0
2021-08-12 14:00:00,1.0383,1.069,1.009,1.0594,1953436100.0
2021-08-12 15:00:00,1.0598,1.0811,1.0356,1.0772,964048600.0
2021-08-12 16:00:00,1.0772,1.088,1.057,1.062,539008000.0
2021-08-12 17:00:00,1.0646,1.0906,1.0198,1.062,1464508100.0
