,Open,High,Low,Close,Volume
2020-08-13 04:00:00,4.8,43.0,4.8,8.4771,867891600.0
2020-08-13 05:00:00,8.4112,8.92,7.41,7.9189,587705540.0
2020-08-13 06:00:00,7.8999,8.5799,7.8501,8.3465,359291830.0
2020-08-13 07:00:00,8.343,9.1,7.8502,8.08,404249380.0
2020-08-13 08:00:00,8.0588,8.1685,7.7495,7.9437,175074900.0
2020-08-13 09:00:00,7.9415,7.993,6.0,7.1,239652130.0
2020-08-13 10:00:00,7.1,7.2461,6.65,6.8067,156977290.0
2020-08-13 11:00:00,6.8061,6.9444,6.5001,6.8856,150521840.0
2020-08-13 12:00:00,6.8654,7.3215,6.7702,6.9199,223755350.0
2020-08-13 13:00:00,6.9107,7.1,6.5835,6.609,106680770.0
2020-08-13 14:00:00,6.609,6.9509,6.5026,6.7903,85433050.0
2020-08-13 15:00:00,6.7963,7.1435,6.7,6.9005,125465080.0
2020-08-13 16:00:00,6.8755,6.9423,6.2001,6.6811,218874980.0
2020-08-13 17:00:00,6.716,7.4,6.5235,7.3016,178253380.0
2020-08-13 18:00:00,7.3199,7.5,6.78,7.0254,157400590.0
2020-08-13 19:00:00,6.999,7.0,6.74,6.8225,48577970.0
2020-08-13 20:00:00,6.8225,7.05,6.77,7.0,38844040.0
2020-08-13 21:00:00,7.0194,7.17,6.8121,7.0158,74442690.0
2020-08-13 22:00:00,6.9994,7.0451,6.8153,6.9,43320950.0
2020-08-13 23:00:00,6.9,6.9112,6.4088,6.7,78793250.0
2020-08-14 00:00:00,6.7,6.7458,6.47,6.7118,51522680.0
2020-08-14 01:00:00,6.7117,6.789,6.4686,6.6554,28591140.0
2020-08-14 02:00:00,6.6755,6.7419,6.56,6.6285,25121030.0
2020-08-14 03:00:00,6.6283,7.1,6.5374,6.9785,48232630.0
2020-08-14 04:00:00,6.9785,7.1866,6.7322,6.9577,68589820.0
2020-08-14 05:00:00,6.9586,7.0601,6.7526,6.7782,26323860.0
2020-08-14 06:00:00,6.7782,6.9369,6.7213,6.9142,34929210.0
2020-08-14 07:00:00,6.9142,6.9144,6.7527,6.7527,34006880.0
2020-08-14 08:00:00,6.7527,6.8785,6.6796,6.7768,30893820.0
2020-08-14 09:00:00,6.7451,6.9475,6.6885,6.9064,46938660.0
2020-08-14 10:00:00,6.9064,6.9423,6.7823,6.7931,24557200.0
2020-08-14 11:00:00,6.7931,7.162,6.7823,7.0498,84050260.0
2020-08-14 12:00:00,7.0405,7.18,6.9584,6.9962,89125070.0
2020-08-14 13:00:00,6.995,6.995,6.8225,6.9,30703620.0
2020-08-14 14:00:00,6.9208,6.9468,6.68,6.71,47535040.0
2020-08-14 15:00:00,6.7106,6.7838,6.5693,6.7243,52558600.0
2020-08-14 16:00:00,6.7485,6.7486,6.6499,6.6978,26277850.0
2020-08-14 17:00:00,6.6875,6.6975,6.5001,6.655,42359450.0
2020-08-14 18:00:00,6.6317,6.6591,6.21,6.235,119683520.0
2020-08-14 19:00:00,6.2202,6.3536,6.0815,6.1302,99583500.0
2020-08-14 20:00:00,6.1303,6.2782,6.06,6.13,54065270.0
2020-08-14 21:00:00,6.1152,6.2289,6.0113,6.0458,26176570.0
2020-08-14 22:00:00,6.0311,6.074,5.9999,6.0624,19885990.0
2020-08-14 23:00:00,6.0624,6.22,6.025,6.1991,25465150.0
2020-08-15 00:00:00,6.1981,6.204,6.05,6.095,11764050.0
2020-08-15 01:00:00,6.0926,6.2375,6.0011,6.1723,23191760.0
2020-08-15 02:00:00,6.1717,6.2141,5.963,6.007,44210150.0
2020-08-15 03:00:00,6.007,6.04,5.9066,6.0278,63049250.0
2020-08-15 04:00:00,6.0278,6.0358,5.9,5.9749,25226720.0
2020-08-15 05:00:00,5.9749,6.0076,5.7521,5.7656,31559900.0
2020-08-15 06:00:00,5.7877,5.9255,5.6161,5.7557,65528100.0
2020-08-15 07:00:00,5.735,5.9095,5.7171,5.9041,30127260.0
2020-08-15 08:00:00,5.904,6.0123,5.8962,5.9756,28799080.0
2020-08-15 09:00:00,5.9757,6.0481,5.925,5.9351,25325030.0
2020-08-15 10:00:00,5.9351,5.9626,5.8011,5.9113,33848420.0
2020-08-15 11:00:00,5.8906,5.9599,5.7741,5.8449,38444830.0
2020-08-15 12:00:00,5.8285,5.8452,5.7684,5.8124,15334050.0
2020-08-15 13:00:00,5.8103,5.8663,5.6872,5.7171,37116040.0
2020-08-15 14:00:00,5.7171,5.795,5.687,5.7201,33000030.0
2020-08-15 15:00:00,5.7289,6.0,5.69,5.9835,56722270.0
2020-08-15 16:00:00,5.9835,6.4899,5.8951,6.3747,94889290.0
2020-08-15 17:00:00,6.3535,6.4994,6.1623,6.3124,62683780.0
2020-08-15 18:00:00,6.3002,6.3084,6.0951,6.1596,23819360.0
2020-08-15 19:00:00,6.1905,6.2202,6.0734,6.0734,14190950.0
2020-08-15 20:00:00,6.0734,6.0755,5.8777,6.0099,24061840.0
2020-08-15 21:00:00,5.9848,6.0732,5.9145,6.0732,20010560.0
2020-08-15 22:00:00,6.0467,6.164,6.0001,6.1158,13587160.0
2020-08-15 23:00:00,6.1077,6.12,5.8987,5.9344,19477340.0
2020-08-16 00:00:00,5.9748,6.0677,5.9236,5.9756,6271240.0
2020-08-16 01:00:00,5.9755,6.0095,5.9,5.995,13042550.0
2020-08-16 02:00:00,5.995,6.1095,5.9,5.9955,18022350.0
2020-08-16 03:00:00,5.9928,6.1563,5.9579,6.1044,16875230.0
2020-08-16 04:00:00,6.1199,6.3369,6.0395,6.2518,41397050.0
2020-08-16 05:00:00,6.2542,6.2799,6.0734,6.0806,23169120.0
2020-08-16 06:00:00,6.0807,6.2053,6.0009,6.1797,21294930.0
2020-08-16 07:00:00,6.2029,6.2029,6.1002,6.1021,14767680.0
2020-08-16 08:00:00,6.0833,6.1502,6.0101,6.114,10359310.0
2020-08-16 09:00:00,6.1347,6.1444,6.0402,6.0672,13077290.0
2020-08-16 10:00:00,6.0674,6.2204,6.048,6.21,12567070.0
2020-08-16 11:00:00,6.2052,6.2972,6.1337,6.264,22159100.0
2020-08-16 12:00:00,6.2639,6.3227,6.1561,6.2543,21320830.0
2020-08-16 13:00:00,6.2545,6.2986,6.0925,6.1227,12794080.0
2020-08-16 14:00:00,6.1544,6.1545,6.0101,6.033,22789530.0
2020-08-16 15:00:00,6.033,6.4,6.0295,6.09,23138470.0
2020-08-16 16:00:00,6.0703,6.183,6.0641,6.1313,10217680.0
2020-08-16 17:00:00,6.1546,6.1895,6.0889,6.1059,15208750.0
2020-08-16 18:00:00,6.1061,6.1454,6.0193,6.0552,8835530.0
2020-08-16 19:00:00,6.0716,6.1423,6.0554,6.1179,3475600.0
2020-08-16 20:00:00,6.1268,6.15,6.1139,6.1264,3278710.0
2020-08-16 21:00:00,6.1264,6.1459,6.0863,6.1101,7544870.0
2020-08-16 22:00:00,6.1101,6.1439,6.0831,6.0889,3517770.0
2020-08-16 23:00:00,6.0889,6.0998,6.0,6.0244,8123650.0
2020-08-17 00:00:00,6.0455,6.1126,6.0091,6.0518,1473420.0
2020-08-17 01:00:00,6.0899,6.113,6.0305,6.1129,1870390.0
2020-08-17 02:00:00,6.1129,6.1685,5.9493,6.0563,37026840.0
2020-08-17 03:00:00,6.0312,6.0732,5.96,6.0157,17799950.0
2020-08-17 04:00:00,5.9912,6.0676,5.9813,6.0252,10756950.0
2020-08-17 05:00:00,6.0286,6.0676,5.9846,6.0408,8108300.0
2020-08-17 06:00:00,6.0177,6.1295,5.95,6.0083,17399380.0
2020-08-17 07:00:00,6.0053,6.0355,5.9888,5.9888,6809680.0
2020-08-17 08:00:00,5.9889,6.0297,5.9562,5.9818,12879370.0
2020-08-17 09:00:00,5.982,6.0362,5.9411,5.9595,17608850.0
2020-08-17 10:00:00,5.9685,5.9995,5.8501,5.9163,27871330.0
2020-08-17 11:00:00,5.939,6.0216,5.8998,5.952,17689110.0
2020-08-17 12:00:00,5.9557,5.98,5.9096,5.9352,11679390.0
2020-08-17 13:00:00,5.9333,5.98,5.91,5.9333,20563670.0
2020-08-17 14:00:00,5.9291,5.9563,5.8507,5.9218,34434000.0
2020-08-17 15:00:00,5.9218,5.9653,5.82,5.85,24087530.0
2020-08-17 16:00:00,5.85,5.8999,5.7014,5.8971,61842570.0
2020-08-17 17:00:00,5.8854,5.9631,5.8137,5.8813,25255260.0
2020-08-17 18:00:00,5.877,5.9299,5.79,5.8496,19690010.0
2020-08-17 19:00:00,5.8496,5.9039,5.8309,5.8642,9557370.0
2020-08-17 20:00:00,5.8613,5.9014,5.86,5.8743,5281860.0
2020-08-17 21:00:00,5.8806,5.9765,5.8611,5.9509,7769010.0
2020-08-17 22:00:00,5.9509,5.9628,5.8847,5.9149,6760180.0
2020-08-17 23:00:00,5.9068,5.9505,5.8659,5.9287,5332970.0
2020-08-18 00:00:00,5.9257,5.9701,5.8744,5.9352,11175830.0
2020-08-18 01:00:00,5.9352,6.1833,5.9314,6.157,71972820.0
2020-08-18 02:00:00,6.1217,6.3,6.084,6.1865,33390269.999999996
2020-08-18 03:00:00,6.1746,6.3036,6.0851,6.1051,28551980.0
2020-08-18 04:00:00,6.117,6.299,6.117,6.1991,18976710.0
2020-08-18 05:00:00,6.1991,6.55,6.1472,6.4331,84561720.0
2020-08-18 06:00:00,6.4331,6.664,6.3334,6.4943,70009250.0
2020-08-18 07:00:00,6.4943,6.5335,6.3325,6.4358,39714620.0
2020-08-18 08:00:00,6.4358,6.4358,6.3287,6.35,35911030.0
2020-08-18 09:00:00,6.35,6.4,6.2147,6.2351,35399000.0
2020-08-18 10:00:00,6.2272,6.2945,6.16,6.26,36483530.0
2020-08-18 11:00:00,6.2525,6.2604,6.13,6.1716,26347600.0
2020-08-18 12:00:00,6.171,6.2204,6.088,6.1708,28375760.0
2020-08-18 13:00:00,6.1883,6.1883,6.05,6.05,22520560.0
2020-08-18 14:00:00,6.05,6.2083,6.0,6.1701,32458540.0
2020-08-18 15:00:00,6.1611,6.1872,5.754,5.7869,39373010.0
2020-08-18 16:00:00,5.7867,5.9464,5.6318,5.8751,62320950.0
2020-08-18 17:00:00,5.8517,5.9637,5.7592,5.8468,43229530.0
2020-08-18 18:00:00,5.8468,5.8525,5.6897,5.8177,18634090.0
2020-08-18 19:00:00,5.8196,5.9905,5.7794,5.8844,15594000.0
2020-08-18 20:00:00,5.8623,5.9241,5.7812,5.8442,9374960.0
2020-08-18 21:00:00,5.8442,5.9364,5.7001,5.7424,10135890.0
2020-08-18 22:00:00,5.7425,5.8829,5.663,5.8529,9990580.0
2020-08-18 23:00:00,5.8526,5.9991,5.7518,5.8162,11545060.0
