,Open,High,Low,Close,Volume
2021-12-04 07:00:00,15.02,30.0,15.02,16.85,1038625120.0
2021-12-04 08:00:00,16.85,16.89,12.7,14.95,345419960.0
2021-12-04 09:00:00,14.91,20.8,14.44,18.49,545625750.0
2021-12-04 10:00:00,18.42,18.49,15.55,17.12,209895200.0
2021-12-04 11:00:00,17.16,17.59,15.2,15.88,145185190.0
2021-12-04 12:00:00,15.85,16.4,14.43,15.55,97900010.0
2021-12-04 13:00:00,15.56,23.8,14.8,16.79,498173640.0
2021-12-04 14:00:00,16.79,17.9,16.18,17.77,195536010.0
2021-12-04 15:00:00,17.78,17.85,15.62,16.39,149194870.0
2021-12-04 16:00:00,16.36,20.32,16.18,17.94,534071620.0
2021-12-04 17:00:00,17.95,18.99,16.62,18.32,211307840.0
2021-12-04 18:00:00,18.32,22.74,17.81,20.36,626093630.0
2021-12-04 19:00:00,20.32,21.2,18.21,19.16,299965910.0
2021-12-04 20:00:00,19.19,20.35,18.45,19.47,181083870.0
2021-12-04 21:00:00,19.47,19.47,17.33,17.45,137505910.0
2021-12-04 22:00:00,17.42,20.5,17.35,20.4,219994050.0
2021-12-04 23:00:00,20.39,20.9,18.44,18.73,169106010.0
2021-12-05 00:00:00,18.76,20.4,18.65,19.28,181987230.0
2021-12-05 01:00:00,19.25,19.55,17.41,17.84,89499430.0
2021-12-05 02:00:00,17.84,18.99,17.61,18.59,80093070.0
2021-12-05 03:00:00,18.61,18.85,17.42,17.52,56545690.0
2021-12-05 04:00:00,17.52,18.5,17.32,17.4,43717050.0
2021-12-05 05:00:00,17.4,17.89,15.97,16.01,81036580.0
2021-12-05 06:00:00,16.05,16.53,15.24,15.89,68162060.0
2021-12-05 07:00:00,15.84,17.04,15.84,16.05,57553220.0
2021-12-05 08:00:00,16.02,16.17,15.31,15.51,50858540.0
2021-12-05 09:00:00,15.51,16.1,15.17,15.44,43703180.0
2021-12-05 10:00:00,15.44,16.43,15.41,16.22,36824480.0
2021-12-05 11:00:00,16.22,16.25,15.57,15.75,29208110.0
2021-12-05 12:00:00,15.82,16.46,15.5,15.78,39496710.0
2021-12-05 13:00:00,15.78,15.99,15.35,15.51,33296460.0
2021-12-05 14:00:00,15.51,15.77,15.34,15.57,14366010.0
2021-12-05 15:00:00,15.68,15.68,14.47,14.76,52189450.0
2021-12-05 16:00:00,14.75,14.96,13.93,14.0,45773160.0
2021-12-05 17:00:00,14.09,14.47,13.94,14.24,22037070.0
2021-12-05 18:00:00,14.23,15.15,14.16,14.8,25702830.0
2021-12-05 19:00:00,14.8,15.33,14.75,15.14,22754860.0
2021-12-05 20:00:00,15.14,15.28,14.54,14.92,13470330.0
2021-12-05 21:00:00,14.91,15.0,14.66,14.73,9302630.0
2021-12-05 22:00:00,14.63,14.89,14.17,14.59,11212610.0
2021-12-05 23:00:00,14.55,14.98,14.5,14.82,8240730.0
2021-12-06 00:00:00,14.88,14.99,14.59,14.77,10708720.0
2021-12-06 01:00:00,14.74,14.89,13.51,13.73,25651990.0
2021-12-06 02:00:00,13.84,13.89,13.54,13.86,13088040.0
2021-12-06 03:00:00,13.86,13.9,13.66,13.81,5052800.0
2021-12-06 04:00:00,13.84,13.95,13.22,13.78,27880440.0
2021-12-06 05:00:00,13.78,13.96,13.34,13.54,18350330.0
2021-12-06 06:00:00,13.47,13.64,13.12,13.2,10893860.0
2021-12-06 07:00:00,13.2,13.58,13.01,13.39,20980140.0
2021-12-06 08:00:00,13.34,13.54,13.0,13.12,14221250.0
2021-12-06 09:00:00,13.13,13.48,12.91,13.05,12466850.0
2021-12-06 10:00:00,13.03,13.06,12.0,12.35,23027550.0
2021-12-06 11:00:00,12.39,12.57,12.16,12.32,9997920.0
2021-12-06 12:00:00,12.32,12.44,12.15,12.44,11279920.0
2021-12-06 13:00:00,12.44,12.7,12.36,12.53,20245250.0
2021-12-06 14:00:00,12.53,12.92,12.04,12.39,36312870.0
2021-12-06 15:00:00,12.39,12.64,12.16,12.33,14652630.0
2021-12-06 16:00:00,12.32,13.5,12.2,13.3,34052340.0
2021-12-06 17:00:00,13.3,13.43,12.6,12.62,13316500.0
2021-12-06 18:00:00,12.61,13.01,12.01,12.26,35719480.0
2021-12-06 19:00:00,12.28,12.63,12.2,12.51,10755840.0
2021-12-06 20:00:00,12.51,14.6,12.43,13.51,78780510.0
2021-12-06 21:00:00,13.51,13.57,13.12,13.28,5796510.0
2021-12-06 22:00:00,13.2,13.79,13.16,13.79,7255480.0
2021-12-06 23:00:00,13.73,14.2,13.64,14.17,9632670.0
2021-12-07 00:00:00,14.17,14.22,13.59,13.94,4562590.0
2021-12-07 01:00:00,13.89,13.89,13.49,13.55,4661520.0
2021-12-07 02:00:00,13.56,13.86,13.5,13.66,3439190.0
2021-12-07 03:00:00,13.67,14.28,13.58,14.0,9183320.0
