,Open,High,Low,Close,Volume
2022-01-21 11:00:00,4.19,6.662,4.19,5.68,2982294090.0
2022-01-21 12:00:00,5.686,5.871,5.3,5.674,1474722870.0
2022-01-21 13:00:00,5.674,5.714,4.82,4.843,787454230.0
2022-01-21 14:00:00,4.842,5.259,4.841,5.044,410495190.0
2022-01-21 15:00:00,5.05,5.126,4.817,4.927,209339100.0
2022-01-21 16:00:00,4.937,5.079,4.784,4.904,214262800.0
2022-01-21 17:00:00,4.904,5.023,4.856,4.885,168076960.0
2022-01-21 18:00:00,4.885,4.885,4.591,4.635,196707940.0
2022-01-21 19:00:00,4.63,5.12,4.611,4.961,286192210.0
2022-01-21 20:00:00,4.949,4.981,4.733,4.781,141639900.0
2022-01-21 21:00:00,4.781,4.839,4.6,4.624,116520790.0
2022-01-21 22:00:00,4.624,4.715,4.342,4.374,120333250.0
2022-01-21 23:00:00,4.361,4.465,4.052,4.06,135180710.0
2022-01-22 00:00:00,4.054,4.875,4.054,4.67,341306220.0
2022-01-22 01:00:00,4.681,6.2,4.546,5.653,1128731450.0
2022-01-22 02:00:00,5.642,5.807,5.197,5.507,784055470.0
2022-01-22 03:00:00,5.516,5.595,5.021,5.422,489198590.0
2022-01-22 04:00:00,5.436,6.3,5.266,6.193,468254220.0
2022-01-22 05:00:00,6.2,6.83,5.913,6.313,1493884280.0
2022-01-22 06:00:00,6.313,6.798,5.85,6.616,776102070.0
2022-01-22 07:00:00,6.613,7.22,6.301,6.811,1207256280.0
2022-01-22 08:00:00,6.812,7.1,6.063,6.12,1004393700.0
2022-01-22 09:00:00,6.127,6.729,5.437,5.555,1089726640.0
2022-01-22 10:00:00,5.555,5.61,5.01,5.05,988835160.0
2022-01-22 11:00:00,5.051,5.325,4.56,4.565,972343260.0
2022-01-22 12:00:00,4.579,5.021,4.56,4.823,554321690.0
2022-01-22 13:00:00,4.822,5.759,4.822,5.6,1198814980.0
2022-01-22 14:00:00,5.6,5.6,5.06,5.361,665093620.0
2022-01-22 15:00:00,5.375,5.376,5.002,5.011,341609550.0
2022-01-22 16:00:00,5.011,5.17,4.8,4.806,378162990.0
2022-01-22 17:00:00,4.812,5.106,4.694,4.95,333981040.0
2022-01-22 18:00:00,4.943,5.198,4.925,5.008,428063040.0
2022-01-22 19:00:00,5.008,5.018,4.657,4.709,239436020.0
2022-01-22 20:00:00,4.708,4.84,4.6,4.616,168286660.0
2022-01-22 21:00:00,4.619,5.061,4.619,5.0,248372290.0
2022-01-22 22:00:00,4.985,5.062,4.681,4.698,221215680.0
2022-01-22 23:00:00,4.69,5.038,4.684,4.964,234827530.0
2022-01-23 00:00:00,4.964,5.038,4.805,4.835,193530700.0
2022-01-23 01:00:00,4.825,4.983,4.645,4.648,168842290.0
2022-01-23 02:00:00,4.648,4.696,4.317,4.381,211604770.0
2022-01-23 03:00:00,4.382,4.592,4.265,4.461,129444490.0
2022-01-23 04:00:00,4.471,4.66,4.437,4.649,96621640.0
2022-01-23 05:00:00,4.649,4.689,4.419,4.472,129876950.0
2022-01-23 06:00:00,4.471,4.555,4.347,4.489,113080660.0
2022-01-23 07:00:00,4.49,4.742,4.359,4.693,217621150.0
2022-01-23 08:00:00,4.688,4.736,4.507,4.68,241123960.0
2022-01-23 09:00:00,4.689,4.9,4.669,4.8,237583780.0
2022-01-23 10:00:00,4.8,4.85,4.597,4.637,142285700.0
2022-01-23 11:00:00,4.641,4.761,4.62,4.749,133614359.99999999
2022-01-23 12:00:00,4.757,4.768,4.612,4.624,86009350.0
2022-01-23 13:00:00,4.624,4.649,4.554,4.636,85102280.0
2022-01-23 14:00:00,4.632,4.634,4.5,4.523,70591730.0
2022-01-23 15:00:00,4.508,4.558,4.384,4.394,80917700.0
2022-01-23 16:00:00,4.391,4.451,4.34,4.449,103932000.0
2022-01-23 17:00:00,4.453,4.493,4.397,4.426,59717100.0
2022-01-23 18:00:00,4.422,4.591,4.414,4.518,56577090.0
2022-01-23 19:00:00,4.518,4.534,4.353,4.378,37432680.0
2022-01-23 20:00:00,4.378,4.447,4.226,4.271,100022240.0
2022-01-23 21:00:00,4.272,4.49,4.271,4.486,45158050.0
2022-01-23 22:00:00,4.486,4.534,4.406,4.415,53634910.0
2022-01-23 23:00:00,4.415,4.419,4.3,4.328,35923710.0
2022-01-24 00:00:00,4.323,4.495,4.31,4.378,84908200.0
2022-01-24 01:00:00,4.378,4.543,4.352,4.473,87966640.0
2022-01-24 02:00:00,4.48,4.493,4.325,4.337,47496440.0
2022-01-24 03:00:00,4.337,4.357,4.135,4.16,78383800.0
2022-01-24 04:00:00,4.16,4.285,4.157,4.212,59402720.0
2022-01-24 05:00:00,4.209,4.26,4.121,4.2,39648270.0
2022-01-24 06:00:00,4.187,4.27,4.134,4.204,45757740.0
2022-01-24 07:00:00,4.199,4.2,4.069,4.137,67229010.0
2022-01-24 08:00:00,4.137,4.137,3.956,4.032,91525010.0
2022-01-24 09:00:00,4.033,4.035,3.879,3.923,137485280.0
2022-01-24 10:00:00,3.923,3.923,3.675,3.685,156993260.0
2022-01-24 11:00:00,3.697,3.714,3.532,3.631,134679770.0
2022-01-24 12:00:00,3.629,3.721,3.569,3.628,76172100.0
2022-01-24 13:00:00,3.63,3.637,3.542,3.546,49905270.0
2022-01-24 14:00:00,3.56,3.679,3.529,3.538,59346730.0
2022-01-24 15:00:00,3.538,3.702,3.5,3.686,79874460.0
2022-01-24 16:00:00,3.684,3.819,3.621,3.773,66828479.99999999
2022-01-24 17:00:00,3.773,3.85,3.664,3.697,89396900.0
2022-01-24 18:00:00,3.699,3.735,3.611,3.708,74343330.0
2022-01-24 19:00:00,3.714,3.872,3.701,3.812,81577210.0
2022-01-24 20:00:00,3.812,3.947,3.762,3.919,61186150.0
2022-01-24 21:00:00,3.915,3.95,3.78,3.942,54172050.0
