,Open,High,Low,Close,Volume
2020-12-30 07:00:00,20.18,29.88,11.45,12.902,357524357.0
2020-12-30 08:00:00,12.926,14.031,11.55,12.476,76775502.0
2020-12-30 09:00:00,12.475,12.8,11.721,11.92,30146478.0
2020-12-30 10:00:00,11.944,12.0,10.003,10.585,67512743.0
2020-12-30 11:00:00,10.576,11.3,10.108,10.725,35615398.0
2020-12-30 12:00:00,10.799,10.816,8.366,8.807,64598629.0
2020-12-30 13:00:00,8.895,9.3,8.261,8.4,36778067.0
2020-12-30 14:00:00,8.348,8.45,7.602,8.0,55164297.0
2020-12-30 15:00:00,8.011,9.489,8.001,8.848,52174140.0
2020-12-30 16:00:00,8.848,9.2,8.139,8.388,16967471.0
2020-12-30 17:00:00,8.389,9.084,8.337,9.0,26878324.0
2020-12-30 18:00:00,9.0,9.5,8.817,9.422,18455234.0
2020-12-30 19:00:00,9.422,9.848,9.376,9.586,26801810.0
2020-12-30 20:00:00,9.548,10.491,9.4,10.075,31141820.0
2020-12-30 21:00:00,10.084,10.899,9.999,10.6,52973794.0
2020-12-30 22:00:00,10.524,11.24,10.524,11.101,18228549.0
2020-12-30 23:00:00,11.106,11.3,10.032,10.264,27552241.0
2020-12-31 00:00:00,10.284,10.284,9.5,9.599,17318703.0
2020-12-31 01:00:00,9.599,10.322,9.291,9.575,13672013.0
2020-12-31 02:00:00,9.588,9.588,8.807,9.051,9092354.0
2020-12-31 03:00:00,9.05,9.05,8.28,8.801,7762135.0
2020-12-31 04:00:00,8.802,8.808,8.7,8.711,2731748.0
2020-12-31 05:00:00,8.716,9.199,8.707,9.047,8746422.0
2020-12-31 06:00:00,9.04,9.04,8.392,8.7,6988099.0
2020-12-31 07:00:00,8.701,8.8,7.701,7.854,16843635.0
2020-12-31 08:00:00,7.842,8.513,7.749,8.301,11401562.0
2020-12-31 09:00:00,8.301,8.576,8.247,8.339,6533241.0
2020-12-31 10:00:00,8.373,8.492,7.987,8.121,11299335.0
2020-12-31 11:00:00,8.121,8.607,7.9,8.337,14522303.0
2020-12-31 12:00:00,8.337,8.595,8.175,8.301,8637018.0
2020-12-31 13:00:00,8.298,8.4,7.93,8.108,10751372.0
2020-12-31 14:00:00,8.143,8.238,7.597,7.851,19919983.0
2020-12-31 15:00:00,7.851,8.05,7.851,7.92,6986093.0
2020-12-31 16:00:00,7.915,7.989,7.66,7.932,6940365.0
2020-12-31 17:00:00,7.932,7.987,7.62,7.774,6203391.0
2020-12-31 18:00:00,7.775,8.08,7.7,7.8,5464402.0
2020-12-31 19:00:00,7.81,8.0,7.8,7.885,3232011.0
2020-12-31 20:00:00,7.803,7.873,7.61,7.61,4757651.0
2020-12-31 21:00:00,7.61,7.789,7.598,7.692,5915341.0
2020-12-31 22:00:00,7.633,7.648,7.3,7.33,10980920.0
2020-12-31 23:00:00,7.302,7.44,7.027,7.099,7281930.0
2021-01-01 00:00:00,7.099,7.215,6.86,6.97,7651137.0
2021-01-01 01:00:00,6.927,7.34,6.901,7.108,5087501.0
2021-01-01 02:00:00,7.108,7.503,6.917,6.975,5177750.0
2021-01-01 03:00:00,6.988,7.471,6.7,6.771,5614566.0
2021-01-01 04:00:00,6.771,6.92,6.659,6.899,3131792.0
2021-01-01 05:00:00,6.9,7.239,6.405,6.7,14281982.0
2021-01-01 06:00:00,6.701,6.797,6.495,6.691,5075599.0
2021-01-01 07:00:00,6.69,6.9,6.522,6.9,2810784.0
2021-01-01 08:00:00,6.9,6.9,6.544,6.71,3919794.0
2021-01-01 09:00:00,6.641,6.702,6.442,6.496,5134970.0
2021-01-01 10:00:00,6.495,6.58,6.327,6.4,7599095.0
2021-01-01 11:00:00,6.351,6.351,5.861,6.099,16697570.0
2021-01-01 12:00:00,6.067,6.12,5.965,6.104,13473375.0
2021-01-01 13:00:00,6.089,6.213,5.951,5.999,14043935.0
2021-01-01 14:00:00,5.999,6.129,5.692,5.75,15030252.0
2021-01-01 15:00:00,5.774,6.999,5.631,6.579,64240187.0
2021-01-01 16:00:00,6.578,7.25,6.114,6.513,51743499.0
2021-01-01 17:00:00,6.549,6.832,6.31,6.403,9263417.0
2021-01-01 18:00:00,6.421,6.483,6.08,6.16,8436404.0
2021-01-01 19:00:00,6.16,6.306,6.087,6.25,6890887.0
2021-01-01 20:00:00,6.25,6.35,6.07,6.168,4952960.0
2021-01-01 21:00:00,6.169,6.25,6.067,6.151,3725113.0
2021-01-01 22:00:00,6.152,7.4,6.15,6.675,39801980.0
2021-01-01 23:00:00,6.675,6.8,6.351,6.539,13357381.0
2021-01-02 00:00:00,6.562,7.29,6.539,7.111,15423345.0
2021-01-02 01:00:00,7.111,7.34,6.8,7.047,9276299.0
2021-01-02 02:00:00,6.919,6.973,6.63,6.754,4715914.0
2021-01-02 03:00:00,6.679,7.09,6.59,6.8,3275209.0
2021-01-02 04:00:00,6.8,6.898,6.541,6.557,2605488.0
2021-01-02 05:00:00,6.716,6.745,6.464,6.625,2292686.0
2021-01-02 06:00:00,6.625,7.405,6.625,7.106,18207798.0
2021-01-02 07:00:00,7.105,7.365,6.988,7.056,4048376.0
