,Open,High,Low,Close,Volume
2022-02-28 12:00:00,0.1392,0.178,0.1392,0.1456,78818060800.0
2022-02-28 13:00:00,0.1453,0.1495,0.1394,0.1395,20411190700.0
2022-02-28 14:00:00,0.1395,0.1419,0.1329,0.1335,20981431500.0
2022-02-28 15:00:00,0.1335,0.1368,0.1285,0.1349,13950018900.0
2022-02-28 16:00:00,0.1346,0.137,0.1288,0.1311,13815512600.0
2022-02-28 17:00:00,0.1309,0.1318,0.1283,0.1295,9971687100.0
2022-02-28 18:00:00,0.1292,0.1305,0.1277,0.1299,4676885200.0
2022-02-28 19:00:00,0.13,0.133,0.1284,0.1319,6489222200.0
2022-02-28 20:00:00,0.1318,0.1323,0.1305,0.1317,2950397200.0
2022-02-28 21:00:00,0.1316,0.1317,0.1294,0.1312,4802343700.0
2022-02-28 22:00:00,0.1312,0.136,0.1309,0.1349,5598804000.0
2022-02-28 23:00:00,0.135,0.136,0.131,0.1336,5862438300.0
2022-03-01 00:00:00,0.1336,0.1338,0.1296,0.1318,5466902500.0
2022-03-01 01:00:00,0.1318,0.14,0.1318,0.1359,11174000000.0
2022-03-01 02:00:00,0.1359,0.1364,0.132,0.1338,3013418500.0
2022-03-01 03:00:00,0.1338,0.1348,0.1318,0.1335,2016378200.0
2022-03-01 04:00:00,0.1335,0.1361,0.1325,0.1327,3381589000.0
2022-03-01 05:00:00,0.1327,0.1353,0.1317,0.134,3649917400.0
2022-03-01 06:00:00,0.134,0.1341,0.1311,0.1329,2684550700.0
2022-03-01 07:00:00,0.1329,0.133,0.1314,0.1325,2888473000.0
2022-03-01 08:00:00,0.1325,0.1331,0.1319,0.1326,2309484000.0
2022-03-01 09:00:00,0.1326,0.1339,0.1325,0.1337,2519245900.0
2022-03-01 10:00:00,0.1339,0.1374,0.1336,0.1365,5478084500.0
2022-03-01 11:00:00,0.1367,0.1412,0.1341,0.1353,11061298600.0
2022-03-01 12:00:00,0.1352,0.1377,0.1336,0.1342,5148009100.0
2022-03-01 13:00:00,0.1343,0.1353,0.1327,0.133,4512909300.0
