,Open,High,Low,Close,Volume
2021-06-07 08:00:00,0.04139,4.5,0.04139,1.52315,73165939000.0
2021-06-07 09:00:00,1.52315,1.61679,1.40215,1.44241,20077340000.0
2021-06-07 10:00:00,1.44242,1.873,1.43101,1.8599,37625034000.0
2021-06-07 11:00:00,1.86185,2.55655,1.8599,1.9177,94508203000.0
2021-06-07 12:00:00,1.91609,2.11,1.9,1.96432,26154110000.0
2021-06-07 13:00:00,1.96465,1.965,1.74525,1.77306,17800770000.0
2021-06-07 14:00:00,1.773,1.89057,1.73333,1.81981,19103906000.0
2021-06-07 15:00:00,1.819,1.821,1.7469,1.76238,6284552000.0
2021-06-07 16:00:00,1.76241,1.78272,1.66282,1.70927,8745805000.0
2021-06-07 17:00:00,1.70942,1.71014,1.62,1.65052,7351454000.0
2021-06-07 18:00:00,1.65052,1.68088,1.612,1.64901,4913784000.0
2021-06-07 19:00:00,1.65498,1.81,1.62,1.77659,13758084000.0
2021-06-07 20:00:00,1.77568,1.77659,1.65,1.67353,8191990000.0
2021-06-07 21:00:00,1.67416,1.697,1.63004,1.65879,3231627000.0
2021-06-07 22:00:00,1.65986,1.72,1.62,1.62261,4022111000.0
2021-06-07 23:00:00,1.62253,1.644,1.50465,1.52642,5577410000.0
2021-06-08 00:00:00,1.52519,1.612,1.51,1.54211,3341397000.0
2021-06-08 01:00:00,1.54211,1.57,1.501,1.51209,2924988000.0
2021-06-08 02:00:00,1.51233,1.5999,1.502,1.54985,4461984000.0
2021-06-08 03:00:00,1.54683,1.578,1.501,1.5229,2202595000.0
2021-06-08 04:00:00,1.52285,1.56099,1.37857,1.38,4753588000.0
2021-06-08 05:00:00,1.38,1.426,1.27538,1.27538,5683557000.0
2021-06-08 06:00:00,1.27675,1.358,1.257,1.27208,4385061000.0
2021-06-08 07:00:00,1.27199,1.28508,1.2,1.24097,4429854000.0
2021-06-08 08:00:00,1.24054,1.25897,1.202,1.20882,2302594000.0
2021-06-08 09:00:00,1.20479,1.20816,1.121,1.16136,4939622000.0
2021-06-08 10:00:00,1.16464,1.265,1.16136,1.2056,4344547000.0
2021-06-08 11:00:00,1.20816,1.228,1.1569,1.18636,2589901000.0
2021-06-08 12:00:00,1.18557,1.21926,1.163,1.18814,2145707000.0
