,Open,High,Low,Close,Volume
2021-04-02 11:00:00,5037.02,8796.0,4750.0,5061.71,3541967.97
2021-04-02 12:00:00,5069.23,5295.99,4899.78,4935.46,600896.02
2021-04-02 13:00:00,4935.44,5035.12,4771.0,4815.86,311778.08
2021-04-02 14:00:00,4815.29,4881.52,4642.56,4789.86,285309.27
2021-04-02 15:00:00,4789.86,4901.57,4703.41,4765.01,200830.78
2021-04-02 16:00:00,4805.7,5084.98,4765.01,4949.98,221383.53
2021-04-02 17:00:00,4949.97,4949.98,4750.0,4790.45,99685.39
2021-04-02 18:00:00,4790.44,4800.01,4650.0,4699.98,128630.11
2021-04-02 19:00:00,4698.0,4719.9,4433.01,4531.15,194677.71
2021-04-02 20:00:00,4490.32,4800.0,4441.63,4547.77,205431.49
2021-04-02 21:00:00,4544.98,4999.87,4511.62,4693.82,473265.43
2021-04-02 22:00:00,4693.08,4825.0,4690.07,4733.38,129770.82999999999
2021-04-02 23:00:00,4733.08,4817.99,4601.0,4644.78,71616.58
2021-04-03 00:00:00,4644.78,4779.99,4601.0,4601.01,78524.61
2021-04-03 01:00:00,4601.01,4640.6,4537.47,4595.07,39072.719999999994
2021-04-03 02:00:00,4596.0,4799.98,4595.08,4700.26,60671.23
2021-04-03 03:00:00,4700.34,4812.0,4550.01,4694.1,39724.99
2021-04-03 04:00:00,4694.09,4721.96,4555.03,4684.11,72601.55
2021-04-03 05:00:00,4684.11,4720.0,4608.49,4644.44,50087.649999999994
2021-04-03 06:00:00,4644.44,4734.38,4620.09,4705.13,27512.39
2021-04-03 07:00:00,4705.13,4783.0,4656.12,4681.56,78404.24
2021-04-03 08:00:00,4681.54,4779.98,4678.34,4685.3,42058.85
2021-04-03 09:00:00,4691.18,4774.23,4684.0,4684.32,50771.56
2021-04-03 10:00:00,4685.04,4737.87,4600.0,4631.98,69060.49
2021-04-03 11:00:00,4631.97,4720.0,4298.72,4381.58,283320.61
2021-04-03 12:00:00,4381.57,4481.16,4306.33,4395.45,144045.25
2021-04-03 13:00:00,4395.44,4613.96,4269.11,4336.77,265621.42
2021-04-03 14:00:00,4332.15,4423.66,4299.01,4344.64,79885.31
2021-04-03 15:00:00,4344.64,4360.62,4299.0,4350.0,58068.34
2021-04-03 16:00:00,4341.29,4359.7,4270.0,4287.11,67317.81999999999
2021-04-03 17:00:00,4299.98,4300.0,4205.0,4251.57,78505.95
2021-04-03 18:00:00,4251.56,4298.0,4132.32,4187.0,85811.68
2021-04-03 19:00:00,4187.01,4214.0,3900.67,4001.92,225802.44
2021-04-03 20:00:00,3997.47,4088.4,3900.91,3994.3,71711.18
2021-04-03 21:00:00,3994.3,4060.55,3994.18,4050.0,30178.84
2021-04-03 22:00:00,4060.55,4060.57,3898.0,3938.17,59195.16
2021-04-03 23:00:00,3918.04,4005.33,3822.0,3868.88,41359.18
2021-04-04 00:00:00,3822.1,3968.16,3711.24,3860.0,114915.51
