,Open,High,Low,Close,Volume
2020-09-22 08:00:00,0.85,6.0,0.85,4.8811,3198372670.0
2020-09-22 09:00:00,4.88,5.35,4.245,4.9096,3171013600.0
2020-09-22 10:00:00,4.9096,6.9289,4.82,6.8219,3883981430.0
2020-09-22 11:00:00,6.8299,7.0,5.55,6.2108,3681832890.0
2020-09-22 12:00:00,6.2109,6.3,4.975,5.4901,2729116180.0
2020-09-22 13:00:00,5.485,6.1657,5.2311,5.7679,1911454030.0
2020-09-22 14:00:00,5.7679,6.15,5.4428,5.8565,1399043800.0
2020-09-22 15:00:00,5.8565,5.98,5.3363,5.5112,1100004960.0
2020-09-22 16:00:00,5.5001,5.5895,5.04,5.157,1195376000.0
2020-09-22 17:00:00,5.1522,5.1568,4.311,4.6699,2318158290.0
2020-09-22 18:00:00,4.6691,4.8893,4.338,4.8848,1290724180.0
2020-09-22 19:00:00,4.8848,4.8902,4.3823,4.4101,804723780.0
2020-09-22 20:00:00,4.4015,4.4616,4.0266,4.1532,964490000.0
2020-09-22 21:00:00,4.159,4.5538,4.15,4.48,680045890.0
2020-09-22 22:00:00,4.4854,4.4994,4.2354,4.3316,296565520.0
2020-09-22 23:00:00,4.3294,4.9109,4.3262,4.82,837867440.0
2020-09-23 00:00:00,4.8202,5.3815,4.56,5.3149,1031523070.0
2020-09-23 01:00:00,5.2957,5.5499,5.04,5.3193,947589430.0
2020-09-23 02:00:00,5.3279,5.36,4.92,4.9536,383599280.0
2020-09-23 03:00:00,4.9582,5.0915,4.6,4.7674,417022600.0
2020-09-23 04:00:00,4.7677,5.0297,4.6,5.0025,437443270.0
2020-09-23 05:00:00,5.0189,5.1922,4.812,4.9135,320816360.0
2020-09-23 06:00:00,4.9135,4.9455,4.283,4.316,894649840.0
2020-09-23 07:00:00,4.3073,4.5063,4.15,4.3862,475271410.0
2020-09-23 08:00:00,4.3863,4.6132,4.21,4.3654,511282650.0
2020-09-23 09:00:00,4.3567,4.3876,3.9169,4.1197,849089240.0
2020-09-23 10:00:00,4.1184,4.36,4.0295,4.2607,475865280.0
2020-09-23 11:00:00,4.2603,4.2603,4.07,4.2323,372330840.0
2020-09-23 12:00:00,4.2302,4.3501,4.1203,4.2744,442211620.0
2020-09-23 13:00:00,4.2574,4.4,4.1318,4.2108,489308650.0
2020-09-23 14:00:00,4.2108,4.3934,4.0191,4.2948,696166610.0
2020-09-23 15:00:00,4.29,4.6172,4.25,4.4096,728446710.0
2020-09-23 16:00:00,4.4181,4.4558,4.171,4.2242,528125880.0
2020-09-23 17:00:00,4.2189,4.278,4.0278,4.1073,645598820.0
2020-09-23 18:00:00,4.0996,4.277,4.0769,4.2706,382597510.0
2020-09-23 19:00:00,4.2647,4.33,4.109,4.165,500452380.0
2020-09-23 20:00:00,4.166,4.2798,3.9979,4.0003,328314610.0
2020-09-23 21:00:00,4.0003,4.0769,3.65,3.7238,895487810.0
2020-09-23 22:00:00,3.7149,3.9604,3.4,3.5587,747776200.0
2020-09-23 23:00:00,3.5587,3.66,3.4285,3.5561,493542840.0
2020-09-24 00:00:00,3.557,3.6785,3.4751,3.5814,361247540.0
2020-09-24 01:00:00,3.5817,3.6574,3.45,3.535,243960060.0
2020-09-24 02:00:00,3.5305,3.639,3.4033,3.5633,332368250.0
2020-09-24 03:00:00,3.5605,3.7587,3.5579,3.6361,220447000.0
2020-09-24 04:00:00,3.6394,3.8284,3.5958,3.7187,229477330.0
2020-09-24 05:00:00,3.7196,3.82,3.6969,3.7398,131307060.0
2020-09-24 06:00:00,3.7397,3.78,3.5741,3.6028,235786150.0
2020-09-24 07:00:00,3.6048,3.6721,3.528,3.6213,171666850.0
2020-09-24 08:00:00,3.6256,3.763,3.6212,3.68,132831250.0
2020-09-24 09:00:00,3.68,3.92,3.6777,3.8323,309758240.0
2020-09-24 10:00:00,3.834,4.2424,3.834,4.1124,610236260.0
2020-09-24 11:00:00,4.1123,4.22,3.8937,4.0396,542785480.0
2020-09-24 12:00:00,4.0441,4.32,4.0198,4.2703,396368830.0
2020-09-24 13:00:00,4.2718,4.4537,4.2434,4.3179,444412670.0
2020-09-24 14:00:00,4.3132,4.37,3.75,3.9471,642056800.0
2020-09-24 15:00:00,3.9472,4.093,3.7762,3.9604,420916260.0
2020-09-24 16:00:00,3.962,4.1274,3.93,4.1126,230587110.0
2020-09-24 17:00:00,4.1101,4.22,4.017,4.1466,240399610.0
2020-09-24 18:00:00,4.1488,4.29,4.0702,4.1921,223204510.0
2020-09-24 19:00:00,4.193,4.22,4.11,4.1818,84029370.0
2020-09-24 20:00:00,4.1863,4.2631,4.0109,4.0162,159533450.0
2020-09-24 21:00:00,4.01,4.19,3.9955,4.1828,112875130.0
2020-09-24 22:00:00,4.1895,4.2735,4.085,4.085,211834040.0
