,Open,High,Low,Close,Volume
2020-11-04 14:00:00,0.1,0.29,0.1,0.16963,43737185400.0
2020-11-04 15:00:00,0.16964,0.18,0.16621,0.17011,7317994200.0
2020-11-04 16:00:00,0.1709,0.1714,0.15313,0.15487,5758820100.0
2020-11-04 17:00:00,0.15445,0.157,0.14198,0.1471,4644003000.0
2020-11-04 18:00:00,0.1473,0.16867,0.14662,0.158,2858765500.0
2020-11-04 19:00:00,0.158,0.16275,0.15245,0.15666,2204083500.0
2020-11-04 20:00:00,0.15548,0.16,0.15221,0.15649,895570300.0
2020-11-04 21:00:00,0.1565,0.1625,0.1546,0.15601,823992600.0
2020-11-04 22:00:00,0.15601,0.15608,0.15057,0.15149,518670400.0
2020-11-04 23:00:00,0.15136,0.15368,0.1505,0.15194,308277200.0
2020-11-05 00:00:00,0.15188,0.15219,0.14335,0.14583,755420600.0
2020-11-05 01:00:00,0.14617,0.15,0.14225,0.14807,765904500.0
2020-11-05 02:00:00,0.14754,0.15082,0.14362,0.14521,985052500.0
2020-11-05 03:00:00,0.14489,0.14809,0.14225,0.145,521656200.0
2020-11-05 04:00:00,0.14523,0.14677,0.13349,0.1388,1719302400.0
2020-11-05 05:00:00,0.13798,0.14146,0.13447,0.14094,932630000.0
2020-11-05 06:00:00,0.13928,0.14142,0.13375,0.13375,663175600.0
2020-11-05 07:00:00,0.13375,0.139,0.1333,0.13331,641309500.0
2020-11-05 08:00:00,0.13332,0.13487,0.1262,0.13323,1701641200.0
2020-11-05 09:00:00,0.133,0.133,0.1262,0.13079,842773000.0
2020-11-05 10:00:00,0.13003,0.134,0.129,0.12904,462231000.0
2020-11-05 11:00:00,0.12993,0.145,0.12728,0.14407,1877018000.0
2020-11-05 12:00:00,0.14495,0.148,0.13329,0.136,1691160400.0
2020-11-05 13:00:00,0.136,0.13699,0.1284,0.13069,951316600.0
2020-11-05 14:00:00,0.13069,0.13318,0.12733,0.1294,1130496200.0
2020-11-05 15:00:00,0.12951,0.13761,0.127,0.1318,1500605800.0
2020-11-05 16:00:00,0.13158,0.14099,0.13055,0.134,1590356500.0
2020-11-05 17:00:00,0.13347,0.143,0.13347,0.13993,644221500.0
2020-11-05 18:00:00,0.13993,0.15,0.13906,0.14086,1211485600.0
2020-11-05 19:00:00,0.1408,0.14796,0.13963,0.14002,1041659400.0
2020-11-05 20:00:00,0.14003,0.14053,0.1355,0.13791,343525000.0
2020-11-05 21:00:00,0.13791,0.15,0.13668,0.14405,475976900.0
2020-11-05 22:00:00,0.14418,0.15,0.14233,0.14404,376471600.0
2020-11-05 23:00:00,0.14309,0.14355,0.1357,0.13692,357585100.0
2020-11-06 00:00:00,0.135,0.13997,0.13312,0.1345,476289200.0
2020-11-06 01:00:00,0.1341,0.13777,0.13159,0.13481,464455100.0
2020-11-06 02:00:00,0.13481,0.13709,0.1296,0.12961,782663900.0
2020-11-06 03:00:00,0.13,0.13083,0.12384,0.1272,1678427100.0
2020-11-06 04:00:00,0.1272,0.13098,0.12611,0.12829,411032200.0
2020-11-06 05:00:00,0.12791,0.13903,0.1279,0.13434,928867100.0
