,Open,High,Low,Close,Volume
2021-03-02 09:00:00,51.8,64.9,51.8,57.413,216393150.0
2021-03-02 10:00:00,57.453,60.0,55.489,56.2,36882886.0
2021-03-02 11:00:00,56.28,57.995,54.668,55.543,28888684.0
2021-03-02 12:00:00,55.543,57.768,55.232,57.512,21893810.0
2021-03-02 13:00:00,57.512,57.65,55.36,56.037,16466937.000000002
2021-03-02 14:00:00,56.037,57.48,55.912,56.987,6803767.0
2021-03-02 15:00:00,56.861,59.5,56.5,57.223,20661943.0
2021-03-02 16:00:00,57.017,57.385,54.008,54.214,13869048.0
2021-03-02 17:00:00,54.101,54.461,48.1,48.5,26832168.0
2021-03-02 18:00:00,48.499,50.932,48.0,50.338,9870777.0
2021-03-02 19:00:00,50.338,50.468,49.0,49.0,4656854.0
2021-03-02 20:00:00,49.017,54.0,48.5,50.027,31170325.0
2021-03-02 21:00:00,50.027,50.998,49.23,50.3,7955576.0
2021-03-02 22:00:00,50.301,50.997,49.52,50.244,5882077.0
2021-03-02 23:00:00,50.242,53.0,49.991,50.728,12063597.0
2021-03-03 00:00:00,50.562,53.66,50.202,53.335,6828441.0
2021-03-03 01:00:00,53.078,54.4,52.002,52.982,9273771.0
2021-03-03 02:00:00,53.292,55.554,53.0,54.407,7306213.0
2021-03-03 03:00:00,54.566,57.001,54.316,55.335,11510613.0
2021-03-03 04:00:00,55.334,56.989,54.756,55.531,10240133.0
2021-03-03 05:00:00,55.529,58.0,55.033,56.391,8938572.0
2021-03-03 06:00:00,56.391,57.89,55.641,56.29,10286759.0
2021-03-03 07:00:00,56.298,60.979,56.239,59.5,38693461.0
2021-03-03 08:00:00,59.965,59.996,57.344,57.9,15389798.0
2021-03-03 09:00:00,57.861,58.908,56.949,58.305,10831031.0
2021-03-03 10:00:00,58.502,60.0,57.447,59.495,13088902.0
2021-03-03 11:00:00,59.462,60.45,57.949,59.046,8972071.0
2021-03-03 12:00:00,59.046,59.306,56.502,57.711,9934888.0
2021-03-03 13:00:00,57.544,60.0,56.924,59.793,8023333.0
2021-03-03 14:00:00,59.8,60.0,57.5,57.641,5535552.0
2021-03-03 15:00:00,57.501,58.213,55.346,55.805,6875934.0
2021-03-03 16:00:00,56.049,56.661,55.023,55.25,7311919.0
2021-03-03 17:00:00,55.471,58.306,55.471,56.403,9290448.0
2021-03-03 18:00:00,56.163,59.9,55.809,57.832,19704857.0
2021-03-03 19:00:00,57.621,57.978,56.731,56.731,6044360.0
2021-03-03 20:00:00,56.738,57.951,55.622,57.306,5397397.0
2021-03-03 21:00:00,57.38,57.823,55.901,56.0,1671625.0
2021-03-03 22:00:00,55.901,56.949,55.0,55.243,8412975.0
2021-03-03 23:00:00,55.37,55.893,54.843,54.998,1639497.0
2021-03-04 00:00:00,54.999,55.083,53.344,54.1,3327926.0
2021-03-04 01:00:00,54.1,55.416,53.0,55.258,5023936.0
2021-03-04 02:00:00,55.256,56.888,55.001,55.767,4382691.0
2021-03-04 03:00:00,55.98,56.6,55.0,55.275,1638258.0
2021-03-04 04:00:00,55.395,55.396,51.644,51.889,5043754.0
2021-03-04 05:00:00,51.997,53.05,51.175,51.175,3751857.0
2021-03-04 06:00:00,51.175,54.025,51.0,52.01,7246180.0
2021-03-04 07:00:00,52.1,54.0,51.282,51.799,7717773.0
2021-03-04 08:00:00,51.796,55.003,51.53,54.252,14358417.0
2021-03-04 09:00:00,54.293,55.5,54.293,54.711,5849922.0
2021-03-04 10:00:00,54.712,54.899,51.864,52.463,8602696.0
2021-03-04 11:00:00,52.342,52.918,52.22,52.798,2661698.0
2021-03-04 12:00:00,52.625,54.043,52.585,53.474,2961166.0
2021-03-04 13:00:00,53.331,54.0,52.28,52.428,3572824.0
2021-03-04 14:00:00,52.427,52.449,51.82,52.142,5453364.0
2021-03-04 15:00:00,52.441,53.998,51.354,52.916,7407844.0
2021-03-04 16:00:00,52.916,53.18,52.001,52.985,6505227.0
2021-03-04 17:00:00,52.751,52.98,51.701,52.0,6993729.0
2021-03-04 18:00:00,52.073,53.693,50.0,50.0,7880350.0
2021-03-04 19:00:00,50.0,50.19,48.858,48.86,7500036.0
2021-03-04 20:00:00,49.103,49.999,48.896,49.95,2558750.0
2021-03-04 21:00:00,49.798,49.997,49.034,49.355,2011099.0
2021-03-04 22:00:00,49.358,50.365,49.0,49.0,2438302.0
2021-03-04 23:00:00,49.065,49.589,48.964,49.424,1033365.0
2021-03-05 00:00:00,49.425,50.503,49.273,49.5,1860774.0
2021-03-05 01:00:00,49.501,49.759,45.895,46.171,6380893.0
2021-03-05 02:00:00,46.173,47.071,45.1,45.986,5414543.0
2021-03-05 03:00:00,45.757,47.14,45.313,47.129,3516407.0
2021-03-05 04:00:00,47.139,47.149,46.2,47.146,2044732.0
2021-03-05 05:00:00,47.015,47.016,46.05,46.05,2019441.0
2021-03-05 06:00:00,46.124,47.062,45.828,46.51,3021112.0
2021-03-05 07:00:00,46.621,46.621,45.501,46.249,2370328.0
2021-03-05 08:00:00,46.249,46.432,45.5,45.861,2442676.0
2021-03-05 09:00:00,45.991,46.432,44.881,44.881,5117477.0
2021-03-05 10:00:00,44.885,46.23,44.652,46.128,3028230.0
2021-03-05 11:00:00,46.128,46.4,45.2,45.712,3454731.0
2021-03-05 12:00:00,45.712,46.4,45.515,46.103,3926343.0
2021-03-05 13:00:00,46.103,47.099,46.05,46.779,2091292.0
2021-03-05 14:00:00,46.779,47.834,46.553,47.187,2508632.0
2021-03-05 15:00:00,47.187,48.866,47.187,47.396,4079320.0
2021-03-05 16:00:00,47.438,48.176,46.553,47.832,4022708.0
2021-03-05 17:00:00,47.737,47.737,45.026,45.684,4271883.0
2021-03-05 18:00:00,45.719,47.999,45.459,47.405,3264386.0
2021-03-05 19:00:00,47.5,49.265,47.406,48.0,4545642.0
2021-03-05 20:00:00,48.194,49.054,47.879,49.05,1692339.0
2021-03-05 21:00:00,49.047,49.181,48.691,48.774,866616.0
2021-03-05 22:00:00,48.76,49.291,48.66,49.291,2210181.0
2021-03-05 23:00:00,49.291,49.79,48.746,48.925,3460398.0
2021-03-06 00:00:00,48.925,48.981,47.792,48.475,2183733.0
2021-03-06 01:00:00,48.475,48.663,47.001,47.251,989114.0
2021-03-06 02:00:00,47.393,47.943,46.715,46.715,750119.0
2021-03-06 04:00:00,46.809,47.007,46.176,46.222,1229268.0
2021-03-06 05:00:00,46.222,47.0,45.512,46.393,3465896.0
2021-03-06 06:00:00,46.621,48.45,46.268,46.64,3338456.0
2021-03-06 07:00:00,46.687,47.913,46.532,47.502,1991640.0
2021-03-06 08:00:00,47.581,48.6,47.0,48.211,6341264.0
2021-03-06 09:00:00,48.21,49.0,48.206,48.61,9559111.0
2021-03-06 10:00:00,48.61,48.792,47.216,47.234,6483011.0
2021-03-06 11:00:00,47.423,48.036,47.2,47.411,2287160.0
2021-03-06 12:00:00,47.529,47.665,46.812,47.208,3599464.0
2021-03-06 13:00:00,47.207,47.6,46.0,46.019,3097389.0
2021-03-06 14:00:00,46.237,46.264,45.02,45.589,4823319.0
2021-03-06 15:00:00,45.59,46.622,45.501,46.405,3410391.0
2021-03-06 16:00:00,46.447,46.55,45.715,45.914,2134998.0
2021-03-06 17:00:00,45.914,47.524,45.837,46.8,3131625.0
2021-03-06 18:00:00,46.83,47.56,46.55,47.191,3857583.0
2021-03-06 19:00:00,47.191,47.9,46.878,47.701,3260509.0
2021-03-06 20:00:00,47.783,48.0,46.64,46.944,2825125.0
2021-03-06 21:00:00,46.924,48.35,46.642,47.263,4781438.0
2021-03-06 22:00:00,47.034,47.19,46.3,46.895,2084904.0
2021-03-06 23:00:00,46.953,47.008,46.3,47.007,2080534.9999999998
2021-03-07 00:00:00,47.0,47.394,46.77,47.005,1042347.0
2021-03-07 01:00:00,47.003,47.51,47.001,47.001,2659579.0
2021-03-07 02:00:00,47.094,47.997,47.0,47.0,2704431.0
2021-03-07 03:00:00,47.0,47.725,47.0,47.372,1206067.0
2021-03-07 04:00:00,47.285,47.367,45.945,46.0,3373769.0
2021-03-07 05:00:00,46.164,46.724,46.0,46.478,863226.0
2021-03-07 06:00:00,46.332,46.455,45.945,46.391,802366.0
2021-03-07 07:00:00,46.251,46.38,45.834,46.212,1700435.0
2021-03-07 08:00:00,46.017,46.3,45.463,46.122,2876698.0
2021-03-07 09:00:00,46.279,47.486,46.255,46.781,2271195.0
2021-03-07 10:00:00,46.803,47.483,46.695,47.213,1516486.0
2021-03-07 11:00:00,47.213,47.477,46.624,46.75,3441228.0
2021-03-07 12:00:00,46.699,46.999,45.859,46.758,7183111.0
2021-03-07 13:00:00,46.748,47.017,46.2,46.771,3436623.0
2021-03-07 14:00:00,46.632,47.174,46.608,46.82,2520122.0
2021-03-07 15:00:00,46.821,47.222,46.35,46.721,3058652.0
2021-03-07 16:00:00,46.785,47.663,46.51,47.239,7239756.0
2021-03-07 17:00:00,47.239,48.58,47.101,48.377,5071694.0
2021-03-07 18:00:00,48.568,48.571,46.81,47.094,4777391.0
2021-03-07 19:00:00,47.054,47.179,45.898,46.311,4856561.0
2021-03-07 20:00:00,46.081,46.826,45.714,46.727,6548915.0
2021-03-07 21:00:00,46.518,48.169,45.762,47.416,38502523.0
2021-03-07 22:00:00,47.349,48.954,47.349,48.8,17217887.0
2021-03-07 23:00:00,48.809,51.15,48.337,49.79,29054132.0
2021-03-08 00:00:00,49.771,52.024,49.47,51.81,19993695.0
2021-03-08 01:00:00,51.811,52.69,51.058,52.444,27396334.0
2021-03-08 02:00:00,52.606,52.75,51.273,51.633,9893157.0
2021-03-08 03:00:00,51.632,51.73,49.226,49.59,3687661.0
2021-03-08 04:00:00,49.591,49.703,48.65,49.222,3545575.0
2021-03-08 05:00:00,49.209,49.775,48.633,49.063,2852488.0
2021-03-08 06:00:00,49.063,54.555,48.868,49.75,10788518.0
2021-03-08 07:00:00,49.699,50.6,49.25,50.064,10262897.0
2021-03-08 08:00:00,50.104,50.427,47.784,48.201,17669875.0
2021-03-08 09:00:00,48.201,48.205,47.0,47.927,5446711.0
2021-03-08 10:00:00,47.837,48.6,47.0,47.15,6127023.0
2021-03-08 11:00:00,47.102,48.406,46.999,48.406,2664615.0
2021-03-08 12:00:00,48.194,49.312,47.787,48.673,4952895.0
2021-03-08 13:00:00,48.677,49.316,48.149,48.407,1636719.0
2021-03-08 14:00:00,48.407,49.16,47.721,48.728,3559046.0
2021-03-08 15:00:00,48.773,48.801,47.796,48.361,1553189.0
2021-03-08 16:00:00,48.202,49.8,47.941,49.06,2051636.0
2021-03-08 17:00:00,49.06,49.25,47.635,47.772,1791933.0
2021-03-08 18:00:00,47.77,48.118,47.579,47.873,1325463.0
2021-03-08 19:00:00,47.965,48.118,47.668,47.826,1048432.0
2021-03-08 20:00:00,47.669,47.994,46.971,47.649,3349492.0
2021-03-08 21:00:00,47.648,49.989,47.398,48.117,8894568.0
2021-03-08 22:00:00,48.129,48.423,47.822,48.1,1356337.0
2021-03-08 23:00:00,48.346,48.346,47.234,47.76,1395446.0
2021-03-09 00:00:00,47.759,49.05,47.695,48.912,2766047.0
2021-03-09 01:00:00,49.033,49.442,47.877,48.014,2682917.0
2021-03-09 02:00:00,48.007,49.687,47.877,49.3,2586803.0
2021-03-09 03:00:00,49.3,50.21,49.039,49.31,2640631.0
2021-03-09 04:00:00,49.321,49.924,49.056,49.292,2832871.0
