,Open,High,Low,Close,Volume
2021-04-30 14:00:00,4.5581,5.888,4.2,4.864,1218567900.0
2021-04-30 15:00:00,4.865,5.0459,4.5648,4.6784,989932900.0
2021-04-30 16:00:00,4.6795,4.752,4.3239,4.5499,977394200.0
2021-04-30 17:00:00,4.5498,4.6384,4.362,4.4583,836061100.0
2021-04-30 18:00:00,4.4583,4.61,4.3851,4.5305,693773900.0
2021-04-30 19:00:00,4.5456,4.76,4.5064,4.5286,719337300.0
2021-04-30 20:00:00,4.5254,4.6542,4.4617,4.6542,333139500.0
2021-04-30 21:00:00,4.651,4.6998,4.55,4.5942,244635000.0
2021-04-30 22:00:00,4.5904,4.7,4.5101,4.5629,155271100.0
2021-04-30 23:00:00,4.5629,4.6149,4.4467,4.4598,260444200.0
2021-05-01 00:00:00,4.4549,4.4841,4.3202,4.4247,372164900.0
2021-05-01 01:00:00,4.4202,4.4999,4.2922,4.3026,358678100.0
2021-05-01 02:00:00,4.3074,4.7896,4.25,4.7868,959639800.0
2021-05-01 03:00:00,4.786,4.8244,4.5536,4.5713,773002500.0
2021-05-01 04:00:00,4.5724,5.1197,4.5661,4.9182,1734933000.0
2021-05-01 05:00:00,4.9189,5.1,4.7578,4.761,981905200.0
2021-05-01 06:00:00,4.7649,4.84,4.5511,4.677,651727800.0
2021-05-01 07:00:00,4.678,4.85,4.6679,4.73,492080400.0
2021-05-01 08:00:00,4.7241,4.7998,4.6,4.65,320205600.0
2021-05-01 09:00:00,4.6508,4.6508,4.4,4.6241,700163700.0
2021-05-01 10:00:00,4.6241,4.8471,4.6001,4.6273,749688100.0
2021-05-01 11:00:00,4.6273,4.7574,4.4906,4.7094,846645300.0
2021-05-01 12:00:00,4.7092,5.0064,4.6407,4.812,1252626600.0
2021-05-01 13:00:00,4.8131,4.8999,4.6944,4.7399,652481100.0
2021-05-01 14:00:00,4.741,4.9699,4.7399,4.8288,723765500.0
2021-05-01 15:00:00,4.8182,5.7618,4.813,5.6319,4699185700.0
2021-05-01 16:00:00,5.6221,5.85,5.2,5.7388,4603919400.0
2021-05-01 17:00:00,5.7258,6.8333,5.7123,6.6734,10816077100.0
2021-05-01 18:00:00,6.6709,7.4625,6.45,6.4762,15527593600.0
2021-05-01 19:00:00,6.4667,7.19,6.2847,6.7049,7533935700.0
2021-05-01 20:00:00,6.7117,6.966,6.5509,6.66,3047916800.0
2021-05-01 21:00:00,6.6624,6.7336,6.42,6.5403,1459207200.0
2021-05-01 22:00:00,6.5403,6.5986,6.3212,6.3234,1160316300.0
2021-05-01 23:00:00,6.3234,6.6573,6.2023,6.309,2446079800.0
2021-05-02 00:00:00,6.3088,6.3392,6.1159,6.1181,1690771700.0
2021-05-02 01:00:00,6.1181,6.5455,6.04,6.5455,1842287700.0
2021-05-02 02:00:00,6.5328,6.98,6.4952,6.7913,4515703900.0
2021-05-02 03:00:00,6.8132,6.8253,6.37,6.4454,1471771300.0
2021-05-02 04:00:00,6.4443,6.8199,6.411,6.6202,1338696400.0
2021-05-02 05:00:00,6.5986,6.85,6.188,6.3636,1860893900.0
2021-05-02 06:00:00,6.3634,6.79,6.07,6.73,2250231400.0
2021-05-02 07:00:00,6.7391,7.75,6.6241,7.2944,7205404000.0
2021-05-02 08:00:00,7.286,7.5357,7.0,7.4,3982418700.0
2021-05-02 09:00:00,7.3999,7.5287,7.022,7.2137,3076393800.0
2021-05-02 10:00:00,7.2053,7.685,7.1,7.68,3416713500.0
2021-05-02 11:00:00,7.68,8.0703,7.5008,7.6088,6411091200.0
2021-05-02 12:00:00,7.6088,7.9411,7.4454,7.4887,3665844500.0
2021-05-02 13:00:00,7.488,7.75,7.24,7.6805,2481384600.0
2021-05-02 14:00:00,7.6865,7.99,7.5224,7.9241,2526627400.0
2021-05-02 15:00:00,7.9299,8.487,7.924,8.0015,8222437700.0
2021-05-02 16:00:00,8.03,8.4,7.94,8.0674,3407760700.0
2021-05-02 17:00:00,8.0663,8.1,7.629,7.8172,4039166300.0
2021-05-02 18:00:00,7.8127,8.0,7.2322,7.3061,3579160900.0
2021-05-02 19:00:00,7.329,7.59,7.1454,7.3531,2531358300.0
2021-05-02 20:00:00,7.3531,7.5683,7.2402,7.4767,1300184000.0
2021-05-02 21:00:00,7.4753,7.6497,7.3,7.6497,820420400.0
2021-05-02 22:00:00,7.6497,7.9325,7.5656,7.7303,2160852800.0
2021-05-02 23:00:00,7.7364,7.8698,7.4441,7.8006,1003088300.0
2021-05-03 00:00:00,7.8064,7.95,7.5703,7.6995,1229230200.0
2021-05-03 01:00:00,7.6995,8.27,7.59,8.1396,2307804700.0
2021-05-03 02:00:00,8.1314,8.2522,7.8699,7.9672,1558919300.0
2021-05-03 03:00:00,7.9602,7.9899,7.546,7.7,2037751500.0
2021-05-03 04:00:00,7.7,7.7971,7.5,7.6896,1119015700.0
2021-05-03 05:00:00,7.6896,7.7039,7.3605,7.5699,1058254800.0
2021-05-03 06:00:00,7.5614,7.5647,7.28,7.4032,935877800.0
2021-05-03 07:00:00,7.4033,7.4318,7.1328,7.345,1471286800.0
2021-05-03 08:00:00,7.3451,7.79,7.3209,7.78,1889811500.0
2021-05-03 09:00:00,7.7768,7.95,7.45,7.5428,1632844400.0
2021-05-03 10:00:00,7.5431,7.6575,7.3033,7.3499,1135618000.0
2021-05-03 11:00:00,7.3481,7.572,7.3,7.3553,948373800.0
2021-05-03 12:00:00,7.3553,7.4098,7.2002,7.3126,904321300.0
2021-05-03 13:00:00,7.3126,7.4289,7.19,7.2449,1062895399.9999999
2021-05-03 14:00:00,7.245,7.4599,7.245,7.358,1126795800.0
2021-05-03 15:00:00,7.3583,7.6209,7.18,7.2138,1795475800.0
2021-05-03 16:00:00,7.2138,7.2945,7.024,7.0693,1466790500.0
2021-05-03 17:00:00,7.0682,7.1441,6.8158,7.1417,2442964700.0
2021-05-03 18:00:00,7.1411,7.198,6.8,6.893,1350698600.0
2021-05-03 19:00:00,6.893,6.9001,6.66,6.6666,1146538300.0
2021-05-03 20:00:00,6.667,6.9963,6.6602,6.7801,995237600.0
2021-05-03 21:00:00,6.7893,6.96,6.7292,6.8855,544833700.0
2021-05-03 22:00:00,6.8705,7.213,6.8,7.117,1042338100.0
2021-05-03 23:00:00,7.12,7.1598,6.7252,6.9057,1143127800.0
2021-05-04 00:00:00,6.9163,6.98,6.7,6.965,468401600.0
2021-05-04 01:00:00,6.9661,6.973,6.8,6.829,407971700.0
2021-05-04 02:00:00,6.8379,6.8799,6.1555,6.2406,1974896200.0
2021-05-04 03:00:00,6.2406,6.83,6.2401,6.6799,1352104100.0
2021-05-04 04:00:00,6.6795,6.68,6.3,6.4418,768838700.0
2021-05-04 05:00:00,6.4302,6.6479,6.32,6.4806,603185400.0
