,Open,High,Low,Close,Volume
2021-04-21 13:00:00,38.19,73.8,38.19,52.146,1408223035.0
2021-04-21 14:00:00,52.14,67.789,51.286,59.351,755586828.0
2021-04-21 15:00:00,59.263,62.7,53.149,57.641,421004859.0
2021-04-21 16:00:00,57.749,57.755,51.918,53.086,179042219.0
2021-04-21 17:00:00,53.028,57.049,51.893,54.294,164112773.0
2021-04-21 18:00:00,54.242,55.21,52.005,53.621,78021585.0
2021-04-21 19:00:00,53.753,54.0,52.0,52.46,42937164.0
2021-04-21 20:00:00,52.459,52.59,48.573,49.0,98052705.0
2021-04-21 21:00:00,48.849,49.584,45.971,47.5,136755774.0
2021-04-21 22:00:00,47.513,48.0,44.0,44.955,82696546.0
2021-04-21 23:00:00,44.955,45.2,42.3,44.441,72575108.0
2021-04-22 00:00:00,44.441,54.093,44.38,47.001,268318379.00000003
2021-04-22 01:00:00,47.067,50.575,44.519,46.888,98849231.0
2021-04-22 02:00:00,46.871,49.485,45.0,49.059,73689000.0
2021-04-22 03:00:00,48.902,51.0,45.904,46.011,51197960.0
2021-04-22 04:00:00,46.065,47.17,45.02,46.491,20985136.0
2021-04-22 05:00:00,46.491,48.557,45.101,48.499,32730812.0
2021-04-22 06:00:00,48.499,48.499,45.764,46.802,25670296.0
2021-04-22 07:00:00,46.992,48.9,45.3,45.665,27201665.0
2021-04-22 08:00:00,45.7,46.361,43.802,44.66,37394076.0
2021-04-22 09:00:00,44.66,45.5,43.203,44.771,25105856.0
2021-04-22 10:00:00,44.678,44.799,41.909,42.196,41889366.0
2021-04-22 11:00:00,42.195,44.5,41.208,42.023,39756822.0
2021-04-22 12:00:00,42.017,43.623,40.635,40.995,31512319.0
2021-04-22 13:00:00,40.995,43.666,40.746,41.87,46360976.0
2021-04-22 14:00:00,42.008,42.178,40.566,41.584,42309629.0
2021-04-22 15:00:00,41.608,43.249,40.751,42.366,43292992.0
2021-04-22 16:00:00,42.366,44.673,41.842,42.957,54608587.0
2021-04-22 17:00:00,42.937,43.975,42.742,43.031,29043637.0
2021-04-22 18:00:00,43.047,44.721,42.5,43.183,28540616.0
2021-04-22 19:00:00,43.18,43.285,40.8,41.0,31768742.0
2021-04-22 20:00:00,41.161,41.999,40.5,41.199,21968536.0
2021-04-22 21:00:00,41.011,42.0,40.0,40.703,24369934.0
2021-04-22 22:00:00,40.894,40.894,38.469,38.562,38978821.0
2021-04-22 23:00:00,38.561,43.212,38.301,40.09,121708078.0
2021-04-23 00:00:00,40.09,40.09,37.6,37.866,36800770.0
2021-04-23 01:00:00,37.866,38.92,37.3,37.862,22213215.0
2021-04-23 02:00:00,37.845,39.609,37.5,38.94,37872738.0
2021-04-23 03:00:00,39.052,39.064,34.0,35.438,40102370.0
2021-04-23 04:00:00,35.674,35.766,29.617,32.383,43668999.0
2021-04-23 05:00:00,32.395,34.998,30.4,34.3,21543903.0
2021-04-23 06:00:00,34.3,35.999,31.7,32.647,15667037.0
2021-04-23 07:00:00,32.647,34.499,30.249,33.164,20737253.0
2021-04-23 08:00:00,33.199,33.406,30.267,32.246,31372128.0
2021-04-23 09:00:00,32.22,36.586,32.0,32.346,34921087.0
2021-04-23 10:00:00,32.416,34.8,32.339,32.713,20335723.0
2021-04-23 11:00:00,32.997,33.279,31.613,32.551,13041074.0
2021-04-23 12:00:00,32.557,34.0,32.23,33.796,18213013.0
2021-04-23 13:00:00,33.795,37.878,33.252,35.787,33489206.0
2021-04-23 14:00:00,35.786,37.227,34.046,34.054,16935091.0
2021-04-23 15:00:00,34.054,34.862,33.555,34.311,11858367.0
2021-04-23 16:00:00,33.849,36.0,33.825,35.428,8982890.0
2021-04-23 17:00:00,35.4,35.794,34.89,35.303,3800000.0
2021-04-23 18:00:00,35.303,37.5,34.56,37.252,23361398.0
2021-04-23 19:00:00,37.215,38.8,36.39,36.523,29861395.0
2021-04-23 20:00:00,36.6,38.5,35.874,36.803,17292028.0
2021-04-23 21:00:00,36.949,37.4,36.198,36.426,11067789.0
2021-04-23 22:00:00,36.348,37.1,35.21,35.501,18271502.0
2021-04-23 23:00:00,35.5,37.1,35.0,35.181,12452484.0
2021-04-24 00:00:00,35.084,35.417,34.431,34.706,12337465.0
2021-04-24 01:00:00,34.706,36.25,34.27,35.186,16465760.999999998
