,Open,High,Low,Close,Volume
2019-03-04 11:00:00,0.1691,0.1691,0.1591,0.1641,423961560.0
2019-03-04 12:00:00,0.1636,0.1656,0.1605,0.1617,27153490.0
2019-03-04 13:00:00,0.1634,0.1647,0.1613,0.164,33377129.999999996
2019-03-04 14:00:00,0.164,0.169,0.1625,0.1652,167389290.0
2019-03-04 15:00:00,0.1652,0.1675,0.1607,0.1667,149022470.0
2019-03-04 16:00:00,0.1667,0.1677,0.1634,0.1669,29441970.0
2019-03-04 17:00:00,0.1675,0.1935,0.1658,0.1705,290468240.0
2019-03-04 18:00:00,0.1715,0.1758,0.1698,0.172,261075860.0
2019-03-04 19:00:00,0.1715,0.174,0.17,0.1713,118450380.0
2019-03-04 20:00:00,0.1713,0.1725,0.1684,0.1704,68323440.0
2019-03-04 21:00:00,0.1709,0.1714,0.1677,0.1684,86086620.0
2019-03-04 22:00:00,0.1684,0.1699,0.1672,0.1684,37669620.0
2019-03-04 23:00:00,0.1681,0.169,0.1674,0.1674,39047430.0
2019-03-05 00:00:00,0.1674,0.1698,0.1659,0.1674,81849470.0
2019-03-05 01:00:00,0.1675,0.1687,0.1666,0.1687,12492510.0
2019-03-05 02:00:00,0.1687,0.1713,0.1683,0.1696,54141410.0
2019-03-05 03:00:00,0.1696,0.1777,0.1696,0.1721,223085910.0
2019-03-05 04:00:00,0.1719,0.1722,0.1691,0.1705,109067760.0
2019-03-05 05:00:00,0.1705,0.1796,0.17,0.1765,337757520.0
2019-03-05 06:00:00,0.1763,0.1764,0.1714,0.1733,187984780.0
2019-03-05 07:00:00,0.1733,0.174,0.172,0.172,93757450.0
2019-03-05 08:00:00,0.172,0.1795,0.1692,0.1741,140376100.0
2019-03-05 09:00:00,0.1745,0.1775,0.173,0.1735,253608740.0
2019-03-05 10:00:00,0.174,0.1757,0.173,0.1757,24265630.0
2019-03-05 11:00:00,0.175,0.1768,0.1731,0.174,57893080.0
2019-03-05 12:00:00,0.1731,0.1737,0.1715,0.1732,126829220.0
2019-03-05 13:00:00,0.1739,0.1739,0.1708,0.1719,35316310.0
2019-03-05 14:00:00,0.1725,0.1757,0.172,0.1745,300563420.0
2019-03-05 15:00:00,0.1754,0.1765,0.1742,0.1742,113617980.0
2019-03-05 16:00:00,0.174,0.1765,0.1722,0.1755,283765560.0
2019-03-05 17:00:00,0.1757,0.1768,0.1712,0.1736,125289700.0
2019-03-05 18:00:00,0.174,0.1747,0.172,0.1741,99056040.0
2019-03-05 19:00:00,0.1745,0.1768,0.1741,0.1767,205071450.0
