,Open,High,Low,Close,Volume
2019-11-28 11:00:00,220.08,224.6,212.02,218.98,1329507.1800000002
2019-11-28 12:00:00,218.98,219.4,218.12,219.04,511873.05
2019-11-28 13:00:00,219.04,219.05,216.57,217.53,781629.61
2019-11-28 14:00:00,217.55,218.78,217.54,218.29,461331.72000000003
2019-11-28 15:00:00,218.0,219.0,217.45,218.67,600068.1
2019-11-28 16:00:00,218.35,222.3,218.24,221.39,1636166.1099999999
2019-11-28 17:00:00,221.4,221.41,219.27,220.53,871698.6000000001
2019-11-28 18:00:00,220.54,220.67,219.66,219.87,334879.94
2019-11-28 19:00:00,219.67,220.28,219.0,219.76,487834.67000000004
2019-11-28 20:00:00,219.76,221.0,219.62,220.96,537441.02
2019-11-28 21:00:00,220.87,221.0,218.45,218.99,1040612.8200000001
2019-11-28 22:00:00,218.84,218.96,216.75,218.72,836845.86
2019-11-28 23:00:00,218.6,220.0,216.36,216.99,1360538.36
2019-11-29 00:00:00,217.08,218.51,215.96,217.41,766373.8200000001
2019-11-29 01:00:00,217.4,218.94,216.9,218.48,736199.86
2019-11-29 02:00:00,218.49,218.79,217.5,218.37,400455.83
2019-11-29 03:00:00,218.16,218.83,217.94,218.32,352803.65
2019-11-29 04:00:00,218.34,220.73,218.34,220.18,1979639.1
2019-11-29 05:00:00,220.35,220.49,219.7,219.76,1526209.77
2019-11-29 06:00:00,219.67,219.93,218.67,219.34,337764.88
2019-11-29 07:00:00,219.45,219.52,218.4,219.36,661191.7200000001
2019-11-29 08:00:00,219.55,221.87,219.55,221.52,2842494.38
2019-11-29 09:00:00,221.36,222.94,220.47,221.99,2808570.05
2019-11-29 10:00:00,222.01,226.0,221.98,224.96,4638489.64
2019-11-29 11:00:00,225.01,225.84,223.51,224.21,1611649.73
2019-11-29 12:00:00,224.15,225.87,223.4,224.09,2056314.8099999998
2019-11-29 13:00:00,224.09,225.55,220.38,224.49,6381805.34
2019-11-29 14:00:00,224.48,226.49,223.0,225.03,6714397.090000001
2019-11-29 15:00:00,225.17,226.0,224.0,225.26,3504162.6700000004
2019-11-29 16:00:00,225.36,226.09,224.52,225.81,2390194.8699999996
2019-11-29 17:00:00,225.9,226.34,223.5,224.48,1354822.18
2019-11-29 18:00:00,224.52,225.11,223.86,224.36,2844591.39
2019-11-29 19:00:00,224.36,224.85,224.03,224.58,950203.51
2019-11-29 20:00:00,224.52,224.64,223.37,223.65,1091927.31
2019-11-29 21:00:00,223.57,224.29,223.29,224.03,855716.78
2019-11-29 22:00:00,224.06,224.11,222.48,222.9,2277320.08
2019-11-29 23:00:00,222.79,223.46,222.75,223.3,516827.94
2019-11-30 00:00:00,223.29,224.19,222.87,224.0,1400797.6900000002
2019-11-30 01:00:00,223.89,224.67,223.5,224.12,3476927.7699999996
2019-11-30 02:00:00,223.97,224.5,223.5,223.81,1047817.9299999999
2019-11-30 03:00:00,223.66,223.94,223.0,223.3,1184907.8199999998
2019-11-30 04:00:00,223.18,224.27,222.69,224.27,1075450.53
2019-11-30 05:00:00,224.22,224.22,222.97,223.38,687582.47
2019-11-30 06:00:00,223.26,223.93,223.2,223.65,765561.38
2019-11-30 07:00:00,223.59,223.81,222.83,223.16,2260569.0300000003
