,Open,High,Low,Close,Volume
2019-09-21 14:00:00,1.405,1.5557,1.3212,1.4252,554534040.0
2019-09-21 15:00:00,1.4346,1.4525,1.4008,1.4299,56324570.0
2019-09-21 16:00:00,1.4298,1.442,1.4067,1.4311,36581200.0
2019-09-21 17:00:00,1.4312,1.4498,1.39,1.3929,22345410.0
2019-09-21 18:00:00,1.39,1.3965,1.3605,1.3607,24115870.0
2019-09-21 19:00:00,1.37,1.3733,1.335,1.335,52662140.0
2019-09-21 20:00:00,1.34,1.3468,1.31,1.31,22876770.0
2019-09-21 21:00:00,1.3132,1.3199,1.29,1.3199,45394350.0
2019-09-21 22:00:00,1.322,1.3288,1.2902,1.311,81381460.0
2019-09-21 23:00:00,1.322,1.36,1.3079,1.3596,20622570.0
2019-09-22 00:00:00,1.3551,1.3898,1.3202,1.3295,79689420.0
2019-09-22 01:00:00,1.3321,1.3397,1.3218,1.3366,7750330.0
2019-09-22 02:00:00,1.3365,1.3365,1.29,1.2977,29022000.0
2019-09-22 03:00:00,1.2977,1.315,1.2171,1.2458,31615210.0
2019-09-22 04:00:00,1.24,1.2802,1.2225,1.27,17361110.0
2019-09-22 05:00:00,1.2672,1.333,1.2642,1.2826,35871180.0
2019-09-22 06:00:00,1.281,1.3025,1.26,1.298,23799680.0
2019-09-22 07:00:00,1.2731,1.2977,1.2601,1.2947,4982750.0
2019-09-22 08:00:00,1.2947,1.2977,1.2607,1.2738,8211590.0
2019-09-22 09:00:00,1.2725,1.3198,1.2688,1.2693,66385080.0
2019-09-22 10:00:00,1.27,1.27,1.2501,1.2655,20765350.0
2019-09-22 11:00:00,1.26,1.28,1.2399,1.28,25098730.0
2019-09-22 12:00:00,1.28,1.2868,1.2631,1.277,11260730.0
2019-09-22 13:00:00,1.2709,1.3197,1.2709,1.3137,19103420.0
2019-09-22 14:00:00,1.317,1.3199,1.27,1.28,22706850.0
2019-09-22 15:00:00,1.2929,1.3,1.2745,1.2898,12297380.0
2019-09-22 16:00:00,1.2898,1.2898,1.2681,1.2798,10746300.0
2019-09-22 17:00:00,1.2779,1.2884,1.24,1.2405,41320920.0
2019-09-22 18:00:00,1.245,1.26,1.225,1.245,16424740.000000002
2019-09-22 19:00:00,1.2449,1.2449,1.2225,1.2436,3569050.0
2019-09-22 20:00:00,1.2313,1.2474,1.223,1.223,3564300.0
2019-09-22 21:00:00,1.223,1.2414,1.22,1.2226,11068010.0
2019-09-22 22:00:00,1.2226,1.238,1.2116,1.2227,5174170.0
2019-09-22 23:00:00,1.2374,1.242,1.2292,1.2419,2375560.0
2019-09-23 00:00:00,1.2419,1.242,1.2301,1.242,422830.0
