,Open,High,Low,Close,Volume
2020-09-15 10:00:00,0.75,19.0,0.75,6.5671,2442128900.0
2020-09-15 11:00:00,6.5776,6.7846,5.8464,6.2788,1126094010.0
2020-09-15 12:00:00,6.2922,9.1314,6.1937,8.54,2055306200.0
2020-09-15 13:00:00,8.5677,10.311,7.5703,9.6274,2175230140.0
2020-09-15 14:00:00,9.6224,10.1,8.6301,9.0278,1284596190.0
2020-09-15 15:00:00,9.0279,9.65,8.2308,9.25,1039957490.0
2020-09-15 16:00:00,9.2464,9.2989,8.3,8.3,385845370.0
2020-09-15 17:00:00,8.2995,8.57,6.88,7.7025,1060992500.0
2020-09-15 18:00:00,7.7019,7.7019,6.5926,6.9997,648680710.0
2020-09-15 19:00:00,6.9997,7.0865,5.729,6.3448,1184129230.0
2020-09-15 20:00:00,6.35,6.6769,6.0,6.5319,558505050.0
2020-09-15 21:00:00,6.5323,6.55,6.2387,6.2671,129767870.0
2020-09-15 22:00:00,6.2671,6.2902,5.273,5.4366,480364620.0
2020-09-15 23:00:00,5.4366,7.2297,5.3739,7.12,788202790.0
2020-09-16 00:00:00,7.145,7.4,6.2101,6.368,726790060.0
2020-09-16 01:00:00,6.3989,6.55,5.61,6.2073,485266250.0
2020-09-16 02:00:00,6.2183,6.2497,5.6375,5.8799,288480970.0
2020-09-16 03:00:00,5.8798,6.07,5.2285,5.2448,304620360.0
2020-09-16 04:00:00,5.2447,5.2772,4.55,4.7,680194010.0
2020-09-16 05:00:00,4.714,4.8107,4.05,4.4845,563068900.0
2020-09-16 06:00:00,4.4513,4.899,4.2555,4.3322,479688430.0
2020-09-16 07:00:00,4.3326,4.55,4.16,4.4011,250639380.0
2020-09-16 08:00:00,4.4071,5.75,4.4045,5.518,491700520.0
2020-09-16 09:00:00,5.5714,5.8773,4.96,5.6022,762774480.0
2020-09-16 10:00:00,5.5884,5.6988,5.0265,5.1654,384125040.0
2020-09-16 11:00:00,5.1945,5.2254,4.5802,4.7024,346036620.0
2020-09-16 12:00:00,4.7047,4.9627,4.424,4.534,361899970.0
2020-09-16 13:00:00,4.5338,4.87,4.464,4.8008,253351110.0
2020-09-16 14:00:00,4.8013,4.885,4.3159,4.4123,217256190.0
