,Open,High,Low,Close,Volume
2021-10-08 14:00:00,0.06001,4.0,0.06001,2.94413,90979764000.0
2021-10-08 15:00:00,2.9384,3.95,2.9,3.77336,55353642000.0
2021-10-08 16:00:00,3.77336,4.75,3.58,3.93063,86053128000.0
2021-10-08 17:00:00,3.93063,3.99,3.36,3.89061,35273068000.0
2021-10-08 18:00:00,3.89061,3.93399,3.5688,3.802,16620929000.0
2021-10-08 19:00:00,3.80468,3.80483,3.41346,3.44,8926752000.0
2021-10-08 20:00:00,3.43994,3.54999,3.23581,3.29026,11198985000.0
2021-10-08 21:00:00,3.28297,3.32,3.05001,3.228,9429228000.0
2021-10-08 22:00:00,3.22773,3.35,3.08197,3.12252,7037733000.0
2021-10-08 23:00:00,3.12566,3.38413,3.12241,3.22857,6527655000.0
2021-10-09 00:00:00,3.22775,3.3,3.10605,3.16163,3591535000.0
2021-10-09 01:00:00,3.16452,3.30296,3.15,3.23,3960571000.0
2021-10-09 02:00:00,3.2331,3.61,3.18334,3.57757,10203888000.0
2021-10-09 03:00:00,3.57862,3.66599,3.37487,3.46458,6242445000.0
2021-10-09 04:00:00,3.45657,3.58,3.3788,3.42449,4056314000.0
2021-10-09 05:00:00,3.42396,3.43469,3.15953,3.23181,4639594000.0
2021-10-09 06:00:00,3.23182,3.29,3.1752,3.23426,1904849000.0
2021-10-09 07:00:00,3.2346,3.29999,3.15999,3.16261,2405131000.0
2021-10-09 08:00:00,3.1656,3.41646,3.16,3.294,4286219000.0
2021-10-09 09:00:00,3.29401,3.47,3.25,3.39387,5090585000.0
2021-10-09 10:00:00,3.39391,3.83424,3.36422,3.6585,12926673000.0
2021-10-09 11:00:00,3.65847,4.5,3.65836,4.16199,46666598000.0
2021-10-09 12:00:00,4.16138,4.22,3.8561,3.9449,13231438000.0
2021-10-09 13:00:00,3.94512,4.35,3.9,4.03953,17417811000.0
2021-10-09 14:00:00,4.03941,4.12981,3.93,3.99459,9094334000.0
2021-10-09 15:00:00,3.99464,4.06,3.575,3.6038,11346945000.0
2021-10-09 16:00:00,3.60322,3.70888,3.51001,3.51939,5961470000.0
2021-10-09 17:00:00,3.5191,3.62222,3.35,3.42646,7113567000.0
2021-10-09 18:00:00,3.42902,3.52275,3.32285,3.41901,4641747000.0
2021-10-09 19:00:00,3.41901,3.54,3.3568,3.50846,2461925000.0
2021-10-09 20:00:00,3.50616,3.64,3.45,3.48,3684279000.0
2021-10-09 21:00:00,3.48,3.68,3.47898,3.54928,4853200000.0
2021-10-09 22:00:00,3.54908,3.61999,3.42,3.44427,2192393000.0
2021-10-09 23:00:00,3.44419,3.49999,3.395,3.47843,1421350000.0
2021-10-10 00:00:00,3.47882,3.58125,3.41,3.52251,1422610000.0
2021-10-10 01:00:00,3.52251,3.57163,3.43177,3.4519,944929000.0
2021-10-10 02:00:00,3.45191,3.59,3.365,3.50102,1957858000.0
2021-10-10 03:00:00,3.50101,3.5551,3.3,3.34506,2196066000.0
2021-10-10 04:00:00,3.34508,3.36678,3.253,3.33589,1601642000.0
2021-10-10 05:00:00,3.34154,3.54,3.33857,3.49534,1603113000.0
2021-10-10 06:00:00,3.49825,3.76,3.46347,3.582,5314036000.0
2021-10-10 07:00:00,3.582,3.65952,3.4795,3.57163,2480699000.0
2021-10-10 08:00:00,3.57164,3.68,3.521,3.57757,2080107000.0
2021-10-10 09:00:00,3.58048,3.65,3.51684,3.59799,1440102000.0
2021-10-10 10:00:00,3.59768,3.598,3.388,3.42506,1935432000.0
2021-10-10 11:00:00,3.42556,3.472,3.37142,3.44,1954288000.0
2021-10-10 12:00:00,3.44,3.494,3.415,3.4436,1546541000.0
2021-10-10 13:00:00,3.44357,3.44416,3.38205,3.40971,1102841000.0
2021-10-10 14:00:00,3.40971,3.4175,3.371,3.38725,728110000.0
2021-10-10 15:00:00,3.38725,3.52,3.35,3.46761,2267560000.0
2021-10-10 16:00:00,3.46761,3.477,3.39699,3.43608,1069302000.0
2021-10-10 17:00:00,3.43585,3.467,3.403,3.409,745912000.0
2021-10-10 18:00:00,3.409,3.42999,3.35892,3.37453,789055000.0
2021-10-10 19:00:00,3.37719,3.39795,3.351,3.36671,775021000.0
2021-10-10 20:00:00,3.36668,3.373,3.31423,3.32659,883525000.0
2021-10-10 21:00:00,3.32659,3.35236,3.28,3.34164,874356000.0
2021-10-10 22:00:00,3.34114,3.34182,3.273,3.31535,565571000.0
2021-10-10 23:00:00,3.31535,3.319,3.211,3.2444,1118334000.0
2021-10-11 00:00:00,3.2444,3.355,3.2444,3.2979,611716000.0
2021-10-11 01:00:00,3.29786,3.31936,3.16635,3.17,708878000.0
2021-10-11 02:00:00,3.17,3.30225,3.11549,3.29762,1358962000.0
2021-10-11 03:00:00,3.29759,3.35,3.20782,3.2744,1020630000.0
2021-10-11 04:00:00,3.27503,3.27917,3.15,3.22652,1315702000.0
2021-10-11 05:00:00,3.22499,3.29,3.2,3.22452,749902000.0
2021-10-11 06:00:00,3.23776,3.24575,3.11,3.138,1149391000.0
2021-10-11 07:00:00,3.13633,3.18366,3.0229,3.02975,1479199000.0
2021-10-11 08:00:00,3.02892,3.10604,2.8168,2.91595,5075223000.0
2021-10-11 09:00:00,2.91592,3.0309,2.86708,2.94095,2424763000.0
2021-10-11 10:00:00,2.94251,3.00376,2.88,2.99009,1685805000.0
2021-10-11 11:00:00,2.99101,2.99595,2.881,2.89335,1150105000.0
2021-10-11 12:00:00,2.89346,2.92592,2.80089,2.83993,1839731000.0
2021-10-11 13:00:00,2.83694,2.8489,2.69511,2.74866,3233718000.0
2021-10-11 14:00:00,2.74861,2.801,2.72,2.78501,1222055000.0
2021-10-11 15:00:00,2.78492,2.898,2.73258,2.73623,2655356000.0
2021-10-11 16:00:00,2.73585,2.76167,2.66,2.66982,2788796000.0
2021-10-11 17:00:00,2.66503,2.75291,2.617,2.62492,1922443000.0
2021-10-11 18:00:00,2.62561,2.7689,2.54179,2.6945,3984403000.0
2021-10-11 19:00:00,2.69479,2.846,2.69005,2.74345,2428083000.0
2021-10-11 20:00:00,2.74345,2.785,2.64601,2.654,735934000.0
2021-10-11 21:00:00,2.65452,2.73067,2.63089,2.6392,547437000.0
2021-10-11 22:00:00,2.6399,2.64421,2.59791,2.61937,668271000.0
2021-10-11 23:00:00,2.61937,2.75,2.6,2.71241,944905000.0
2021-10-12 00:00:00,2.71491,2.79,2.64508,2.75212,964749000.0
2021-10-12 01:00:00,2.75212,2.78998,2.68701,2.72332,499157000.0
2021-10-12 02:00:00,2.72054,2.72328,2.62257,2.6639,701936000.0
2021-10-12 03:00:00,2.66501,2.79875,2.64354,2.755,1249655000.0
2021-10-12 04:00:00,2.755,2.85899,2.71885,2.82059,1338038000.0
2021-10-12 05:00:00,2.82059,2.89665,2.69742,2.75624,1421683000.0
2021-10-12 06:00:00,2.75624,2.79593,2.7054,2.7899,630583000.0
2021-10-12 07:00:00,2.7899,2.81,2.666,2.7197,616312000.0
2021-10-12 08:00:00,2.72002,2.74753,2.61715,2.633,795603000.0
2021-10-12 09:00:00,2.63301,2.67294,2.62759,2.63404,582099000.0
2021-10-12 10:00:00,2.63388,2.6777,2.61965,2.64763,460123000.0
2021-10-12 11:00:00,2.64539,2.65753,2.51801,2.52477,1069991000.0
2021-10-12 12:00:00,2.52315,2.54,2.46,2.46547,1601816000.0
2021-10-12 13:00:00,2.46711,2.74,2.46012,2.64236,3574446000.0
2021-10-12 14:00:00,2.64042,2.86458,2.63001,2.72001,4560810000.0
2021-10-12 15:00:00,2.72002,2.82923,2.6789,2.7091,1896467000.0
2021-10-12 16:00:00,2.71006,2.712,2.61,2.66837,1565215000.0
2021-10-12 17:00:00,2.66278,2.86577,2.64,2.82244,1992477000.0
2021-10-12 18:00:00,2.82244,2.82568,2.68501,2.68617,1821411000.0
2021-10-12 19:00:00,2.6861,2.72001,2.65001,2.68855,756743000.0
2021-10-12 20:00:00,2.68824,2.73399,2.67,2.67051,504081000.0
2021-10-12 21:00:00,2.67064,2.73399,2.67051,2.708,478907000.0
2021-10-12 22:00:00,2.70928,2.70928,2.672,2.70478,465461000.0
2021-10-12 23:00:00,2.70472,2.75,2.69477,2.71999,548223000.0
2021-10-13 00:00:00,2.7187,2.76799,2.70117,2.76277,459635000.0
2021-10-13 01:00:00,2.76442,2.766,2.698,2.74879,367159000.0
2021-10-13 02:00:00,2.74685,2.76,2.67888,2.69479,492663000.0
2021-10-13 03:00:00,2.69495,2.69497,2.6215,2.64298,1005195000.0
2021-10-13 04:00:00,2.643,2.68,2.63,2.66152,322782000.0
2021-10-13 05:00:00,2.66003,2.69,2.59423,2.66947,714592000.0
2021-10-13 06:00:00,2.66628,2.6777,2.63441,2.66368,292171000.0
2021-10-13 07:00:00,2.66368,2.70206,2.49642,2.50599,2371698000.0
2021-10-13 08:00:00,2.50135,2.595,2.47,2.56742,1222211000.0
2021-10-13 09:00:00,2.56735,2.58295,2.469,2.48049,984441000.0
2021-10-13 10:00:00,2.48233,2.555,2.42082,2.44539,1539626000.0
2021-10-13 11:00:00,2.44265,2.47395,2.4,2.42093,1395110000.0
2021-10-13 12:00:00,2.42093,2.46277,2.4,2.41139,902686000.0
2021-10-13 13:00:00,2.41506,2.48106,2.41139,2.45601,641802000.0
2021-10-13 14:00:00,2.45601,2.45601,2.33401,2.33851,1870461000.0
2021-10-13 15:00:00,2.33844,2.37453,2.32001,2.34244,1249813000.0
2021-10-13 16:00:00,2.34244,2.4012,2.27862,2.40118,2351600000.0
2021-10-13 17:00:00,2.40118,2.43,2.33079,2.35,1293137000.0
2021-10-13 18:00:00,2.35263,2.385,2.33801,2.34325,642690000.0
2021-10-13 19:00:00,2.34325,2.35664,2.30037,2.31054,681253000.0
2021-10-13 20:00:00,2.31472,2.34,2.28,2.28019,591635000.0
2021-10-13 21:00:00,2.28019,2.30501,2.26,2.287,558522000.0
2021-10-13 22:00:00,2.287,2.35804,2.287,2.35297,718614000.0
2021-10-13 23:00:00,2.35155,2.42642,2.33859,2.36959,873658000.0
2021-10-14 00:00:00,2.36828,2.38747,2.3,2.31651,418833000.0
2021-10-14 01:00:00,2.31683,2.39137,2.3,2.368,535282000.0
2021-10-14 02:00:00,2.37253,2.39,2.3,2.3237,770554000.0
2021-10-14 03:00:00,2.327,2.37172,2.3,2.347,510780000.0
2021-10-14 04:00:00,2.346,2.43498,2.34288,2.37466,1086282000.0
2021-10-14 05:00:00,2.37442,2.379,2.34087,2.3546,461984000.0
2021-10-14 06:00:00,2.35287,2.36,2.31824,2.35492,399743000.0
2021-10-14 07:00:00,2.35629,2.39699,2.31837,2.32503,834541000.0
2021-10-14 08:00:00,2.32507,2.35495,2.3,2.33744,898478000.0
2021-10-14 09:00:00,2.33744,2.38147,2.32541,2.32652,856939000.0
2021-10-14 10:00:00,2.32652,2.61999,2.32508,2.61287,3352458000.0
2021-10-14 11:00:00,2.61976,2.66481,2.47046,2.50387,5787657000.0
2021-10-14 12:00:00,2.50439,2.62,2.4845,2.5945,2395994000.0
2021-10-14 13:00:00,2.595,2.595,2.42803,2.4397,1748704000.0
2021-10-14 14:00:00,2.4397,2.5045,2.41601,2.43175,1104457000.0
2021-10-14 15:00:00,2.43002,2.47949,2.40943,2.41939,880459000.0
2021-10-14 16:00:00,2.42008,2.47003,2.389,2.389,855623000.0
2021-10-14 17:00:00,2.389,2.41746,2.355,2.3863,1030676000.0
2021-10-14 18:00:00,2.3874,2.39,2.34,2.34404,641996000.0
2021-10-14 19:00:00,2.34551,2.427,2.33166,2.4,654238000.0
2021-10-14 20:00:00,2.4,2.40139,2.33384,2.34898,443690000.0
2021-10-14 21:00:00,2.35154,2.35734,2.32034,2.33186,340940000.0
2021-10-14 22:00:00,2.33,2.389,2.32,2.3289,631365000.0
2021-10-14 23:00:00,2.32889,2.3289,2.3,2.30301,640379000.0
2021-10-15 00:00:00,2.30486,2.3352,2.3,2.3203,292637000.0
2021-10-15 01:00:00,2.32222,2.38806,2.31486,2.37003,338387000.0
2021-10-15 02:00:00,2.37041,2.39,2.32301,2.32813,351391000.0
2021-10-15 03:00:00,2.32813,2.45,2.32709,2.39078,1354065000.0
2021-10-15 04:00:00,2.38864,2.41538,2.35669,2.3578,706907000.0
2021-10-15 05:00:00,2.35669,2.36805,2.33377,2.35573,444189000.0
2021-10-15 06:00:00,2.35277,2.35645,2.28,2.31531,1002720000.0
2021-10-15 07:00:00,2.31834,2.33952,2.28443,2.30459,662088000.0
