,Open,High,Low,Close,Volume
2021-12-09 07:00:00,5.631,7.999,5.631,6.496,2103611420.0
2021-12-09 08:00:00,6.498,6.792,6.25,6.513,481074020.0
2021-12-09 09:00:00,6.507,6.68,6.293,6.372,292190440.0
2021-12-09 10:00:00,6.364,6.38,5.957,6.0,399916630.0
2021-12-09 11:00:00,6.02,6.394,5.7,6.25,607027680.0
2021-12-09 12:00:00,6.247,6.38,6.038,6.119,220568240.0
2021-12-09 13:00:00,6.127,6.409,5.951,6.337,213239970.0
2021-12-09 14:00:00,6.324,6.55,6.121,6.251,480353890.0
2021-12-09 15:00:00,6.251,6.341,5.841,5.999,297202180.0
2021-12-09 16:00:00,5.993,6.323,5.894,5.955,301323930.0
2021-12-09 17:00:00,5.955,6.27,5.938,6.226,210325480.0
2021-12-09 18:00:00,6.227,6.242,5.99,6.002,103147640.0
2021-12-09 19:00:00,5.999,6.095,5.911,6.055,130260040.0
2021-12-09 20:00:00,6.055,6.3,5.94,6.168,264931380.0
2021-12-09 21:00:00,6.161,6.229,6.088,6.17,87934200.0
2021-12-09 22:00:00,6.17,6.17,6.0,6.094,57589200.0
2021-12-09 23:00:00,6.094,6.187,6.008,6.187,47484890.0
2021-12-10 00:00:00,6.19,6.48,6.05,6.066,288859870.0
2021-12-10 01:00:00,6.068,6.674,6.068,6.285,452505930.0
2021-12-10 02:00:00,6.285,6.484,6.132,6.177,190376830.0
2021-12-10 03:00:00,6.177,6.228,6.123,6.177,67398480.0
2021-12-10 04:00:00,6.183,6.405,6.12,6.12,143286950.0
2021-12-10 05:00:00,6.12,6.44,5.99,6.15,294356560.0
2021-12-10 06:00:00,6.15,6.193,5.899,6.085,235534800.0
2021-12-10 07:00:00,6.082,6.089,5.888,5.899,121222280.0
2021-12-10 08:00:00,5.899,5.922,5.701,5.733,133532829.99999999
2021-12-10 09:00:00,5.738,5.999,5.697,5.912,150204940.0
2021-12-10 10:00:00,5.906,5.96,5.736,5.806,157398900.0
2021-12-10 11:00:00,5.8,5.835,5.7,5.726,64245310.0
2021-12-10 12:00:00,5.726,5.862,5.672,5.762,95235330.0
2021-12-10 13:00:00,5.771,5.933,5.755,5.91,94819360.0
2021-12-10 14:00:00,5.91,5.929,5.751,5.876,97686420.0
2021-12-10 15:00:00,5.876,5.921,5.683,5.715,89401090.0
2021-12-10 16:00:00,5.699,5.8,5.573,5.603,84277950.0
2021-12-10 17:00:00,5.603,5.7,5.395,5.453,182188180.0
2021-12-10 18:00:00,5.463,5.755,5.404,5.491,142451380.0
2021-12-10 19:00:00,5.49,5.827,5.481,5.616,95586040.0
2021-12-10 20:00:00,5.616,5.616,5.482,5.553,55331730.0
