,Open,High,Low,Close,Volume
2020-08-11 08:00:00,0.12866,0.1698,0.11895,0.1357,290282900.0
2020-08-11 09:00:00,0.13591,0.14068,0.131,0.1337,100211900.0
2020-08-11 10:00:00,0.13369,0.135,0.13128,0.13128,35676600.0
2020-08-11 11:00:00,0.1323,0.13508,0.13161,0.13273,29082900.0
2020-08-11 12:00:00,0.13463,0.13506,0.12841,0.12986,125572100.0
2020-08-11 13:00:00,0.12986,0.13,0.12814,0.12853,56232600.0
2020-08-11 14:00:00,0.12961,0.13,0.1265,0.1265,212796000.0
2020-08-11 15:00:00,0.12608,0.12608,0.11525,0.1185,795209700.0
2020-08-11 16:00:00,0.12,0.12022,0.11698,0.11835,263557700.0
2020-08-11 17:00:00,0.11898,0.11962,0.11337,0.11765,221483700.0
2020-08-11 18:00:00,0.11766,0.11766,0.11325,0.11755,193669900.0
2020-08-11 19:00:00,0.11755,0.12046,0.11631,0.11819,57286700.0
2020-08-11 20:00:00,0.11852,0.1196,0.11577,0.11793,112477300.0
2020-08-11 21:00:00,0.11793,0.11898,0.1153,0.11755,212973600.0
2020-08-11 22:00:00,0.11667,0.11754,0.11166,0.11247,123476500.0
2020-08-11 23:00:00,0.11242,0.114,0.11085,0.114,187178700.0
2020-08-12 00:00:00,0.1133,0.11399,0.1124,0.11261,38976700.0
2020-08-12 01:00:00,0.11341,0.11632,0.1128,0.11488,87365500.0
2020-08-12 02:00:00,0.11489,0.11555,0.11284,0.1138,356207400.0
2020-08-12 03:00:00,0.11239,0.11471,0.11234,0.11411,98931800.0
2020-08-12 04:00:00,0.11411,0.11423,0.10772,0.11052,263988700.0
2020-08-12 05:00:00,0.11077,0.11141,0.10743,0.11141,235960800.0
2020-08-12 06:00:00,0.11101,0.11102,0.10941,0.10979,117782600.0
2020-08-12 07:00:00,0.10979,0.11146,0.10941,0.10941,90773400.0
2020-08-12 08:00:00,0.1097,0.11263,0.1094,0.11149,245687600.0
2020-08-12 09:00:00,0.11252,0.117,0.11201,0.1154,357029800.0
2020-08-12 10:00:00,0.11546,0.11754,0.11546,0.116,284285200.0
2020-08-12 11:00:00,0.116,0.11749,0.11584,0.11584,133360700.00000001
2020-08-12 12:00:00,0.11698,0.12101,0.11606,0.12001,369464000.0
2020-08-12 13:00:00,0.12033,0.1237,0.1185,0.12097,560747200.0
2020-08-12 14:00:00,0.12097,0.12458,0.11982,0.12162,445379700.0
2020-08-12 15:00:00,0.12227,0.12394,0.12068,0.12352,261286100.0
2020-08-12 16:00:00,0.12348,0.12769,0.12289,0.12744,432979600.0
2020-08-12 17:00:00,0.12738,0.13337,0.1239,0.13079,697386400.0
2020-08-12 18:00:00,0.13079,0.133,0.12706,0.13115,692315300.0
2020-08-12 19:00:00,0.13209,0.13227,0.12366,0.12702,582497900.0
2020-08-12 20:00:00,0.12621,0.12666,0.12269,0.12439,590664800.0
2020-08-12 21:00:00,0.12458,0.12759,0.12458,0.12748,64677600.0
2020-08-12 22:00:00,0.12592,0.1274,0.12462,0.12659,156670600.0
2020-08-12 23:00:00,0.12516,0.12663,0.124,0.12573,137333200.0
2020-08-13 00:00:00,0.12649,0.12699,0.125,0.12699,143478800.0
2020-08-13 01:00:00,0.12685,0.133,0.12681,0.133,205127700.0
2020-08-13 02:00:00,0.13275,0.13275,0.1297,0.13056,268788400.0
2020-08-13 03:00:00,0.13056,0.13073,0.12622,0.12913,190991200.0
2020-08-13 04:00:00,0.12913,0.13179,0.12492,0.1255,405869600.0
2020-08-13 05:00:00,0.12686,0.12686,0.12434,0.12544,315859100.0
2020-08-13 06:00:00,0.12468,0.12543,0.124,0.124,307230700.0
2020-08-13 07:00:00,0.124,0.12435,0.12116,0.12192,240393400.0
2020-08-13 08:00:00,0.12152,0.1234,0.11947,0.12018,240767500.0
2020-08-13 09:00:00,0.12018,0.1229,0.11986,0.12249,273231800.0
2020-08-13 10:00:00,0.1234,0.1234,0.11522,0.11828,430096900.0
2020-08-13 11:00:00,0.11828,0.12067,0.11483,0.11941,555220400.0
2020-08-13 12:00:00,0.11996,0.12177,0.11894,0.12123,91104300.0
2020-08-13 13:00:00,0.12123,0.12378,0.12123,0.12229,316296600.0
2020-08-13 14:00:00,0.12257,0.1237,0.11859,0.11924,178473200.0
2020-08-13 15:00:00,0.1199,0.12055,0.11901,0.12027,39364500.0
2020-08-13 16:00:00,0.12,0.12078,0.11838,0.11924,133956400.0
2020-08-13 17:00:00,0.11963,0.12024,0.11711,0.12,192216200.0
2020-08-13 18:00:00,0.11925,0.11981,0.118,0.11923,425003200.0
2020-08-13 19:00:00,0.11936,0.11978,0.1187,0.11926,107606700.0
2020-08-13 20:00:00,0.1199,0.12101,0.11859,0.1199,155246900.0
2020-08-13 21:00:00,0.11998,0.1205,0.11959,0.11959,80081500.0
2020-08-13 22:00:00,0.11959,0.12017,0.118,0.118,73054200.0
2020-08-13 23:00:00,0.11856,0.1199,0.11647,0.11906,181745100.0
2020-08-14 00:00:00,0.11904,0.12038,0.11732,0.12038,122301900.0
2020-08-14 01:00:00,0.1203,0.12573,0.1181,0.12056,167265000.0
2020-08-14 02:00:00,0.12071,0.1211,0.11819,0.11975,141410700.0
2020-08-14 03:00:00,0.11975,0.12054,0.11949,0.12008,29299100.0
2020-08-14 04:00:00,0.12053,0.12116,0.11552,0.1178,464811000.0
2020-08-14 05:00:00,0.11842,0.11842,0.11656,0.11779,99602300.0
2020-08-14 06:00:00,0.11738,0.11914,0.11727,0.11859,105529600.0
2020-08-14 07:00:00,0.11859,0.119,0.11739,0.1185,73200000.0
