,Open,High,Low,Close,Volume
2020-08-06 09:00:00,10.0,10.15,10.0,10.13,2985840.0
2020-08-06 10:00:00,10.13,10.34,10.13,10.29,1852180.0
2020-08-06 11:00:00,10.29,10.29,10.17,10.23,201700.0
2020-08-06 12:00:00,10.23,10.23,10.05,10.05,276750.0
2020-08-06 13:00:00,10.13,10.16,10.06,10.06,144490.0
2020-08-06 14:00:00,10.06,10.29,10.05,10.24,333760.0
2020-08-06 15:00:00,10.23,10.46,10.21,10.21,1097030.0
2020-08-06 16:00:00,10.29,10.29,10.0,10.07,1634870.0
2020-08-06 17:00:00,10.18,10.31,10.18,10.29,449150.0
2020-08-06 18:00:00,10.27,10.27,10.05,10.05,1041540.0
2020-08-06 19:00:00,10.1,10.23,10.1,10.1,672610.0
2020-08-06 20:00:00,10.17,10.27,10.0,10.0,1164570.0
2020-08-06 21:00:00,10.11,10.15,10.02,10.06,234620.0
2020-08-06 22:00:00,10.02,10.02,10.0,10.0,2969580.0
2020-08-06 23:00:00,10.1,10.1,9.72,9.99,234870.0
2020-08-07 00:00:00,10.01,10.01,9.85,9.85,133070.0
2020-08-07 01:00:00,9.75,10.02,9.73,9.85,360590.0
2020-08-07 02:00:00,9.92,9.95,9.78,9.95,278670.0
2020-08-07 03:00:00,9.92,9.96,9.83,9.84,234890.0
2020-08-07 04:00:00,9.92,10.02,9.86,9.96,1854990.0
2020-08-07 05:00:00,9.92,10.02,9.92,9.98,56240.0
2020-08-07 06:00:00,9.85,9.93,9.7,9.72,1707060.0
2020-08-07 07:00:00,9.83,9.84,9.7,9.7,602300.0
2020-08-07 08:00:00,9.7,9.78,9.5,9.78,1214200.0
2020-08-07 09:00:00,9.78,9.78,9.78,9.78,26760.0
2020-08-07 10:00:00,9.77,10.11,9.77,10.1,256329.99999999997
2020-08-07 11:00:00,10.05,10.19,10.0,10.05,5373730.0
2020-08-07 12:00:00,9.97,10.06,9.88,9.95,2970780.0
2020-08-07 13:00:00,9.93,9.93,9.84,9.86,195280.0
2020-08-07 14:00:00,10.04,10.04,9.9,9.95,7671370.0
2020-08-07 15:00:00,9.99,10.07,9.92,9.92,3484210.0
2020-08-07 16:00:00,9.98,9.98,9.52,9.75,296780.0
2020-08-07 17:00:00,9.75,9.84,9.68,9.81,1532350.0
2020-08-07 18:00:00,9.65,9.67,8.22,9.19,10602960.0
2020-08-07 19:00:00,9.12,9.25,8.14,8.92,16706820.0
2020-08-07 20:00:00,8.72,8.84,8.24,8.81,1976830.0
2020-08-07 21:00:00,8.9,8.97,8.86,8.97,250380.0
2020-08-07 22:00:00,9.18,9.28,9.06,9.06,163130.0
2020-08-07 23:00:00,9.16,9.18,9.16,9.18,25950.0
2020-08-08 00:00:00,9.22,9.5,9.22,9.35,1282150.0
2020-08-08 01:00:00,9.3,9.37,9.14,9.37,713520.0
2020-08-08 02:00:00,9.39,9.39,8.98,8.98,51600.0
2020-08-08 03:00:00,9.07,9.29,9.07,9.17,78580.0
