,Open,High,Low,Close,Volume
2020-02-06 11:00:00,0.2836,1.0,0.2836,0.2914,78975470.0
2020-02-06 12:00:00,0.2915,0.315,0.2845,0.2939,51400150.0
2020-02-06 13:00:00,0.2939,0.3186,0.2939,0.3179,6196290.0
2020-02-06 14:00:00,0.295,0.3151,0.2865,0.2865,5793560.0
2020-02-06 15:00:00,0.2865,0.298,0.2865,0.298,8986760.0
2020-02-06 16:00:00,0.2919,0.2961,0.287,0.2904,2147210.0
2020-02-06 17:00:00,0.2901,0.2924,0.2869,0.2918,3455390.0
2020-02-06 18:00:00,0.2881,0.294,0.2881,0.2885,10283140.0
2020-02-06 19:00:00,0.294,0.2945,0.2886,0.2945,10583650.0
2020-02-06 20:00:00,0.2945,0.2945,0.2894,0.2919,11411090.0
2020-02-06 21:00:00,0.2919,0.3002,0.2895,0.297,26049880.0
2020-02-06 22:00:00,0.2934,0.3019,0.2905,0.294,2542970.0
2020-02-06 23:00:00,0.294,0.2999,0.2909,0.2909,5798830.0
2020-02-07 00:00:00,0.293,0.2992,0.293,0.2954,1090960.0
2020-02-07 01:00:00,0.2932,0.2991,0.2909,0.2989,4230770.0
2020-02-07 02:00:00,0.2991,0.2993,0.2947,0.299,16045730.0
2020-02-07 03:00:00,0.2993,0.2995,0.2945,0.2951,20291360.0
2020-02-07 04:00:00,0.2953,0.2994,0.295,0.295,3829010.0
2020-02-07 05:00:00,0.295,0.299,0.2918,0.2979,16148850.0
2020-02-07 06:00:00,0.2979,0.2979,0.29,0.2913,1478460.0
2020-02-07 07:00:00,0.291,0.2986,0.2909,0.2986,752730.0
2020-02-07 08:00:00,0.2978,0.2978,0.2897,0.2913,17530450.0
2020-02-07 09:00:00,0.2951,0.31,0.2917,0.2918,9678340.0
2020-02-07 10:00:00,0.294,0.2977,0.2896,0.296,10336570.0
2020-02-07 11:00:00,0.293,0.3095,0.2928,0.2989,13638610.0
2020-02-07 12:00:00,0.299,0.3073,0.2953,0.2963,5530200.0
2020-02-07 13:00:00,0.2963,0.2975,0.2905,0.2933,8309530.000000001
2020-02-07 14:00:00,0.2933,0.2972,0.2919,0.2946,7682350.0
2020-02-07 15:00:00,0.2934,0.2976,0.2922,0.2976,2358030.0
