,Open,High,Low,Close,Volume
2021-11-04 12:00:00,109.7,230.0,109.7,141.1,246990958.0
2021-11-04 13:00:00,141.0,143.0,123.9,126.5,39028629.0
2021-11-04 14:00:00,126.7,139.7,126.3,129.2,28086696.0
2021-11-04 15:00:00,129.1,130.0,115.3,120.7,31058892.0
2021-11-04 16:00:00,120.3,132.0,115.0,128.9,20755025.0
2021-11-04 17:00:00,128.7,129.0,120.0,121.9,9673244.0
2021-11-04 18:00:00,121.9,136.8,120.8,129.2,15185991.0
2021-11-04 19:00:00,129.2,133.5,125.5,132.2,6519678.0
2021-11-04 20:00:00,132.1,137.9,131.5,136.7,12233360.0
2021-11-04 21:00:00,136.6,143.0,129.9,136.8,11553927.0
2021-11-04 22:00:00,136.8,137.2,130.9,131.7,5684546.0
2021-11-04 23:00:00,131.8,135.4,128.7,129.0,4235791.0
2021-11-05 00:00:00,129.4,137.0,129.0,131.4,5518095.0
2021-11-05 01:00:00,131.6,131.7,126.1,126.5,4190982.0
2021-11-05 02:00:00,126.4,130.7,124.3,125.2,6136226.0
2021-11-05 03:00:00,125.1,129.8,124.0,124.1,5663211.0
2021-11-05 04:00:00,124.2,125.9,119.5,120.0,5510113.0
2021-11-05 05:00:00,120.0,121.4,116.6,118.2,5749145.0
2021-11-05 06:00:00,118.2,121.2,116.2,119.5,5755855.0
2021-11-05 07:00:00,119.4,122.2,117.3,120.6,4931207.0
2021-11-05 08:00:00,120.6,124.5,119.5,120.7,6397886.0
2021-11-05 09:00:00,120.8,123.5,118.9,120.0,3302781.0
2021-11-05 10:00:00,120.0,120.6,117.3,117.9,3658085.0
2021-11-05 11:00:00,117.9,119.4,115.2,118.0,4574803.0
2021-11-05 12:00:00,118.2,122.9,117.3,118.6,6530829.0
2021-11-05 13:00:00,118.5,119.1,115.4,115.7,2958997.0
2021-11-05 14:00:00,115.6,117.6,113.5,114.2,3502432.0
2021-11-05 15:00:00,114.2,114.6,107.3,109.6,8385627.0
2021-11-05 16:00:00,109.3,120.7,109.0,113.6,8216598.0
2021-11-05 17:00:00,114.4,115.7,112.7,113.4,2366528.0
2021-11-05 18:00:00,113.9,117.0,113.5,115.9,1979603.0
2021-11-05 19:00:00,115.7,120.0,115.7,119.2,2650633.0
2021-11-05 20:00:00,119.2,119.2,115.8,116.6,1138175.0
2021-11-05 21:00:00,116.6,118.0,115.5,116.1,928422.0
2021-11-05 22:00:00,116.1,116.7,114.5,114.8,760484.0
2021-11-05 23:00:00,114.6,116.3,114.0,114.2,1235486.0
2021-11-06 00:00:00,114.6,115.7,114.0,114.1,491132.0
2021-11-06 01:00:00,114.2,116.2,111.6,112.4,3092551.0
2021-11-06 02:00:00,112.3,113.8,111.6,112.8,826884.0
2021-11-06 03:00:00,112.9,115.3,112.5,114.0,1172633.0
2021-11-06 04:00:00,114.3,120.0,112.3,117.4,6521903.0
2021-11-06 05:00:00,117.1,130.0,116.8,121.4,7118999.0
2021-11-06 06:00:00,121.5,124.1,119.5,119.5,2999971.0
2021-11-06 07:00:00,119.8,123.7,118.0,121.6,2569777.0
2021-11-06 08:00:00,121.3,125.1,121.2,123.1,2682473.0
2021-11-06 09:00:00,123.1,130.7,122.6,130.4,7569181.0
2021-11-06 10:00:00,130.8,139.8,129.0,133.0,23551646.0
2021-11-06 11:00:00,133.0,147.5,132.7,141.3,19433586.0
2021-11-06 12:00:00,141.0,155.0,130.2,133.8,55394731.0
2021-11-06 13:00:00,133.6,137.3,127.7,132.0,13144329.0
2021-11-06 14:00:00,132.0,132.0,123.6,127.5,8746047.0
2021-11-06 15:00:00,127.5,136.1,126.3,133.4,10199347.0
2021-11-06 16:00:00,133.4,133.8,128.6,129.3,6029278.0
2021-11-06 17:00:00,129.3,137.0,129.0,131.9,6995411.0
2021-11-06 18:00:00,131.9,140.0,130.1,134.7,10252323.0
2021-11-06 19:00:00,134.6,140.0,134.4,136.8,6980683.0
2021-11-06 20:00:00,136.9,140.3,133.7,134.2,5495981.0
2021-11-06 21:00:00,134.1,135.0,131.2,132.7,2228170.0
2021-11-06 22:00:00,132.7,135.3,130.4,130.7,1916177.0
2021-11-06 23:00:00,131.1,135.0,130.6,133.0,2167634.0
2021-11-07 00:00:00,133.0,137.5,132.0,136.0,3653665.0
2021-11-07 01:00:00,136.0,140.9,131.2,139.8,5497405.0
2021-11-07 02:00:00,139.8,149.0,138.0,145.8,16277479.0
2021-11-07 03:00:00,145.9,159.8,145.2,146.5,28055661.0
2021-11-07 04:00:00,146.8,153.0,142.7,145.5,9865740.0
2021-11-07 05:00:00,145.3,150.0,144.7,146.9,6426423.0
2021-11-07 06:00:00,146.9,153.0,145.9,147.1,9363846.0
2021-11-07 07:00:00,147.4,149.5,145.0,146.4,4366362.0
2021-11-07 08:00:00,146.1,148.5,137.5,140.6,10649350.0
2021-11-07 09:00:00,140.9,143.0,139.6,140.3,2780134.0
2021-11-07 10:00:00,140.2,155.4,138.4,146.4,7624957.0
2021-11-07 11:00:00,146.4,146.8,137.6,140.3,5486864.0
2021-11-07 12:00:00,140.5,143.1,138.7,140.8,2884652.0
2021-11-07 13:00:00,140.7,144.7,138.8,143.0,4248311.0
2021-11-07 14:00:00,143.1,153.0,143.1,149.5,6789218.0
2021-11-07 15:00:00,149.5,150.9,144.4,148.2,4565752.0
2021-11-07 16:00:00,148.2,149.7,140.0,144.7,11933827.0
2021-11-07 17:00:00,144.8,148.0,143.7,146.1,1450499.0
2021-11-07 18:00:00,146.1,148.0,144.6,147.0,1462363.0
2021-11-07 19:00:00,147.0,149.8,144.0,144.7,3038053.0
2021-11-07 20:00:00,145.4,146.5,144.3,146.2,641912.0
2021-11-07 21:00:00,146.2,149.8,144.9,149.8,2417600.0
2021-11-07 22:00:00,149.7,155.5,148.6,152.1,5632137.0
2021-11-07 23:00:00,152.0,154.4,150.0,151.6,1812353.0
2021-11-08 00:00:00,151.1,152.9,147.7,148.5,1700401.0
2021-11-08 01:00:00,148.5,149.5,144.5,146.4,3256777.0
2021-11-08 02:00:00,146.4,150.9,145.9,150.6,2462051.0
2021-11-08 03:00:00,150.4,158.0,150.2,154.1,4918025.0
2021-11-08 04:00:00,154.1,160.0,153.1,154.1,4357199.0
2021-11-08 05:00:00,154.2,156.0,150.1,153.8,1824501.0
2021-11-08 06:00:00,154.1,156.8,152.9,154.1,3077063.0
2021-11-08 07:00:00,154.3,155.5,152.7,154.5,1643530.0
2021-11-08 08:00:00,154.6,159.0,154.0,155.1,3139421.0
2021-11-08 09:00:00,155.0,156.8,152.1,153.7,3378851.0
2021-11-08 10:00:00,153.6,154.4,149.8,151.0,2205423.0
2021-11-08 11:00:00,151.0,153.0,149.6,151.9,2650835.0
2021-11-08 12:00:00,151.9,154.4,151.8,152.5,1709881.0
2021-11-08 13:00:00,152.6,154.2,152.2,152.9,805567.0
2021-11-08 14:00:00,152.9,155.0,152.8,154.9,1228502.0
2021-11-08 15:00:00,154.7,156.0,152.1,155.0,2607028.0
2021-11-08 16:00:00,155.0,158.0,154.0,157.3,2310153.0
2021-11-08 17:00:00,157.1,158.2,151.1,151.6,4961585.0
2021-11-08 18:00:00,151.8,154.4,151.2,153.2,1754477.0
2021-11-08 19:00:00,153.2,153.9,152.5,152.5,693123.0
2021-11-08 20:00:00,152.6,153.5,150.1,150.8,851295.0
2021-11-08 21:00:00,150.9,151.3,148.4,149.5,1644503.0
2021-11-08 22:00:00,149.6,149.9,147.3,148.4,943981.0
2021-11-08 23:00:00,148.4,148.8,146.3,146.5,936485.0
2021-11-09 00:00:00,146.3,147.3,143.9,144.6,1782914.0
2021-11-09 01:00:00,144.8,144.9,143.0,144.2,998767.0
2021-11-09 02:00:00,144.2,144.8,141.4,142.3,1816731.0
2021-11-09 03:00:00,142.3,142.6,137.2,139.5,5550901.0
2021-11-09 04:00:00,139.5,142.9,139.4,142.7,1940816.0
2021-11-09 05:00:00,142.7,146.8,142.5,145.7,3686136.0
2021-11-09 06:00:00,145.8,149.4,145.0,147.0,1415668.0
2021-11-09 07:00:00,146.8,147.1,142.9,145.6,3834946.0
2021-11-09 08:00:00,145.6,146.9,144.4,146.4,1553066.0
2021-11-09 09:00:00,146.4,147.1,144.6,145.2,1827383.0
2021-11-09 10:00:00,145.2,147.0,145.1,146.8,1143336.0
2021-11-09 11:00:00,147.0,147.2,145.2,146.3,1043816.0
2021-11-09 12:00:00,146.3,147.0,144.6,145.2,1661173.0
2021-11-09 13:00:00,145.0,147.0,143.9,146.4,1410110.0
2021-11-09 14:00:00,146.3,146.4,143.7,145.5,684366.0
2021-11-09 15:00:00,145.5,146.0,143.4,143.5,1356277.0
2021-11-09 16:00:00,143.6,144.7,142.3,142.9,1306651.0
2021-11-09 17:00:00,142.9,143.1,141.6,142.6,927597.0
2021-11-09 18:00:00,142.7,143.2,142.0,143.2,321776.0
2021-11-09 19:00:00,143.2,143.2,142.3,142.6,199488.0
2021-11-09 20:00:00,142.6,145.0,141.9,144.1,814203.0
2021-11-09 21:00:00,144.3,145.0,144.0,144.4,356444.0
2021-11-09 22:00:00,144.5,145.1,143.7,143.9,147725.0
2021-11-09 23:00:00,144.2,146.6,144.0,144.7,346712.0
2021-11-10 00:00:00,144.7,146.9,144.3,144.5,273560.0
2021-11-10 01:00:00,144.9,145.0,143.4,144.0,331825.0
2021-11-10 02:00:00,144.1,146.7,143.7,145.3,584014.0
2021-11-10 03:00:00,145.2,145.2,143.8,144.8,857341.0
2021-11-10 04:00:00,144.6,144.9,143.0,143.0,1024737.0000000001
2021-11-10 05:00:00,143.1,145.0,143.0,144.5,745871.0
