,Open,High,Low,Close,Volume
2021-07-05 08:00:00,37.48,42.0,33.89,36.29,145677330.0
2021-07-05 09:00:00,36.26,36.6,34.64,36.0,13972610.0
2021-07-05 10:00:00,36.05,37.6,35.43,36.15,25947560.0
2021-07-05 11:00:00,36.14,36.7,35.48,36.25,10373110.0
2021-07-05 12:00:00,36.22,36.52,35.15,35.42,7386520.0
2021-07-05 13:00:00,35.4,35.8,34.05,34.2,13404370.0
2021-07-05 14:00:00,34.18,34.95,33.52,34.42,8166290.0
2021-07-05 15:00:00,34.48,35.45,34.27,35.1,5123220.0
2021-07-05 16:00:00,35.05,35.98,34.91,35.25,6929390.0
2021-07-05 17:00:00,35.42,35.96,34.22,34.26,8248820.0
2021-07-05 18:00:00,34.25,35.5,34.18,34.25,2698680.0
2021-07-05 19:00:00,34.29,34.59,33.37,34.0,3947050.0
2021-07-05 20:00:00,34.0,34.59,33.83,34.08,3636190.0
2021-07-05 21:00:00,34.08,34.27,33.65,34.02,4637120.0
2021-07-05 22:00:00,33.96,34.21,33.57,33.88,2379040.0
2021-07-05 23:00:00,33.92,34.33,33.56,34.21,2670880.0
2021-07-06 00:00:00,34.21,34.74,34.01,34.39,2343190.0
2021-07-06 01:00:00,34.39,34.75,34.01,34.28,1902380.0
2021-07-06 02:00:00,34.2,34.9,34.15,34.71,3579890.0
2021-07-06 03:00:00,34.71,35.33,34.43,34.64,2570050.0
2021-07-06 04:00:00,34.71,34.84,34.04,34.58,3161120.0
2021-07-06 05:00:00,34.54,35.0,34.41,34.69,3423680.0
2021-07-06 06:00:00,34.69,35.81,34.47,35.0,6772920.0
2021-07-06 07:00:00,34.99,37.4,34.92,36.49,15158280.0
2021-07-06 08:00:00,36.48,36.99,35.48,35.59,6491790.0
2021-07-06 09:00:00,35.64,35.98,35.38,35.45,3332650.0
2021-07-06 10:00:00,35.42,36.0,35.02,35.23,4322730.0
2021-07-06 11:00:00,35.25,35.29,34.33,34.64,7253810.0
2021-07-06 12:00:00,34.65,34.93,34.35,34.78,2566040.0
2021-07-06 13:00:00,34.78,35.47,34.71,35.16,2326010.0
2021-07-06 14:00:00,35.16,35.53,34.9,34.9,2268160.0
2021-07-06 15:00:00,35.04,35.99,34.86,35.37,7239590.0
2021-07-06 16:00:00,35.4,35.95,35.36,35.37,3000690.0
2021-07-06 17:00:00,35.36,35.47,34.5,34.63,4511140.0
2021-07-06 18:00:00,34.7,34.91,34.17,34.55,3302900.0
2021-07-06 19:00:00,34.52,34.68,34.15,34.24,1739470.0
2021-07-06 20:00:00,34.23,34.49,34.02,34.23,1857360.0
2021-07-06 21:00:00,34.11,34.48,34.05,34.35,929830.0
2021-07-06 22:00:00,34.28,34.49,33.89,34.22,1476260.0
2021-07-06 23:00:00,34.06,34.2,33.44,33.45,1580550.0
2021-07-07 00:00:00,33.46,34.62,33.32,34.61,2237090.0
2021-07-07 01:00:00,34.61,34.8,33.35,33.79,2020240.0
2021-07-07 02:00:00,33.79,34.14,33.73,33.91,1022460.0
2021-07-07 03:00:00,33.92,34.03,33.73,33.8,652130.0
2021-07-07 04:00:00,33.8,34.31,33.57,34.12,1223760.0
2021-07-07 05:00:00,34.13,34.18,33.72,34.18,1517190.0
2021-07-07 06:00:00,33.99,34.65,33.98,34.07,1804750.0
2021-07-07 07:00:00,34.1,34.25,33.34,33.77,2812760.0
2021-07-07 08:00:00,33.73,34.0,33.68,33.76,2498160.0
2021-07-07 09:00:00,33.76,34.0,33.52,33.65,2127080.0
2021-07-07 10:00:00,33.67,33.91,33.5,33.8,1331160.0
2021-07-07 11:00:00,33.69,33.83,33.55,33.7,861250.0
2021-07-07 12:00:00,33.7,33.74,33.33,33.5,1691750.0
2021-07-07 13:00:00,33.5,33.91,33.33,33.63,1302510.0
2021-07-07 14:00:00,33.62,34.88,33.5,33.83,7444410.0
2021-07-07 15:00:00,33.83,34.8,33.63,33.9,3678910.0
2021-07-07 16:00:00,33.93,34.35,33.71,33.8,2480280.0
2021-07-07 17:00:00,33.81,34.1,33.52,33.81,2267650.0
2021-07-07 18:00:00,33.82,34.02,33.52,33.56,1955050.0
2021-07-07 19:00:00,33.59,33.93,33.51,33.71,1485590.0
2021-07-07 20:00:00,33.76,33.88,33.51,33.81,895520.0
2021-07-07 21:00:00,33.83,34.27,33.72,34.04,1061410.0
2021-07-07 22:00:00,34.12,34.24,33.98,34.17,802870.0
2021-07-07 23:00:00,34.21,34.22,33.73,33.86,1741970.0
2021-07-08 00:00:00,33.9,34.09,33.5,33.53,1996170.0
2021-07-08 01:00:00,33.53,33.54,33.35,33.54,675790.0
2021-07-08 02:00:00,33.54,33.57,32.08,32.77,3429280.0
2021-07-08 03:00:00,32.77,32.78,32.1,32.47,3186740.0
2021-07-08 04:00:00,32.46,32.46,32.25,32.36,1738400.0
2021-07-08 05:00:00,32.38,32.42,32.0,32.0,1325190.0
2021-07-08 06:00:00,32.0,32.32,31.75,32.04,2472120.0
2021-07-08 07:00:00,32.06,32.23,31.61,31.69,4705790.0
2021-07-08 08:00:00,31.69,31.99,31.15,31.18,2720340.0
2021-07-08 09:00:00,31.22,31.31,30.7,30.73,3334290.0
2021-07-08 10:00:00,30.75,31.06,30.3,30.92,2709300.0
2021-07-08 11:00:00,30.92,31.18,30.41,30.77,7804830.0
2021-07-08 12:00:00,30.86,30.97,30.5,30.59,987650.0
2021-07-08 13:00:00,30.55,31.05,30.32,30.89,1454760.0
2021-07-08 14:00:00,30.8,31.97,30.74,31.39,2017280.0
2021-07-08 15:00:00,31.5,31.53,30.57,30.62,829310.0
2021-07-08 16:00:00,30.66,31.71,30.57,31.01,1871330.0
2021-07-08 17:00:00,31.01,31.14,30.23,30.61,1589040.0
2021-07-08 18:00:00,30.57,30.77,30.34,30.6,2663160.0
2021-07-08 19:00:00,30.6,30.92,30.11,30.17,1460940.0
2021-07-08 20:00:00,30.18,30.35,30.01,30.35,948620.0
2021-07-08 21:00:00,30.34,31.19,30.32,30.94,4083190.0
2021-07-08 22:00:00,30.97,32.02,30.84,31.25,4897250.0
2021-07-08 23:00:00,31.19,32.85,30.49,30.7,1957730.0
2021-07-09 00:00:00,30.7,30.75,30.25,30.3,835440.0
2021-07-09 01:00:00,30.44,30.45,30.25,30.35,493820.0
2021-07-09 02:00:00,30.33,32.31,30.28,30.35,2519860.0
2021-07-09 03:00:00,30.28,30.39,29.8,30.21,1476080.0
2021-07-09 04:00:00,30.17,30.4,30.11,30.26,400620.0
2021-07-09 05:00:00,30.31,31.03,30.23,30.59,968550.0
2021-07-09 06:00:00,30.61,31.5,30.53,30.53,836360.0
2021-07-09 07:00:00,30.44,30.55,30.08,30.24,732720.0
2021-07-09 08:00:00,30.24,30.57,30.13,30.35,415050.0
2021-07-09 09:00:00,30.32,30.46,30.21,30.4,393930.0
2021-07-09 10:00:00,30.39,30.75,30.18,30.25,484240.0
2021-07-09 11:00:00,30.25,30.45,30.22,30.22,137440.0
2021-07-09 12:00:00,30.17,31.5,30.1,30.18,1373310.0
2021-07-09 13:00:00,30.2,30.32,29.65,29.65,1155280.0
2021-07-09 14:00:00,29.65,30.8,29.48,30.36,2054159.9999999998
2021-07-09 15:00:00,30.32,30.39,30.12,30.33,898300.0
2021-07-09 16:00:00,30.34,31.94,30.31,30.98,7465760.0
2021-07-09 17:00:00,31.03,31.54,30.79,30.8,1713150.0
2021-07-09 18:00:00,30.81,30.88,30.51,30.63,1642880.0
2021-07-09 19:00:00,30.63,30.65,29.96,30.02,706460.0
2021-07-09 20:00:00,30.02,31.56,30.0,30.41,3650570.0
2021-07-09 21:00:00,30.41,31.1,30.38,30.5,1175300.0
2021-07-09 22:00:00,30.46,30.99,30.23,30.72,587710.0
2021-07-09 23:00:00,30.72,31.03,30.64,30.8,415580.0
2021-07-10 00:00:00,30.87,31.5,30.75,31.01,1837290.0
2021-07-10 01:00:00,31.19,31.25,30.65,30.71,1095740.0
2021-07-10 02:00:00,30.67,31.09,30.58,30.59,1284170.0
2021-07-10 03:00:00,30.59,31.07,30.47,30.98,930660.0
2021-07-10 04:00:00,30.98,31.2,30.8,31.03,817020.0
2021-07-10 05:00:00,31.03,31.35,30.88,30.9,968600.0
2021-07-10 06:00:00,30.87,31.01,30.55,30.95,375140.0
2021-07-10 07:00:00,30.77,30.84,30.59,30.68,275890.0
2021-07-10 08:00:00,30.67,30.75,30.55,30.55,217680.0
2021-07-10 09:00:00,30.56,30.56,30.3,30.35,204830.0
2021-07-10 10:00:00,30.33,30.39,30.25,30.33,299760.0
2021-07-10 11:00:00,30.27,30.61,30.25,30.58,526210.0
2021-07-10 12:00:00,30.58,30.63,30.41,30.41,329540.0
2021-07-10 13:00:00,30.41,30.54,30.37,30.42,243380.0
2021-07-10 14:00:00,30.37,30.61,30.37,30.48,272150.0
2021-07-10 15:00:00,30.38,30.45,30.3,30.45,598160.0
2021-07-10 16:00:00,30.45,30.5,30.31,30.31,102350.0
2021-07-10 17:00:00,30.31,30.47,30.13,30.38,462260.0
2021-07-10 18:00:00,30.39,31.05,30.06,30.32,6385940.0
2021-07-10 19:00:00,30.32,30.84,30.07,30.36,2535300.0
2021-07-10 20:00:00,30.35,30.57,30.26,30.5,533200.0
2021-07-10 21:00:00,30.44,30.51,30.3,30.34,377110.0
2021-07-10 22:00:00,30.36,30.43,30.07,30.08,584330.0
2021-07-10 23:00:00,30.07,30.17,30.01,30.06,234330.0
2021-07-11 00:00:00,30.1,30.15,30.01,30.07,64500.0
2021-07-11 01:00:00,30.09,30.16,30.0,30.03,963880.0
2021-07-11 02:00:00,30.17,30.28,30.14,30.18,1046750.0
2021-07-11 03:00:00,30.05,30.24,30.02,30.24,295290.0
2021-07-11 04:00:00,30.19,30.19,29.72,30.02,790010.0
2021-07-11 05:00:00,30.09,30.49,30.0,30.1,908890.0
2021-07-11 06:00:00,30.1,30.38,29.82,29.82,420120.0
2021-07-11 07:00:00,29.85,30.11,29.85,29.96,131200.0
2021-07-11 08:00:00,29.95,30.12,29.94,29.97,183100.0
2021-07-11 09:00:00,29.99,30.17,29.99,30.1,514140.0
2021-07-11 10:00:00,30.1,30.2,30.07,30.16,704520.0
2021-07-11 11:00:00,30.18,30.25,29.9,29.93,846170.0
2021-07-11 12:00:00,29.92,30.07,29.84,29.86,1181230.0
2021-07-11 13:00:00,29.88,30.05,29.83,29.91,997000.0
