,Open,High,Low,Close,Volume
2017-08-17 06:00:00.000,4261.48,4313.62,4261.32,4308.83,47181.009000000005
2017-08-17 07:00:00.000,4308.83,4328.69,4291.37,4315.32,23234.915999999997
2017-08-17 08:00:00.000,4330.29,4345.45,4309.37,4324.35,7229.691
2017-08-17 09:00:00.000,4316.62,4349.99,4287.41,4349.99,4443.249
2017-08-17 10:00:00.000,4333.32,4377.85,4333.32,4360.69,972.807
2017-08-17 11:00:00.000,4360.0,4445.78,4360.0,4444.0,10763.623000000001
2017-08-17 12:00:00.000,4441.1,4470.0,4399.81,4460.0,24865.399
2017-08-17 13:00:00.000,4460.0,4485.39,4427.3,4427.3,27018.053
2017-08-17 14:00:00.000,4436.06,4449.56,4411.0,4411.0,23032.398
2017-08-17 15:00:00.000,4411.0,4459.0,4411.0,4459.0,31312.436
2017-08-17 16:00:00.000,4459.0,4485.39,4435.93,4470.82,51735.897000000004
2017-08-17 17:00:00.000,4470.82,4470.82,4333.42,4352.34,68481.26999999999
2017-08-17 18:00:00.000,4352.33,4354.35,4255.3,4354.18,67458.79100000001
2017-08-17 19:00:00.000,4354.18,4354.84,4235.45,4289.24,59664.912000000004
2017-08-17 20:00:00.000,4289.24,4302.45,4218.68,4256.97,51275.163
2017-08-17 21:00:00.000,4241.91,4335.3,4200.74,4325.23,46710.85
2017-08-17 22:00:00.000,4307.56,4354.84,4258.56,4346.74,48975.472
2017-08-17 23:00:00.000,4346.74,4369.69,4309.23,4333.55,61773.036
2017-08-18 00:00:00.000,4333.55,4359.13,4310.0,4336.8,57376.142
2017-08-18 01:00:00.000,4313.39,4337.38,4280.82,4285.08,81645.263
2017-08-18 02:00:00.000,4285.08,4340.62,4228.76,4286.53,82435.474
2017-08-18 03:00:00.000,4269.36,4269.36,4134.61,4243.59,75684.883
2017-08-18 04:00:00.000,4251.95,4298.64,4234.0,4267.59,54071.337
2017-08-18 05:00:00.000,4244.77,4308.7,4234.0,4292.39,64001.349
2017-08-18 06:00:00.000,4292.39,4292.39,4234.43,4287.92,50797.515
2017-08-18 07:00:00.000,4287.92,4340.62,4250.04,4313.56,64169.286
2017-08-18 08:00:00.000,4313.56,4316.98,4247.75,4279.46,64235.42399999999
2017-08-18 09:00:00.000,4279.46,4304.67,4270.48,4300.25,69186.80399999999
2017-08-18 10:00:00.000,4285.0,4320.71,4259.85,4282.73,74829.849
2017-08-18 11:00:00.000,4265.33,4327.25,4265.33,4304.15,45653.156
2017-08-18 12:00:00.000,4304.15,4371.52,4296.04,4356.31,51563.675
2017-08-18 13:00:00.000,4356.31,4357.37,4302.72,4340.31,24093.449
2017-08-18 14:00:00.000,4320.52,4340.31,4287.79,4331.71,15118.957
2017-08-18 15:00:00.000,4302.97,4318.16,4221.05,4293.09,46533.767
2017-08-18 16:00:00.000,4293.09,4293.09,4193.7,4259.4,74368.943
2017-08-18 17:00:00.000,4259.4,4259.4,4200.0,4236.89,39947.717
2017-08-18 18:00:00.000,4234.54,4283.79,4234.54,4250.34,45038.824
2017-08-18 19:00:00.000,4250.34,4250.34,4066.53,4193.35,62691.466
2017-08-18 20:00:00.000,4171.17,4297.75,4117.41,4117.41,25318.654
2017-08-18 21:00:00.000,4086.28,4136.48,4015.7,4136.28,60598.026
2017-08-18 22:00:00.000,4135.0,4135.0,3981.13,4021.11,19968.037
2017-08-18 23:00:00.000,4015.4,4015.4,3938.77,3975.69,14738.631
2017-08-19 00:00:00.000,3996.92,4131.83,3938.77,4113.75,29906.205
2017-08-19 01:00:00.000,4106.35,4136.48,4085.88,4108.37,44936.836
2017-08-19 02:00:00.000,4108.37,4178.31,4084.28,4163.49,41308.877
2017-08-19 03:00:00.000,4163.49,4184.69,4143.11,4148.53,28835.177000000003
2017-08-19 04:00:00.000,4148.53,4184.0,4148.53,4156.39,18754.474
2017-08-19 05:00:00.000,4180.0,4180.0,4103.52,4138.55,19611.920000000002
2017-08-19 06:00:00.000,4138.5,4156.0,4046.26,4068.26,17353.232
2017-08-19 07:00:00.000,4123.95,4123.95,4027.83,4077.0,12514.194
2017-08-19 08:00:00.000,4077.0,4082.0,3986.87,3986.87,51455.431
2017-08-19 09:00:00.000,3969.12,4033.47,3933.21,4033.47,31429.221999999998
2017-08-19 10:00:00.000,4033.47,4064.84,3964.08,3999.0,18006.405000000002
2017-08-19 11:00:00.000,3999.0,4082.25,3999.0,4068.2,5184.223
2017-08-19 12:00:00.000,4054.0,4082.0,3982.08,4000.58,5886.831
2017-08-19 13:00:00.000,4016.0,4033.0,3850.0,3957.6,48178.583000000006
2017-08-19 14:00:00.000,3945.12,4095.0,3928.89,4095.0,22230.984
2017-08-19 15:00:00.000,4095.0,4100.0,4035.49,4039.84,12705.664
2017-08-19 16:00:00.000,4066.0,4068.31,4013.7,4042.41,4334.4259999999995
2017-08-19 17:00:00.000,4036.59,4063.44,3964.67,3972.05,8244.503999999999
2017-08-19 18:00:00.000,4036.19,4049.69,3953.4,4000.0,4084.1770000000006
2017-08-19 19:00:00.000,3985.0,4048.99,3976.72,4027.37,3069.5480000000002
2017-08-19 20:00:00.000,4013.69,4096.0,4013.69,4086.29,17148.202
2017-08-19 21:00:00.000,4073.47,4103.92,4073.47,4076.12,1623.1290000000001
2017-08-19 22:00:00.000,4088.71,4103.92,4051.47,4075.98,2987.5699999999997
2017-08-19 23:00:00.000,4075.98,4149.99,4074.23,4074.23,3952.194
2017-08-20 00:00:00.000,4090.0,4141.0,4090.0,4139.98,2358.0969999999998
