,Open,High,Low,Close,Volume
2021-01-13 07:00:00,8.0,1000.0,8.0,66.778,695056276.0
2021-01-13 08:00:00,66.774,71.153,56.005,65.187,207715245.0
2021-01-13 09:00:00,65.15,83.333,65.0,76.0,238065315.0
2021-01-13 10:00:00,76.0,84.121,72.346,79.22,118952260.0
2021-01-13 11:00:00,79.22,82.0,73.3,74.0,67549860.0
2021-01-13 12:00:00,74.01,75.67,67.5,71.894,78527870.0
2021-01-13 13:00:00,71.879,77.902,69.0,76.453,50531117.0
2021-01-13 14:00:00,76.499,76.5,72.0,75.024,35863440.0
2021-01-13 15:00:00,75.011,75.3,72.3,73.291,24817733.0
2021-01-13 16:00:00,73.267,73.99,67.55,70.6,31799652.0
2021-01-13 17:00:00,70.627,71.8,68.09,70.95,18364399.0
2021-01-13 18:00:00,70.95,73.3,69.9,70.9,19348920.0
2021-01-13 19:00:00,70.819,70.899,63.849,65.344,33589575.0
2021-01-13 20:00:00,65.398,67.827,60.0,63.4,50967733.0
2021-01-13 21:00:00,63.682,66.98,61.593,62.871,35800207.0
2021-01-13 22:00:00,62.865,62.865,55.2,55.896,35037566.0
2021-01-13 23:00:00,55.591,61.487,55.0,59.222,38133587.0
2021-01-14 00:00:00,59.223,63.22,58.912,62.75,28454209.0
2021-01-14 01:00:00,62.75,68.678,62.064,67.232,29019795.0
2021-01-14 02:00:00,67.202,69.785,65.5,66.5,24221772.0
2021-01-14 03:00:00,66.436,114.0,58.999,93.699,93572048.0
2021-01-14 04:00:00,94.0,113.0,83.333,99.728,147685165.0
2021-01-14 05:00:00,99.269,104.892,93.01,97.5,59926886.0
2021-01-14 06:00:00,97.5,100.9,96.0,97.265,27474146.0
2021-01-14 07:00:00,97.266,100.524,88.576,88.628,47505421.0
2021-01-14 08:00:00,88.58,99.0,85.13,95.025,49830482.0
2021-01-14 09:00:00,95.06,96.0,89.1,90.3,24426344.0
2021-01-14 10:00:00,90.512,94.0,88.45,88.742,17509810.0
2021-01-14 11:00:00,88.742,93.66,88.0,93.127,14196836.0
2021-01-14 12:00:00,93.201,98.341,90.371,97.597,30134869.0
2021-01-14 13:00:00,97.523,97.523,92.653,92.653,18510967.0
2021-01-14 14:00:00,92.7,93.945,91.0,92.199,13251850.0
2021-01-14 15:00:00,92.499,96.0,90.65,93.51,17999150.0
2021-01-14 16:00:00,93.6,97.856,93.105,94.711,17844251.0
2021-01-14 17:00:00,94.71,102.89,93.953,101.23,18156019.0
2021-01-14 18:00:00,101.11,104.616,95.591,96.3,34113707.0
2021-01-14 19:00:00,96.2,100.424,96.011,99.138,9863801.0
2021-01-14 20:00:00,99.138,100.996,96.55,97.959,14922402.0
2021-01-14 21:00:00,97.909,102.859,97.6,101.149,9785024.0
2021-01-14 22:00:00,101.15,103.555,97.45,99.206,21673411.0
2021-01-14 23:00:00,99.207,100.714,95.0,96.135,13541200.0
2021-01-15 00:00:00,96.515,97.0,92.135,92.449,12256338.0
2021-01-15 01:00:00,92.271,97.0,92.2,96.372,12210144.0
2021-01-15 02:00:00,96.179,97.8,93.01,94.363,9447721.0
2021-01-15 03:00:00,94.361,95.61,93.248,94.321,5225635.0
2021-01-15 04:00:00,94.329,95.0,90.0,90.613,12912617.0
2021-01-15 05:00:00,90.613,92.498,85.455,91.993,14979389.0
2021-01-15 06:00:00,91.962,91.963,83.568,86.471,14965679.0
2021-01-15 07:00:00,86.021,87.608,82.38,83.927,12067613.0
2021-01-15 08:00:00,84.039,86.873,81.263,82.491,14894110.0
2021-01-15 09:00:00,82.2,86.053,82.104,85.998,8738396.0
2021-01-15 10:00:00,85.996,89.699,84.007,86.05,15732656.0
2021-01-15 11:00:00,86.067,86.292,82.7,83.001,9608778.0
2021-01-15 12:00:00,83.002,84.554,81.518,83.668,7766552.0
2021-01-15 13:00:00,83.689,85.9,81.5,82.206,10737621.0
2021-01-15 14:00:00,82.416,83.9,75.891,77.475,16625659.0
2021-01-15 15:00:00,77.474,83.083,73.4,78.998,26251791.0
2021-01-15 16:00:00,78.837,80.35,75.155,75.923,9662744.0
2021-01-15 17:00:00,75.941,77.777,70.585,76.094,15573792.0
2021-01-15 18:00:00,76.101,77.4,74.48,75.7,8531158.0
2021-01-15 19:00:00,75.799,77.249,73.507,74.845,6885386.0
2021-01-15 20:00:00,75.177,76.498,74.436,74.895,3525079.0
2021-01-15 21:00:00,74.826,76.27,73.78,75.09,4739719.0
2021-01-15 22:00:00,75.09,82.609,74.826,76.945,13427465.0
2021-01-15 23:00:00,77.027,82.5,76.573,80.127,9001311.0
2021-01-16 00:00:00,80.266,81.175,78.009,80.008,5532717.0
2021-01-16 01:00:00,79.633,81.471,76.325,78.824,7535660.0
2021-01-16 02:00:00,79.136,81.0,76.2,76.592,6916291.0
2021-01-16 03:00:00,76.355,78.809,73.902,74.276,7001129.0
2021-01-16 04:00:00,74.185,74.83,73.278,74.049,2880273.0
2021-01-16 05:00:00,74.049,76.321,73.011,75.099,2769481.0
2021-01-16 06:00:00,75.186,76.636,73.222,74.462,5070945.0
2021-01-16 07:00:00,74.4,75.166,73.22,73.578,3654895.0
2021-01-16 08:00:00,73.742,74.865,72.826,72.867,5239368.0
2021-01-16 09:00:00,72.867,73.85,71.9,73.1,6901672.0
2021-01-16 10:00:00,73.425,75.26,71.5,72.2,10964255.0
2021-01-16 11:00:00,72.204,74.0,72.0,72.68,6005882.0
2021-01-16 12:00:00,72.535,73.978,72.535,73.462,4644389.0
2021-01-16 13:00:00,73.46,74.0,72.1,73.151,4845027.0
2021-01-16 14:00:00,73.298,73.642,70.638,71.094,9852900.0
2021-01-16 15:00:00,71.096,71.954,68.2,68.4,16604323.0
2021-01-16 16:00:00,68.4,70.95,66.89,69.9,13844212.0
2021-01-16 17:00:00,69.953,70.1,67.1,68.2,10421383.0
