,Open,High,Low,Close,Volume
2020-05-14 12:00:00,10.36,11.2,9.5,9.96,2871870.0
2020-05-14 13:00:00,10.0,10.23,10.0,10.0,576540.0
2020-05-14 14:00:00,10.03,10.03,9.75,9.75,943680.0
2020-05-14 15:00:00,9.77,9.97,9.77,9.89,239310.0
2020-05-14 16:00:00,9.89,10.19,9.89,10.09,236850.0
2020-05-14 17:00:00,10.06,10.16,9.9,10.14,641080.0
2020-05-14 18:00:00,10.16,10.16,9.9,10.02,349880.0
2020-05-14 19:00:00,9.98,10.02,9.72,9.72,363340.0
2020-05-14 20:00:00,9.85,9.98,9.85,9.98,90430.0
2020-05-14 21:00:00,9.98,10.09,9.98,9.98,155710.0
2020-05-14 22:00:00,10.0,10.37,9.86,9.98,748830.0
2020-05-14 23:00:00,10.0,10.03,9.97,10.03,66800.0
2020-05-15 00:00:00,10.27,10.28,10.02,10.19,864440.0
2020-05-15 01:00:00,10.22,10.38,10.22,10.28,2685940.0
2020-05-15 02:00:00,10.18,10.4,10.18,10.26,1224640.0
2020-05-15 03:00:00,10.17,10.19,10.13,10.14,94070.0
2020-05-15 04:00:00,10.17,10.17,9.39,9.58,978380.0
2020-05-15 05:00:00,9.55,9.72,9.55,9.6,611580.0
2020-05-15 06:00:00,9.56,9.72,9.5,9.5,728180.0
2020-05-15 07:00:00,9.5,9.79,9.42,9.62,541820.0
2020-05-15 08:00:00,9.65,9.72,9.49,9.7,656680.0
2020-05-15 09:00:00,9.7,9.98,9.7,9.95,311630.0
2020-05-15 10:00:00,9.9,10.0,9.78,9.91,85310.0
2020-05-15 11:00:00,9.85,9.92,9.74,9.8,159270.0
2020-05-15 12:00:00,9.75,9.76,9.59,9.62,209130.0
2020-05-15 13:00:00,9.61,9.75,9.6,9.72,219350.0
2020-05-15 14:00:00,9.75,9.75,9.58,9.65,279430.0
2020-05-15 15:00:00,9.61,9.71,9.6,9.7,1029349.9999999999
2020-05-15 16:00:00,9.72,9.72,9.72,9.72,114480.0
2020-05-15 17:00:00,9.7,9.7,9.33,9.43,1678090.0
2020-05-15 18:00:00,9.43,9.61,9.42,9.54,237380.0
2020-05-15 19:00:00,9.51,9.55,9.37,9.37,377020.0
2020-05-15 20:00:00,9.47,9.62,9.44,9.57,153820.0
2020-05-15 21:00:00,9.55,9.55,9.18,9.18,1151360.0
2020-05-15 22:00:00,9.18,9.36,8.86,9.06,1832630.0
2020-05-15 23:00:00,9.08,9.4,9.0,9.4,784720.0
