,Open,High,Low,Close,Volume
2021-04-16 09:00:00,118.5,138.0,109.24,111.188,26641476.0
2021-04-16 10:00:00,111.009,114.016,108.147,111.566,3379895.0
2021-04-16 11:00:00,112.125,117.0,105.734,108.431,15711831.0
2021-04-16 12:00:00,108.431,110.0,106.003,106.003,2733531.0
2021-04-16 13:00:00,106.165,107.61,102.559,106.346,3991508.0
2021-04-16 14:00:00,106.346,106.943,104.0,105.557,2103777.0
2021-04-16 15:00:00,105.566,106.2,100.553,101.174,5330133.0
2021-04-16 16:00:00,101.0,107.601,100.97,105.533,5364867.0
2021-04-16 17:00:00,105.495,115.929,105.145,112.655,5526419.0
2021-04-16 18:00:00,113.13,119.0,109.492,113.751,4621603.0
2021-04-16 19:00:00,113.711,115.977,111.274,111.966,2484847.0
2021-04-16 20:00:00,112.191,119.647,111.0,113.805,1513927.0
2021-04-16 21:00:00,113.801,114.869,111.025,113.093,1780568.0
2021-04-16 22:00:00,113.179,120.0,111.922,114.53,2712430.0
2021-04-16 23:00:00,114.53,117.89,113.0,113.8,1000155.0
2021-04-17 00:00:00,113.606,116.619,112.608,112.752,1731331.0
2021-04-17 01:00:00,112.752,117.0,112.51,114.784,4201099.0
2021-04-17 02:00:00,114.498,118.904,111.463,112.335,2764317.0
2021-04-17 03:00:00,112.336,113.501,110.001,112.986,1145185.0
2021-04-17 04:00:00,113.369,117.487,111.53,113.83,1080131.0
2021-04-17 05:00:00,113.822,114.012,110.859,112.185,1012284.0
2021-04-17 06:00:00,112.185,113.525,111.296,112.909,664089.0
2021-04-17 07:00:00,113.145,115.867,112.107,112.736,738277.0
2021-04-17 08:00:00,112.649,113.515,112.0,112.567,919263.0
2021-04-17 09:00:00,112.943,115.0,112.4,113.921,1425866.0
2021-04-17 10:00:00,113.921,114.376,111.666,113.643,2536893.0
2021-04-17 11:00:00,113.643,115.999,111.0,111.316,1598518.0
2021-04-17 12:00:00,111.317,112.866,110.926,111.219,1034513.9999999999
2021-04-17 13:00:00,111.218,111.919,108.357,109.722,991997.0
2021-04-17 14:00:00,109.74,111.829,108.25,109.942,728217.0
2021-04-17 15:00:00,110.185,110.185,107.454,109.535,849493.0
2021-04-17 16:00:00,109.911,111.476,108.828,109.974,707358.0
2021-04-17 17:00:00,109.306,110.032,106.131,108.0,1350640.0
2021-04-17 18:00:00,107.587,110.896,105.011,107.833,1345157.0
2021-04-17 19:00:00,107.753,108.53,106.413,106.413,402586.0
2021-04-17 20:00:00,106.415,108.118,106.25,107.546,632284.0
2021-04-17 21:00:00,107.552,108.384,107.0,108.189,416756.0
2021-04-17 22:00:00,108.188,108.766,106.435,108.366,554170.0
2021-04-17 23:00:00,108.601,110.633,108.153,109.395,1007534.0
2021-04-18 00:00:00,109.4,110.421,108.501,109.126,464360.0
2021-04-18 01:00:00,109.409,110.0,106.764,106.764,304643.0
2021-04-18 02:00:00,106.767,108.229,104.831,105.0,1686969.0
2021-04-18 03:00:00,105.01,105.939,102.0,104.883,1633781.0
2021-04-18 04:00:00,104.873,105.438,94.223,102.965,1503844.0
2021-04-18 05:00:00,102.978,118.0,80.05,95.208,6683148.0
2021-04-18 06:00:00,95.208,103.232,90.838,92.238,3941700.0
2021-04-18 07:00:00,92.238,111.0,92.0,95.524,2375678.0
2021-04-18 08:00:00,95.57,106.51,94.403,95.861,1955037.0
2021-04-18 09:00:00,95.861,98.0,94.588,98.0,1816164.0
2021-04-18 10:00:00,97.897,98.0,93.173,93.31,1963177.0
2021-04-18 11:00:00,93.311,94.45,89.588,92.0,1872280.0
2021-04-18 12:00:00,92.0,94.068,88.476,89.051,1596096.0
2021-04-18 13:00:00,89.023,94.936,83.787,83.79,3409662.0
2021-04-18 14:00:00,83.868,90.723,83.788,90.081,5319474.0
2021-04-18 15:00:00,90.101,92.234,89.273,90.416,870515.0
2021-04-18 16:00:00,90.96,91.01,88.458,88.633,1333009.0
2021-04-18 17:00:00,88.634,96.565,87.474,91.215,2478849.0
2021-04-18 18:00:00,91.214,96.569,87.636,89.124,9576032.0
2021-04-18 19:00:00,89.98,90.668,87.743,89.0,3586886.0
2021-04-18 20:00:00,89.0,89.525,87.84,89.112,615002.0
2021-04-18 21:00:00,89.112,91.2,88.716,89.871,528919.0
2021-04-18 22:00:00,89.879,92.713,89.196,89.807,1046853.0000000001
2021-04-18 23:00:00,90.037,94.643,89.121,91.657,1713519.0
2021-04-19 00:00:00,91.657,95.407,91.0,94.841,3218094.0
2021-04-19 01:00:00,94.84,97.059,93.012,93.016,1810544.0
2021-04-19 02:00:00,93.1,98.898,92.037,97.084,3455811.0
2021-04-19 03:00:00,97.24,99.0,96.501,97.1,856252.0
2021-04-19 04:00:00,97.599,98.019,95.202,95.781,577312.0
2021-04-19 05:00:00,96.258,98.016,95.403,97.399,426708.0
2021-04-19 06:00:00,96.999,97.999,94.934,96.493,1031212.0
2021-04-19 07:00:00,95.99,96.996,94.459,94.917,948935.0
2021-04-19 08:00:00,94.917,96.851,94.572,95.956,1333760.0
2021-04-19 09:00:00,96.419,97.821,95.0,96.0,1330216.0
2021-04-19 10:00:00,96.001,96.43,90.424,91.744,11161907.0
2021-04-19 11:00:00,91.376,95.371,90.026,92.764,4735817.0
2021-04-19 12:00:00,92.916,92.916,86.103,87.901,2679679.0
2021-04-19 13:00:00,87.506,93.3,86.359,92.469,3201622.0
2021-04-19 14:00:00,92.512,92.512,89.064,89.895,1350905.0
2021-04-19 15:00:00,89.894,90.325,87.0,89.541,878142.0
2021-04-19 16:00:00,89.586,89.586,84.027,85.622,3063945.0
2021-04-19 17:00:00,85.986,86.209,82.702,84.524,1533160.0
2021-04-19 18:00:00,83.329,86.198,82.55,84.804,997562.0
2021-04-19 19:00:00,84.801,88.835,84.135,88.273,794147.0
2021-04-19 20:00:00,88.268,88.648,86.4,87.711,467364.0
2021-04-19 21:00:00,87.711,90.033,87.072,89.225,1104927.0
2021-04-19 22:00:00,89.215,89.721,88.934,89.399,352557.0
2021-04-19 23:00:00,89.399,90.627,88.828,90.065,896328.0
2021-04-20 00:00:00,90.065,90.3,88.308,88.995,689873.0
2021-04-20 01:00:00,88.927,90.627,86.223,86.875,701136.0
2021-04-20 02:00:00,87.048,87.049,75.0,78.5,4237458.0
2021-04-20 03:00:00,78.992,81.319,78.055,79.391,1544310.0
2021-04-20 06:00:00,78.841,82.576,77.528,82.259,1432275.0
2021-04-20 07:00:00,82.238,82.6,78.938,80.049,1334066.0
2021-04-20 08:00:00,80.058,83.375,76.0,77.51,1380682.0
2021-04-20 09:00:00,77.508,79.34,76.0,78.058,786752.0
2021-04-20 10:00:00,78.687,81.4,78.126,80.0,768736.0
2021-04-20 11:00:00,80.0,83.028,79.375,80.88,698587.0
2021-04-20 12:00:00,80.881,98.446,80.678,95.2,9467941.0
2021-04-20 13:00:00,95.2,97.0,90.593,92.667,6049861.0
2021-04-20 14:00:00,92.301,94.115,91.251,92.505,3315904.0
2021-04-20 15:00:00,92.51,96.789,92.269,95.383,3230867.0
2021-04-20 16:00:00,96.054,97.946,92.114,93.603,2971691.0
2021-04-20 17:00:00,93.603,95.0,90.262,93.702,2049742.0000000002
2021-04-20 18:00:00,93.8,97.987,91.968,94.261,1438717.0
2021-04-20 19:00:00,93.978,94.291,92.101,93.415,1069347.0
2021-04-20 20:00:00,93.479,94.779,92.422,94.454,1523780.0
2021-04-20 21:00:00,94.779,95.882,93.85,95.788,1074128.0
2021-04-20 22:00:00,95.788,96.121,93.533,93.859,1471639.0
2021-04-20 23:00:00,93.737,95.435,92.885,94.75,1405414.0
2021-04-21 00:00:00,95.194,95.977,93.278,94.233,2458964.0
2021-04-21 01:00:00,94.715,95.663,93.459,94.794,1747490.0
2021-04-21 02:00:00,94.865,97.599,92.15,92.9,3686963.0
2021-04-21 03:00:00,92.297,95.0,91.971,94.296,1896812.0
2021-04-21 04:00:00,94.993,96.84,94.091,95.714,688012.0
2021-04-21 05:00:00,95.713,96.217,93.284,93.366,608125.0
2021-04-21 06:00:00,93.389,94.328,92.6,93.7,817464.0
2021-04-21 07:00:00,93.65,94.44,92.136,92.212,1090159.0
2021-04-21 08:00:00,92.214,93.33,91.733,92.433,2431713.0
2021-04-21 09:00:00,92.064,92.777,91.703,92.287,931062.0
