,Open,High,Low,Close,Volume
2021-04-30 14:00:00,8.54,14.8,8.02,12.75,1158084200.0
2021-04-30 15:00:00,12.74,12.75,11.44,11.95,536910000.0
2021-04-30 16:00:00,11.91,12.1,11.16,11.22,396754500.0
2021-04-30 17:00:00,11.21,13.89,11.18,12.01,973431300.0
2021-04-30 18:00:00,12.01,12.32,11.36,11.7,341741200.0
2021-04-30 19:00:00,11.71,12.0,11.27,11.79,277683900.0
2021-04-30 20:00:00,11.79,12.49,11.4,11.52,236590700.0
2021-04-30 21:00:00,11.52,11.57,10.8,10.91,196076200.0
2021-04-30 22:00:00,10.91,11.29,10.31,10.53,209466100.0
2021-04-30 23:00:00,10.51,11.08,10.5,10.59,90780500.0
2021-05-01 00:00:00,10.6,10.64,10.02,10.12,137586200.0
2021-05-01 01:00:00,10.13,10.39,9.84,10.07,140239100.0
2021-05-01 02:00:00,10.09,10.09,9.4,9.67,140925900.0
2021-05-01 03:00:00,9.66,12.81,9.66,10.96,823534300.0
2021-05-01 04:00:00,10.96,12.15,10.65,11.52,364201100.0
2021-05-01 05:00:00,11.53,12.11,11.2,11.32,233510600.0
2021-05-01 06:00:00,11.32,11.75,11.18,11.19,113756700.0
2021-05-01 07:00:00,11.19,12.38,10.96,12.21,395784000.0
2021-05-01 08:00:00,12.24,12.55,11.56,12.01,396695800.0
2021-05-01 09:00:00,12.01,12.25,11.81,12.05,137466700.0
2021-05-01 10:00:00,12.05,12.14,11.56,11.9,189248300.0
2021-05-01 11:00:00,11.9,13.57,11.73,13.05,791133500.0
2021-05-01 12:00:00,13.05,13.39,12.46,12.71,396460000.0
2021-05-01 13:00:00,12.73,13.44,12.61,13.21,234370100.0
2021-05-01 14:00:00,13.22,13.25,12.1,12.24,336131200.0
2021-05-01 15:00:00,12.24,12.75,11.97,12.27,275585000.0
2021-05-01 16:00:00,12.29,12.3,11.56,11.82,188214500.0
2021-05-01 17:00:00,11.81,12.0,11.33,11.98,180241900.0
2021-05-01 18:00:00,11.98,13.18,11.95,12.61,387302100.0
2021-05-01 19:00:00,12.61,12.61,11.87,11.95,179196700.0
2021-05-01 20:00:00,11.92,12.6,11.92,12.15,164620300.0
2021-05-01 21:00:00,12.14,12.38,12.05,12.3,72100300.0
2021-05-01 22:00:00,12.3,12.3,11.59,11.63,178491800.0
2021-05-01 23:00:00,11.63,12.23,11.63,11.74,95825500.0
2021-05-02 00:00:00,11.74,12.18,11.63,11.86,139023700.0
2021-05-02 01:00:00,11.86,12.84,11.84,12.34,278603500.0
2021-05-02 02:00:00,12.3,12.52,12.0,12.32,150595100.0
2021-05-02 03:00:00,12.3,12.74,12.11,12.64,162035300.0
2021-05-02 04:00:00,12.62,13.25,12.55,13.13,299648200.0
2021-05-02 05:00:00,13.13,13.2,12.0,12.04,193087500.0
2021-05-02 06:00:00,12.08,12.96,11.65,12.6,174053500.0
2021-05-02 07:00:00,12.64,12.9,12.35,12.55,135380500.0
2021-05-02 08:00:00,12.55,13.59,12.46,13.22,210695500.0
2021-05-02 09:00:00,13.26,15.5,12.97,14.75,978390000.0
2021-05-02 10:00:00,14.75,15.0,13.94,14.55,458407700.0
2021-05-02 11:00:00,14.56,14.65,13.47,14.0,728974700.0
