,Open,High,Low,Close,Volume
2020-08-31 09:00:00,0.9315,1.7456,0.9315,1.5795,1737441460.0
2020-08-31 10:00:00,1.5755,1.6855,1.5701,1.6069,688342280.0
2020-08-31 11:00:00,1.6069,1.649,1.53,1.5502,772093610.0
2020-08-31 12:00:00,1.5502,1.5573,1.4835,1.4835,626243410.0
2020-08-31 13:00:00,1.4867,1.5124,1.4359,1.4723,643279980.0
2020-08-31 14:00:00,1.4709,1.5198,1.4359,1.4519,425043110.0
2020-08-31 15:00:00,1.4497,1.584,1.4462,1.4906,961746670.0
2020-08-31 16:00:00,1.4862,1.4949,1.3786,1.3878,606823610.0
2020-08-31 17:00:00,1.3837,1.4219,1.2552,1.327,1475250200.0
2020-08-31 18:00:00,1.324,1.35,1.2624,1.2966,580946970.0
2020-08-31 19:00:00,1.298,1.3899,1.2966,1.3349,614650840.0
2020-08-31 20:00:00,1.3395,1.3825,1.31,1.3726,280786400.0
2020-08-31 21:00:00,1.3724,1.4115,1.3265,1.3578,296034110.0
2020-08-31 22:00:00,1.3536,1.357,1.23,1.241,703898710.0
2020-08-31 23:00:00,1.2379,1.2989,1.189,1.2352,594017610.0
2020-09-01 00:00:00,1.2369,1.2972,1.1856,1.2513,443486180.0
2020-09-01 01:00:00,1.2575,1.3299,1.2542,1.2679,335050510.0
2020-09-01 02:00:00,1.2735,1.2735,1.195,1.2325,264622760.0
2020-09-01 03:00:00,1.2326,1.253,1.2142,1.2455,309455140.0
2020-09-01 04:00:00,1.2449,1.3394,1.236,1.3288,461380460.0
2020-09-01 05:00:00,1.3288,1.38,1.2917,1.3734,383168410.0
2020-09-01 06:00:00,1.3751,1.3943,1.3302,1.3302,453826380.0
2020-09-01 07:00:00,1.3399,1.4,1.3313,1.3674,312171540.0
2020-09-01 08:00:00,1.3593,1.3699,1.287,1.3692,549284620.0
2020-09-01 09:00:00,1.3633,1.55,1.3501,1.5225,1671899950.0
2020-09-01 10:00:00,1.5225,1.53,1.435,1.48,465409220.0
2020-09-01 11:00:00,1.4777,1.51,1.4,1.4229,596692550.0
2020-09-01 12:00:00,1.423,1.4267,1.28,1.3049,1178585570.0
2020-09-01 13:00:00,1.3,1.3055,1.21,1.2216,927866690.0
2020-09-01 14:00:00,1.2188,1.269,1.2149,1.2401,342687690.0
2020-09-01 15:00:00,1.244,1.316,1.1991,1.2743,568967820.0
2020-09-01 16:00:00,1.2861,1.2861,1.2232,1.249,310964160.0
2020-09-01 17:00:00,1.2479,1.25,1.1318,1.1733,766423610.0
2020-09-01 18:00:00,1.177,1.23,1.14,1.166,631884010.0
2020-09-01 19:00:00,1.1681,1.1762,1.139,1.1524,221628240.0
2020-09-01 20:00:00,1.1525,1.1621,1.105,1.1318,478594910.0
2020-09-01 21:00:00,1.1318,1.179,1.1078,1.122,369671120.0
2020-09-01 22:00:00,1.1244,1.1844,1.0912,1.1423,516764350.0
2020-09-01 23:00:00,1.1423,1.1789,1.0841,1.1195,392357790.0
2020-09-02 00:00:00,1.12,1.12,1.0747,1.104,247661040.0
2020-09-02 01:00:00,1.1077,1.1077,1.01,1.0434,580765430.0
2020-09-02 02:00:00,1.05,1.1255,1.0297,1.039,383876570.0
2020-09-02 03:00:00,1.039,1.05,0.9238,0.9801,1288531670.0
2020-09-02 04:00:00,0.9832,1.0677,0.9702,1.0593,453971670.0
2020-09-02 05:00:00,1.0575,1.0634,1.0,1.0297,263945289.99999997
2020-09-02 06:00:00,1.0297,1.18,1.0285,1.1142,627971770.0
2020-09-02 07:00:00,1.1142,1.1386,1.0175,1.0225,559389490.0
2020-09-02 08:00:00,1.0232,1.1089,1.0143,1.0787,383783580.0
2020-09-02 09:00:00,1.0786,1.095,1.0564,1.0564,135016810.0
2020-09-02 10:00:00,1.0571,1.1,1.0284,1.07,232741220.0
2020-09-02 11:00:00,1.0739,1.1797,1.07,1.13,425686660.0
2020-09-02 12:00:00,1.1296,1.1296,0.9811,1.0133,1035462620.0
2020-09-02 13:00:00,1.009,1.01,0.9,0.975,605204170.0
2020-09-02 14:00:00,0.9755,1.05,0.95,1.0046,470642050.0
2020-09-02 15:00:00,1.0047,1.0352,0.96,0.9739,327146280.0
2020-09-02 16:00:00,0.9739,1.0115,0.95,0.9675,371895410.0
2020-09-02 17:00:00,0.9657,1.0089,0.955,0.9606,335920550.0
2020-09-02 18:00:00,0.9606,0.9701,0.9161,0.9261,323013140.0
2020-09-02 19:00:00,0.9225,0.9765,0.9005,0.953,426657430.0
2020-09-02 20:00:00,0.9529,0.97,0.9179,0.9365,182969810.0
2020-09-02 21:00:00,0.9366,0.9985,0.9342,0.9913,151804820.0
2020-09-02 22:00:00,0.9912,0.9912,0.9442,0.9461,119087550.0
2020-09-02 23:00:00,0.946,1.0,0.9446,1.0,137027380.0
2020-09-03 00:00:00,1.0,1.0,0.9515,0.9619,121269320.0
2020-09-03 01:00:00,0.9619,0.9668,0.9105,0.9366,249389220.0
2020-09-03 02:00:00,0.936,0.9714,0.916,0.9351,291846830.0
2020-09-03 03:00:00,0.9351,0.998,0.92,0.9812,362499150.0
2020-09-03 04:00:00,0.9812,1.12,0.9783,1.0517,1205714010.0
2020-09-03 05:00:00,1.0562,1.0717,1.0,1.0329,393759280.0
2020-09-03 06:00:00,1.0329,1.07,1.0016,1.0168,387422950.0
2020-09-03 07:00:00,1.0168,1.0214,0.9799,0.9805,260911710.0
2020-09-03 08:00:00,0.9898,1.04,0.97,1.0041,260031970.0
2020-09-03 09:00:00,1.0041,1.0489,0.9722,1.0449,267904539.99999997
2020-09-03 10:00:00,1.0435,1.0721,1.0,1.0364,510760700.0
2020-09-03 11:00:00,1.035,1.037,1.0229,1.0243,81913810.0
2020-09-03 12:00:00,1.0279,1.0305,0.9334,0.9407,563796380.0
2020-09-03 13:00:00,0.9432,0.9659,0.8506,0.8565,799971560.0
2020-09-03 14:00:00,0.857,0.8816,0.705,0.7888,1543148100.0
2020-09-03 15:00:00,0.793,0.8498,0.7761,0.8346,565145240.0
2020-09-03 16:00:00,0.8353,0.857,0.7801,0.8067,662603110.0
2020-09-03 17:00:00,0.8017,0.8293,0.7277,0.7727,809735010.0
2020-09-03 18:00:00,0.7676,0.802,0.7466,0.7606,783811010.0
2020-09-03 19:00:00,0.7606,0.7982,0.76,0.775,196312970.0
2020-09-03 20:00:00,0.775,0.788,0.7333,0.7451,232799290.0
2020-09-03 21:00:00,0.7441,0.795,0.713,0.794,393409580.0
2020-09-03 22:00:00,0.7914,0.855,0.7807,0.8535,307232270.0
2020-09-03 23:00:00,0.8535,0.87,0.8171,0.841,410602440.0
2020-09-04 00:00:00,0.8514,0.8699,0.7853,0.7925,287260770.0
2020-09-04 01:00:00,0.7925,0.805,0.6914,0.7242,409144640.0
2020-09-04 02:00:00,0.7246,0.7499,0.7,0.7368,195507100.0
2020-09-04 03:00:00,0.7339,0.745,0.7249,0.725,110306640.0
2020-09-04 04:00:00,0.725,0.7351,0.675,0.7075,415833980.0
2020-09-04 05:00:00,0.7072,0.7591,0.7011,0.7433,137234800.0
2020-09-04 06:00:00,0.7399,0.74,0.6863,0.707,559580010.0
2020-09-04 07:00:00,0.707,0.7122,0.6875,0.697,152202550.0
2020-09-04 08:00:00,0.697,0.7024,0.6597,0.6632,282130810.0
2020-09-04 09:00:00,0.669,0.6957,0.66,0.69,314729600.0
2020-09-04 10:00:00,0.6899,0.7701,0.6881,0.7496,384502760.0
2020-09-04 11:00:00,0.7461,0.7998,0.7266,0.7849,392751190.0
2020-09-04 12:00:00,0.7844,0.7844,0.7511,0.7511,294680920.0
2020-09-04 13:00:00,0.7528,0.7562,0.71,0.7251,241043860.0
2020-09-04 14:00:00,0.7299,0.748,0.7205,0.7302,179617590.0
2020-09-04 15:00:00,0.7301,0.753,0.7186,0.7298,152793270.0
2020-09-04 16:00:00,0.7264,0.7489,0.6152,0.674,533463400.0
2020-09-04 17:00:00,0.674,0.684,0.6237,0.6523,568376690.0
2020-09-04 18:00:00,0.6524,0.6838,0.6309,0.675,318927680.0
2020-09-04 19:00:00,0.6747,0.6751,0.644,0.6552,170630390.0
2020-09-04 20:00:00,0.6552,0.6645,0.6363,0.6568,193851800.0
2020-09-04 21:00:00,0.6654,0.6854,0.6607,0.6805,212484930.0
2020-09-04 22:00:00,0.681,0.7262,0.68,0.7169,387028990.0
2020-09-04 23:00:00,0.72,0.7468,0.7064,0.7136,184867450.0
2020-09-05 00:00:00,0.7135,0.7477,0.6901,0.6933,184445890.0
2020-09-05 01:00:00,0.6968,0.7094,0.69,0.7,77147760.0
2020-09-05 02:00:00,0.7,0.74,0.7,0.7135,222770580.0
2020-09-05 03:00:00,0.7211,0.732,0.695,0.7146,137021690.0
2020-09-05 04:00:00,0.7147,0.7274,0.6996,0.7204,127785040.0
2020-09-05 05:00:00,0.7229,0.8,0.7229,0.7999,877941030.0
2020-09-05 06:00:00,0.7997,0.7997,0.7298,0.7463,515555810.0
2020-09-05 07:00:00,0.7457,0.7579,0.72,0.7263,197794050.0
2020-09-05 08:00:00,0.7259,0.7637,0.7118,0.7598,323151950.0
2020-09-05 09:00:00,0.76,0.7641,0.7272,0.7393,515594530.0
2020-09-05 10:00:00,0.739,0.7494,0.695,0.7026,482717850.0
2020-09-05 11:00:00,0.7025,0.7025,0.634,0.6393,731709180.0
2020-09-05 12:00:00,0.6393,0.6599,0.628,0.6384,303035170.0
2020-09-05 13:00:00,0.6397,0.6412,0.5982,0.62,551283380.0
2020-09-05 14:00:00,0.62,0.63,0.5612,0.5655,586388130.0
2020-09-05 15:00:00,0.5649,0.6061,0.5503,0.5774,1110801390.0
2020-09-05 16:00:00,0.5781,0.6059,0.5601,0.6,503381220.0
2020-09-05 17:00:00,0.599,0.6012,0.5829,0.5834,345362900.0
2020-09-05 18:00:00,0.5846,0.5897,0.5,0.5361,721587320.0
2020-09-05 19:00:00,0.5362,0.5439,0.484,0.4869,678749450.0
2020-09-05 20:00:00,0.4869,0.4977,0.3743,0.4211,1655792210.0
2020-09-05 21:00:00,0.4227,0.4536,0.3801,0.4224,1009264120.0
2020-09-05 22:00:00,0.4226,0.4999,0.4151,0.4916,1010318480.0
2020-09-05 23:00:00,0.49,0.49,0.385,0.4482,1406989860.0
2020-09-06 00:00:00,0.4488,0.4837,0.4201,0.4282,650461550.0
2020-09-06 01:00:00,0.4272,0.4769,0.4087,0.4679,809481550.0
2020-09-06 02:00:00,0.4683,0.5161,0.4577,0.5092,493813110.0
2020-09-06 03:00:00,0.5092,0.57,0.5058,0.5345,606540690.0
2020-09-06 04:00:00,0.5345,0.5594,0.5133,0.5505,321820780.0
2020-09-06 05:00:00,0.5572,0.5683,0.5166,0.5187,231315600.0
2020-09-06 06:00:00,0.5187,0.5353,0.4516,0.4681,597060400.0
2020-09-06 07:00:00,0.4648,0.4773,0.4442,0.4618,556058490.0
2020-09-06 08:00:00,0.4631,0.4758,0.4429,0.4746,317518740.0
2020-09-06 09:00:00,0.4704,0.5524,0.4577,0.5312,1147764090.0
2020-09-06 10:00:00,0.5332,0.5356,0.4951,0.532,1058592470.0
2020-09-06 11:00:00,0.532,0.5462,0.5082,0.5268,530377050.00000006
2020-09-06 12:00:00,0.5302,0.5325,0.5053,0.5325,310806890.0
2020-09-06 13:00:00,0.5312,0.58,0.5289,0.5639,709967860.0
2020-09-06 14:00:00,0.5638,0.6107,0.5637,0.5737,1415472690.0
2020-09-06 15:00:00,0.5771,0.58,0.5409,0.5609,567653400.0
2020-09-06 16:00:00,0.5614,0.581,0.535,0.5532,384504630.0
2020-09-06 17:00:00,0.5522,0.5532,0.5012,0.5233,735949760.0
2020-09-06 18:00:00,0.5238,0.5413,0.5113,0.5343,427047870.0
2020-09-06 19:00:00,0.5362,0.555,0.5312,0.5507,226723470.0
2020-09-06 20:00:00,0.549,0.595,0.5409,0.581,280452300.0
2020-09-06 21:00:00,0.5815,0.6,0.5719,0.5773,437482630.0
2020-09-06 22:00:00,0.5773,0.6012,0.5594,0.5874,544272500.0
2020-09-06 23:00:00,0.5847,0.6368,0.5802,0.62,656112010.0
2020-09-07 00:00:00,0.6211,0.6242,0.5782,0.5875,392919690.0
2020-09-07 01:00:00,0.5908,0.6392,0.5795,0.6213,513534500.0
2020-09-07 02:00:00,0.6204,0.639,0.6036,0.6188,370403130.0
2020-09-07 03:00:00,0.6178,0.6349,0.6085,0.6228,246959260.0
2020-09-07 04:00:00,0.6241,0.6259,0.5807,0.5837,239793190.0
2020-09-07 05:00:00,0.5837,0.5837,0.5538,0.558,688517790.0
2020-09-07 06:00:00,0.5586,0.5726,0.55,0.5507,430162350.0
2020-09-07 07:00:00,0.5508,0.558,0.5272,0.529,496388680.0
2020-09-07 08:00:00,0.5286,0.5367,0.506,0.5065,463896560.0
2020-09-07 09:00:00,0.5073,0.5368,0.5073,0.5226,322969590.0
2020-09-07 10:00:00,0.5207,0.5403,0.5166,0.5269,237558110.0
2020-09-07 11:00:00,0.5281,0.532,0.5108,0.516,133281359.99999999
2020-09-07 12:00:00,0.5162,0.5169,0.4795,0.4807,874400850.0
2020-09-07 13:00:00,0.4801,0.4926,0.45,0.4717,789525680.0
2020-09-07 14:00:00,0.4713,0.4825,0.448,0.4568,821194620.0
2020-09-07 15:00:00,0.4558,0.4989,0.4542,0.493,1221845610.0
2020-09-07 16:00:00,0.4951,0.4986,0.4707,0.4779,619593550.0
2020-09-07 17:00:00,0.4768,0.5439,0.473,0.5258,988661820.0
2020-09-07 18:00:00,0.5258,0.5656,0.525,0.5332,787547050.0
2020-09-07 19:00:00,0.5323,0.56,0.52,0.536,513937830.0
2020-09-07 20:00:00,0.5358,0.557,0.5319,0.5399,202939520.0
2020-09-07 21:00:00,0.5399,0.5638,0.5199,0.5252,534114760.0
2020-09-07 22:00:00,0.5257,0.555,0.5078,0.5484,514859850.0
2020-09-07 23:00:00,0.5484,0.5665,0.5378,0.5424,316178270.0
2020-09-08 00:00:00,0.5426,0.5623,0.5364,0.5495,848892140.0
2020-09-08 01:00:00,0.548,0.5574,0.5443,0.5564,271238350.0
2020-09-08 02:00:00,0.5555,0.5638,0.5173,0.5245,661488500.0
2020-09-08 03:00:00,0.5242,0.545,0.5225,0.5276,485200080.0
2020-09-08 04:00:00,0.5277,0.5404,0.526,0.5387,115893440.0
2020-09-08 05:00:00,0.5395,0.548,0.5304,0.5424,153607610.0
2020-09-08 06:00:00,0.5413,0.5492,0.517,0.5227,362197500.0
2020-09-08 07:00:00,0.5216,0.529,0.5121,0.5145,240854240.0
2020-09-08 08:00:00,0.5145,0.543,0.5117,0.5372,247996050.0
2020-09-08 09:00:00,0.5385,0.5545,0.5349,0.55,342879870.0
2020-09-08 10:00:00,0.55,0.5573,0.5205,0.5293,389927340.0
2020-09-08 11:00:00,0.5347,0.5356,0.5099,0.5112,235047720.0
2020-09-08 12:00:00,0.5094,0.5214,0.4882,0.504,585955340.0
2020-09-08 13:00:00,0.5048,0.5122,0.475,0.485,584544740.0
2020-09-08 14:00:00,0.4838,0.4997,0.48,0.4965,500316850.0
2020-09-08 15:00:00,0.496,0.5,0.4769,0.4865,317832710.0
2020-09-08 16:00:00,0.4862,0.5165,0.4854,0.5093,421990240.0
2020-09-08 17:00:00,0.5071,0.5188,0.4969,0.5059,342036380.0
2020-09-08 18:00:00,0.5058,0.5484,0.5028,0.5433,712786010.0
2020-09-08 19:00:00,0.5433,0.5549,0.526,0.545,1700508170.0
2020-09-08 20:00:00,0.5477,0.5556,0.4888,0.5081,1456137880.0
2020-09-08 21:00:00,0.5081,0.5286,0.5053,0.519,631699000.0
2020-09-08 22:00:00,0.5199,0.547,0.5196,0.537,847141020.0
2020-09-08 23:00:00,0.5366,0.5398,0.5236,0.529,515537170.0
2020-09-09 00:00:00,0.5311,0.5387,0.48,0.5229,977764800.0
2020-09-09 01:00:00,0.5236,0.5296,0.512,0.5199,221270100.0
2020-09-09 02:00:00,0.5184,0.5444,0.5149,0.5441,249839690.0
