,Open,High,Low,Close,Volume
2021-02-19 07:00:00,9.55,30.0,9.55,16.999,1101443391.0
2021-02-19 08:00:00,17.01,19.6,16.321,17.64,1040203352.0
2021-02-19 09:00:00,17.647,18.777,17.15,17.577,727773902.0
2021-02-19 10:00:00,17.5,17.965,16.63,16.707,438930903.0
2021-02-19 11:00:00,16.704,17.75,16.5,17.536,471596244.0
2021-02-19 12:00:00,17.55,18.199,17.45,17.751,418881466.0
2021-02-19 13:00:00,17.753,18.2,17.5,17.95,221396596.0
2021-02-19 14:00:00,17.927,19.8,17.7,19.386,879612697.0
2021-02-19 15:00:00,19.339,20.24,18.507,19.648,1073247071.9999999
2021-02-19 16:00:00,19.62,21.7,17.45,19.151,1514085939.0
2021-02-19 17:00:00,19.098,19.263,16.707,17.468,683217909.0
2021-02-19 18:00:00,17.557,18.372,17.355,17.899,185826693.0
2021-02-19 19:00:00,17.86,18.098,17.336,17.493,19756028.0
2021-02-19 20:00:00,17.56,19.0,17.131,18.471,260746154.0
2021-02-19 21:00:00,18.5,19.8,18.355,18.946,563412115.0
2021-02-19 22:00:00,18.986,19.2,18.207,19.171,223669984.0
2021-02-19 23:00:00,19.181,20.0,18.623,18.713,349850818.0
2021-02-20 00:00:00,18.768,19.306,18.515,18.934,168954049.0
2021-02-20 01:00:00,18.934,19.0,15.535,16.152,470085534.0
2021-02-20 02:00:00,16.105,17.24,14.5,15.811,668013718.0
2021-02-20 03:00:00,15.847,17.607,15.502,16.645,485257712.0
2021-02-20 04:00:00,16.577,16.935,15.716,15.845,231105093.0
2021-02-20 05:00:00,15.841,16.11,15.035,15.774,273950801.0
2021-02-20 06:00:00,15.77,16.498,15.703,16.271,212087050.0
2021-02-20 07:00:00,16.265,16.91,15.895,16.3,275146591.0
2021-02-20 08:00:00,16.346,16.697,15.678,15.995,233899597.0
2021-02-20 09:00:00,15.995,16.521,15.98,16.046,207382782.0
2021-02-20 10:00:00,16.078,16.48,15.7,15.901,331759835.0
2021-02-20 11:00:00,15.9,16.329,15.768,16.155,252079283.0
2021-02-20 12:00:00,16.187,16.562,16.051,16.471,274783073.0
2021-02-20 13:00:00,16.471,16.51,15.7,15.762,234119022.0
2021-02-20 14:00:00,15.763,15.98,14.702,14.9,438813359.0
2021-02-20 15:00:00,14.919,15.526,13.654,13.77,817876642.0
2021-02-20 16:00:00,13.77,14.88,13.75,14.249,482158882.0
2021-02-20 17:00:00,14.228,14.818,14.2,14.814,375277348.0
2021-02-20 18:00:00,14.754,15.815,14.709,15.6,591024816.0
2021-02-20 19:00:00,15.603,15.79,14.925,15.306,261457492.0
2021-02-20 20:00:00,15.306,15.488,14.97,15.039,152411909.0
2021-02-20 21:00:00,15.053,15.09,14.5,14.72,188896984.0
2021-02-20 22:00:00,14.72,14.723,13.75,13.764,340057420.0
2021-02-20 23:00:00,13.763,13.925,12.1,13.278,753744601.0
2021-02-21 00:00:00,13.244,15.0,13.191,14.673,643507803.0
2021-02-21 01:00:00,14.611,16.299,14.1,15.91,580264992.0
2021-02-21 02:00:00,15.905,16.5,15.083,15.722,478839165.0
2021-02-21 03:00:00,15.722,16.3,15.6,15.719,143584692.0
2021-02-21 04:00:00,15.72,16.06,15.133,15.266,110627053.0
2021-02-21 05:00:00,15.29,15.95,14.623,15.289,205973910.0
2021-02-21 06:00:00,15.3,15.6,15.0,15.162,75848645.0
2021-02-21 07:00:00,15.16,15.498,14.8,15.196,100798892.0
2021-02-21 08:00:00,15.196,15.2,14.59,14.897,182705891.0
2021-02-21 09:00:00,14.942,16.45,14.891,16.188,385392249.0
2021-02-21 10:00:00,16.188,17.8,16.178,17.536,968248929.0
2021-02-21 11:00:00,17.532,18.074,16.53,16.745,620337458.0
2021-02-21 12:00:00,16.7,17.133,16.38,16.93,227238453.0
2021-02-21 13:00:00,16.929,17.7,16.9,17.243,314656387.0
2021-02-21 14:00:00,17.233,17.99,17.21,17.938,427655207.0
2021-02-21 15:00:00,17.901,18.894,17.754,18.337,776746577.0
2021-02-21 16:00:00,18.336,18.5,17.443,17.908,454735745.0
2021-02-21 17:00:00,17.948,18.1,16.805,16.895,394222290.0
2021-02-21 18:00:00,16.895,17.489,16.7,17.01,280173559.0
2021-02-21 19:00:00,17.011,17.5,16.59,17.1,258208692.0
2021-02-21 20:00:00,17.101,17.411,16.87,17.027,127080312.0
2021-02-21 21:00:00,17.031,17.2,16.0,16.383,276351673.0
2021-02-21 22:00:00,16.381,16.56,15.743,15.915,271815998.0
2021-02-21 23:00:00,15.911,16.96,15.72,16.798,206493972.0
2021-02-22 00:00:00,16.776,16.949,16.2,16.645,156147537.0
2021-02-22 01:00:00,16.652,16.752,15.849,15.849,179465007.0
2021-02-22 02:00:00,15.849,16.529,15.563,16.284,200129941.0
2021-02-22 03:00:00,16.261,16.36,15.7,16.063,95475664.0
2021-02-22 04:00:00,16.062,16.17,15.21,15.42,162746495.0
2021-02-22 05:00:00,15.419,15.9,14.871,15.462,253924848.0
2021-02-22 06:00:00,15.506,16.017,14.994,15.144,223422624.0
2021-02-22 07:00:00,15.121,16.0,14.9,15.556,205142097.0
2021-02-22 08:00:00,15.554,15.75,15.272,15.575,136996683.0
2021-02-22 09:00:00,15.599,15.724,14.9,15.1,218381127.0
2021-02-22 10:00:00,15.1,15.448,14.235,14.431,298022206.0
2021-02-22 11:00:00,14.431,14.979,13.688,14.546,452318066.0
2021-02-22 12:00:00,14.546,15.202,14.31,14.31,242683645.0
2021-02-22 13:00:00,14.31,14.43,12.888,14.134,806628451.0
2021-02-22 14:00:00,14.129,14.6,13.208,13.278,438606983.0
2021-02-22 15:00:00,13.214,15.588,12.235,15.412,1124975514.0
2021-02-22 16:00:00,15.412,15.5,14.513,15.046,431973700.0
