,Open,High,Low,Close,Volume
2021-01-05 09:00:00,1.588,4.12,1.588,3.49,2857330370.0
2021-01-05 10:00:00,3.4899,3.4899,2.671,2.78,2657774920.0
2021-01-05 11:00:00,2.7859,3.0,2.6252,2.736,1261664960.0
2021-01-05 12:00:00,2.737,2.7402,2.505,2.5364,604704280.0
2021-01-05 13:00:00,2.5359,2.958,2.5356,2.8222,2473195080.0
2021-01-05 14:00:00,2.8219,2.847,2.65,2.7257,1464383530.0
2021-01-05 15:00:00,2.7209,2.736,2.5999,2.6681,386510640.0
2021-01-05 16:00:00,2.6605,2.7946,2.6001,2.7312,736623300.0
2021-01-05 17:00:00,2.726,2.75,2.4741,2.4894,664379090.0
2021-01-05 18:00:00,2.481,2.6165,2.4026,2.4702,776042250.0
2021-01-05 19:00:00,2.4814,2.493,2.385,2.4311,420543820.0
2021-01-05 20:00:00,2.435,2.4446,2.1777,2.298,384426050.0
2021-01-05 21:00:00,2.297,2.307,2.2033,2.2771,142099200.0
2021-01-05 22:00:00,2.2771,2.7676,2.265,2.7591,514768810.0
2021-01-05 23:00:00,2.766,2.87,2.5676,2.8411,979156050.0
2021-01-06 00:00:00,2.841,2.8756,2.4673,2.5765,869698990.0
2021-01-06 01:00:00,2.5765,2.5795,2.357,2.4674,345678580.0
2021-01-06 02:00:00,2.465,2.6909,2.4641,2.539,252894390.0
2021-01-06 03:00:00,2.5338,2.6087,2.49,2.553,117433230.0
2021-01-06 04:00:00,2.553,2.6392,2.426,2.4909,467475390.0
2021-01-06 05:00:00,2.4862,2.5003,2.3879,2.428,104760630.0
2021-01-06 06:00:00,2.4289,2.48,2.33,2.388,194205040.0
2021-01-06 07:00:00,2.3908,2.43,2.313,2.3689,145732980.0
2021-01-06 08:00:00,2.3674,2.41,2.3,2.39,111574410.0
2021-01-06 09:00:00,2.3747,2.3957,2.32,2.3401,77991310.0
2021-01-06 10:00:00,2.3401,2.41,2.336,2.3902,74800910.0
2021-01-06 11:00:00,2.3919,2.509,2.3728,2.39,128635920.0
2021-01-06 12:00:00,2.3897,2.397,2.32,2.3201,63852550.0
2021-01-06 13:00:00,2.3201,2.356,2.2032,2.3254,161898220.0
2021-01-06 14:00:00,2.3319,2.3803,2.2613,2.3391,98280600.0
2021-01-06 15:00:00,2.3391,2.3478,2.2172,2.2609,110442460.0
2021-01-06 16:00:00,2.2521,2.3201,2.2512,2.3201,70989400.0
2021-01-06 17:00:00,2.32,2.3313,2.2383,2.2667,86818070.0
2021-01-06 18:00:00,2.2732,2.3199,2.2725,2.2863,31493550.0
2021-01-06 19:00:00,2.288,2.3073,2.2612,2.3072,29263710.0
2021-01-06 20:00:00,2.3073,2.3528,2.2566,2.2602,72347470.0
2021-01-06 21:00:00,2.2601,2.2842,2.2522,2.2777,24609050.0
2021-01-06 22:00:00,2.2668,2.2907,2.2237,2.2555,62284590.0
2021-01-06 23:00:00,2.2555,2.27,2.2238,2.2506,22053550.0
2021-01-07 00:00:00,2.26,2.346,2.2504,2.302,42540470.0
2021-01-07 01:00:00,2.3183,2.3307,2.23,2.2599,40326690.0
2021-01-07 02:00:00,2.2527,2.2607,2.2248,2.2597,54620620.0
2021-01-07 03:00:00,2.2596,2.2969,2.236,2.2605,20597890.0
2021-01-07 04:00:00,2.2604,2.268,2.2241,2.2318,24342720.0
2021-01-07 05:00:00,2.2318,2.2318,2.1155,2.2058,130328290.0
2021-01-07 06:00:00,2.2001,2.2222,2.186,2.1869,31474350.0
2021-01-07 07:00:00,2.1858,2.2021,2.145,2.145,55841810.0
2021-01-07 08:00:00,2.1451,2.2257,2.1451,2.2235,85444180.0
2021-01-07 09:00:00,2.224,2.29,2.2,2.2,86114720.0
2021-01-07 10:00:00,2.1934,2.2097,2.144,2.2097,79893460.0
