,Open,High,Low,Close,Volume
2019-03-25 05:00:00,0.03,0.04,0.02236,0.02356,946852236200.0
2019-03-25 06:00:00,0.02356,0.02701,0.02327,0.02645,569216243000.0
2019-03-25 07:00:00,0.02639,0.02749,0.02536,0.02661,329982413200.0
2019-03-25 08:00:00,0.02663,0.0283,0.02615,0.02659,282970298900.0
2019-03-25 09:00:00,0.02662,0.02714,0.02568,0.02568,183394422100.0
2019-03-25 10:00:00,0.02568,0.026,0.02434,0.02491,132183898800.0
2019-03-25 11:00:00,0.02492,0.02562,0.0245,0.02519,88168882100.0
2019-03-25 12:00:00,0.02521,0.02567,0.02425,0.02485,87400673000.0
2019-03-25 13:00:00,0.02483,0.02496,0.0238,0.0247,84107594300.0
2019-03-25 14:00:00,0.02471,0.02473,0.02381,0.02427,94883584200.0
2019-03-25 15:00:00,0.02427,0.02485,0.0241,0.02435,72738558900.0
2019-03-25 16:00:00,0.02432,0.02449,0.02332,0.02332,69616491200.0
2019-03-25 17:00:00,0.02333,0.02345,0.02283,0.02342,164082293100.0
2019-03-25 18:00:00,0.02339,0.0252,0.02339,0.02436,108571271300.0
2019-03-25 19:00:00,0.02436,0.02497,0.02413,0.02417,41475812000.0
2019-03-25 20:00:00,0.02421,0.02421,0.02301,0.02393,51557559900.0
2019-03-25 21:00:00,0.02391,0.02416,0.02347,0.02379,13463854700.0
2019-03-25 22:00:00,0.02382,0.02415,0.02349,0.024,18515249400.0
2019-03-25 23:00:00,0.02403,0.02477,0.02403,0.02453,24734290200.0
2019-03-26 00:00:00,0.02453,0.0249,0.02416,0.02423,22641066300.0
2019-03-26 01:00:00,0.0242,0.02479,0.02415,0.02416,26730521900.0
2019-03-26 02:00:00,0.02419,0.02434,0.02369,0.02401,23418503600.0
2019-03-26 03:00:00,0.02405,0.02418,0.02351,0.02372,136434425500.0
2019-03-26 04:00:00,0.02367,0.0246,0.02366,0.02432,760944767500.0
2019-03-26 05:00:00,0.02432,0.02453,0.02386,0.02401,88261813200.0
2019-03-26 06:00:00,0.02399,0.02429,0.02378,0.02379,15518553500.0
2019-03-26 07:00:00,0.02379,0.02395,0.02311,0.02333,32209833400.0
2019-03-26 08:00:00,0.02334,0.02342,0.0211,0.02187,123243031500.0
2019-03-26 09:00:00,0.02188,0.02188,0.02054,0.02136,153322322100.0
2019-03-26 10:00:00,0.02139,0.02162,0.02027,0.02031,69524055500.0
2019-03-26 11:00:00,0.0203,0.02059,0.01991,0.02026,75305332500.0
2019-03-26 12:00:00,0.02028,0.0205,0.0199,0.02024,37884712100.0
2019-03-26 13:00:00,0.02022,0.02036,0.01881,0.01915,107806233800.0
2019-03-26 14:00:00,0.01909,0.01972,0.01825,0.01943,123359619400.0
2019-03-26 15:00:00,0.01943,0.01944,0.01851,0.01863,52060804500.0
2019-03-26 16:00:00,0.01861,0.01933,0.01828,0.01853,49894370200.0
2019-03-26 17:00:00,0.01852,0.01862,0.01805,0.01842,43919228900.0
2019-03-26 18:00:00,0.01842,0.01879,0.01806,0.01834,28302473900.0
2019-03-26 19:00:00,0.01836,0.0195,0.01823,0.01927,46498958900.0
2019-03-26 20:00:00,0.01928,0.01958,0.01871,0.01916,34621775300.0
2019-03-26 21:00:00,0.01921,0.0193,0.01863,0.01902,24651168400.0
2019-03-26 22:00:00,0.01906,0.01908,0.01814,0.01836,19578313100.0
2019-03-26 23:00:00,0.01837,0.01864,0.01811,0.01827,20636519200.0
2019-03-27 00:00:00,0.01824,0.01854,0.01761,0.01814,59802247300.0
2019-03-27 01:00:00,0.01814,0.01816,0.01653,0.01752,80208826900.0
2019-03-27 02:00:00,0.01753,0.01829,0.01731,0.01793,54091455400.0
2019-03-27 03:00:00,0.01793,0.01866,0.01729,0.01844,51606385400.0
2019-03-27 04:00:00,0.0185,0.01886,0.0179,0.01795,42352566500.0
2019-03-27 05:00:00,0.01793,0.0181,0.01769,0.01773,32950735300.0
2019-03-27 06:00:00,0.01773,0.01818,0.01764,0.01808,20689514800.0
2019-03-27 07:00:00,0.01807,0.01831,0.0178,0.01795,17812992000.0
2019-03-27 08:00:00,0.01793,0.01797,0.01751,0.01785,27975878100.0
2019-03-27 09:00:00,0.01782,0.018,0.01735,0.01742,23157013000.0
2019-03-27 10:00:00,0.01742,0.01768,0.01732,0.01733,22511708900.0
2019-03-27 11:00:00,0.01733,0.0179,0.01726,0.01758,23922900600.0
2019-03-27 12:00:00,0.01758,0.01805,0.01743,0.01784,27935128100.0
2019-03-27 13:00:00,0.01782,0.01893,0.01766,0.0187,57619183800.0
2019-03-27 14:00:00,0.01868,0.01925,0.01846,0.01886,74040787400.0
2019-03-27 15:00:00,0.01886,0.02091,0.01885,0.0202,128096217300.0
2019-03-27 16:00:00,0.02019,0.02031,0.01932,0.01979,79257159100.0
2019-03-27 17:00:00,0.01978,0.02172,0.01975,0.02109,105819796300.0
2019-03-27 18:00:00,0.02104,0.02381,0.02101,0.02332,191244907700.0
2019-03-27 19:00:00,0.02331,0.0234,0.02175,0.0219,106144359000.0
2019-03-27 20:00:00,0.02191,0.02217,0.02111,0.02114,98252341800.0
2019-03-27 21:00:00,0.02116,0.02331,0.0205,0.02305,126074080400.0
2019-03-27 22:00:00,0.02306,0.02488,0.0228,0.02366,94430854800.0
2019-03-27 23:00:00,0.02366,0.0241,0.02241,0.02267,44521105400.0
2019-03-28 00:00:00,0.02266,0.02427,0.02263,0.02277,46093090300.0
2019-03-28 01:00:00,0.02275,0.02313,0.02186,0.02213,46672580400.0
2019-03-28 02:00:00,0.02212,0.02296,0.02139,0.0225,56317711500.0
2019-03-28 03:00:00,0.0225,0.0229,0.02161,0.02214,31535665400.0
2019-03-28 04:00:00,0.02214,0.0225,0.0215,0.02155,23635077100.0
2019-03-28 05:00:00,0.02157,0.02237,0.02156,0.02203,15723842100.0
2019-03-28 06:00:00,0.02202,0.02275,0.02162,0.02243,30227965800.0
2019-03-28 07:00:00,0.02243,0.02345,0.02215,0.02279,43170806000.0
2019-03-28 08:00:00,0.02281,0.0229,0.02208,0.02266,21255462100.0
2019-03-28 09:00:00,0.02274,0.0228,0.02222,0.02247,21316466700.0
2019-03-28 10:00:00,0.02247,0.02268,0.022,0.022,24525564700.0
2019-03-28 11:00:00,0.022,0.02265,0.022,0.02226,23068941400.0
2019-03-28 12:00:00,0.02226,0.02229,0.02104,0.02203,40467303700.0
2019-03-28 13:00:00,0.02205,0.02277,0.02157,0.0225,90290214600.0
2019-03-28 14:00:00,0.0225,0.02378,0.02237,0.0233,100184491100.0
2019-03-28 15:00:00,0.0233,0.02339,0.02269,0.0231,48096389300.0
2019-03-28 16:00:00,0.02316,0.0232,0.02269,0.02273,18981072400.0
2019-03-28 17:00:00,0.02273,0.02308,0.02235,0.02238,20093560700.0
2019-03-28 18:00:00,0.02238,0.02295,0.02205,0.02263,15755075700.0
2019-03-28 19:00:00,0.02264,0.02283,0.02259,0.02269,6907980900.0
2019-03-28 20:00:00,0.02267,0.02297,0.02265,0.02294,6840241600.0
