,Open,High,Low,Close,Volume
2021-03-29 13:00:00,1.289,1.85,1.289,1.369,17698976105.0
2021-03-29 14:00:00,1.369,1.53,1.36,1.466,4142660248.0
2021-03-29 15:00:00,1.47,1.52,1.416,1.433,2038188311.0
2021-03-29 16:00:00,1.431,1.463,1.372,1.396,1554529700.0
2021-03-29 17:00:00,1.397,1.413,1.349,1.411,1060170808.9999999
2021-03-29 18:00:00,1.41,1.417,1.341,1.361,920259861.0
2021-03-29 19:00:00,1.364,1.425,1.353,1.4,1091413418.0
2021-03-29 20:00:00,1.399,1.4,1.333,1.357,785089629.0
2021-03-29 21:00:00,1.357,1.364,1.3,1.306,718255606.0
2021-03-29 22:00:00,1.302,1.335,1.278,1.314,1091696190.0
2021-03-29 23:00:00,1.312,1.449,1.311,1.399,2024428100.0
2021-03-30 00:00:00,1.397,1.42,1.351,1.376,663176021.0
2021-03-30 01:00:00,1.377,1.39,1.337,1.379,457331079.0
2021-03-30 02:00:00,1.379,1.388,1.33,1.346,411129449.0
2021-03-30 03:00:00,1.346,1.346,1.306,1.329,475784518.0
2021-03-30 04:00:00,1.329,1.332,1.29,1.308,536174866.00000006
2021-03-30 05:00:00,1.308,1.315,1.29,1.302,342752240.0
2021-03-30 06:00:00,1.302,1.373,1.299,1.371,856061254.0
2021-03-30 07:00:00,1.373,1.382,1.328,1.328,849799339.0
2021-03-30 08:00:00,1.329,1.354,1.32,1.326,464222065.0
2021-03-30 09:00:00,1.324,1.348,1.306,1.322,502058075.0
2021-03-30 10:00:00,1.323,1.325,1.3,1.308,639340444.0
2021-03-30 11:00:00,1.309,1.338,1.3,1.317,583356797.0
2021-03-30 12:00:00,1.316,1.327,1.281,1.323,766607746.0
2021-03-30 13:00:00,1.323,1.341,1.301,1.306,849725597.0
2021-03-30 14:00:00,1.307,1.321,1.301,1.312,451161892.0
2021-03-30 15:00:00,1.312,1.337,1.29,1.294,1039539182.0
2021-03-30 16:00:00,1.294,1.304,1.28,1.282,1007399321.0
2021-03-30 17:00:00,1.282,1.29,1.259,1.27,838988057.0
2021-03-30 18:00:00,1.27,1.292,1.22,1.27,1436927896.0
2021-03-30 19:00:00,1.269,1.282,1.24,1.28,386277755.0
2021-03-30 20:00:00,1.28,1.284,1.249,1.251,381328594.0
2021-03-30 21:00:00,1.249,1.26,1.234,1.245,284742117.0
2021-03-30 22:00:00,1.245,1.245,1.224,1.228,315297721.0
2021-03-30 23:00:00,1.227,1.269,1.221,1.251,394023340.0
2021-03-31 00:00:00,1.253,1.291,1.24,1.273,417166460.0
2021-03-31 01:00:00,1.273,1.294,1.261,1.281,387190517.0
2021-03-31 02:00:00,1.281,1.296,1.25,1.269,314124001.0
2021-03-31 03:00:00,1.265,1.298,1.258,1.282,226472404.0
2021-03-31 04:00:00,1.282,1.308,1.26,1.286,391747862.0
2021-03-31 05:00:00,1.286,1.3,1.25,1.257,383609211.0
2021-03-31 06:00:00,1.258,1.26,1.239,1.244,285247105.0
2021-03-31 07:00:00,1.244,1.253,1.228,1.231,396838180.0
2021-03-31 08:00:00,1.233,1.236,1.15,1.168,2131035386.0
2021-03-31 09:00:00,1.168,1.222,1.148,1.15,1599371779.0
2021-03-31 10:00:00,1.15,1.187,1.1,1.173,1390811909.0
2021-03-31 11:00:00,1.172,1.189,1.158,1.176,590527792.0
2021-03-31 12:00:00,1.175,1.175,1.138,1.155,396350623.0
2021-03-31 13:00:00,1.155,1.165,1.137,1.151,442993204.0
2021-03-31 14:00:00,1.153,1.165,1.147,1.159,512658145.0
2021-03-31 15:00:00,1.159,1.21,1.157,1.199,1454393123.0
2021-03-31 16:00:00,1.199,1.204,1.17,1.173,491647533.0
2021-03-31 17:00:00,1.176,1.208,1.162,1.203,767042386.0
2021-03-31 18:00:00,1.204,1.212,1.137,1.14,847630093.0
2021-03-31 19:00:00,1.139,1.155,1.123,1.127,601653579.0
2021-03-31 20:00:00,1.128,1.165,1.125,1.131,536700947.00000006
2021-03-31 21:00:00,1.131,1.14,1.12,1.127,342813148.0
2021-03-31 22:00:00,1.126,1.135,1.105,1.111,480692947.0
2021-03-31 23:00:00,1.111,1.135,1.101,1.111,361251800.0
2021-04-01 00:00:00,1.111,1.149,1.108,1.138,388795729.0
2021-04-01 01:00:00,1.138,1.146,1.117,1.117,302749749.0
2021-04-01 02:00:00,1.118,1.14,1.118,1.137,316120157.0
2021-04-01 03:00:00,1.137,1.144,1.125,1.134,336594450.0
2021-04-01 04:00:00,1.134,1.167,1.133,1.161,350816318.0
2021-04-01 05:00:00,1.16,1.191,1.16,1.168,502417088.0
2021-04-01 06:00:00,1.169,1.17,1.131,1.14,379082522.0
2021-04-01 07:00:00,1.14,1.149,1.122,1.126,461240560.0
2021-04-01 08:00:00,1.125,1.131,1.053,1.072,1555306025.0
2021-04-01 09:00:00,1.071,1.087,1.003,1.04,2156872495.0
2021-04-01 10:00:00,1.042,1.114,1.04,1.081,1650470645.0
2021-04-01 11:00:00,1.081,1.104,1.062,1.067,664884102.0
2021-04-01 12:00:00,1.068,1.123,1.066,1.1,791523404.0
2021-04-01 13:00:00,1.1,1.11,1.08,1.086,458605854.0
2021-04-01 14:00:00,1.087,1.145,1.081,1.097,472293469.0
2021-04-01 15:00:00,1.095,1.108,1.05,1.055,905932714.0
2021-04-01 16:00:00,1.056,1.1,1.055,1.085,823607049.0
2021-04-01 17:00:00,1.085,1.11,1.081,1.085,335881397.0
2021-04-01 18:00:00,1.084,1.089,1.058,1.066,373560416.0
2021-04-01 19:00:00,1.066,1.074,1.05,1.05,372927856.0
2021-04-01 20:00:00,1.05,1.062,1.03,1.037,400886298.0
2021-04-01 21:00:00,1.038,1.05,1.03,1.039,295746716.0
2021-04-01 22:00:00,1.042,1.054,1.035,1.048,170876204.0
2021-04-01 23:00:00,1.049,1.054,1.038,1.042,131114881.0
2021-04-02 00:00:00,1.042,1.045,1.03,1.031,184479415.0
2021-04-02 01:00:00,1.031,1.048,1.021,1.023,206246063.0
2021-04-02 02:00:00,1.022,1.031,1.004,1.004,329687729.0
2021-04-02 03:00:00,1.004,1.158,1.001,1.145,2269502705.0
2021-04-02 04:00:00,1.145,1.179,1.101,1.146,1192134086.0
2021-04-02 05:00:00,1.15,1.164,1.12,1.135,560930399.0
2021-04-02 06:00:00,1.135,1.148,1.122,1.134,364774522.0
2021-04-02 07:00:00,1.134,1.144,1.12,1.14,257096329.0
2021-04-02 08:00:00,1.14,1.158,1.116,1.12,533752658.00000006
2021-04-02 09:00:00,1.122,1.136,1.109,1.124,266622465.00000003
2021-04-02 10:00:00,1.121,1.175,1.118,1.146,751618710.0
2021-04-02 11:00:00,1.146,1.17,1.124,1.135,835378789.0
2021-04-02 12:00:00,1.134,1.15,1.13,1.135,284737175.0
2021-04-02 13:00:00,1.135,1.152,1.126,1.138,281491002.0
2021-04-02 14:00:00,1.139,1.149,1.126,1.129,189798776.0
2021-04-02 15:00:00,1.131,1.132,1.108,1.122,274542612.0
2021-04-02 16:00:00,1.122,1.147,1.121,1.144,406459547.0
2021-04-02 17:00:00,1.144,1.175,1.143,1.153,537905041.0
2021-04-02 18:00:00,1.153,1.18,1.15,1.161,506267169.0
2021-04-02 19:00:00,1.161,1.162,1.142,1.147,244437045.0
2021-04-02 20:00:00,1.147,1.159,1.127,1.132,250803199.0
2021-04-02 21:00:00,1.129,1.145,1.116,1.142,165585413.0
2021-04-02 22:00:00,1.142,1.161,1.126,1.151,196654978.0
2021-04-02 23:00:00,1.151,1.151,1.117,1.129,128763859.0
2021-04-03 00:00:00,1.129,1.138,1.117,1.132,128162813.0
2021-04-03 01:00:00,1.132,1.134,1.113,1.128,163564222.0
2021-04-03 02:00:00,1.128,1.134,1.101,1.113,189326114.0
2021-04-03 03:00:00,1.112,1.125,1.101,1.115,197883045.0
2021-04-03 04:00:00,1.115,1.122,1.078,1.078,453419647.0
2021-04-03 05:00:00,1.078,1.109,1.075,1.084,341086373.0
2021-04-03 06:00:00,1.084,1.104,1.076,1.094,163126897.0
2021-04-03 07:00:00,1.094,1.126,1.088,1.102,250624878.0
2021-04-03 08:00:00,1.102,1.108,1.094,1.096,176568172.0
2021-04-03 09:00:00,1.094,1.1,1.078,1.078,304154477.0
2021-04-03 10:00:00,1.078,1.131,1.077,1.1,333032295.0
2021-04-03 11:00:00,1.102,1.129,1.085,1.094,314094356.0
2021-04-03 12:00:00,1.091,1.118,1.08,1.083,318451409.0
2021-04-03 13:00:00,1.086,1.09,1.08,1.081,141307656.0
2021-04-03 14:00:00,1.083,1.093,1.079,1.083,168477089.0
2021-04-03 15:00:00,1.083,1.099,1.079,1.087,282462186.0
2021-04-03 16:00:00,1.086,1.09,1.066,1.072,519779580.0
2021-04-03 17:00:00,1.072,1.08,1.062,1.062,310251488.0
2021-04-03 18:00:00,1.061,1.063,1.046,1.052,677119719.0
2021-04-03 19:00:00,1.052,1.056,1.032,1.037,316234264.0
2021-04-03 20:00:00,1.037,1.072,1.03,1.063,237604076.0
2021-04-03 21:00:00,1.063,1.074,1.05,1.053,102850655.0
2021-04-03 22:00:00,1.05,1.053,1.038,1.041,80676784.0
2021-04-03 23:00:00,1.042,1.055,1.021,1.036,151295638.0
2021-04-04 00:00:00,1.036,1.047,1.027,1.042,137727039.0
2021-04-04 01:00:00,1.037,1.047,1.022,1.029,210511827.0
2021-04-04 02:00:00,1.024,1.049,1.021,1.033,153875020.0
2021-04-04 03:00:00,1.036,1.095,1.032,1.08,345726773.0
2021-04-04 04:00:00,1.076,1.079,1.055,1.061,198190935.0
2021-04-04 05:00:00,1.061,1.068,1.06,1.063,100751365.0
2021-04-04 06:00:00,1.063,1.065,1.048,1.054,131819662.00000001
2021-04-04 07:00:00,1.054,1.067,1.05,1.058,72600442.0
2021-04-04 08:00:00,1.06,1.062,1.05,1.057,127008928.0
2021-04-04 09:00:00,1.059,1.08,1.055,1.074,207117704.0
2021-04-04 10:00:00,1.074,1.094,1.067,1.07,363565970.0
2021-04-04 11:00:00,1.07,1.088,1.062,1.083,331781022.0
2021-04-04 12:00:00,1.083,1.153,1.081,1.117,1061094970.0
2021-04-04 13:00:00,1.117,1.16,1.106,1.15,756997769.0
2021-04-04 14:00:00,1.148,1.15,1.114,1.127,548813231.0
2021-04-04 15:00:00,1.126,1.149,1.1,1.145,475554015.0
2021-04-04 16:00:00,1.146,1.152,1.125,1.129,454734908.0
2021-04-04 17:00:00,1.129,1.137,1.111,1.116,204544320.0
2021-04-04 18:00:00,1.118,1.134,1.1,1.125,461468180.0
2021-04-04 19:00:00,1.126,1.134,1.115,1.125,112773383.0
2021-04-04 20:00:00,1.123,1.131,1.109,1.118,119533408.0
2021-04-04 21:00:00,1.118,1.124,1.102,1.123,121690628.0
2021-04-04 22:00:00,1.125,1.127,1.117,1.124,72495665.0
2021-04-04 23:00:00,1.124,1.128,1.11,1.117,63532055.0
2021-04-05 00:00:00,1.117,1.13,1.105,1.123,86381497.0
2021-04-05 01:00:00,1.123,1.147,1.118,1.138,360911560.0
2021-04-05 02:00:00,1.137,1.138,1.101,1.122,339665378.0
2021-04-05 03:00:00,1.123,1.135,1.12,1.127,128896918.0
2021-04-05 04:00:00,1.127,1.189,1.127,1.171,809057085.0
2021-04-05 05:00:00,1.173,1.264,1.173,1.259,1968384841.0
2021-04-05 06:00:00,1.259,1.259,1.201,1.22,816884852.0
2021-04-05 07:00:00,1.22,1.239,1.182,1.215,512263325.0
2021-04-05 08:00:00,1.215,1.229,1.188,1.192,690729704.0
2021-04-05 09:00:00,1.194,1.208,1.19,1.192,454746950.0
2021-04-05 10:00:00,1.192,1.263,1.187,1.225,1057831683.0
2021-04-05 11:00:00,1.228,1.248,1.22,1.243,402729605.0
2021-04-05 12:00:00,1.243,1.244,1.215,1.216,430950055.0
2021-04-05 13:00:00,1.216,1.221,1.205,1.208,494290281.0
2021-04-05 14:00:00,1.209,1.215,1.18,1.185,474542475.0
2021-04-05 15:00:00,1.185,1.216,1.18,1.201,472314450.0
2021-04-05 16:00:00,1.201,1.21,1.183,1.203,309754900.0
2021-04-05 17:00:00,1.202,1.258,1.199,1.235,511971762.0
2021-04-05 18:00:00,1.234,1.238,1.203,1.218,357483055.0
2021-04-05 19:00:00,1.218,1.277,1.203,1.248,813972903.0
2021-04-05 20:00:00,1.245,1.27,1.226,1.233,371772390.0
2021-04-05 21:00:00,1.234,1.252,1.231,1.235,101990668.0
2021-04-05 22:00:00,1.235,1.245,1.233,1.24,106827690.0
2021-04-05 23:00:00,1.239,1.239,1.206,1.21,190897983.0
2021-04-06 00:00:00,1.21,1.216,1.188,1.216,262774352.0
2021-04-06 01:00:00,1.216,1.227,1.2,1.222,131463761.99999999
2021-04-06 02:00:00,1.225,1.238,1.22,1.238,163430505.0
2021-04-06 03:00:00,1.238,1.24,1.201,1.204,215883169.0
2021-04-06 04:00:00,1.206,1.221,1.2,1.214,181559877.0
2021-04-06 05:00:00,1.214,1.224,1.205,1.21,127180472.0
2021-04-06 06:00:00,1.21,1.232,1.21,1.23,91509567.0
2021-04-06 07:00:00,1.229,1.237,1.216,1.231,181466014.0
2021-04-06 08:00:00,1.231,1.234,1.21,1.211,244603696.0
2021-04-06 09:00:00,1.211,1.211,1.182,1.184,351141183.0
2021-04-06 10:00:00,1.184,1.222,1.17,1.181,414397410.0
2021-04-06 11:00:00,1.18,1.195,1.173,1.19,313419266.0
2021-04-06 12:00:00,1.188,1.193,1.161,1.163,327454074.0
2021-04-06 13:00:00,1.162,1.166,1.15,1.161,285760908.0
2021-04-06 14:00:00,1.161,1.17,1.15,1.16,240107713.0
2021-04-06 15:00:00,1.16,1.171,1.146,1.15,372542866.0
2021-04-06 16:00:00,1.15,1.15,1.09,1.114,872276913.0
2021-04-06 17:00:00,1.115,1.124,1.101,1.113,179322315.0
2021-04-06 18:00:00,1.114,1.146,1.101,1.137,231842177.0
2021-04-06 19:00:00,1.135,1.145,1.126,1.139,97587326.0
2021-04-06 20:00:00,1.137,1.14,1.121,1.135,131384399.0
2021-04-06 21:00:00,1.134,1.14,1.119,1.124,95952842.0
2021-04-06 22:00:00,1.125,1.131,1.12,1.128,58238313.0
2021-04-06 23:00:00,1.126,1.127,1.116,1.122,102356667.0
2021-04-07 00:00:00,1.124,1.125,1.111,1.121,89844089.0
2021-04-07 01:00:00,1.121,1.147,1.118,1.142,106422671.0
