,Open,High,Low,Close,Volume
2021-10-22 08:00:00,2.721,9.2,2.721,5.673,8928340200.0
2021-10-22 09:00:00,5.673,5.683,4.645,4.724,3619527500.0
2021-10-22 10:00:00,4.724,5.15,4.676,4.886,2118823900.0
2021-10-22 11:00:00,4.885,5.198,4.8,4.901,1466518500.0
2021-10-22 12:00:00,4.902,5.95,4.86,5.92,4635059600.0
2021-10-22 13:00:00,5.921,5.98,5.461,5.645,3346585400.0
2021-10-22 14:00:00,5.645,5.769,5.297,5.343,1493818300.0
2021-10-22 15:00:00,5.344,5.62,5.151,5.151,1717539400.0
2021-10-22 16:00:00,5.154,5.39,5.1,5.219,1379664400.0
2021-10-22 17:00:00,5.219,5.269,4.911,4.981,985674100.0
2021-10-22 18:00:00,4.981,5.183,4.95,5.092,1036948800.0
2021-10-22 19:00:00,5.092,5.378,5.061,5.09,1228437400.0
2021-10-22 20:00:00,5.094,5.148,4.989,5.003,331285000.0
2021-10-22 21:00:00,5.001,5.048,4.776,4.78,406282300.0
2021-10-22 22:00:00,4.78,4.96,4.624,4.714,714134200.0
2021-10-22 23:00:00,4.723,4.723,4.5,4.619,623744600.0
2021-10-23 00:00:00,4.619,4.867,4.548,4.782,581990500.0
2021-10-23 01:00:00,4.77,4.776,4.5,4.617,361865800.0
2021-10-23 02:00:00,4.613,4.85,4.457,4.707,507500000.0
2021-10-23 03:00:00,4.707,4.89,4.643,4.667,479269400.0
2021-10-23 04:00:00,4.67,4.813,4.535,4.586,307499100.0
2021-10-23 05:00:00,4.59,4.593,4.402,4.474,288805100.0
2021-10-23 06:00:00,4.472,4.598,4.407,4.547,299704100.0
2021-10-23 07:00:00,4.547,4.548,4.407,4.417,224380300.0
2021-10-23 08:00:00,4.413,4.444,4.21,4.27,602565400.0
2021-10-23 09:00:00,4.27,4.308,4.178,4.235,356682700.0
2021-10-23 10:00:00,4.238,4.245,4.17,4.186,161565600.0
2021-10-23 11:00:00,4.186,4.214,4.086,4.104,282350700.0
2021-10-23 12:00:00,4.104,4.191,4.052,4.128,328035900.0
2021-10-23 13:00:00,4.135,4.3,4.104,4.201,393172300.0
2021-10-23 14:00:00,4.201,4.28,4.182,4.219,162070800.0
2021-10-23 15:00:00,4.22,4.32,4.215,4.28,172799600.0
2021-10-23 16:00:00,4.277,4.299,4.104,4.124,225359800.0
2021-10-23 17:00:00,4.124,4.247,4.118,4.189,196843400.0
2021-10-23 18:00:00,4.187,4.196,3.875,3.882,657086100.0
2021-10-23 19:00:00,3.883,3.94,3.769,3.815,384946300.0
2021-10-23 20:00:00,3.815,3.888,3.788,3.847,199108000.0
2021-10-23 21:00:00,3.852,3.882,3.735,3.87,342837500.0
2021-10-23 22:00:00,3.87,3.9,3.8,3.887,174632200.0
2021-10-23 23:00:00,3.891,3.891,3.82,3.855,68507300.0
2021-10-24 00:00:00,3.854,3.882,3.758,3.766,114452500.0
2021-10-24 01:00:00,3.764,3.803,3.744,3.786,86900400.0
2021-10-24 02:00:00,3.788,3.956,3.725,3.931,288056400.0
2021-10-24 03:00:00,3.938,3.939,3.833,3.892,95477200.0
2021-10-24 04:00:00,3.897,3.898,3.841,3.868,52391200.0
2021-10-24 05:00:00,3.866,3.938,3.812,3.885,59357600.0
2021-10-24 06:00:00,3.885,3.885,3.789,3.859,77837200.0
2021-10-24 07:00:00,3.854,3.9,3.791,3.804,127745300.0
2021-10-24 08:00:00,3.804,3.82,3.673,3.676,188293400.0
2021-10-24 09:00:00,3.675,3.706,3.457,3.512,1171587400.0
2021-10-24 10:00:00,3.512,3.6,3.46,3.574,353410700.0
2021-10-24 11:00:00,3.574,3.635,3.5,3.505,236338900.0
2021-10-24 12:00:00,3.5,3.534,3.438,3.447,231292900.0
2021-10-24 13:00:00,3.447,3.455,3.37,3.425,375442100.0
2021-10-24 14:00:00,3.425,3.451,3.36,3.448,208214400.0
2021-10-24 15:00:00,3.448,3.529,3.442,3.51,222202100.0
2021-10-24 16:00:00,3.505,3.547,3.49,3.505,174744100.0
2021-10-24 17:00:00,3.501,3.51,3.345,3.38,273937800.0
2021-10-24 18:00:00,3.378,3.41,3.299,3.376,220893000.0
2021-10-24 19:00:00,3.381,3.42,3.332,3.362,124567200.0
2021-10-24 20:00:00,3.362,3.373,3.257,3.32,262356900.00000003
2021-10-24 21:00:00,3.32,3.4,3.308,3.38,106904700.0
2021-10-24 22:00:00,3.38,3.46,3.341,3.372,173993700.0
2021-10-24 23:00:00,3.372,3.419,3.34,3.409,49759900.0
2021-10-25 00:00:00,3.409,3.55,3.407,3.509,182855800.0
2021-10-25 01:00:00,3.508,3.518,3.38,3.425,114396600.0
2021-10-25 02:00:00,3.425,3.572,3.379,3.543,207027900.0
2021-10-25 03:00:00,3.55,3.6,3.491,3.6,313968100.0
2021-10-25 04:00:00,3.6,3.645,3.475,3.509,214553900.0
2021-10-25 05:00:00,3.509,3.548,3.461,3.548,130758900.0
2021-10-25 06:00:00,3.548,3.549,3.453,3.493,70872400.0
2021-10-25 07:00:00,3.493,3.499,3.371,3.395,170675200.0
2021-10-25 08:00:00,3.392,3.453,3.365,3.405,78090700.0
2021-10-25 09:00:00,3.406,3.45,3.366,3.431,90583000.0
2021-10-25 10:00:00,3.428,3.435,3.29,3.323,297391800.0
2021-10-25 11:00:00,3.325,3.42,3.281,3.404,252693600.0
2021-10-25 12:00:00,3.404,3.834,3.388,3.751,1998456000.0
2021-10-25 13:00:00,3.756,4.1,3.586,3.803,2604186300.0
2021-10-25 14:00:00,3.809,3.95,3.705,3.892,1001286200.0
2021-10-25 15:00:00,3.893,3.893,3.511,3.563,961800700.0
2021-10-25 16:00:00,3.563,3.625,3.413,3.45,602210300.0
2021-10-25 17:00:00,3.449,3.529,3.298,3.465,875798000.0
2021-10-25 18:00:00,3.461,3.499,3.402,3.419,255813100.0
2021-10-25 19:00:00,3.419,3.559,3.393,3.421,325174400.0
2021-10-25 20:00:00,3.401,3.468,3.375,3.44,160013300.0
2021-10-25 21:00:00,3.44,3.464,3.39,3.435,89512700.0
