,Open,High,Low,Close,Volume
2021-11-10 09:00:00,14.44,53.0,14.44,18.11,1429092490.0
2021-11-10 10:00:00,18.12,18.41,17.5,17.99,223548460.0
2021-11-10 11:00:00,17.99,18.18,16.79,17.35,153434510.0
2021-11-10 12:00:00,17.35,17.5,16.45,16.46,167950510.0
2021-11-10 13:00:00,16.46,16.76,15.67,16.21,213612370.0
2021-11-10 14:00:00,16.21,16.64,16.03,16.16,105790900.0
2021-11-10 15:00:00,16.15,16.4,15.95,15.99,75328150.0
2021-11-10 16:00:00,16.0,17.5,15.53,17.49,234760830.0
2021-11-10 17:00:00,17.49,18.0,16.6,16.79,276643060.0
2021-11-10 18:00:00,16.82,17.55,16.11,16.22,137069790.0
2021-11-10 19:00:00,16.21,16.84,15.95,16.03,58622080.0
2021-11-10 20:00:00,16.06,16.53,15.6,15.6,63096270.0
2021-11-10 21:00:00,15.6,16.09,15.21,15.29,69328360.0
2021-11-10 22:00:00,15.29,15.52,14.65,14.88,80452140.0
2021-11-10 23:00:00,14.9,17.2,14.56,15.83,168255420.0
2021-11-11 00:00:00,15.85,16.36,15.27,16.36,42925100.0
2021-11-11 01:00:00,16.31,16.5,15.41,15.79,62014210.0
2021-11-11 02:00:00,15.71,17.65,15.6,16.58,155261960.0
2021-11-11 03:00:00,16.58,17.74,16.51,16.65,88685000.0
2021-11-11 04:00:00,16.66,16.73,15.82,16.02,43043670.0
2021-11-11 05:00:00,16.02,16.72,15.91,16.17,39173590.0
2021-11-11 06:00:00,16.16,16.39,16.01,16.26,21148010.0
2021-11-11 07:00:00,16.26,16.3,15.7,16.05,36264340.0
2021-11-11 08:00:00,16.02,16.14,15.7,16.13,22059160.0
2021-11-11 09:00:00,16.13,16.52,15.62,16.05,65722149.99999999
2021-11-11 10:00:00,16.05,16.15,15.7,15.92,29537650.0
2021-11-11 11:00:00,15.95,15.99,15.55,15.63,43537710.0
2021-11-11 12:00:00,15.62,15.64,15.19,15.28,43436800.0
2021-11-11 13:00:00,15.27,15.4,15.0,15.28,34831840.0
2021-11-11 14:00:00,15.27,15.4,15.0,15.3,33714300.0
2021-11-11 15:00:00,15.35,15.4,15.1,15.28,17699130.0
2021-11-11 16:00:00,15.28,15.47,15.18,15.32,19587630.0
2021-11-11 17:00:00,15.24,15.32,15.0,15.13,21950290.0
2021-11-11 18:00:00,15.11,15.35,15.06,15.14,20037760.0
2021-11-11 19:00:00,15.14,15.3,15.05,15.27,14772670.0
2021-11-11 20:00:00,15.24,15.35,15.17,15.22,14520990.0
2021-11-11 21:00:00,15.19,15.22,15.01,15.07,12525340.0
2021-11-11 22:00:00,15.06,15.4,15.04,15.25,12557190.0
2021-11-11 23:00:00,15.23,15.27,14.9,15.21,30616310.0
2021-11-12 00:00:00,15.24,15.26,15.03,15.13,14046730.0
2021-11-12 01:00:00,15.13,15.21,15.01,15.07,13852300.0
2021-11-12 02:00:00,15.06,15.17,15.0,15.04,9746870.0
2021-11-12 03:00:00,15.04,15.1,14.97,15.03,10013480.0
2021-11-12 04:00:00,15.03,15.2,14.99,14.99,14387170.0
2021-11-12 05:00:00,14.99,15.05,14.91,14.98,14858560.0
2021-11-12 06:00:00,14.95,15.02,14.77,14.87,18446550.0
2021-11-12 07:00:00,14.87,15.07,14.7,14.78,21876480.0
2021-11-12 08:00:00,14.79,14.92,14.73,14.8,16726619.999999998
2021-11-12 09:00:00,14.8,15.01,14.77,14.85,16377020.0
2021-11-12 10:00:00,14.84,14.95,14.27,14.4,30752440.0
2021-11-12 11:00:00,14.4,14.72,14.4,14.67,25366040.0
2021-11-12 12:00:00,14.67,14.9,14.44,14.7,19808160.0
2021-11-12 13:00:00,14.7,14.85,14.44,14.48,22170230.0
2021-11-12 14:00:00,14.48,14.64,14.4,14.61,14444850.0
2021-11-12 15:00:00,14.61,14.74,14.45,14.55,12131440.0
2021-11-12 16:00:00,14.57,14.64,14.5,14.53,7533850.0
2021-11-12 17:00:00,14.54,14.56,14.33,14.47,12982110.0
2021-11-12 18:00:00,14.48,14.64,14.45,14.56,8492300.0
