,Open,High,Low,Close,Volume
2020-04-23 04:00:00,0.01506,0.098,0.01506,0.0606,108260151500.0
2020-04-23 05:00:00,0.0606,0.06072,0.05337,0.056,41570717100.0
2020-04-23 06:00:00,0.05599,0.062,0.05411,0.0585,20259968700.0
2020-04-23 07:00:00,0.0585,0.06566,0.0585,0.06207,23962184300.0
2020-04-23 08:00:00,0.06207,0.07101,0.0615,0.07079,35708410700.0
2020-04-23 09:00:00,0.0707,0.08,0.06727,0.07359,66577382600.0
2020-04-23 10:00:00,0.07351,0.0737,0.0662,0.06981,47097866400.0
2020-04-23 11:00:00,0.0698,0.072,0.06601,0.07112,25167572600.0
2020-04-23 12:00:00,0.07113,0.0751,0.0692,0.07052,22434703900.0
2020-04-23 13:00:00,0.07051,0.071,0.06801,0.06831,10484021300.0
2020-04-23 14:00:00,0.06842,0.07051,0.06674,0.0704,13438244800.0
2020-04-23 15:00:00,0.0704,0.07186,0.06826,0.06892,11931711300.0
2020-04-23 16:00:00,0.06891,0.0704,0.06691,0.06711,14038115600.0
2020-04-23 17:00:00,0.06711,0.06861,0.06335,0.06485,17691820800.0
2020-04-23 18:00:00,0.06486,0.06499,0.06007,0.06132,21225330700.0
2020-04-23 19:00:00,0.06148,0.06357,0.061,0.06212,7784726400.0
2020-04-23 20:00:00,0.062,0.0642,0.06085,0.06408,7696563300.0
2020-04-23 21:00:00,0.06392,0.06472,0.06139,0.0624,8349804900.0
2020-04-23 22:00:00,0.0623,0.06305,0.0609,0.06273,6550729000.0
2020-04-23 23:00:00,0.06289,0.06368,0.0612,0.06188,5895516800.0
2020-04-24 00:00:00,0.06188,0.0625,0.0587,0.05916,5040060500.0
2020-04-24 01:00:00,0.05904,0.05937,0.05569,0.05731,9339605200.0
2020-04-24 02:00:00,0.05731,0.0588,0.0566,0.05811,5563987600.0
2020-04-24 03:00:00,0.05788,0.06388,0.05781,0.0607,18091723900.0
2020-04-24 04:00:00,0.06058,0.06058,0.05749,0.05872,8594426700.0
2020-04-24 05:00:00,0.05867,0.0593,0.05685,0.0591,6902131100.0
2020-04-24 06:00:00,0.0591,0.05945,0.05769,0.05887,3123759300.0
2020-04-24 07:00:00,0.05887,0.0617,0.05789,0.06083,6246058600.0
2020-04-24 08:00:00,0.06083,0.062,0.05944,0.06131,5767640100.0
2020-04-24 09:00:00,0.06131,0.0614,0.05783,0.05801,4493539700.0
2020-04-24 10:00:00,0.05801,0.05887,0.05688,0.05756,5381083200.0
2020-04-24 11:00:00,0.05757,0.05832,0.05718,0.05778,3919495700.0
2020-04-24 12:00:00,0.05778,0.0591,0.05715,0.0588,2829976700.0
2020-04-24 13:00:00,0.0588,0.05967,0.0573,0.05794,4892677900.0
2020-04-24 14:00:00,0.05794,0.05835,0.05697,0.058,3209541200.0
2020-04-24 15:00:00,0.05794,0.05928,0.0572,0.0586,5156628100.0
2020-04-24 16:00:00,0.0586,0.05919,0.05756,0.05808,3394668300.0
2020-04-24 17:00:00,0.05808,0.05876,0.05756,0.05769,2079275900.0
2020-04-24 18:00:00,0.05769,0.05819,0.05605,0.05682,4057952400.0
2020-04-24 19:00:00,0.05677,0.05694,0.05064,0.05207,18050488000.0
2020-04-24 20:00:00,0.05217,0.05248,0.05121,0.05187,3794754600.0
2020-04-24 21:00:00,0.05189,0.05252,0.05119,0.05153,3732889400.0
2020-04-24 22:00:00,0.05153,0.05198,0.05066,0.05118,2638504500.0
2020-04-24 23:00:00,0.05118,0.05211,0.05093,0.05156,1298457800.0
2020-04-25 00:00:00,0.05156,0.05205,0.05111,0.05174,1588851500.0
2020-04-25 01:00:00,0.05173,0.05295,0.05151,0.05171,1850408800.0
2020-04-25 02:00:00,0.05176,0.0522,0.05089,0.05105,2035437900.0
2020-04-25 03:00:00,0.05106,0.0525,0.05091,0.05207,1887024700.0
2020-04-25 06:00:00,0.05207,0.05399,0.05197,0.05347,2464430800.0
2020-04-25 07:00:00,0.05347,0.056,0.05328,0.05549,10130381600.0
2020-04-25 08:00:00,0.0554,0.056,0.05378,0.05378,3609125700.0
2020-04-25 09:00:00,0.05377,0.0541,0.052,0.053,3295875400.0
2020-04-25 10:00:00,0.05292,0.05292,0.05117,0.0524,6171798100.0
2020-04-25 11:00:00,0.0524,0.0542,0.05221,0.05266,5778378900.0
2020-04-25 12:00:00,0.05266,0.05317,0.05207,0.05229,1950586800.0
2020-04-25 13:00:00,0.0523,0.05295,0.0521,0.05234,1179440700.0
2020-04-25 14:00:00,0.05235,0.05249,0.05162,0.05193,1668446500.0
2020-04-25 15:00:00,0.05201,0.05247,0.0518,0.05228,1251945500.0
2020-04-25 16:00:00,0.05228,0.0525,0.05185,0.052,2159713100.0
2020-04-25 17:00:00,0.052,0.05256,0.052,0.05202,1966594800.0
2020-04-25 18:00:00,0.05203,0.0535,0.05202,0.05309,2880786700.0
2020-04-25 19:00:00,0.0531,0.05355,0.05228,0.05305,1876143100.0
2020-04-25 20:00:00,0.05305,0.0535,0.0527,0.053,1829399500.0
2020-04-25 21:00:00,0.053,0.0535,0.05195,0.052,2851651000.0
2020-04-25 22:00:00,0.05219,0.0529,0.05142,0.05155,3036336600.0
2020-04-25 23:00:00,0.05157,0.05219,0.0515,0.05173,688873800.0
2020-04-26 00:00:00,0.05165,0.0521,0.0511,0.05173,1540653900.0
2020-04-26 01:00:00,0.0517,0.05198,0.05129,0.05198,627278700.0
2020-04-26 02:00:00,0.05198,0.05328,0.05157,0.05254,2812332400.0
2020-04-26 03:00:00,0.05284,0.05286,0.05247,0.0525,560989300.0
2020-04-26 04:00:00,0.0525,0.05436,0.0525,0.05415,4726308100.0
2020-04-26 05:00:00,0.05415,0.05436,0.05257,0.0531,2346868300.0
2020-04-26 06:00:00,0.05305,0.0531,0.05254,0.05299,862740700.0
2020-04-26 07:00:00,0.0528,0.05393,0.05246,0.05335,1167040700.0
2020-04-26 08:00:00,0.0533,0.05353,0.05294,0.05294,1173028700.0
