,Open,High,Low,Close,Volume
2021-10-04 12:00:00,2.421,3.28,2.421,2.82,1307380100.0
2021-10-04 13:00:00,2.82,2.85,2.66,2.711,430495400.0
2021-10-04 14:00:00,2.711,2.745,2.542,2.606,399969700.0
2021-10-04 15:00:00,2.611,2.74,2.525,2.699,574530800.0
2021-10-04 16:00:00,2.691,2.721,2.536,2.563,252641900.0
2021-10-04 17:00:00,2.57,2.579,2.481,2.559,191011100.0
2021-10-04 18:00:00,2.559,2.699,2.528,2.533,395404700.0
2021-10-04 19:00:00,2.533,2.583,2.515,2.549,183137600.0
2021-10-04 20:00:00,2.549,2.553,2.513,2.531,79622000.0
2021-10-04 21:00:00,2.537,2.547,2.488,2.519,97280300.0
2021-10-04 22:00:00,2.519,2.519,2.393,2.448,222853800.0
2021-10-04 23:00:00,2.448,2.49,2.403,2.438,123350900.0
2021-10-05 00:00:00,2.432,2.457,2.406,2.425,71910100.0
2021-10-05 01:00:00,2.428,2.561,2.408,2.462,141274700.0
2021-10-05 02:00:00,2.462,2.7,2.454,2.621,427180100.0
2021-10-05 03:00:00,2.62,2.622,2.514,2.536,153127400.0
2021-10-05 04:00:00,2.532,2.586,2.49,2.528,64112400.0
2021-10-05 05:00:00,2.524,2.579,2.504,2.519,98265600.0
2021-10-05 06:00:00,2.513,2.699,2.511,2.587,177289500.0
2021-10-05 07:00:00,2.594,2.602,2.52,2.523,127793300.0
2021-10-05 08:00:00,2.522,2.551,2.496,2.496,102616500.0
2021-10-05 09:00:00,2.498,2.521,2.462,2.483,83493500.0
2021-10-05 10:00:00,2.475,2.555,2.465,2.522,108084200.0
2021-10-05 11:00:00,2.528,2.594,2.509,2.532,128005500.0
2021-10-05 12:00:00,2.531,2.562,2.501,2.507,143205200.0
2021-10-05 13:00:00,2.501,2.549,2.496,2.5,107241600.0
2021-10-05 14:00:00,2.495,2.5,2.46,2.46,155618800.0
2021-10-05 15:00:00,2.461,2.48,2.411,2.44,148407900.0
2021-10-05 16:00:00,2.442,2.445,2.349,2.382,248405400.0
2021-10-05 17:00:00,2.38,2.396,2.344,2.393,133508799.99999999
2021-10-05 18:00:00,2.391,2.396,2.354,2.393,120062200.0
2021-10-05 19:00:00,2.393,2.393,2.308,2.324,128375300.0
2021-10-05 20:00:00,2.323,2.355,2.302,2.346,106164200.0
2021-10-05 21:00:00,2.345,2.382,2.33,2.371,123635500.0
2021-10-05 22:00:00,2.371,2.379,2.33,2.344,112793800.0
2021-10-05 23:00:00,2.344,2.381,2.33,2.37,64453000.0
2021-10-06 00:00:00,2.37,2.37,2.33,2.355,67127600.0
2021-10-06 01:00:00,2.355,2.381,2.341,2.37,33088699.999999996
