,Open,High,Low,Close,Volume
2021-12-23 15:00:00,38.51,51.8,38.51,40.76,346543373.0
2021-12-23 16:00:00,40.76,41.6,40.21,41.44,41176459.0
2021-12-23 17:00:00,41.44,43.45,40.97,42.87,35084463.0
2021-12-23 18:00:00,42.87,42.88,39.39,39.65,35192603.0
2021-12-23 19:00:00,39.65,40.9,38.6,40.76,25759543.0
2021-12-23 20:00:00,40.76,42.0,40.76,41.33,14988766.0
2021-12-23 21:00:00,41.33,43.69,41.3,43.05,21742028.0
2021-12-23 22:00:00,43.09,49.91,42.62,46.19,178487860.0
2021-12-23 23:00:00,46.1,47.2,45.01,45.01,44980497.0
2021-12-24 00:00:00,45.02,47.29,43.7,44.49,31279328.0
2021-12-24 01:00:00,44.49,45.43,43.6,44.01,18576878.0
2021-12-24 02:00:00,44.1,44.61,41.0,42.7,15675562.0
2021-12-24 03:00:00,42.57,43.0,41.72,42.71,10642580.0
2021-12-24 04:00:00,42.71,43.61,42.7,42.7,7042700.0
2021-12-24 05:00:00,42.7,43.0,42.7,42.73,2715760.0
2021-12-24 06:00:00,42.71,43.0,41.58,42.33,4546886.0
2021-12-24 07:00:00,42.3,42.72,41.33,42.3,3153276.0
2021-12-24 08:00:00,42.13,42.72,41.31,41.91,15621916.0
2021-12-24 09:00:00,41.91,42.55,41.6,42.27,3597371.0
2021-12-24 10:00:00,41.89,43.0,41.89,42.05,2381085.0
2021-12-24 11:00:00,42.05,42.47,41.88,42.09,1260574.0
2021-12-24 12:00:00,42.09,42.09,41.33,41.39,5018079.0
2021-12-24 13:00:00,41.4,41.85,41.2,41.5,1284264.0
2021-12-24 14:00:00,41.5,42.0,41.2,41.56,6030215.0
2021-12-24 15:00:00,41.56,43.05,41.5,41.78,10645969.0
2021-12-24 16:00:00,41.74,42.21,40.91,41.4,6671400.0
2021-12-24 17:00:00,41.4,43.0,41.4,41.75,3112746.0
2021-12-24 18:00:00,41.62,42.27,41.44,42.03,1591862.0
2021-12-24 19:00:00,42.08,42.19,41.17,42.01,4136171.0000000005
2021-12-24 20:00:00,42.01,42.01,38.8,41.36,24936406.0
2021-12-24 21:00:00,41.4,41.58,40.81,41.15,3150451.0
2021-12-24 22:00:00,41.0,41.45,40.99,40.99,1364753.0
2021-12-24 23:00:00,41.0,41.26,40.27,40.66,1964318.0
2021-12-25 00:00:00,40.66,40.94,39.99,40.17,5342190.0
2021-12-25 01:00:00,40.1,40.31,39.6,40.17,2152889.0
2021-12-25 02:00:00,40.24,40.54,39.6,39.86,4260879.0
2021-12-25 03:00:00,39.94,39.98,39.6,39.72,931381.0
2021-12-25 04:00:00,39.73,39.91,39.5,39.89,1143190.0
2021-12-25 05:00:00,39.72,39.87,39.5,39.57,343134.0
2021-12-25 06:00:00,39.72,40.21,39.5,39.88,2276471.0
2021-12-25 07:00:00,39.88,40.27,39.5,40.27,2697922.0
2021-12-25 08:00:00,40.08,43.0,39.28,40.88,10570961.0
2021-12-25 09:00:00,40.66,40.79,40.01,40.2,1144047.0
2021-12-25 10:00:00,40.21,40.25,39.32,39.71,3232138.0
2021-12-25 11:00:00,39.73,40.0,39.15,39.36,1556563.0
2021-12-25 12:00:00,39.41,39.55,39.01,39.55,2481707.0
2021-12-25 13:00:00,39.52,39.9,39.4,39.57,659934.0
2021-12-25 14:00:00,39.59,39.83,39.35,39.35,1408756.0
2021-12-25 15:00:00,39.49,40.4,39.18,39.23,11201514.0
2021-12-25 16:00:00,39.21,39.6,39.04,39.33,974715.0
2021-12-25 17:00:00,39.33,39.63,39.01,39.23,1396812.0
2021-12-25 18:00:00,39.22,39.32,38.6,38.85,2971243.0
2021-12-25 19:00:00,38.96,39.26,38.5,38.96,2930088.0
2021-12-25 20:00:00,38.88,41.39,38.6,40.81,7299124.0
2021-12-25 21:00:00,40.92,41.44,40.44,40.78,3187523.0
2021-12-25 22:00:00,40.78,42.99,40.63,42.85,10253667.0
2021-12-25 23:00:00,42.65,42.81,42.01,42.45,2259324.0
2021-12-26 00:00:00,42.29,43.13,42.04,42.85,4650444.0
2021-12-26 01:00:00,42.73,43.22,42.2,42.21,4440362.0
2021-12-26 02:00:00,42.26,43.45,41.88,42.49,3406053.0
2021-12-26 03:00:00,42.49,42.65,41.88,42.17,870050.0
2021-12-26 04:00:00,42.18,42.34,41.76,42.06,1801309.0
2021-12-26 05:00:00,42.06,42.09,41.86,41.86,762184.0
2021-12-26 06:00:00,41.96,42.02,41.81,41.83,1443942.0
2021-12-26 07:00:00,41.89,42.01,41.44,41.68,1322371.0
2021-12-26 08:00:00,41.56,42.5,41.27,41.77,2203392.0
2021-12-26 09:00:00,41.91,43.12,40.94,41.83,6720069.0
2021-12-26 10:00:00,41.83,41.83,41.34,41.55,1567700.0
2021-12-26 11:00:00,41.6,41.81,41.34,41.4,949610.0
2021-12-26 12:00:00,41.4,41.8,41.04,41.18,1127070.0
2021-12-26 13:00:00,41.37,41.57,40.66,41.42,3543893.0
2021-12-26 14:00:00,41.4,41.83,40.9,41.19,6043397.0
2021-12-26 15:00:00,41.09,41.54,40.5,41.13,3927780.0
2021-12-26 16:00:00,41.12,41.41,40.83,41.2,2273103.0
2021-12-26 17:00:00,41.16,41.33,40.8,40.85,1099368.0
2021-12-26 18:00:00,40.94,41.11,40.48,41.03,1905062.0
2021-12-26 19:00:00,41.03,41.29,41.02,41.29,452396.0
2021-12-26 20:00:00,41.29,41.34,41.12,41.25,327179.0
2021-12-26 21:00:00,41.25,41.58,40.75,41.0,1680965.0
2021-12-26 22:00:00,41.01,41.65,40.75,41.39,1144068.0
2021-12-26 23:00:00,41.33,42.06,41.04,41.1,1446167.0
2021-12-27 00:00:00,41.22,41.84,41.13,41.41,1253075.0
2021-12-27 01:00:00,41.56,41.76,41.37,41.37,710865.0
2021-12-27 02:00:00,41.36,41.98,41.11,41.96,1076778.0
