,Open,High,Low,Close,Volume
2019-03-28 05:00:00,90.0,96.0,88.0,92.09,100157.33
2019-03-28 06:00:00,92.65,94.58,92.65,93.61,136219.99
2019-03-28 07:00:00,93.51,93.51,93.5,93.5,109397.84
2019-03-28 08:00:00,93.09,93.48,93.01,93.04,23263.899999999998
2019-03-28 09:00:00,93.05,93.05,92.75,92.87,57211.770000000004
2019-03-28 10:00:00,92.58,94.7,92.5,92.98,72521.79
2019-03-28 11:00:00,92.83,94.25,92.83,94.25,134891.19
2019-03-28 12:00:00,93.25,93.89,93.25,93.32,65930.09000000001
2019-03-28 13:00:00,93.32,93.43,92.92,93.43,93059.27
2019-03-28 14:00:00,93.43,93.9,93.43,93.65,3976.68
2019-03-28 15:00:00,93.65,94.25,92.83,93.52,120827.43000000001
2019-03-28 16:00:00,93.63,94.11,92.87,94.11,77012.69
2019-03-28 17:00:00,94.0,95.5,94.0,94.8,83938.8
2019-03-28 18:00:00,94.95,96.9,94.07,94.85,171641.27
2019-03-28 19:00:00,94.66,95.41,94.5,94.7,83181.34000000001
2019-03-28 20:00:00,94.7,95.5,94.53,95.46,130232.55
2019-03-28 21:00:00,95.4,98.89,95.0,95.63,98798.05
2019-03-28 22:00:00,95.77,97.68,95.2,96.5,381659.3
2019-03-28 23:00:00,96.25,96.34,95.44,95.47,356190.33999999997
2019-03-29 00:00:00,95.91,95.99,95.59,95.74,19308.25
2019-03-29 01:00:00,95.74,96.89,95.48,96.4,374817.20999999996
2019-03-29 02:00:00,96.4,96.92,96.36,96.62,48889.14
2019-03-29 03:00:00,96.62,96.87,96.06,96.66,134925.08000000002
2019-03-29 04:00:00,96.8,96.8,96.38,96.62,23805.27
2019-03-29 05:00:00,96.64,97.56,96.04,96.04,120716.73
2019-03-29 06:00:00,96.09,96.59,96.01,96.33,197098.51
2019-03-29 07:00:00,96.08,96.59,96.0,96.57,61387.58
2019-03-29 08:00:00,96.59,97.61,96.34,97.59,140590.74000000002
2019-03-29 09:00:00,97.23,97.23,96.55,97.0,109058.67000000001
2019-03-29 10:00:00,97.0,98.0,97.0,97.73,88736.06999999999
2019-03-29 11:00:00,97.79,98.19,97.69,97.7,347669.63
2019-03-29 12:00:00,97.8,97.8,97.34,97.65,69890.69
2019-03-29 13:00:00,97.65,97.65,94.91,96.5,724051.96
2019-03-29 14:00:00,96.74,97.83,96.48,97.6,173815.01
2019-03-29 15:00:00,97.38,98.02,97.17,97.42,40773.39
2019-03-29 16:00:00,97.7,97.9,97.33,97.65,154854.62000000002
2019-03-29 17:00:00,97.87,98.04,96.74,97.74,305784.62
2019-03-29 18:00:00,97.75,98.09,97.27,97.27,220638.46000000002
2019-03-29 19:00:00,97.76,97.76,97.46,97.55,2962.35
2019-03-29 20:00:00,97.74,97.74,97.73,97.74,13239.81
2019-03-29 21:00:00,97.7,98.0,97.56,97.88,103290.84
2019-03-29 22:00:00,97.88,97.88,97.31,97.33,21518.56
2019-03-29 23:00:00,97.6,98.09,97.56,97.68,70021.26
2019-03-30 00:00:00,97.78,98.13,97.4,98.13,16765.350000000002
2019-03-30 01:00:00,98.3,98.52,97.87,98.51,56241.01
2019-03-30 02:00:00,98.23,98.43,97.47,97.54,95857.11
2019-03-30 03:00:00,97.54,97.77,97.11,97.5,49872.4
2019-03-30 04:00:00,97.07,97.11,96.0,96.79,84563.73999999999
2019-03-30 05:00:00,96.02,96.42,95.5,96.0,13764.849999999999
2019-03-30 06:00:00,96.34,96.86,96.34,96.76,68049.79000000001
2019-03-30 07:00:00,96.96,97.15,96.37,96.73,23224.87
2019-03-30 08:00:00,96.73,97.0,96.49,97.0,13238.38
2019-03-30 09:00:00,96.56,96.56,96.34,96.34,7088.0
2019-03-30 10:00:00,96.35,97.0,96.15,96.15,396591.61
2019-03-30 11:00:00,96.16,96.88,95.71,96.7,183140.24000000002
2019-03-30 12:00:00,96.68,97.95,96.64,97.65,81562.24
2019-03-30 13:00:00,97.94,97.97,97.34,97.52,44570.71
2019-03-30 14:00:00,97.39,97.67,96.55,97.08,214986.4
2019-03-30 15:00:00,97.08,97.58,96.8,97.4,57062.17
2019-03-30 16:00:00,97.4,97.4,97.0,97.0,21820.37
2019-03-30 17:00:00,96.64,96.64,95.52,96.48,67747.14
2019-03-30 18:00:00,96.45,96.89,96.44,96.44,26778.8
2019-03-30 19:00:00,96.44,97.23,96.44,97.23,26567.56
2019-03-30 20:00:00,97.23,99.19,97.23,99.0,258379.59999999998
2019-03-30 21:00:00,99.0,100.62,98.31,98.76,937674.9
2019-03-30 22:00:00,99.07,100.45,98.84,100.12,623675.43
2019-03-30 23:00:00,100.12,100.82,100.1,100.41,111551.67
2019-03-31 00:00:00,100.41,101.0,100.34,100.78,76268.44
2019-03-31 01:00:00,100.58,101.2,99.72,99.72,237881.98
2019-03-31 03:00:00,99.72,101.41,99.61,101.41,162122.04
2019-03-31 04:00:00,101.27,102.9,100.85,102.9,545445.91
2019-03-31 05:00:00,102.9,104.77,102.23,103.85,1235906.96
2019-03-31 06:00:00,103.7,105.39,103.69,103.94,548238.8999999999
2019-03-31 07:00:00,103.94,103.95,102.39,102.85,986685.99
2019-03-31 08:00:00,102.85,103.02,102.0,102.14,172785.76
2019-03-31 09:00:00,102.2,103.67,102.2,103.37,370870.39
2019-03-31 10:00:00,103.67,105.41,103.67,105.25,372621.01999999996
2019-03-31 11:00:00,105.25,105.25,103.72,104.88,416469.94
2019-03-31 12:00:00,105.0,105.84,104.52,105.09,280896.26
2019-03-31 13:00:00,104.95,106.4,104.9,106.4,519026.06000000006
2019-03-31 14:00:00,106.7,107.56,105.44,105.49,702970.26
2019-03-31 15:00:00,105.8,106.65,105.21,106.16,297595.34
2019-03-31 16:00:00,106.15,106.3,105.27,106.29,252841.66999999998
2019-03-31 17:00:00,106.29,106.6,105.32,105.35,347536.56
2019-03-31 18:00:00,105.33,108.67,105.0,107.51,1266140.69
2019-03-31 19:00:00,107.51,109.85,106.9,109.82,875347.36
2019-03-31 20:00:00,109.52,110.57,108.21,109.95,762304.16
2019-03-31 21:00:00,109.44,109.49,108.04,108.87,117520.6
2019-03-31 22:00:00,108.89,108.95,108.31,108.93,117115.02
2019-03-31 23:00:00,108.68,110.5,108.25,109.23,336166.58
2019-04-01 00:00:00,109.2,110.7,109.0,110.53,317645.88
2019-04-01 01:00:00,110.56,110.89,109.8,110.7,426301.42
2019-04-01 02:00:00,110.5,110.63,107.71,110.59,918278.02
2019-04-01 03:00:00,110.63,112.07,109.87,111.66,668697.66
