,Open,High,Low,Close,Volume
2021-03-10 12:00:00,7.25,16.888,7.25,10.901,4833549272.0
2021-03-10 13:00:00,10.901,11.6,10.451,10.898,1099914076.0
2021-03-10 14:00:00,10.897,11.5,10.798,10.976,448952021.0
2021-03-10 15:00:00,10.956,11.389,10.31,10.502,383516380.0
2021-03-10 16:00:00,10.51,10.54,10.023,10.24,340618362.0
2021-03-10 17:00:00,10.251,11.374,10.25,10.637,498735133.0
2021-03-10 18:00:00,10.639,11.294,10.3,10.374,258895573.0
2021-03-10 19:00:00,10.374,10.95,10.351,10.718,144062243.0
2021-03-10 20:00:00,10.702,10.725,10.404,10.521,88510218.0
2021-03-10 21:00:00,10.521,10.88,10.121,10.149,140500503.0
2021-03-10 22:00:00,10.148,10.53,10.051,10.301,122059397.0
2021-03-10 23:00:00,10.329,11.061,10.2,11.061,142248728.0
2021-03-11 00:00:00,11.061,11.198,10.49,10.649,150900236.0
2021-03-11 01:00:00,10.674,10.726,10.33,10.572,89825602.0
2021-03-11 02:00:00,10.569,10.598,10.043,10.191,111287513.0
2021-03-11 03:00:00,10.187,10.374,10.1,10.297,48597978.0
2021-03-11 04:00:00,10.271,10.341,10.049,10.114,62936500.0
2021-03-11 05:00:00,10.113,10.149,8.905,9.316,259547308.0
2021-03-11 06:00:00,9.317,9.651,9.203,9.212,113801328.0
2021-03-11 07:00:00,9.3,9.6,9.055,9.177,94516376.0
2021-03-11 08:00:00,9.168,9.379,8.802,8.849,191641033.0
2021-03-11 09:00:00,8.849,8.85,8.319,8.455,251142958.0
2021-03-11 10:00:00,8.46,9.0,8.44,8.961,143101697.0
2021-03-11 11:00:00,8.963,9.072,8.526,9.05,127691818.0
2021-03-11 12:00:00,9.05,9.926,8.92,9.582,316010052.0
2021-03-11 13:00:00,9.553,9.79,9.216,9.313,173630913.0
2021-03-11 14:00:00,9.314,9.624,9.264,9.359,105291950.0
2021-03-11 15:00:00,9.35,9.7,9.214,9.308,126596408.0
2021-03-11 16:00:00,9.309,9.448,9.055,9.239,113226705.0
2021-03-11 17:00:00,9.198,9.55,9.188,9.386,68403916.0
2021-03-11 18:00:00,9.391,9.48,9.0,9.119,78103320.0
2021-03-11 19:00:00,9.119,9.222,9.014,9.064,48010727.0
2021-03-11 20:00:00,9.088,9.346,8.933,9.2,66126402.0
2021-03-11 21:00:00,9.2,9.279,9.131,9.262,45031422.0
2021-03-11 22:00:00,9.263,9.388,9.131,9.242,43546855.0
2021-03-11 23:00:00,9.217,9.867,9.215,9.7,76752428.0
2021-03-12 00:00:00,9.708,9.949,9.391,9.92,88763109.0
2021-03-12 01:00:00,9.945,9.983,9.378,9.62,68094505.0
2021-03-12 02:00:00,9.62,9.899,9.278,9.475,60555403.0
2021-03-12 03:00:00,9.475,9.58,9.215,9.266,43384457.0
2021-03-12 04:00:00,9.273,10.0,9.068,9.25,108617139.0
2021-03-12 05:00:00,9.25,9.5,9.11,9.364,51799923.0
2021-03-12 06:00:00,9.372,9.876,9.365,9.659,90089764.0
2021-03-12 07:00:00,9.652,9.756,9.419,9.67,59096917.0
2021-03-12 08:00:00,9.653,9.678,9.319,9.41,61718031.0
2021-03-12 09:00:00,9.381,9.65,9.249,9.6,66183080.0
2021-03-12 10:00:00,9.59,9.629,9.271,9.488,63382317.0
2021-03-12 11:00:00,9.508,9.55,9.18,9.345,66313932.0
2021-03-12 12:00:00,9.34,9.569,9.264,9.434,86819814.0
2021-03-12 13:00:00,9.416,9.5,9.26,9.27,65726644.0
2021-03-12 14:00:00,9.287,9.32,8.45,8.811,181160391.0
2021-03-12 15:00:00,8.844,9.373,8.6,9.001,73590856.0
2021-03-12 16:00:00,9.003,9.351,9.003,9.175,68005480.0
2021-03-12 17:00:00,9.186,9.353,9.186,9.252,44154023.0
2021-03-12 18:00:00,9.252,9.388,9.222,9.329,31001285.0
2021-03-12 19:00:00,9.329,9.714,9.244,9.66,56900571.0
2021-03-12 20:00:00,9.647,9.715,9.296,9.336,54548917.0
2021-03-12 21:00:00,9.336,9.502,9.017,9.185,60806049.0
2021-03-12 22:00:00,9.198,9.298,9.109,9.254,17695097.0
2021-03-12 23:00:00,9.254,9.638,9.253,9.629,34257013.0
2021-03-13 00:00:00,9.63,11.538,9.568,11.267,346498794.0
2021-03-13 01:00:00,11.344,12.0,10.725,10.746,420443138.0
2021-03-13 02:00:00,10.746,11.699,10.465,11.632,157172993.0
2021-03-13 03:00:00,11.698,12.288,11.2,11.894,293481868.0
2021-03-13 04:00:00,11.894,13.41,11.531,13.365,420650374.0
2021-03-13 05:00:00,13.349,14.68,12.638,13.765,542558777.0
2021-03-13 06:00:00,13.786,14.1,12.88,13.262,247860908.0
2021-03-13 07:00:00,13.262,13.595,12.478,13.147,227661037.0
2021-03-13 08:00:00,13.12,14.4,12.784,14.171,260479303.0
2021-03-13 09:00:00,14.158,14.173,13.224,13.534,175247449.0
2021-03-13 10:00:00,13.535,14.2,13.252,14.027,148797415.0
2021-03-13 11:00:00,14.096,14.152,11.705,12.073,315107977.0
2021-03-13 12:00:00,12.059,12.921,11.803,12.253,208215195.0
2021-03-13 13:00:00,12.204,13.95,12.157,13.51,218563195.0
2021-03-13 14:00:00,13.554,17.74,13.02,16.067,1685548435.0
2021-03-13 15:00:00,16.067,19.569,15.68,17.484,1791704611.0
2021-03-13 16:00:00,17.451,18.198,16.61,17.068,525741888.99999994
2021-03-13 17:00:00,17.07,17.7,15.786,16.978,586314077.0
2021-03-13 18:00:00,16.968,18.5,16.21,17.832,409503228.0
2021-03-13 19:00:00,17.832,18.499,17.626,18.399,295242110.0
2021-03-13 20:00:00,18.399,18.4,16.777,16.777,206257915.0
2021-03-13 21:00:00,16.786,17.48,16.3,16.661,162579047.0
2021-03-13 22:00:00,16.66,18.5,16.286,18.061,325709694.0
2021-03-13 23:00:00,18.161,19.5,17.556,19.03,256637078.0
2021-03-14 00:00:00,19.125,21.609,18.83,19.73,903609843.0
2021-03-14 01:00:00,19.724,27.0,19.689,26.147,1329200880.0
2021-03-14 02:00:00,26.104,28.652,22.6,23.1,1142405593.0
2021-03-14 03:00:00,23.179,25.8,22.27,24.898,526747111.99999994
2021-03-14 04:00:00,24.901,26.8,23.101,23.8,468599099.0
2021-03-14 05:00:00,23.838,24.95,22.798,24.85,295871857.0
2021-03-14 06:00:00,24.886,26.85,24.28,24.962,592234587.0
2021-03-14 07:00:00,24.996,26.0,23.695,25.444,357200185.0
2021-03-14 08:00:00,25.45,28.5,25.398,26.371,832639055.0
2021-03-14 09:00:00,26.245,27.5,25.0,25.501,425931418.0
2021-03-14 10:00:00,25.536,27.5,25.275,26.889,361375394.0
2021-03-14 11:00:00,26.846,34.7,26.664,31.181,1932773767.0
2021-03-14 12:00:00,31.181,32.6,27.6,28.821,1601479583.0
2021-03-14 13:00:00,28.821,31.8,28.8,29.358,849562794.0
2021-03-14 14:00:00,29.359,29.383,26.317,27.398,787477818.0
2021-03-14 15:00:00,27.396,29.5,26.362,26.39,512380168.0
2021-03-14 16:00:00,26.385,26.584,24.366,26.076,827951546.0
2021-03-14 17:00:00,26.076,29.275,25.602,27.1,754024959.0
2021-03-14 18:00:00,27.1,27.89,26.554,27.132,201732632.0
2021-03-14 19:00:00,27.096,28.6,26.91,27.794,280741292.0
2021-03-14 20:00:00,27.793,27.821,25.335,25.957,362151468.0
2021-03-14 21:00:00,25.957,27.45,25.6,26.742,354033232.0
2021-03-14 22:00:00,26.77,28.437,26.622,27.592,357457694.0
2021-03-14 23:00:00,27.593,27.7,25.867,26.456,189767633.0
2021-03-15 00:00:00,26.438,27.595,25.5,25.51,196180520.0
2021-03-15 01:00:00,25.586,27.3,23.7,23.852,295096500.0
2021-03-15 02:00:00,23.852,24.308,21.711,22.336,488395311.0
2021-03-15 03:00:00,22.454,23.366,21.266,21.35,323023458.0
2021-03-15 04:00:00,21.39,22.172,20.6,21.796,386641665.0
2021-03-15 05:00:00,21.795,23.454,21.7,21.8,327116676.0
2021-03-15 06:00:00,21.803,22.539,20.26,20.311,278227643.0
2021-03-15 07:00:00,20.311,20.908,19.5,20.588,447390276.0
2021-03-15 08:00:00,20.585,21.841,19.212,21.494,508986742.0
2021-03-15 09:00:00,21.477,22.0,20.0,20.19,272046338.0
2021-03-15 10:00:00,20.131,23.199,20.0,23.056,414071899.0
2021-03-15 11:00:00,23.037,24.5,22.089,24.006,499585328.0
