,Open,High,Low,Close,Volume
2021-09-24 12:00:00,0.1968,0.24,0.1965,0.225,13393781000.0
2021-09-24 13:00:00,0.2248,0.228,0.2072,0.2182,6635409000.0
2021-09-24 14:00:00,0.2181,0.229,0.2125,0.2231,2062331000.0
2021-09-24 15:00:00,0.2238,0.2619,0.218,0.2486,15232986000.0
2021-09-24 16:00:00,0.2488,0.2768,0.2485,0.2535,21302265000.0
2021-09-24 17:00:00,0.2535,0.2583,0.2388,0.2457,10424709000.0
2021-09-24 18:00:00,0.2462,0.253,0.2375,0.2428,5259178000.0
2021-09-24 19:00:00,0.2428,0.2457,0.2345,0.2386,2472359000.0
2021-09-24 20:00:00,0.2382,0.2814,0.2381,0.2603,15703574000.0
2021-09-24 21:00:00,0.2603,0.2649,0.2513,0.2539,6752567000.0
2021-09-24 22:00:00,0.254,0.2612,0.2454,0.2506,6322686000.0
2021-09-24 23:00:00,0.2511,0.2647,0.2452,0.2481,6410610000.0
2021-09-25 00:00:00,0.2489,0.2621,0.2481,0.2561,4554408000.0
2021-09-25 01:00:00,0.2561,0.2975,0.2561,0.2777,29635597000.0
2021-09-25 02:00:00,0.2776,0.3238,0.2776,0.3033,42516017000.0
2021-09-25 03:00:00,0.3033,0.34,0.3013,0.3303,22176022000.0
2021-09-25 04:00:00,0.3305,0.35,0.3136,0.322,18653631000.0
2021-09-25 05:00:00,0.3221,0.331,0.3028,0.3048,8292248000.0
2021-09-25 06:00:00,0.3048,0.3129,0.2957,0.3074,7117067000.0
2021-09-25 07:00:00,0.3074,0.3206,0.2987,0.3085,6893332000.0
2021-09-25 08:00:00,0.3085,0.3199,0.2974,0.2974,6014979000.0
2021-09-25 09:00:00,0.2983,0.3036,0.2847,0.2867,6496228000.0
2021-09-25 10:00:00,0.2867,0.2935,0.2694,0.2848,10326036000.0
2021-09-25 11:00:00,0.2844,0.3203,0.2779,0.3155,16598718000.0
2021-09-25 12:00:00,0.3154,0.3274,0.3062,0.3206,12714985000.0
2021-09-25 13:00:00,0.3208,0.3246,0.2961,0.3009,9512358000.0
2021-09-25 14:00:00,0.301,0.315,0.2917,0.2944,6972040000.0
2021-09-25 15:00:00,0.2947,0.3109,0.2928,0.2985,7373577000.0
2021-09-25 16:00:00,0.2984,0.3037,0.2864,0.289,5813275000.0
2021-09-25 17:00:00,0.2888,0.2918,0.2828,0.2853,3942428000.0
2021-09-25 18:00:00,0.2853,0.2872,0.2657,0.266,5717348000.0
2021-09-25 19:00:00,0.266,0.2711,0.2578,0.2659,6727809000.0
2021-09-25 20:00:00,0.2654,0.2687,0.2545,0.2571,4006927000.0
2021-09-25 21:00:00,0.2579,0.26,0.2532,0.2534,1502754000.0
2021-09-25 22:00:00,0.2535,0.26,0.2514,0.2545,1667286000.0
2021-09-25 23:00:00,0.2545,0.263,0.2505,0.2614,2354736000.0
2021-09-26 00:00:00,0.261,0.2636,0.2543,0.2586,1381172000.0
2021-09-26 01:00:00,0.2583,0.2583,0.244,0.2467,2640914000.0
2021-09-26 02:00:00,0.2467,0.2538,0.245,0.2452,2087324000.0
2021-09-26 03:00:00,0.2452,0.2487,0.235,0.2368,1775765000.0
2021-09-26 04:00:00,0.2366,0.2472,0.2362,0.2425,1726920000.0
2021-09-26 05:00:00,0.2425,0.249,0.2348,0.2424,2145941000.0
2021-09-26 06:00:00,0.2424,0.2512,0.2381,0.2412,2122592000.0
2021-09-26 07:00:00,0.2406,0.2471,0.239,0.2415,1026288000.0
2021-09-26 08:00:00,0.2407,0.2422,0.234,0.2349,1939679000.0
2021-09-26 09:00:00,0.2349,0.2395,0.216,0.2248,4267254000.0
2021-09-26 10:00:00,0.2248,0.2248,0.2147,0.2207,3869792000.0
2021-09-26 11:00:00,0.2206,0.2338,0.2195,0.2312,4240786000.0
2021-09-26 12:00:00,0.2302,0.236,0.226,0.2284,3351972000.0
2021-09-26 13:00:00,0.2284,0.2404,0.2277,0.2349,2806804000.0
2021-09-26 14:00:00,0.2349,0.2589,0.2325,0.2479,6731601000.0
2021-09-26 15:00:00,0.2479,0.25,0.2372,0.2386,4560795000.0
2021-09-26 16:00:00,0.2387,0.243,0.2355,0.2387,1764497000.0
