,Open,High,Low,Close,Volume
2020-09-04 15:00:00,4.12,4.12,3.05,3.15,153929357.0
2020-09-04 16:00:00,3.131,3.198,2.59,2.852,135989340.0
2020-09-04 17:00:00,2.852,2.979,2.709,2.85,85278147.0
2020-09-04 18:00:00,2.85,2.991,2.793,2.874,62407194.0
2020-09-04 19:00:00,2.874,2.985,2.801,2.918,44961538.0
2020-09-04 20:00:00,2.926,2.99,2.801,2.94,27562500.0
2020-09-04 21:00:00,2.94,2.999,2.908,2.943,38621363.0
2020-09-04 22:00:00,2.969,3.062,2.902,2.984,61494881.0
2020-09-04 23:00:00,2.966,2.968,2.858,2.933,39415821.0
2020-09-05 00:00:00,2.941,3.068,2.884,2.929,40009512.0
2020-09-05 01:00:00,2.929,2.999,2.835,2.938,42082898.0
2020-09-05 02:00:00,2.938,3.038,2.855,2.937,58717902.0
2020-09-05 03:00:00,2.937,3.029,2.918,3.003,37360763.0
2020-09-05 04:00:00,3.0,3.05,2.976,2.982,18165086.0
2020-09-05 05:00:00,2.983,3.012,2.9,2.918,18951886.0
2020-09-05 06:00:00,2.918,3.092,2.914,3.076,23243392.0
2020-09-05 07:00:00,3.066,3.15,3.01,3.103,41486118.0
2020-09-05 08:00:00,3.103,3.124,2.942,2.999,73759704.0
2020-09-05 09:00:00,3.014,3.027,2.771,2.828,167688630.0
2020-09-05 10:00:00,2.828,2.85,2.653,2.745,110684733.0
2020-09-05 11:00:00,2.745,2.745,2.456,2.458,152163500.0
2020-09-05 12:00:00,2.477,2.563,2.403,2.458,132518682.0
2020-09-05 13:00:00,2.454,2.469,1.97,2.201,259629610.0
2020-09-05 14:00:00,2.185,2.4,2.04,2.256,215021782.0
2020-09-05 15:00:00,2.163,2.46,2.163,2.419,207855240.0
2020-09-05 16:00:00,2.419,2.427,2.287,2.335,60453316.0
2020-09-05 17:00:00,2.335,2.377,2.201,2.256,50149728.0
2020-09-05 18:00:00,2.256,2.388,2.118,2.272,77459477.0
2020-09-05 19:00:00,2.284,2.284,2.035,2.035,68274317.0
2020-09-05 20:00:00,2.05,2.2,1.83,2.029,147821276.0
2020-09-05 21:00:00,2.028,2.149,1.826,1.968,104338934.0
2020-09-05 22:00:00,1.943,2.2,1.907,2.137,94258061.0
2020-09-05 23:00:00,2.14,2.295,2.101,2.223,84218983.0
2020-09-06 00:00:00,2.223,2.248,2.05,2.053,53068871.0
2020-09-06 01:00:00,2.031,2.199,2.031,2.143,64730370.0
2020-09-06 02:00:00,2.143,2.252,2.123,2.239,47006520.0
2020-09-06 03:00:00,2.236,2.374,2.181,2.199,53627201.0
2020-09-06 04:00:00,2.197,2.228,2.06,2.147,34425413.0
2020-09-06 05:00:00,2.18,2.228,2.076,2.079,29700398.0
2020-09-06 06:00:00,2.099,2.163,1.932,1.966,53364235.0
2020-09-06 07:00:00,1.963,2.024,1.91,1.973,48561000.0
2020-09-06 08:00:00,1.996,2.041,1.902,1.998,78156402.0
2020-09-06 09:00:00,2.001,2.223,2.0,2.088,228133017.0
2020-09-06 10:00:00,2.088,2.279,2.088,2.224,108494904.0
2020-09-06 11:00:00,2.224,2.373,2.168,2.22,141635959.0
2020-09-06 12:00:00,2.219,2.29,2.18,2.226,104840465.0
2020-09-06 13:00:00,2.254,2.6,2.196,2.447,149596694.0
2020-09-06 14:00:00,2.448,2.529,2.34,2.36,97138378.0
2020-09-06 15:00:00,2.368,2.368,2.239,2.32,78520910.0
2020-09-06 16:00:00,2.32,2.359,2.19,2.26,62387444.0
2020-09-06 17:00:00,2.272,2.277,2.085,2.218,113639231.0
2020-09-06 18:00:00,2.218,2.277,2.16,2.265,67524895.0
2020-09-06 19:00:00,2.263,2.284,2.195,2.252,38128785.0
2020-09-06 20:00:00,2.256,2.364,2.186,2.289,66824065.0
2020-09-06 21:00:00,2.3,2.4,2.265,2.382,48962232.0
2020-09-06 22:00:00,2.384,2.423,2.33,2.352,42678995.0
2020-09-06 23:00:00,2.365,2.47,2.334,2.439,85276255.0
2020-09-07 00:00:00,2.439,2.585,2.253,2.281,51457341.0
2020-09-07 01:00:00,2.281,2.359,2.256,2.316,34923925.0
2020-09-07 02:00:00,2.316,2.45,2.316,2.344,68850071.0
2020-09-07 03:00:00,2.338,2.398,2.301,2.383,18265081.0
2020-09-07 04:00:00,2.384,2.387,2.263,2.273,26874553.0
2020-09-07 05:00:00,2.264,2.281,2.225,2.241,33411161.999999996
2020-09-07 06:00:00,2.222,2.244,2.173,2.238,45752228.0
2020-09-07 07:00:00,2.239,2.239,2.06,2.135,49939288.0
2020-09-07 08:00:00,2.136,2.205,2.073,2.08,78598223.0
2020-09-07 09:00:00,2.09,2.18,2.061,2.09,30589396.0
2020-09-07 10:00:00,2.094,2.21,2.07,2.172,32186173.0
2020-09-07 11:00:00,2.171,2.18,2.09,2.114,36995683.0
2020-09-07 12:00:00,2.113,2.159,2.078,2.104,69989562.0
2020-09-07 13:00:00,2.101,2.12,1.914,1.938,108833847.0
2020-09-07 14:00:00,1.938,1.99,1.86,1.909,122351580.0
2020-09-07 15:00:00,1.915,2.069,1.86,2.03,154647436.0
2020-09-07 16:00:00,2.03,2.048,1.973,1.975,62201980.0
2020-09-07 17:00:00,1.978,2.104,1.95,2.089,89691285.0
2020-09-07 18:00:00,2.095,2.193,2.077,2.129,99921717.0
2020-09-07 19:00:00,2.132,2.148,2.074,2.083,54282666.0
2020-09-07 20:00:00,2.087,2.12,2.07,2.071,23764347.0
2020-09-07 21:00:00,2.071,2.1,2.056,2.068,24164838.0
2020-09-07 22:00:00,2.063,2.078,1.985,2.069,49179431.0
2020-09-07 23:00:00,2.074,2.089,2.04,2.051,31250190.0
2020-09-08 00:00:00,2.051,2.15,2.049,2.116,31807084.0
2020-09-08 01:00:00,2.116,2.205,2.085,2.189,41162673.0
2020-09-08 02:00:00,2.199,2.234,2.182,2.198,13370763.0
2020-09-08 03:00:00,2.199,2.234,2.179,2.179,12808298.0
2020-09-08 04:00:00,2.178,2.23,2.136,2.23,8859034.0
2020-09-08 05:00:00,2.23,2.232,2.189,2.189,17051959.0
2020-09-08 06:00:00,2.189,2.246,2.171,2.18,23603382.0
2020-09-08 07:00:00,2.17,2.175,2.092,2.115,51135968.0
2020-09-08 08:00:00,2.115,2.174,2.093,2.156,11008334.0
2020-09-08 09:00:00,2.158,2.194,2.146,2.17,14928062.0
2020-09-08 10:00:00,2.17,2.208,2.111,2.119,41911721.0
2020-09-08 11:00:00,2.12,2.134,1.991,1.996,57631813.0
2020-09-08 12:00:00,1.991,2.033,1.952,1.998,63773561.0
2020-09-08 13:00:00,1.998,2.0,1.937,1.944,40038847.0
2020-09-08 14:00:00,1.945,2.106,1.944,2.01,77680407.0
2020-09-08 15:00:00,2.008,2.021,1.921,1.954,54761386.0
2020-09-08 16:00:00,1.962,2.085,1.95,2.031,57404100.0
2020-09-08 17:00:00,2.031,2.101,2.012,2.04,43911952.0
2020-09-08 18:00:00,2.043,2.08,2.035,2.068,20514512.0
2020-09-08 19:00:00,2.06,2.067,2.001,2.064,23591267.0
2020-09-08 20:00:00,2.059,2.065,1.922,1.945,44984100.0
2020-09-08 21:00:00,1.942,1.99,1.921,1.955,36581992.0
2020-09-08 22:00:00,1.954,2.017,1.928,1.941,35072229.0
2020-09-08 23:00:00,1.941,1.974,1.929,1.951,32381410.0
2020-09-09 00:00:00,1.958,1.999,1.861,1.942,62085756.0
2020-09-09 01:00:00,1.949,2.006,1.913,1.995,25638877.0
2020-09-09 02:00:00,2.02,2.02,1.951,1.963,26777330.0
2020-09-09 03:00:00,1.96,2.07,1.938,2.032,30418121.0
2020-09-09 04:00:00,2.022,2.033,1.918,1.931,28996743.0
2020-09-09 05:00:00,1.923,1.926,1.882,1.911,21045609.0
2020-09-09 06:00:00,1.916,2.0,1.916,1.929,32613222.0
2020-09-09 07:00:00,1.928,2.001,1.918,1.944,16446794.999999998
2020-09-09 08:00:00,1.946,1.956,1.92,1.923,38338544.0
2020-09-09 09:00:00,1.94,1.986,1.94,1.973,17254352.0
2020-09-09 10:00:00,1.983,2.001,1.95,1.95,35973036.0
2020-09-09 11:00:00,1.964,2.07,1.955,2.061,53374675.0
2020-09-09 12:00:00,2.061,2.072,2.016,2.048,71582921.0
2020-09-09 13:00:00,2.048,2.14,2.048,2.118,47826443.0
2020-09-09 14:00:00,2.109,2.184,2.072,2.165,89520563.0
2020-09-09 15:00:00,2.165,2.201,2.122,2.151,72465304.0
2020-09-09 16:00:00,2.162,2.209,2.16,2.209,41571167.0
2020-09-09 17:00:00,2.21,2.273,2.2,2.215,113212003.0
2020-09-09 18:00:00,2.215,2.266,2.18,2.233,59027853.0
2020-09-09 19:00:00,2.233,2.248,2.181,2.201,24257172.0
2020-09-09 20:00:00,2.199,2.231,2.151,2.183,56556183.0
2020-09-09 21:00:00,2.195,2.219,2.161,2.211,32583254.0
2020-09-09 22:00:00,2.211,2.211,2.119,2.132,18305887.0
2020-09-09 23:00:00,2.132,2.222,2.094,2.222,62425865.0
2020-09-10 00:00:00,2.22,2.231,2.142,2.173,21733968.0
2020-09-10 01:00:00,2.164,2.171,2.119,2.146,27191165.0
2020-09-10 02:00:00,2.156,2.238,2.148,2.186,55870185.0
2020-09-10 03:00:00,2.195,2.263,2.185,2.263,8305123.0
2020-09-10 04:00:00,2.252,2.35,2.243,2.258,50395315.0
2020-09-10 05:00:00,2.244,2.278,2.225,2.275,18897944.0
2020-09-10 06:00:00,2.276,2.391,2.276,2.391,39476436.0
2020-09-10 07:00:00,2.394,2.418,2.365,2.368,48796861.0
2020-09-10 08:00:00,2.368,2.403,2.295,2.318,36957695.0
