,Open,High,Low,Close,Volume
2020-11-10 07:00:00,0.06302,0.075,0.06091,0.06192,500277500.0
2020-11-10 08:00:00,0.06192,0.06385,0.06092,0.06246,97319400.0
2020-11-10 09:00:00,0.06176,0.06349,0.05884,0.06128,740843900.0
2020-11-10 10:00:00,0.06172,0.06176,0.05733,0.0609,505016700.0
2020-11-10 11:00:00,0.0609,0.06853,0.06085,0.06603,953570000.0
2020-11-10 12:00:00,0.06672,0.315,0.06672,0.07518,8144395700.0
2020-11-10 13:00:00,0.07512,0.08427,0.0666,0.06959,3357395000.0
2020-11-10 14:00:00,0.06959,0.07095,0.066,0.06962,848337400.0
2020-11-10 15:00:00,0.07041,0.0713,0.067,0.067,508520200.0
2020-11-10 16:00:00,0.067,0.0682,0.06485,0.0654,713298200.0
2020-11-10 17:00:00,0.06539,0.07,0.063,0.06606,1039137300.0
2020-11-10 18:00:00,0.06716,0.06716,0.06434,0.06669,502440200.0
2020-11-10 19:00:00,0.0669,0.067,0.0647,0.06693,435508000.0
2020-11-10 20:00:00,0.067,0.06817,0.0647,0.06704,1070307899.9999999
2020-11-10 21:00:00,0.06759,0.06773,0.06433,0.06536,548724000.0
2020-11-10 22:00:00,0.06497,0.06497,0.05949,0.06069,994318300.0
2020-11-10 23:00:00,0.06143,0.0635,0.05502,0.05511,1482461700.0
2020-11-11 00:00:00,0.05505,0.06122,0.0516,0.0606,3184371700.0
2020-11-11 01:00:00,0.0606,0.0606,0.05513,0.0582,1394579300.0
2020-11-11 02:00:00,0.05673,0.05884,0.05499,0.0562,561580900.0
2020-11-11 03:00:00,0.05653,0.05994,0.056,0.0587,1213949400.0
2020-11-11 04:00:00,0.05901,0.06266,0.0579,0.06262,808605700.0
2020-11-11 05:00:00,0.0626,0.0627,0.05785,0.06116,6332815600.0
2020-11-11 06:00:00,0.06078,0.06251,0.0571,0.0577,2916805000.0
2020-11-11 07:00:00,0.05778,0.05782,0.05556,0.05556,897374100.0
2020-11-11 08:00:00,0.05556,0.05666,0.05363,0.05424,522343600.0
2020-11-11 09:00:00,0.05438,0.0576,0.05438,0.0572,506824300.0
2020-11-11 10:00:00,0.05773,0.06519,0.0573,0.06218,3073614800.0
2020-11-11 11:00:00,0.06274,0.06994,0.06,0.06121,3032976500.0
2020-11-11 12:00:00,0.06128,0.06157,0.05815,0.05939,866233900.0
2020-11-11 13:00:00,0.0592,0.06251,0.05817,0.05874,1993659900.0
2020-11-11 14:00:00,0.05837,0.06016,0.05729,0.05808,2246305300.0
2020-11-11 15:00:00,0.05801,0.06163,0.05738,0.0615,840836400.0
2020-11-11 16:00:00,0.06104,0.06126,0.05871,0.05915,601466900.0
2020-11-11 17:00:00,0.0591,0.05931,0.0555,0.05599,935774000.0
2020-11-11 18:00:00,0.05565,0.05638,0.05338,0.05428,1560768400.0
2020-11-11 19:00:00,0.05429,0.05768,0.05167,0.05295,1950813300.0
2020-11-11 20:00:00,0.05296,0.0559,0.0525,0.05536,1290739900.0
2020-11-11 21:00:00,0.05536,0.05594,0.05,0.05044,3042398300.0
2020-11-11 22:00:00,0.0505,0.05145,0.04712,0.05061,2535527200.0
2020-11-11 23:00:00,0.05077,0.0548,0.04913,0.04945,2504530900.0
2020-11-12 00:00:00,0.049,0.052,0.04777,0.05167,1347302000.0
2020-11-12 01:00:00,0.05198,0.05243,0.04922,0.05128,1114119300.0
2020-11-12 02:00:00,0.05084,0.05247,0.0488,0.05177,577426900.0
2020-11-12 03:00:00,0.05173,0.05399,0.0503,0.05054,1047349200.0
2020-11-12 04:00:00,0.05054,0.05137,0.04726,0.04759,1167928900.0
2020-11-12 05:00:00,0.04787,0.04892,0.04468,0.04556,1937342700.0
2020-11-12 06:00:00,0.04554,0.04879,0.04551,0.04839,744741100.0
2020-11-12 07:00:00,0.04832,0.0495,0.04616,0.04617,954296100.0
2020-11-12 08:00:00,0.04618,0.04757,0.046,0.04615,526575400.0
2020-11-12 09:00:00,0.04616,0.04994,0.04613,0.0488,1096288900.0
2020-11-12 10:00:00,0.04882,0.05156,0.04813,0.0488,1437044600.0
2020-11-12 11:00:00,0.04914,0.0514,0.0484,0.05123,1264274400.0
2020-11-12 12:00:00,0.0509,0.05246,0.0498,0.05122,1178630400.0
2020-11-12 13:00:00,0.05122,0.05296,0.05001,0.05209,772558900.0
2020-11-12 14:00:00,0.05188,0.05215,0.04905,0.04905,682872400.0
2020-11-12 15:00:00,0.04942,0.05055,0.04901,0.05007,809703400.0
2020-11-12 16:00:00,0.05028,0.05159,0.04847,0.04871,576933200.0
2020-11-12 17:00:00,0.04893,0.04893,0.04538,0.04726,1792929200.0
2020-11-12 18:00:00,0.04727,0.04911,0.04703,0.04789,264953000.0
2020-11-12 19:00:00,0.04899,0.04899,0.04645,0.04812,286005400.0
2020-11-12 20:00:00,0.04801,0.04802,0.04631,0.04697,520814300.0
2020-11-12 21:00:00,0.04686,0.04828,0.04593,0.04623,484470400.0
2020-11-12 22:00:00,0.0465,0.04816,0.04606,0.04737,335503800.0
2020-11-12 23:00:00,0.04738,0.04988,0.04644,0.04925,830662800.0
2020-11-13 00:00:00,0.04925,0.0669,0.04925,0.06206,7491362600.0
2020-11-13 01:00:00,0.06195,0.066,0.05508,0.05617,7940267900.0
2020-11-13 02:00:00,0.05693,0.05975,0.05438,0.05656,2470677100.0
2020-11-13 03:00:00,0.05647,0.06685,0.05611,0.063,4553832100.0
2020-11-13 04:00:00,0.06291,0.0654,0.06027,0.0628,2310808300.0
2020-11-13 05:00:00,0.06282,0.067,0.06025,0.06482,3002943600.0
2020-11-13 06:00:00,0.06498,0.075,0.06282,0.06609,9732177500.0
2020-11-13 07:00:00,0.06609,0.07079,0.06524,0.06642,6610423300.0
2020-11-13 08:00:00,0.06647,0.06714,0.06359,0.06683,5348997100.0
2020-11-13 09:00:00,0.06667,0.069,0.06394,0.06612,4926532600.0
2020-11-13 10:00:00,0.0661,0.06683,0.06166,0.06409,4157349500.0
2020-11-13 11:00:00,0.0641,0.0644,0.06165,0.06229,1061728500.0
2020-11-13 12:00:00,0.06205,0.064,0.06111,0.06115,3118505800.0
2020-11-13 13:00:00,0.0612,0.06445,0.06083,0.06385,1812580000.0
2020-11-13 14:00:00,0.06381,0.06454,0.06191,0.06242,1730641100.0
2020-11-13 15:00:00,0.06242,0.06753,0.06126,0.06408,3835576400.0
2020-11-13 16:00:00,0.06407,0.06779,0.06355,0.06766,5912873900.0
2020-11-13 17:00:00,0.06712,0.06785,0.0647,0.06598,3453208200.0
2020-11-13 18:00:00,0.06575,0.06678,0.06405,0.06405,2234739600.0
2020-11-13 19:00:00,0.06449,0.06575,0.06316,0.06316,1300195500.0
2020-11-13 20:00:00,0.06316,0.065,0.063,0.06437,1468637800.0
2020-11-13 21:00:00,0.06437,0.0695,0.06431,0.06575,7134195200.0
2020-11-13 22:00:00,0.06575,0.067,0.0642,0.06511,3704137400.0
2020-11-13 23:00:00,0.06501,0.06541,0.06305,0.06326,1861014200.0
2020-11-14 00:00:00,0.06344,0.06357,0.05757,0.06057,9258790400.0
2020-11-14 01:00:00,0.06057,0.06078,0.058,0.05815,3540496800.0
2020-11-14 02:00:00,0.05815,0.061,0.05814,0.06075,1372455300.0
2020-11-14 03:00:00,0.06056,0.06348,0.05916,0.06,1596121600.0
2020-11-14 04:00:00,0.05976,0.06027,0.05845,0.06009,691576900.0
2020-11-14 05:00:00,0.0601,0.06027,0.05881,0.05986,470809900.0
2020-11-14 06:00:00,0.05978,0.06208,0.05973,0.06181,1113709000.0
2020-11-14 07:00:00,0.06196,0.06218,0.05933,0.06026,551715200.0
2020-11-14 08:00:00,0.06027,0.06221,0.05919,0.06039,728156900.0
2020-11-14 09:00:00,0.06039,0.06056,0.0585,0.05904,1559789100.0
2020-11-14 10:00:00,0.05904,0.06036,0.05801,0.05826,1075504200.0
2020-11-14 11:00:00,0.05835,0.05883,0.05604,0.0576,2381272900.0
2020-11-14 12:00:00,0.0577,0.05969,0.05724,0.05967,902922100.0
2020-11-14 13:00:00,0.05969,0.06499,0.05933,0.06046,2656125100.0
2020-11-14 14:00:00,0.06046,0.063,0.05933,0.0614,1607820200.0
2020-11-14 15:00:00,0.06171,0.0636,0.06034,0.06081,2001439500.0
2020-11-14 16:00:00,0.06079,0.06136,0.05959,0.06,1096707800.0
2020-11-14 17:00:00,0.06,0.063,0.06,0.0625,2106226200.0000002
2020-11-14 18:00:00,0.06251,0.063,0.05985,0.06137,1924969000.0
2020-11-14 19:00:00,0.06135,0.063,0.06082,0.06251,1185841300.0
2020-11-14 20:00:00,0.06221,0.06287,0.05987,0.06004,1667141300.0
2020-11-14 21:00:00,0.05988,0.06144,0.05829,0.06057,3348438200.0
2020-11-14 22:00:00,0.06057,0.06173,0.05981,0.06142,1656286500.0
2020-11-14 23:00:00,0.06142,0.06222,0.05931,0.05976,1190579800.0
2020-11-15 00:00:00,0.05975,0.06074,0.0592,0.06074,867850700.0
2020-11-15 01:00:00,0.06034,0.06072,0.05944,0.05994,661493200.0
2020-11-15 02:00:00,0.05991,0.06062,0.0593,0.06038,593578200.0
2020-11-15 03:00:00,0.06024,0.06046,0.059,0.06021,273326400.0
2020-11-15 04:00:00,0.06002,0.06069,0.059,0.0605,342761300.0
2020-11-15 05:00:00,0.06053,0.06123,0.05976,0.06057,775071300.0
2020-11-15 06:00:00,0.06084,0.061,0.059,0.05934,689221100.0
2020-11-15 07:00:00,0.05925,0.0605,0.05871,0.06009,418824900.0
2020-11-15 08:00:00,0.06026,0.06054,0.05574,0.05867,3272402200.0
2020-11-15 09:00:00,0.05839,0.05907,0.05743,0.05858,1013680700.0
2020-11-15 10:00:00,0.05856,0.05878,0.0575,0.0579,401749600.0
2020-11-15 11:00:00,0.05808,0.05863,0.05751,0.05846,346580200.0
2020-11-15 12:00:00,0.05834,0.05863,0.05787,0.0581,230540600.0
2020-11-15 13:00:00,0.05804,0.05828,0.05701,0.05795,937053600.0
2020-11-15 14:00:00,0.058,0.05827,0.05622,0.05714,752563500.0
2020-11-15 15:00:00,0.0571,0.05733,0.0565,0.05672,779084000.0
2020-11-15 16:00:00,0.05653,0.05816,0.0555,0.05714,1685328200.0
2020-11-15 17:00:00,0.05712,0.05796,0.05539,0.0561,1620258400.0
2020-11-15 18:00:00,0.05615,0.05728,0.05575,0.05704,614689300.0
2020-11-15 19:00:00,0.05702,0.05702,0.05571,0.05666,940728000.0
2020-11-15 20:00:00,0.05657,0.058,0.05625,0.05766,807529400.0
2020-11-15 21:00:00,0.05766,0.06127,0.05766,0.05963,2194682200.0
2020-11-15 22:00:00,0.05959,0.0597,0.05747,0.05833,836337700.0
2020-11-15 23:00:00,0.05796,0.06,0.0567,0.0587,948823600.0
2020-11-16 00:00:00,0.05844,0.06036,0.05769,0.0592,536575800.00000006
2020-11-16 01:00:00,0.05919,0.05991,0.05817,0.05947,316746100.0
2020-11-16 02:00:00,0.05963,0.05999,0.05864,0.05864,340436100.0
2020-11-16 03:00:00,0.05867,0.0587,0.05761,0.05799,159041800.0
2020-11-16 04:00:00,0.0578,0.05964,0.05732,0.05871,706707700.0
2020-11-16 05:00:00,0.05871,0.05964,0.05783,0.05783,548677800.0
2020-11-16 06:00:00,0.05807,0.0582,0.05722,0.05818,305455000.0
2020-11-16 07:00:00,0.05808,0.05839,0.0574,0.05761,201220700.0
2020-11-16 08:00:00,0.05767,0.05799,0.05653,0.05786,629032000.0
2020-11-16 09:00:00,0.05786,0.05786,0.05658,0.0567,273225500.0
2020-11-16 10:00:00,0.05694,0.05713,0.05462,0.05656,558486300.0
2020-11-16 11:00:00,0.0566,0.05661,0.0548,0.05615,769949700.0
2020-11-16 12:00:00,0.05581,0.05708,0.05571,0.0566,759078300.0
2020-11-16 13:00:00,0.05631,0.05781,0.05596,0.0572,743063700.0
2020-11-16 14:00:00,0.05732,0.05733,0.05552,0.05607,553904600.0
2020-11-16 15:00:00,0.05602,0.05679,0.0555,0.05678,743819300.0
2020-11-16 16:00:00,0.05675,0.0575,0.0563,0.05728,491820300.0
2020-11-16 17:00:00,0.05725,0.0575,0.05495,0.05495,2115031900.0
2020-11-16 18:00:00,0.05513,0.057,0.05341,0.05504,1885007900.0
2020-11-16 19:00:00,0.05503,0.05535,0.05341,0.05377,2126340299.9999998
2020-11-16 20:00:00,0.05378,0.05477,0.05255,0.054,1206867200.0
2020-11-16 21:00:00,0.05392,0.05431,0.05303,0.05355,1087467100.0
2020-11-16 22:00:00,0.05355,0.05365,0.05222,0.05292,795522300.0
2020-11-16 23:00:00,0.0527,0.05486,0.052,0.05478,1105686700.0
2020-11-17 00:00:00,0.05468,0.05496,0.0537,0.0537,542909800.0
2020-11-17 01:00:00,0.05368,0.05458,0.0523,0.05287,757700800.0
2020-11-17 02:00:00,0.05307,0.05325,0.0521,0.05256,712225600.0
2020-11-17 03:00:00,0.05255,0.05538,0.05255,0.05487,1721130800.0
2020-11-17 04:00:00,0.05487,0.0552,0.05337,0.05376,848221900.0
2020-11-17 05:00:00,0.05375,0.05387,0.05307,0.05363,248973700.0
2020-11-17 06:00:00,0.05335,0.05388,0.0521,0.05248,811815300.0
2020-11-17 07:00:00,0.05256,0.05256,0.05026,0.05113,1811822800.0
2020-11-17 08:00:00,0.05106,0.05132,0.05068,0.0511,936570400.0
2020-11-17 09:00:00,0.05129,0.05308,0.05082,0.05303,1426187000.0
2020-11-17 10:00:00,0.05297,0.05387,0.05183,0.0523,987482100.0
2020-11-17 11:00:00,0.05259,0.05368,0.05191,0.05204,225553100.0
2020-11-17 12:00:00,0.05192,0.05278,0.05138,0.05186,608624600.0
2020-11-17 13:00:00,0.05197,0.05269,0.05077,0.05097,1057648700.0
2020-11-17 14:00:00,0.05096,0.05116,0.0485,0.04928,1594101400.0
2020-11-17 15:00:00,0.04925,0.05137,0.04925,0.05092,2161184300.0
2020-11-17 16:00:00,0.05108,0.05136,0.04976,0.05009,444770300.0
2020-11-17 17:00:00,0.05007,0.05071,0.04787,0.0495,2213698000.0
2020-11-17 18:00:00,0.04955,0.05067,0.04834,0.04961,1131039300.0
2020-11-17 19:00:00,0.0497,0.05016,0.04918,0.05016,1039118200.0
2020-11-17 20:00:00,0.05016,0.0595,0.0501,0.0586,6838174800.0
2020-11-17 21:00:00,0.05876,0.06358,0.05648,0.05846,10904194700.0
2020-11-17 22:00:00,0.05847,0.0615,0.05634,0.05729,3321179600.0
2020-11-17 23:00:00,0.05729,0.0579,0.05505,0.05573,1733217200.0
2020-11-18 00:00:00,0.05564,0.05584,0.05236,0.05355,1580351200.0
2020-11-18 01:00:00,0.05353,0.05406,0.052,0.05273,1131997800.0
2020-11-18 02:00:00,0.0525,0.05381,0.052,0.05333,485308100.0
2020-11-18 03:00:00,0.0533,0.05458,0.05308,0.05458,738929500.0
2020-11-18 04:00:00,0.05458,0.056,0.05355,0.05394,1937643200.0
2020-11-18 05:00:00,0.05396,0.05418,0.0501,0.05116,1751829900.0
2020-11-18 06:00:00,0.05113,0.05234,0.04943,0.04998,2105095299.9999998
2020-11-18 07:00:00,0.04978,0.05659,0.04925,0.05208,3108620600.0
2020-11-18 08:00:00,0.05198,0.0539,0.05151,0.05157,908260200.0
2020-11-18 09:00:00,0.05173,0.0539,0.05085,0.05288,1199045000.0
2020-11-18 10:00:00,0.05268,0.05273,0.05133,0.05224,390497600.0
2020-11-18 11:00:00,0.05197,0.05314,0.05147,0.05213,700246500.0
2020-11-18 12:00:00,0.05175,0.05221,0.0515,0.05156,334172200.0
2020-11-18 13:00:00,0.0517,0.05256,0.05114,0.05187,772459900.0
2020-11-18 14:00:00,0.0519,0.05537,0.05126,0.05342,2772583600.0
2020-11-18 15:00:00,0.05343,0.05499,0.05263,0.05395,1158408600.0
2020-11-18 16:00:00,0.05365,0.05592,0.05248,0.05394,1567245300.0
2020-11-18 17:00:00,0.05391,0.05449,0.05276,0.05331,473630900.0
2020-11-18 18:00:00,0.05336,0.05381,0.05181,0.05184,837888900.0
2020-11-18 19:00:00,0.05184,0.05279,0.05117,0.05164,1495537300.0
2020-11-18 20:00:00,0.0517,0.0523,0.05057,0.05194,1267676000.0
2020-11-18 21:00:00,0.05195,0.05221,0.05,0.0512,2734734000.0
2020-11-18 22:00:00,0.0512,0.05186,0.05007,0.05118,1240559000.0
2020-11-18 23:00:00,0.05091,0.05195,0.05038,0.05094,837244300.0
2020-11-19 00:00:00,0.05101,0.05295,0.051,0.0516,1381641300.0
2020-11-19 01:00:00,0.05176,0.05215,0.05073,0.05144,718427000.0
2020-11-19 02:00:00,0.05164,0.05175,0.05106,0.05175,352068900.0
2020-11-19 03:00:00,0.05171,0.05175,0.05023,0.05071,1501089800.0
2020-11-19 04:00:00,0.0509,0.05166,0.0509,0.0515,373486500.0
2020-11-19 05:00:00,0.0515,0.05213,0.05108,0.05108,693280900.0
2020-11-19 06:00:00,0.05109,0.053,0.05101,0.05217,1120672700.0
2020-11-19 07:00:00,0.05217,0.05217,0.05116,0.05166,808096600.0
2020-11-19 08:00:00,0.05119,0.05171,0.05001,0.05091,898257700.0
2020-11-19 09:00:00,0.05108,0.05111,0.0504,0.05085,783158300.0
2020-11-19 10:00:00,0.05085,0.05102,0.0507,0.05091,381014700.0
2020-11-19 11:00:00,0.05078,0.05114,0.05039,0.05059,478192600.0
2020-11-19 12:00:00,0.05056,0.0516,0.05038,0.05094,769624900.0
2020-11-19 13:00:00,0.05106,0.05176,0.05077,0.05119,478587900.0
2020-11-19 14:00:00,0.05121,0.05177,0.0505,0.05177,627124500.0
2020-11-19 15:00:00,0.05177,0.05177,0.0505,0.05057,1366623600.0
2020-11-19 16:00:00,0.05057,0.05174,0.05021,0.05052,2546332600.0
2020-11-19 17:00:00,0.05031,0.0515,0.05,0.05016,3354824800.0
2020-11-19 18:00:00,0.05023,0.05108,0.05013,0.051,868099400.0
2020-11-19 19:00:00,0.051,0.05113,0.0504,0.0504,992382500.0
2020-11-19 20:00:00,0.05047,0.05084,0.05,0.05041,651484400.0
2020-11-19 21:00:00,0.05035,0.05058,0.04957,0.05008,1768741600.0
2020-11-19 22:00:00,0.0499,0.05059,0.04958,0.05006,1275313900.0
2020-11-19 23:00:00,0.05008,0.05049,0.0496,0.0501,430154400.0
2020-11-20 00:00:00,0.05006,0.05026,0.04958,0.04995,823753600.0
2020-11-20 01:00:00,0.04995,0.05012,0.04958,0.0499,709442000.0
2020-11-20 02:00:00,0.04995,0.05079,0.04972,0.04989,663587400.0
2020-11-20 03:00:00,0.04988,0.0504,0.04951,0.05031,357711600.0
2020-11-20 04:00:00,0.05038,0.0504,0.04975,0.04976,191510300.0
2020-11-20 05:00:00,0.04982,0.05037,0.04951,0.05032,319082700.0
2020-11-20 06:00:00,0.05025,0.0504,0.04962,0.05038,410251800.0
