,Open,High,Low,Close,Volume
2021-02-19 11:00:00,2.788,10.0,2.788,6.651,17903201274.0
2021-02-19 12:00:00,6.662,7.9,6.66,7.064,6509948972.0
2021-02-19 13:00:00,7.064,7.3,6.6,6.785,2824063389.0
2021-02-19 14:00:00,6.785,6.989,6.223,6.302,3228731001.0
2021-02-19 15:00:00,6.3,6.532,5.345,5.625,4432758962.0
2021-02-19 16:00:00,5.627,6.35,5.568,5.9,3047786721.0
2021-02-19 17:00:00,5.899,6.5,5.898,6.273,1544880887.0
2021-02-19 18:00:00,6.274,6.35,5.912,6.075,574495951.0
2021-02-19 19:00:00,6.078,6.146,5.9,5.9,76427715.0
2021-02-19 20:00:00,5.905,6.202,5.656,6.151,974201348.0
2021-02-19 21:00:00,6.159,6.18,5.802,5.875,643947714.0
2021-02-19 22:00:00,5.869,5.985,5.615,5.636,805575866.0
2021-02-19 23:00:00,5.637,5.88,5.625,5.789,511271059.0
2021-02-20 00:00:00,5.789,6.65,5.774,6.225,2447876743.0
2021-02-20 01:00:00,6.225,6.387,5.859,5.946,1096285339.0
2021-02-20 02:00:00,5.938,6.23,5.762,5.968,824595586.0
2021-02-20 03:00:00,5.972,6.306,5.871,6.194,901898421.0
2021-02-20 04:00:00,6.194,6.439,6.092,6.179,822217750.0
2021-02-20 05:00:00,6.185,6.223,5.9,6.078,641066094.0
2021-02-20 06:00:00,6.057,6.336,5.93,6.14,790274435.0
2021-02-20 07:00:00,6.149,6.499,6.0,6.454,932379015.0
2021-02-20 08:00:00,6.454,7.491,6.181,7.123,4476025464.0
2021-02-20 09:00:00,7.124,8.25,6.926,8.073,5219891834.0
2021-02-20 10:00:00,8.073,8.75,7.541,8.14,8278586219.0
2021-02-20 11:00:00,8.13,8.145,7.318,7.68,3418378979.0
2021-02-20 12:00:00,7.674,7.82,7.322,7.38,1343878717.0
2021-02-20 13:00:00,7.38,7.427,7.026,7.175,1323211080.0
2021-02-20 14:00:00,7.153,7.2,6.6,6.92,2686645586.0
2021-02-20 15:00:00,6.921,7.247,6.411,6.583,2069865539.0
2021-02-20 16:00:00,6.547,6.982,6.536,6.781,1500532825.0
2021-02-20 17:00:00,6.794,7.475,6.78,7.278,1939818007.0
2021-02-20 18:00:00,7.278,7.346,6.875,6.91,1068008862.9999999
2021-02-20 19:00:00,6.917,7.24,6.9,7.131,652458126.0
2021-02-20 20:00:00,7.131,7.5,7.061,7.34,932677317.0
2021-02-20 21:00:00,7.341,7.415,6.92,7.082,617760577.0
2021-02-20 22:00:00,7.082,7.1,6.722,6.783,622861475.0
2021-02-20 23:00:00,6.788,6.829,5.85,6.227,1695832203.0
2021-02-21 00:00:00,6.227,6.618,6.226,6.503,716365124.0
2021-02-21 01:00:00,6.503,6.571,6.227,6.406,722902084.0
2021-02-21 02:00:00,6.413,6.837,6.362,6.678,673700173.0
2021-02-21 03:00:00,6.678,7.0,6.621,6.874,496692313.0
2021-02-21 04:00:00,6.867,7.186,6.596,6.727,727980802.0
2021-02-21 05:00:00,6.727,6.88,6.517,6.66,415546760.0
2021-02-21 06:00:00,6.643,6.91,6.638,6.896,379094227.0
2021-02-21 07:00:00,6.886,6.913,6.5,6.61,393297540.0
2021-02-21 08:00:00,6.61,6.703,6.274,6.345,547457187.0
2021-02-21 09:00:00,6.345,6.544,6.274,6.37,497119666.0
2021-02-21 10:00:00,6.374,6.572,6.21,6.401,918946726.0
2021-02-21 11:00:00,6.397,6.708,6.376,6.527,575610565.0
2021-02-21 12:00:00,6.55,6.753,6.461,6.753,522997651.0
2021-02-21 13:00:00,6.74,6.8,6.543,6.693,650144430.0
2021-02-21 14:00:00,6.695,6.785,6.571,6.678,608885732.0
2021-02-21 15:00:00,6.678,7.15,6.672,6.992,1259695332.0
2021-02-21 16:00:00,6.981,7.45,6.872,7.241,1843929397.0
2021-02-21 17:00:00,7.241,7.3,6.83,6.967,936089146.0
2021-02-21 18:00:00,6.967,6.989,6.59,6.714,769339243.0
