,Open,High,Low,Close,Volume
2020-08-19 01:00:00,2.09,4.44,2.0,3.1,6039881970.0
2020-08-19 02:00:00,3.1,3.14,2.9738,3.105,1554670370.0
2020-08-19 03:00:00,3.105,3.1299,3.0584,3.1063,813079440.0
2020-08-19 04:00:00,3.1082,3.1124,2.9,2.9628,1472769860.0
2020-08-19 05:00:00,2.9631,3.0032,2.64,2.885,1768853600.0
2020-08-19 06:00:00,2.885,3.068,2.811,2.9336,1328188150.0
2020-08-19 07:00:00,2.9334,3.0755,2.875,2.9255,798876030.0
2020-08-19 08:00:00,2.9255,3.04,2.9,3.0095,534111699.99999994
2020-08-19 09:00:00,3.0095,3.1999,2.9911,3.195,1717178180.0
2020-08-19 10:00:00,3.195,3.195,3.01,3.0362,682238570.0
2020-08-19 11:00:00,3.0361,3.13,3.0102,3.0401,473679670.0
2020-08-19 12:00:00,3.0497,3.09,2.9,3.0014,495485400.0
2020-08-19 13:00:00,3.0006,3.01,2.93,3.0,309270070.0
2020-08-19 14:00:00,3.0,3.0006,2.9,2.9897,429332760.0
2020-08-19 15:00:00,2.9898,3.0078,2.9011,2.9354,589033020.0
2020-08-19 16:00:00,2.9431,3.008,2.9353,2.9934,344814450.0
2020-08-19 17:00:00,2.9936,2.9936,2.94,2.9401,331131030.0
2020-08-19 18:00:00,2.9425,3.0298,2.9167,3.0002,358252080.0
2020-08-19 19:00:00,3.0002,3.0181,2.9505,2.982,180675590.0
2020-08-19 20:00:00,2.983,2.9956,2.7622,2.9,439835250.0
2020-08-19 21:00:00,2.9,2.9491,2.72,2.8027,392959280.0
2020-08-19 22:00:00,2.8027,2.9065,2.7918,2.8994,198732770.0
2020-08-19 23:00:00,2.8991,3.0078,2.8817,2.995,213537920.0
2020-08-20 00:00:00,2.9997,3.035,2.9333,2.9388,286635990.0
2020-08-20 01:00:00,2.9351,2.9868,2.9001,2.95,182433740.0
2020-08-20 02:00:00,2.9449,2.999,2.8594,2.8864,262916690.0
2020-08-20 03:00:00,2.8819,2.9199,2.85,2.9001,241812630.0
2020-08-20 04:00:00,2.9001,2.9105,2.72,2.7631,596815470.0
2020-08-20 05:00:00,2.7575,2.82,2.715,2.75,314506900.0
2020-08-20 06:00:00,2.75,2.8,2.7205,2.758,271646390.0
2020-08-20 07:00:00,2.7531,2.7744,2.6759,2.7344,291642290.0
2020-08-20 08:00:00,2.7345,2.7854,2.6833,2.7555,261773520.0
2020-08-20 09:00:00,2.7662,2.915,2.7662,2.835,394024680.0
2020-08-20 10:00:00,2.8311,2.8886,2.8038,2.8505,188996270.0
2020-08-20 11:00:00,2.8423,2.8965,2.8313,2.8488,172986320.0
2020-08-20 12:00:00,2.8454,2.86,2.7803,2.85,537375770.0
2020-08-20 13:00:00,2.8499,2.895,2.8441,2.8715,409575360.0
2020-08-20 14:00:00,2.8715,2.9398,2.85,2.8562,439185790.0
2020-08-20 15:00:00,2.8562,2.8827,2.8133,2.8342,230770040.0
2020-08-20 16:00:00,2.8351,2.8719,2.8,2.8709,302249650.0
2020-08-20 17:00:00,2.8707,3.03,2.8547,3.0117,832567640.0
2020-08-20 18:00:00,3.0072,3.1111,2.9835,3.0546,701312170.0
2020-08-20 19:00:00,3.0502,3.1,2.9901,3.0286,410177890.0
2020-08-20 20:00:00,3.0289,3.029,2.86,2.88,544690310.0
2020-08-20 21:00:00,2.8703,2.9169,2.82,2.8832,719112740.0
2020-08-20 22:00:00,2.8832,2.8925,2.81,2.815,399841090.0
2020-08-20 23:00:00,2.815,3.0,2.78,2.7946,553692610.0
2020-08-21 00:00:00,2.7987,2.8518,2.6,2.7733,1526847730.0
