,Open,High,Low,Close,Volume
2020-09-11 09:00:00,10.0,10.007,9.672,9.719,3181360.0
2020-09-11 10:00:00,10.125,10.125,9.953,9.953,49970.0
2020-09-11 11:00:00,9.953,9.953,9.953,9.953,0.0
2020-09-11 12:00:00,10.0,10.042,9.956,9.956,26940.0
2020-09-11 13:00:00,9.955,10.046,9.88,9.88,728980.0
2020-09-11 14:00:00,10.014,10.103,9.992,10.103,210480.0
2020-09-11 15:00:00,10.128,10.178,9.994,10.008,218290.0
2020-09-11 16:00:00,10.029,10.365,10.028,10.365,67140.0
2020-09-11 17:00:00,10.575,11.34,10.575,10.983,3805590.0
2020-09-11 18:00:00,10.932,10.932,10.722,10.783,790720.0
2020-09-11 19:00:00,10.34,10.455,10.278,10.455,19940.0
2020-09-11 20:00:00,10.392,10.472,10.323,10.472,1182660.0
2020-09-11 21:00:00,10.478,10.572,10.311,10.572,767270.0
2020-09-11 22:00:00,10.584,10.584,10.47,10.47,1852190.0
2020-09-11 23:00:00,10.55,10.55,10.5,10.535,1118600.0
2020-09-12 00:00:00,10.535,11.073,10.535,11.073,2097680.0
2020-09-12 01:00:00,10.853,10.901,10.827,10.827,62830.0
2020-09-12 02:00:00,11.023,11.023,10.641,10.691,800220.0
2020-09-12 03:00:00,10.798,10.874,10.798,10.826,157740.0
2020-09-12 04:00:00,10.838,10.838,10.47,10.534,74490.0
2020-09-12 05:00:00,10.485,10.563,10.344,10.516,239900.0
2020-09-12 06:00:00,10.375,10.514,10.373,10.514,49670.0
2020-09-12 07:00:00,10.61,10.613,10.393,10.463,237960.0
2020-09-12 08:00:00,10.462,10.58,10.46,10.505,336290.0
2020-09-12 09:00:00,10.601,10.747,10.596,10.596,594230.0
2020-09-12 10:00:00,10.498,10.56,10.446,10.491,164950.0
2020-09-12 11:00:00,10.636,10.988,10.636,10.93,911910.0
2020-09-12 12:00:00,10.942,11.396,10.942,11.125,27465290.0
2020-09-12 13:00:00,11.042,11.364,11.001,11.301,723270.0
2020-09-12 14:00:00,11.32,11.32,10.91,11.1,859350.0
2020-09-12 15:00:00,10.959,11.111,10.786,10.858,3738750.0
2020-09-12 16:00:00,11.054,11.485,11.054,11.485,502280.0
2020-09-12 17:00:00,11.566,11.744,11.393,11.462,1227460.0
2020-09-12 18:00:00,11.5,12.48,11.393,12.376,2939790.0
2020-09-12 19:00:00,12.373,13.79,12.086,13.347,10342950.0
2020-09-12 20:00:00,13.379,13.676,13.035,13.18,6421550.0
2020-09-12 21:00:00,13.237,13.934,13.2,13.78,2405800.0
2020-09-12 22:00:00,13.82,13.842,13.21,13.252,3062550.0
2020-09-12 23:00:00,13.358,13.85,13.18,13.85,2424290.0
2020-09-13 00:00:00,13.882,14.172,13.33,13.33,907920.0
2020-09-13 01:00:00,13.443,13.587,13.021,13.461,3531580.0
2020-09-13 02:00:00,13.525,14.019,13.163,13.981,2002400.0
2020-09-13 03:00:00,13.866,13.983,13.5,13.772,2280700.0
2020-09-13 04:00:00,13.779,13.931,13.514,13.8,1578820.0
2020-09-13 05:00:00,13.8,14.759,13.563,14.59,2191500.0
2020-09-13 06:00:00,14.621,14.655,14.021,14.111,4716790.0
2020-09-13 07:00:00,14.203,14.516,14.05,14.383,369390.0
2020-09-13 08:00:00,14.382,15.342,14.382,15.088,3679800.0
2020-09-13 09:00:00,15.088,15.118,14.445,14.584,1977610.0
2020-09-13 10:00:00,14.725,14.87,13.866,14.104,3373620.0
2020-09-13 11:00:00,14.257,14.258,13.23,13.4,5538240.0
2020-09-13 12:00:00,13.399,13.751,12.641,13.237,4334020.0
2020-09-13 13:00:00,13.532,13.532,12.309,12.682,6287950.0
2020-09-13 14:00:00,12.516,12.943,12.095,12.364,12271880.0
2020-09-13 15:00:00,12.364,12.996,12.295,12.893,4048050.0
2020-09-13 16:00:00,12.8,13.329,12.52,13.234,5054560.0
2020-09-13 17:00:00,13.107,13.342,12.609,12.884,1655960.0
2020-09-13 18:00:00,12.67,12.811,11.346,11.619,23628270.0
2020-09-13 19:00:00,11.508,11.798,10.989,11.798,4174260.0
2020-09-13 20:00:00,11.763,11.763,11.368,11.502,895680.0
2020-09-13 21:00:00,11.433,12.486,11.433,12.211,7806450.0
2020-09-13 22:00:00,12.123,12.287,11.887,11.968,406360.0
2020-09-13 23:00:00,12.087,12.298,11.619,12.131,1322730.0
2020-09-14 00:00:00,12.387,12.979,12.387,12.955,493450.0
2020-09-14 01:00:00,12.835,14.112,12.641,13.955,7626720.0
2020-09-14 02:00:00,13.803,13.803,12.678,12.901,3796650.0
2020-09-14 03:00:00,12.985,13.936,12.985,13.798,13933330.0
2020-09-14 04:00:00,13.798,14.212,13.473,14.062,3569060.0
2020-09-14 05:00:00,14.104,14.212,13.587,13.639,2841400.0
2020-09-14 06:00:00,13.374,13.376,13.01,13.043,1355210.0
2020-09-14 07:00:00,13.222,13.222,12.639,12.923,990510.0
2020-09-14 08:00:00,12.954,13.139,12.624,12.812,1497730.0
2020-09-14 09:00:00,12.706,13.675,12.706,13.675,325470.0
2020-09-14 10:00:00,13.639,13.669,13.045,13.045,1589340.0
2020-09-14 11:00:00,12.955,13.1,12.911,13.053,222690.0
2020-09-14 12:00:00,13.115,13.366,12.869,13.054,758760.0
2020-09-14 13:00:00,13.11,13.865,13.11,13.7,699310.0
2020-09-14 14:00:00,13.501,13.936,13.469,13.936,2458750.0
2020-09-14 15:00:00,14.0,14.55,13.7,14.28,4644420.0
2020-09-14 16:00:00,14.203,15.0,14.161,14.364,4133020.0000000005
2020-09-14 17:00:00,14.454,15.374,14.316,15.014,14458790.0
2020-09-14 18:00:00,15.05,15.266,14.35,14.668,5430760.0
2020-09-14 19:00:00,14.769,14.769,14.281,14.332,2001070.0
2020-09-14 20:00:00,14.332,14.332,13.757,14.295,4196350.0
2020-09-14 21:00:00,14.459,14.676,14.325,14.676,1683320.0
2020-09-14 22:00:00,14.537,14.552,14.061,14.3,2911270.0
2020-09-14 23:00:00,14.494,14.566,14.25,14.469,4371990.0
2020-09-15 00:00:00,14.5,14.782,14.037,14.037,2549710.0
2020-09-15 01:00:00,14.289,14.29,13.909,13.978,787690.0
2020-09-15 02:00:00,14.389,14.553,14.185,14.205,1651420.0
2020-09-15 03:00:00,14.277,14.278,13.844,13.901,3457580.0
2020-09-15 04:00:00,13.844,14.276,13.388,14.005,4868110.0
2020-09-15 05:00:00,13.909,13.909,13.405,13.579,1527950.0
2020-09-15 06:00:00,13.435,13.638,13.361,13.361,1615680.0
2020-09-15 07:00:00,13.623,13.624,13.321,13.321,399100.0
2020-09-15 08:00:00,13.322,13.52,13.053,13.52,275830.0
2020-09-15 09:00:00,13.58,13.872,13.534,13.702,1484590.0
2020-09-15 10:00:00,13.791,13.791,13.107,13.35,2808660.0
2020-09-15 11:00:00,13.25,13.793,13.25,13.793,323360.0
2020-09-15 12:00:00,13.784,14.6,13.642,14.495,3866080.0
2020-09-15 13:00:00,14.525,14.571,13.963,14.14,2677850.0
2020-09-15 14:00:00,14.174,14.402,14.12,14.12,414390.0
2020-09-15 15:00:00,14.093,14.291,13.781,13.781,1823240.0
2020-09-15 16:00:00,13.721,13.771,13.3,13.3,981990.0
2020-09-15 17:00:00,13.531,13.746,13.326,13.58,1249480.0
2020-09-15 18:00:00,13.569,13.57,13.302,13.498,3731340.0
2020-09-15 19:00:00,13.515,13.727,13.46,13.727,484350.0
2020-09-15 20:00:00,13.732,13.732,13.266,13.379,140900.0
2020-09-15 21:00:00,13.335,13.362,12.852,12.918,355940.0
