,Open,High,Low,Close,Volume
2019-07-22 12:00:00,0.612,0.667,0.3512,0.3522,3994231570.0
2019-07-22 13:00:00,0.3522,0.3534,0.3002,0.3215,3718159720.0
2019-07-22 14:00:00,0.3234,0.3259,0.304,0.3122,1879486140.0
2019-07-22 15:00:00,0.3136,0.325,0.3102,0.3129,1085412430.0
2019-07-22 16:00:00,0.3123,0.3174,0.2668,0.2752,1220254160.0
2019-07-22 17:00:00,0.2772,0.3023,0.2744,0.3007,983965660.0
2019-07-22 18:00:00,0.3001,0.3099,0.2908,0.2943,876668880.0
2019-07-22 19:00:00,0.2934,0.303,0.2861,0.2933,494038170.0
2019-07-22 20:00:00,0.2933,0.2987,0.29,0.291,195031650.0
2019-07-22 21:00:00,0.2917,0.292,0.2812,0.2832,311018520.0
2019-07-22 22:00:00,0.2851,0.2961,0.2814,0.2945,239584150.0
2019-07-22 23:00:00,0.2945,0.2985,0.2888,0.2947,180821380.0
2019-07-23 00:00:00,0.294,0.3076,0.2911,0.2957,293884100.0
2019-07-23 01:00:00,0.2968,0.3012,0.2856,0.2962,258630960.0
2019-07-23 02:00:00,0.2962,0.2964,0.2849,0.2929,154521010.0
2019-07-23 03:00:00,0.2911,0.2911,0.2856,0.2882,40625050.0
2019-07-23 04:00:00,0.2879,0.298,0.2857,0.2948,153087650.0
2019-07-23 05:00:00,0.2948,0.3017,0.2938,0.299,173529550.0
2019-07-23 06:00:00,0.2997,0.3047,0.2887,0.289,267758099.99999997
2019-07-23 07:00:00,0.289,0.2999,0.287,0.2891,99193980.0
2019-07-23 08:00:00,0.2899,0.2909,0.275,0.2802,287488100.0
2019-07-23 09:00:00,0.2809,0.2843,0.278,0.2781,106829120.0
2019-07-23 10:00:00,0.2781,0.2824,0.2705,0.2797,338742870.0
2019-07-23 11:00:00,0.2787,0.2815,0.27,0.2728,258676950.0
2019-07-23 12:00:00,0.2724,0.2781,0.2704,0.2736,133396410.0
2019-07-23 13:00:00,0.2736,0.2749,0.2575,0.2588,925685140.0
2019-07-23 14:00:00,0.2595,0.2634,0.2513,0.2528,505009810.0
2019-07-23 15:00:00,0.2524,0.2543,0.2382,0.242,678880300.0
2019-07-23 16:00:00,0.2421,0.2524,0.2322,0.2405,523263000.0
2019-07-23 17:00:00,0.2388,0.2388,0.2206,0.2213,537733460.0
2019-07-23 18:00:00,0.2207,0.2298,0.216,0.2237,467674680.0
2019-07-23 19:00:00,0.2228,0.234,0.2228,0.2271,269736360.0
2019-07-23 20:00:00,0.2278,0.235,0.2272,0.2309,252668230.0
2019-07-23 21:00:00,0.2311,0.2319,0.2232,0.2296,189250420.0
2019-07-23 22:00:00,0.2298,0.239,0.2271,0.2313,182729360.0
2019-07-23 23:00:00,0.2318,0.235,0.2306,0.2323,81425260.0
2019-07-24 00:00:00,0.2323,0.2405,0.2292,0.2292,149772220.0
2019-07-24 01:00:00,0.2292,0.2292,0.21,0.2114,301417040.0
2019-07-24 02:00:00,0.214,0.215,0.2011,0.2092,341427200.0
