,Open,High,Low,Close,Volume
2021-11-10 08:00:00,43.66,120.0,43.66,57.66,912540240.0
2021-11-10 09:00:00,57.69,65.45,54.3,62.75,357641870.0
2021-11-10 10:00:00,62.74,66.66,60.22,60.33,222900560.0
2021-11-10 11:00:00,60.35,65.0,57.0,58.57,187097840.0
2021-11-10 12:00:00,58.57,59.5,55.11,57.2,149149900.0
2021-11-10 13:00:00,57.2,59.5,55.0,57.75,148206390.0
2021-11-10 14:00:00,57.76,62.29,55.73,56.39,192440520.0
2021-11-10 15:00:00,56.32,62.42,56.27,62.36,179822010.0
2021-11-10 16:00:00,62.42,82.0,59.21,76.81,1017612150.0
2021-11-10 17:00:00,76.86,81.95,70.0,80.0,728910810.0
2021-11-10 18:00:00,80.03,85.63,75.51,75.67,607835920.0
2021-11-10 19:00:00,75.64,80.1,71.02,72.95,281231950.0
2021-11-10 20:00:00,72.95,75.99,67.83,69.9,223823500.0
2021-11-10 21:00:00,69.9,72.75,67.54,68.84,192530810.0
2021-11-10 22:00:00,68.81,72.3,60.0,69.73,323406210.0
2021-11-10 23:00:00,69.88,71.8,66.26,66.83,159066830.0
2021-11-11 00:00:00,66.82,77.0,66.68,73.82,256340100.0
2021-11-11 01:00:00,73.87,81.5,71.55,76.96,283524430.0
2021-11-11 02:00:00,76.99,86.76,76.31,83.04,331654390.0
2021-11-11 03:00:00,83.1,86.11,73.13,73.8,363969220.0
2021-11-11 04:00:00,73.89,75.54,70.9,72.74,178457020.0
2021-11-11 05:00:00,72.75,78.69,71.65,75.32,150484850.0
2021-11-11 06:00:00,75.27,77.2,72.0,74.26,99157820.0
2021-11-11 07:00:00,74.23,74.25,66.57,67.93,240323790.0
2021-11-11 08:00:00,67.93,69.87,63.81,69.08,186957060.0
2021-11-11 09:00:00,69.1,70.2,65.5,70.12,103880670.0
2021-11-11 10:00:00,70.08,73.3,68.09,70.26,128275590.0
2021-11-11 11:00:00,70.27,72.64,67.5,67.55,83304330.0
2021-11-11 12:00:00,67.58,70.82,67.15,69.15,75551340.0
2021-11-11 13:00:00,69.15,72.38,68.0,68.27,106172090.0
2021-11-11 14:00:00,68.3,69.07,65.0,67.05,103201840.0
2021-11-11 15:00:00,67.02,67.24,62.0,62.89,203120280.0
2021-11-11 16:00:00,62.89,65.0,60.91,61.6,131518540.00000001
2021-11-11 17:00:00,61.6,63.0,57.47,62.05,295604360.0
2021-11-11 18:00:00,62.05,65.3,60.2,60.3,170425270.0
2021-11-11 19:00:00,60.31,62.15,57.79,58.5,167466040.0
2021-11-11 20:00:00,58.46,59.29,56.0,58.05,149771900.0
2021-11-11 21:00:00,58.05,60.48,56.92,60.32,130050040.0
