,Open,High,Low,Close,Volume
2021-06-22 08:00:00,7.991,9.8,7.991,8.478,748927800.0
2021-06-22 09:00:00,8.485,8.486,7.31,7.373,254388000.0
2021-06-22 10:00:00,7.374,7.465,6.069,6.3,225323100.0
2021-06-22 11:00:00,6.299,6.552,5.851,6.097,114016900.0
2021-06-22 12:00:00,6.097,7.1,5.929,6.783,155375500.0
2021-06-22 13:00:00,6.77,7.143,6.199,6.664,104893400.0
2021-06-22 14:00:00,6.663,6.663,5.544,6.0,152109700.0
2021-06-22 15:00:00,5.959,6.092,5.5,5.783,65367800.0
2021-06-22 16:00:00,5.783,6.61,5.682,6.344,48752500.0
2021-06-22 17:00:00,6.3,6.59,6.084,6.233,69857900.0
2021-06-22 18:00:00,6.231,6.732,6.18,6.501,73773800.0
2021-06-22 19:00:00,6.5,6.967,6.301,6.612,25100500.0
2021-06-22 20:00:00,6.612,6.9,6.537,6.737,20729400.0
2021-06-22 21:00:00,6.712,7.55,6.712,7.078,73634500.0
2021-06-22 22:00:00,7.078,7.35,7.078,7.332,13468700.0
2021-06-22 23:00:00,7.288,7.333,6.85,6.85,21277300.0
2021-06-23 00:00:00,6.9,6.95,6.476,6.675,36566400.0
2021-06-23 01:00:00,6.68,6.964,6.333,6.351,15860300.0
2021-06-23 02:00:00,6.4,6.896,6.2,6.602,21915700.0
2021-06-23 03:00:00,6.639,6.959,6.614,6.683,28641100.0
2021-06-23 04:00:00,6.717,7.19,6.671,7.066,21118500.0
2021-06-23 05:00:00,7.067,7.35,6.866,7.036,11600700.0
2021-06-23 06:00:00,7.035,7.13,6.897,7.042,8907900.0
2021-06-23 07:00:00,7.05,7.296,6.787,6.999,21950300.0
2021-06-23 08:00:00,6.999,7.337,6.951,7.147,16267800.0
2021-06-23 09:00:00,7.148,7.2,7.014,7.09,8319500.0
2021-06-23 10:00:00,7.09,7.878,7.09,7.785,42092800.0
2021-06-23 11:00:00,7.753,7.9,7.487,7.7,35684800.0
2021-06-23 12:00:00,7.701,7.721,7.4,7.402,17936400.0
2021-06-23 13:00:00,7.402,7.674,7.2,7.273,21432900.0
2021-06-23 14:00:00,7.273,7.8,7.25,7.651,29427400.0
2021-06-23 15:00:00,7.724,7.789,7.35,7.38,15472200.0
2021-06-23 16:00:00,7.354,7.489,7.252,7.387,17477500.0
2021-06-23 17:00:00,7.378,7.386,6.921,6.921,36986000.0
2021-06-23 18:00:00,6.931,7.087,6.931,7.024,13785000.0
2021-06-23 19:00:00,7.002,7.002,6.72,6.818,9611300.0
2021-06-23 20:00:00,6.818,6.995,6.618,6.785,14149400.0
2021-06-23 21:00:00,6.785,7.001,6.736,6.736,9955700.0
2021-06-23 22:00:00,6.736,6.88,6.655,6.771,6820800.0
2021-06-23 23:00:00,6.827,6.886,6.67,6.813,10530000.0
2021-06-24 00:00:00,6.813,7.22,6.778,6.989,10733700.0
2021-06-24 01:00:00,7.041,7.185,6.99,6.999,6521800.0
2021-06-24 02:00:00,6.999,7.101,6.977,6.997,7354500.0
2021-06-24 03:00:00,6.996,6.996,6.52,6.52,19480200.0
2021-06-24 04:00:00,6.521,6.638,6.34,6.4,13027500.0
2021-06-24 05:00:00,6.4,6.704,6.399,6.5,9898300.0
2021-06-24 06:00:00,6.5,6.503,6.41,6.503,4208100.0
2021-06-24 07:00:00,6.462,6.701,6.462,6.632,1808800.0
2021-06-24 08:00:00,6.601,6.911,6.539,6.659,7518700.0
2021-06-24 09:00:00,6.659,6.729,6.65,6.65,4640100.0
2021-06-24 10:00:00,6.65,6.9,6.55,6.731,5055400.0
2021-06-24 11:00:00,6.731,6.999,6.629,6.803,4884100.0
2021-06-24 12:00:00,6.85,6.938,6.722,6.722,4263800.0
2021-06-24 13:00:00,6.722,6.869,6.671,6.734,6685500.0
2021-06-24 14:00:00,6.769,7.0,6.683,6.787,18323500.0
2021-06-24 15:00:00,6.786,7.099,6.76,6.919,8882900.0
2021-06-24 16:00:00,6.92,6.96,6.789,6.807,6399500.0
2021-06-24 17:00:00,6.835,7.1,6.8,7.026,16846200.0
2021-06-24 18:00:00,7.022,7.059,6.897,7.059,9305800.0
2021-06-24 19:00:00,7.059,7.128,7.008,7.127,6523600.0
2021-06-24 20:00:00,7.128,7.144,7.035,7.061,4195600.0
2021-06-24 21:00:00,7.099,7.1,6.917,6.917,7594900.0
2021-06-24 22:00:00,6.917,7.02,6.9,6.973,4185600.0000000005
2021-06-24 23:00:00,6.975,6.975,6.808,6.895,5526400.0
2021-06-25 00:00:00,6.895,6.897,6.83,6.87,2132900.0
2021-06-25 01:00:00,6.878,6.969,6.737,6.765,6370000.0
2021-06-25 02:00:00,6.765,6.872,6.74,6.789,7976700.0
2021-06-25 03:00:00,6.816,6.828,6.569,6.569,13044300.0
2021-06-25 04:00:00,6.616,6.84,6.616,6.779,7195000.0
2021-06-25 05:00:00,6.749,6.83,6.531,6.629,8411400.0
2021-06-25 06:00:00,6.598,6.629,6.561,6.595,4369300.0
2021-06-25 07:00:00,6.595,6.635,6.542,6.542,6018800.0
2021-06-25 08:00:00,6.571,6.605,6.474,6.533,4697300.0
2021-06-25 09:00:00,6.532,6.532,6.37,6.407,10238200.0
2021-06-25 10:00:00,6.41,6.53,6.331,6.45,5994500.0
2021-06-25 11:00:00,6.485,6.53,6.268,6.316,9305700.0
2021-06-25 12:00:00,6.316,6.345,6.052,6.083,11602100.0
2021-06-25 13:00:00,6.121,6.283,5.851,5.928,39720600.0
2021-06-25 14:00:00,5.931,6.025,5.785,5.851,18153100.0
2021-06-25 15:00:00,5.861,6.005,5.86,5.968,14667900.0
2021-06-25 16:00:00,5.968,6.127,5.932,6.034,20297400.0
