,Open,High,Low,Close,Volume
2020-07-13 10:00:00,10.0,10.03,9.97,9.97,1329500.0
2020-07-13 11:00:00,10.02,10.07,10.02,10.04,275720.0
2020-07-13 12:00:00,10.02,10.03,9.99,9.99,127350.0
2020-07-13 13:00:00,9.99,10.0,9.85,9.85,708840.0
2020-07-13 14:00:00,9.94,10.0,9.89,9.89,231000.0
2020-07-13 15:00:00,9.94,9.94,9.88,9.88,120000.0
2020-07-13 16:00:00,9.97,10.0,9.94,10.0,424750.0
2020-07-13 17:00:00,9.96,10.14,9.96,10.14,2085630.0
2020-07-13 18:00:00,10.05,10.07,10.04,10.05,174450.0
2020-07-13 19:00:00,10.02,10.06,10.02,10.06,358520.0
2020-07-13 20:00:00,10.1,10.32,10.1,10.28,62620.0
2020-07-13 21:00:00,10.37,10.63,10.37,10.54,2158760.0
2020-07-13 22:00:00,10.59,10.59,10.44,10.44,330830.0
2020-07-13 23:00:00,10.44,10.46,10.38,10.38,233940.0
2020-07-14 00:00:00,10.46,10.46,10.46,10.46,287950.0
2020-07-14 01:00:00,10.41,10.49,10.4,10.4,115990.0
2020-07-14 02:00:00,10.45,10.5,10.44,10.49,853800.0
2020-07-14 03:00:00,10.54,10.54,10.37,10.37,1171000.0
2020-07-14 04:00:00,10.36,10.45,10.36,10.45,197480.0
2020-07-14 05:00:00,10.45,10.51,10.45,10.51,192850.0
2020-07-14 06:00:00,10.51,10.67,10.51,10.57,2537690.0
2020-07-14 07:00:00,10.61,10.65,10.58,10.59,647640.0
2020-07-14 08:00:00,10.58,10.58,10.53,10.54,152990.0
2020-07-14 09:00:00,10.54,10.54,10.49,10.53,193150.0
2020-07-14 10:00:00,10.53,10.56,10.49,10.51,625940.0
2020-07-14 11:00:00,10.54,10.54,10.46,10.48,231040.0
2020-07-14 12:00:00,10.52,10.58,10.51,10.53,365900.0
2020-07-14 13:00:00,10.5,10.58,10.32,10.36,372870.0
2020-07-14 14:00:00,10.3,10.44,10.26,10.43,2042880.0
2020-07-14 15:00:00,10.43,10.51,10.38,10.51,977220.0
2020-07-14 16:00:00,10.48,10.52,10.4,10.4,822480.0
2020-07-14 17:00:00,10.41,10.41,10.3,10.3,765380.0
2020-07-14 18:00:00,10.43,10.43,10.43,10.43,2100.0
2020-07-14 19:00:00,10.39,10.39,10.23,10.23,232180.0
2020-07-14 20:00:00,10.32,10.32,10.22,10.22,259600.00000000003
2020-07-14 21:00:00,10.32,10.32,10.25,10.25,21530.0
2020-07-14 22:00:00,10.24,10.25,10.15,10.21,678380.0
2020-07-14 23:00:00,10.32,10.35,10.32,10.35,38110.0
2020-07-15 00:00:00,10.3,10.3,10.29,10.29,235680.0
2020-07-15 01:00:00,10.26,10.26,10.26,10.26,3740.0
2020-07-15 02:00:00,10.28,10.28,10.28,10.28,7130.0
2020-07-15 03:00:00,10.28,10.35,10.28,10.35,62170.0
2020-07-15 04:00:00,10.29,10.37,10.29,10.37,125290.0
2020-07-15 05:00:00,10.39,10.43,10.39,10.41,81300.0
2020-07-15 06:00:00,10.48,10.49,10.44,10.44,38220.0
2020-07-15 07:00:00,10.41,10.41,10.41,10.41,1010.0
2020-07-15 08:00:00,10.44,10.44,10.39,10.39,107840.0
2020-07-15 09:00:00,10.44,10.44,10.44,10.44,214610.0
2020-07-15 10:00:00,10.45,10.45,10.4,10.44,185180.0
2020-07-15 11:00:00,10.39,10.54,10.39,10.46,809980.0
2020-07-15 12:00:00,10.46,10.46,10.37,10.37,178290.0
2020-07-15 13:00:00,10.41,10.42,10.41,10.42,34080.0
2020-07-15 14:00:00,10.42,10.42,10.42,10.42,0.0
2020-07-15 15:00:00,10.42,10.45,10.4,10.44,60890.0
2020-07-15 16:00:00,10.44,10.44,10.4,10.4,54360.0
2020-07-15 17:00:00,10.45,10.57,10.44,10.56,198640.0
2020-07-15 18:00:00,10.57,10.67,10.5,10.66,2192240.0
2020-07-15 19:00:00,10.58,10.64,10.54,10.64,116640.0
2020-07-15 20:00:00,10.57,10.66,10.54,10.66,475500.0
2020-07-15 21:00:00,10.67,10.71,10.63,10.66,336450.0
2020-07-15 22:00:00,10.64,10.64,10.53,10.56,105820.0
2020-07-15 23:00:00,10.59,10.59,10.51,10.51,2762760.0
2020-07-16 00:00:00,10.48,10.52,10.46,10.52,186470.0
2020-07-16 01:00:00,10.55,10.55,10.5,10.51,732630.0
2020-07-16 02:00:00,10.53,10.61,10.47,10.47,6364290.0
2020-07-16 03:00:00,10.52,10.52,10.44,10.48,15190.0
2020-07-16 04:00:00,10.44,10.55,10.44,10.55,1069720.0
2020-07-16 05:00:00,10.52,10.56,10.49,10.56,1759770.0
2020-07-16 06:00:00,10.55,10.56,10.48,10.56,38440.0
2020-07-16 07:00:00,10.59,10.63,10.55,10.55,184980.0
2020-07-16 08:00:00,10.53,11.09,10.53,10.96,1135430.0
2020-07-16 09:00:00,10.94,11.49,10.94,11.21,12499420.0
2020-07-16 10:00:00,11.3,11.3,11.19,11.21,3429940.0
2020-07-16 11:00:00,11.34,11.4,11.3,11.37,256450.0
2020-07-16 12:00:00,11.43,11.49,11.33,11.33,966820.0
2020-07-16 13:00:00,11.33,11.33,11.24,11.24,69030.0
2020-07-16 14:00:00,11.35,11.35,11.27,11.3,358770.0
2020-07-16 15:00:00,11.27,11.27,11.21,11.23,3102000.0
2020-07-16 16:00:00,11.22,11.26,11.19,11.23,643330.0
2020-07-16 17:00:00,11.13,11.19,11.12,11.15,1040319.9999999999
2020-07-16 18:00:00,11.19,11.2,11.07,11.2,248690.0
2020-07-16 19:00:00,11.16,11.16,11.16,11.16,8920.0
2020-07-16 20:00:00,11.16,11.16,11.06,11.06,27830.0
2020-07-16 21:00:00,11.18,11.26,11.17,11.26,966340.0
2020-07-16 22:00:00,11.2,11.27,11.2,11.27,4250.0
2020-07-16 23:00:00,11.23,11.23,11.1,11.15,118280.0
2020-07-17 00:00:00,11.12,11.12,11.11,11.11,2539240.0
2020-07-17 01:00:00,11.11,11.11,11.11,11.11,0.0
2020-07-17 02:00:00,11.09,11.15,11.09,11.14,70990.0
2020-07-17 03:00:00,11.1,11.1,11.01,11.08,461010.0
2020-07-17 04:00:00,11.08,11.08,11.08,11.08,125160.0
2020-07-17 05:00:00,11.13,11.18,11.12,11.18,1528590.0
2020-07-17 06:00:00,11.2,11.2,11.2,11.2,2290.0
2020-07-17 07:00:00,11.25,11.32,11.16,11.19,510720.0
2020-07-17 08:00:00,11.05,11.15,11.05,11.13,3462280.0
2020-07-17 09:00:00,11.13,11.19,11.07,11.19,2220950.0
2020-07-17 10:00:00,11.11,11.18,11.11,11.18,118240.0
2020-07-17 11:00:00,11.14,11.18,11.14,11.18,16880.0
2020-07-17 12:00:00,11.1,11.1,11.1,11.1,5000.0
2020-07-17 13:00:00,11.16,11.27,11.16,11.17,154770.0
2020-07-17 14:00:00,11.07,11.12,10.97,11.04,1556080.0
2020-07-17 15:00:00,11.03,11.18,11.03,11.14,478770.0
2020-07-17 16:00:00,11.17,11.18,11.17,11.17,20790.0
2020-07-17 17:00:00,11.13,11.19,11.09,11.17,211920.0
2020-07-17 18:00:00,11.17,11.17,11.17,11.17,2320.0
2020-07-17 19:00:00,11.19,11.24,11.19,11.22,238360.0
2020-07-17 20:00:00,11.1,11.1,11.1,11.1,31240.0
2020-07-17 21:00:00,11.1,11.1,11.1,11.1,0.0
2020-07-17 22:00:00,11.14,11.14,11.14,11.14,20000.0
2020-07-17 23:00:00,11.14,11.14,11.14,11.14,0.0
2020-07-18 01:00:00,11.15,11.15,11.15,11.15,200310.0
2020-07-18 02:00:00,11.25,11.25,11.18,11.18,55250.0
2020-07-18 03:00:00,11.22,11.22,11.19,11.19,275850.0
2020-07-18 04:00:00,11.24,11.24,11.18,11.19,53580.0
2020-07-18 05:00:00,11.19,11.19,11.19,11.19,0.0
2020-07-18 06:00:00,11.17,11.17,11.17,11.17,8950.0
2020-07-18 07:00:00,11.17,11.17,11.17,11.17,0.0
2020-07-18 09:00:00,11.18,11.18,11.11,11.11,236440.0
2020-07-18 10:00:00,11.16,11.18,11.05,11.05,536880.0
2020-07-18 11:00:00,11.05,11.05,10.92,10.99,529950.0
2020-07-18 12:00:00,10.95,10.95,10.95,10.95,2000.0
2020-07-18 13:00:00,10.95,10.95,10.9,10.92,83300.0
2020-07-18 14:00:00,10.94,10.98,10.92,10.98,191760.0
2020-07-18 15:00:00,10.94,10.94,10.93,10.93,2510.0
2020-07-18 16:00:00,10.93,10.93,10.93,10.93,0.0
2020-07-18 18:00:00,10.98,11.01,10.98,11.01,30110.0
2020-07-18 19:00:00,10.97,10.97,10.97,10.97,1000.0
2020-07-18 20:00:00,10.93,10.93,10.81,10.87,985470.0
2020-07-18 21:00:00,10.86,10.91,10.75,10.91,450180.0
2020-07-18 22:00:00,10.77,10.8,10.77,10.8,592770.0
2020-07-18 23:00:00,10.8,10.8,10.8,10.8,0.0
2020-07-19 01:00:00,10.88,10.89,10.86,10.89,75770.0
2020-07-19 02:00:00,10.85,10.85,10.84,10.84,47710.0
2020-07-19 03:00:00,10.84,10.84,10.84,10.84,0.0
2020-07-19 04:00:00,10.9,10.9,10.9,10.9,251730.0
2020-07-19 05:00:00,10.9,10.9,10.9,10.9,0.0
2020-07-19 06:00:00,10.93,10.93,10.93,10.93,1500.0
2020-07-19 07:00:00,10.9,11.0,10.9,11.0,130289.99999999999
2020-07-19 08:00:00,11.06,11.13,10.97,10.97,474180.0
2020-07-19 09:00:00,10.97,10.97,10.97,10.97,0.0
2020-07-19 10:00:00,11.03,11.03,10.97,10.97,117660.0
2020-07-19 12:00:00,11.05,11.05,11.04,11.04,49970.0
2020-07-19 13:00:00,11.13,11.13,11.09,11.09,38760.0
2020-07-19 14:00:00,11.11,11.11,11.1,11.1,337280.0
2020-07-19 15:00:00,11.08,11.08,11.08,11.08,26360.0
2020-07-19 16:00:00,11.08,11.08,11.08,11.08,0.0
2020-07-19 17:00:00,11.05,11.05,11.02,11.02,426830.0
2020-07-19 18:00:00,11.01,11.01,10.95,10.95,9610.0
2020-07-19 19:00:00,11.03,11.03,10.98,10.98,26050.0
2020-07-19 20:00:00,10.96,10.96,10.91,10.92,203070.0
2020-07-19 21:00:00,10.91,10.94,10.91,10.94,1870.0
2020-07-19 22:00:00,10.94,10.94,10.94,10.94,0.0
2020-07-19 23:00:00,10.84,10.84,10.84,10.84,131720.0
2020-07-20 00:00:00,10.86,10.86,10.58,10.58,1070230.0
2020-07-20 01:00:00,10.57,10.57,10.38,10.49,1460220.0
2020-07-20 02:00:00,10.47,10.48,10.4,10.48,262430.0
2020-07-20 03:00:00,10.48,10.55,10.46,10.55,327110.0
2020-07-20 04:00:00,10.52,10.61,10.52,10.53,64080.0
2020-07-20 05:00:00,10.51,10.51,10.48,10.48,494650.0
2020-07-20 06:00:00,10.5,10.54,10.5,10.54,70720.0
2020-07-20 07:00:00,10.51,10.52,10.48,10.48,537710.0
2020-07-20 08:00:00,10.51,10.56,10.51,10.51,305750.0
2020-07-20 09:00:00,10.55,10.56,10.52,10.53,1117560.0
2020-07-20 10:00:00,10.51,10.52,10.5,10.5,70560.0
