,Open,High,Low,Close,Volume
2020-07-13 10:00:00,10.0,10.17,10.0,10.08,3579110.0
2020-07-13 11:00:00,10.11,10.11,9.96,10.05,303360.0
2020-07-13 12:00:00,10.04,10.1,10.0,10.08,9131550.0
2020-07-13 13:00:00,10.11,10.2,10.1,10.2,1899630.0
2020-07-13 14:00:00,10.24,10.24,10.03,10.17,761120.0
2020-07-13 15:00:00,10.12,10.2,10.1,10.14,127170.0
2020-07-13 16:00:00,10.14,10.14,10.05,10.05,416480.0
2020-07-13 17:00:00,10.08,10.08,9.89,9.98,8100000.0
2020-07-13 18:00:00,10.0,10.02,9.99,10.01,793170.0
2020-07-13 19:00:00,10.05,10.06,10.01,10.01,227090.0
2020-07-13 20:00:00,10.0,10.0,9.73,9.83,1200340.0
2020-07-13 21:00:00,9.82,9.82,9.44,9.52,2008440.0
2020-07-13 22:00:00,9.48,9.63,9.48,9.6,545060.0
2020-07-13 23:00:00,9.64,9.67,9.63,9.67,353650.0
2020-07-14 00:00:00,9.64,9.64,9.6,9.63,364870.0
2020-07-14 01:00:00,9.66,9.68,9.55,9.68,1021160.0
2020-07-14 02:00:00,9.6,9.6,9.57,9.57,343200.0
2020-07-14 03:00:00,9.57,9.72,9.55,9.7,129039.99999999999
2020-07-14 04:00:00,9.65,9.69,9.61,9.64,129880.0
2020-07-14 05:00:00,9.62,9.63,9.58,9.58,215630.0
2020-07-14 06:00:00,9.57,9.57,9.38,9.46,361220.0
2020-07-14 07:00:00,9.45,9.5,9.44,9.44,1050440.0
2020-07-14 08:00:00,9.47,9.54,9.47,9.52,366490.0
2020-07-14 09:00:00,9.52,9.52,9.52,9.52,0.0
2020-07-14 10:00:00,9.52,9.58,9.5,9.52,648370.0
2020-07-14 11:00:00,9.59,9.59,9.55,9.58,43630.0
2020-07-14 12:00:00,9.5,9.51,9.5,9.51,76270.0
2020-07-14 13:00:00,9.56,9.75,9.55,9.69,1199810.0
2020-07-14 14:00:00,9.75,9.8,9.62,9.65,611080.0
2020-07-14 15:00:00,9.63,9.68,9.6,9.6,288210.0
2020-07-14 16:00:00,9.61,9.66,9.54,9.62,87510.0
2020-07-14 17:00:00,9.65,9.76,9.65,9.73,338720.0
2020-07-14 18:00:00,9.66,9.73,9.66,9.73,20440.0
2020-07-14 19:00:00,9.69,9.83,9.65,9.82,1223260.0
2020-07-14 20:00:00,9.75,9.83,9.74,9.76,754940.0
2020-07-14 21:00:00,9.79,9.81,9.79,9.81,226660.0
2020-07-14 22:00:00,9.82,9.88,9.82,9.83,732620.0
2020-07-14 23:00:00,9.81,9.81,9.7,9.7,430470.0
