,Open,High,Low,Close,Volume
2021-09-30 14:00:00,5.655,7.129,5.655,6.381,4743050300.0
2021-09-30 15:00:00,6.381,6.415,6.088,6.108,643815600.0
2021-09-30 16:00:00,6.114,6.195,5.978,6.104,518750700.0
2021-09-30 17:00:00,6.1,6.302,6.069,6.17,369738200.0
2021-09-30 18:00:00,6.171,6.172,5.977,6.021,160463400.0
2021-09-30 19:00:00,6.031,6.09,5.983,6.011,120450100.0
2021-09-30 20:00:00,6.007,6.172,5.99,6.145,111135400.0
2021-09-30 21:00:00,6.145,6.193,5.996,6.008,108345800.0
2021-09-30 22:00:00,6.005,6.117,5.987,6.01,90192400.0
2021-09-30 23:00:00,6.009,6.087,5.971,6.05,71813900.0
2021-10-01 00:00:00,6.049,6.124,6.018,6.059,31769900.0
2021-10-01 01:00:00,6.061,6.104,5.985,6.035,87113200.0
2021-10-01 02:00:00,6.028,6.231,6.003,6.122,118030100.0
2021-10-01 03:00:00,6.125,6.125,5.971,6.059,84605700.0
2021-10-01 04:00:00,6.059,6.106,5.781,5.898,105546100.0
2021-10-01 05:00:00,5.898,5.969,5.866,5.955,37682400.0
2021-10-01 06:00:00,5.962,6.0,5.902,5.93,53216500.0
2021-10-01 07:00:00,5.928,6.015,5.874,5.992,56906200.0
2021-10-01 08:00:00,5.992,6.019,5.904,5.966,50988900.0
2021-10-01 09:00:00,5.977,6.089,5.943,6.029,66529800.0
2021-10-01 10:00:00,6.027,6.07,5.88,6.046,78736700.0
2021-10-01 11:00:00,6.057,6.069,5.976,6.013,95061000.0
2021-10-01 12:00:00,6.02,6.189,5.951,6.125,161911500.0
2021-10-01 13:00:00,6.125,6.444,5.964,6.314,309617100.0
2021-10-01 14:00:00,6.317,6.41,5.9,6.259,277724800.0
2021-10-01 15:00:00,6.259,6.79,6.211,6.211,212171000.0
2021-10-01 16:00:00,6.211,6.475,6.167,6.324,75766300.0
2021-10-01 17:00:00,6.325,6.56,6.315,6.458,140849800.0
2021-10-01 18:00:00,6.458,6.79,6.389,6.478,103090600.0
2021-10-01 19:00:00,6.479,6.632,6.38,6.625,184670200.0
2021-10-01 20:00:00,6.616,6.75,6.523,6.73,113747300.0
2021-10-01 21:00:00,6.732,6.735,6.619,6.665,31644600.0
2021-10-01 22:00:00,6.663,6.666,6.408,6.58,66608399.99999999
2021-10-01 23:00:00,6.58,6.65,6.523,6.65,26768400.0
2021-10-02 00:00:00,6.65,6.683,6.427,6.477,37495500.0
2021-10-02 01:00:00,6.473,6.611,6.469,6.611,60921400.0
2021-10-02 02:00:00,6.606,6.611,6.33,6.5,47063900.0
2021-10-02 03:00:00,6.5,6.637,6.483,6.497,29296100.0
2021-10-02 04:00:00,6.498,6.627,6.477,6.532,42994800.0
2021-10-02 05:00:00,6.532,6.534,6.402,6.44,44554500.0
2021-10-02 06:00:00,6.439,6.491,6.389,6.491,30174500.0
2021-10-02 07:00:00,6.494,6.558,6.47,6.484,24426100.0
2021-10-02 08:00:00,6.484,6.558,6.47,6.558,23102400.0
2021-10-02 09:00:00,6.557,6.579,6.512,6.536,25719800.0
2021-10-02 10:00:00,6.524,6.545,6.433,6.481,24128400.0
2021-10-02 11:00:00,6.487,6.561,6.487,6.511,14898300.0
2021-10-02 12:00:00,6.51,6.543,6.48,6.527,10825600.0
2021-10-02 13:00:00,6.527,6.598,6.49,6.585,34059800.0
2021-10-02 14:00:00,6.593,6.71,6.564,6.663,47011600.0
2021-10-02 15:00:00,6.664,7.0,6.662,6.894,141378100.0
2021-10-02 16:00:00,6.894,7.026,6.752,6.909,165797100.0
2021-10-02 17:00:00,6.903,7.07,6.77,6.997,86622500.0
2021-10-02 18:00:00,6.995,7.148,6.988,7.086,131585299.99999999
2021-10-02 19:00:00,7.086,7.193,7.05,7.105,47972800.0
2021-10-02 20:00:00,7.106,7.123,6.971,7.049,46084800.0
2021-10-02 21:00:00,7.049,7.18,7.028,7.18,22772500.0
2021-10-02 22:00:00,7.18,7.18,7.011,7.091,41588000.0
2021-10-02 23:00:00,7.088,7.16,7.05,7.099,20733800.0
2021-10-03 00:00:00,7.1,7.13,7.041,7.066,11436600.0
2021-10-03 01:00:00,7.06,7.096,6.825,6.908,34082800.0
2021-10-03 02:00:00,6.899,7.033,6.8,6.907,33154199.999999996
2021-10-03 03:00:00,6.913,7.062,6.894,6.995,23367700.0
2021-10-03 04:00:00,6.981,7.058,6.939,6.942,21971800.0
