,Open,High,Low,Close,Volume
2021-01-29 03:00:00,4.446,6.38,4.446,5.045,400356761.0
2021-01-29 04:00:00,5.045,5.118,4.6,4.618,89983081.0
2021-01-29 05:00:00,4.601,4.8,4.393,4.5,51084991.0
2021-01-29 06:00:00,4.493,5.0,4.385,4.723,41007309.0
2021-01-29 07:00:00,4.723,5.173,4.52,4.603,72854628.0
2021-01-29 08:00:00,4.604,5.0,4.56,4.578,25584960.0
2021-01-29 09:00:00,4.631,4.698,4.433,4.603,28659547.0
2021-01-29 10:00:00,4.608,4.679,4.2,4.4,45159655.0
2021-01-29 11:00:00,4.406,4.55,4.277,4.542,22101802.0
2021-01-29 12:00:00,4.549,4.74,4.454,4.55,19176856.0
2021-01-29 13:00:00,4.548,4.755,4.328,4.74,24156909.0
2021-01-29 14:00:00,4.713,4.733,4.341,4.408,16965418.0
2021-01-29 15:00:00,4.402,4.54,4.341,4.413,12017722.0
2021-01-29 16:00:00,4.397,4.5,4.333,4.382,9151895.0
2021-01-29 17:00:00,4.37,4.389,4.055,4.17,26029533.0
2021-01-29 18:00:00,4.169,4.271,4.052,4.233,18657825.0
2021-01-29 19:00:00,4.234,4.301,4.072,4.147,14332467.0
2021-01-29 20:00:00,4.179,4.229,4.1,4.11,8540025.0
2021-01-29 21:00:00,4.111,4.34,4.111,4.332,7060418.0
2021-01-29 22:00:00,4.285,4.37,4.27,4.369,9297979.0
2021-01-29 23:00:00,4.364,4.364,4.28,4.337,1657042.0
2021-01-30 00:00:00,4.321,4.384,4.265,4.317,4810253.0
2021-01-30 01:00:00,4.317,4.32,4.176,4.243,10732423.0
2021-01-30 02:00:00,4.272,4.4,4.272,4.334,8648639.0
2021-01-30 03:00:00,4.348,4.455,4.348,4.455,15901687.0
2021-01-30 04:00:00,4.453,4.54,4.3,4.351,7740068.0
2021-01-30 05:00:00,4.35,4.512,4.133,4.188,26023503.0
2021-01-30 06:00:00,4.172,4.301,4.154,4.225,13276238.0
2021-01-30 07:00:00,4.225,4.369,4.225,4.297,9036026.0
2021-01-30 08:00:00,4.275,4.38,4.246,4.311,13637175.0
2021-01-30 09:00:00,4.311,4.453,4.2,4.259,4777453.0
2021-01-30 10:00:00,4.286,4.347,4.232,4.301,4606611.0
2021-01-30 11:00:00,4.302,4.332,4.25,4.26,9004326.0
